Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;13439;13421;12634;12634;13072;12971;12609;12608;13058;12927;12603;12603;13005;12890;12659;12659;13004;12893;12627;12627;12989;12879;12659;12659;13004;12893;12614;12614;13023;12937;12703;12703;13074;12975;12630;12630;13004;12895;12585;12585;13020;12937;12585;12585;13020;12937;12585;12585;13020;12937;12164;12164;12867;12920;12164;12164;12867;12920;12164;12164;12867;12920;12164;12164;12867;12920
Weather and new source;13181;13172;12554;12554;12912;13004;12650;12650;12876;13010;12568;12568;12783;12929;12572;12572;12789;12932;12543;12543;12763;12907;12572;12572;12789;12932;12398;12398;12814;12920;12482;12482;12876;13008;12567;12567;12784;12928;12407;12407;12811;12912;12407;12407;12811;12912;12407;12407;12811;12912;12188;12187;12559;12684;12188;12187;12559;12684;12188;12187;12559;12684;12188;12187;12559;12684
Expanded weather and new source;13423;13444;12596;12596;12973;12892;12682;12682;12980;12911;12669;12669;12948;12898;12669;12669;12946;12910;12575;12575;12931;12890;12669;12669;12946;12910;12434;12434;12928;12913;12537;12537;12982;12928;12668;12668;12947;12894;12433;12433;12928;12899;12433;12433;12928;12899;12433;12433;12928;12899;11925;11926;12725;12778;11925;11926;12725;12778;11925;11926;12725;12778;11925;11926;12725;12778
Expanded weather;13452;13445;12604;12603;13005;12993;12717;12717;13008;12967;12567;12567;12970;12944;12523;12523;12967;12943;12488;12489;12955;12914;12523;12523;12967;12943;12553;12553;12943;12934;12575;12575;13004;12997;12549;12549;12967;12945;12575;12575;12943;12927;12575;12575;12943;12927;12575;12575;12943;12927;12328;12330;12862;12848;12328;12330;12862;12848;12328;12330;12862;12848;12328;12330;12862;12848
Weather, new source and alka;13362;13398;12696;12696;13002;13065;12754;12754;13022;13054;12531;12531;13080;13111;12479;12479;13067;13112;12474;12474;13031;13091;12479;12479;13067;13112;12431;12432;13070;13089;12662;12662;13010;13072;12570;12570;13081;13117;12457;12458;13071;13091;12457;12458;13071;13091;12457;12458;13071;13091;12078;12079;12885;12979;12078;12079;12885;12979;12078;12079;12885;12979;12078;12079;12885;12979
Expanded weather, new source and alka;13338;13286;12631;12631;12837;12899;12639;12639;12912;12943;12523;12523;12841;12902;12384;12384;12850;12910;12385;12385;12846;12897;12384;12384;12850;12910;12255;12255;12779;12864;12572;12572;12798;12872;12387;12387;12851;12911;12301;12301;12781;12864;12301;12301;12781;12864;12301;12301;12781;12864;12081;12081;12597;12850;12081;12081;12597;12850;12081;12081;12597;12850;12081;12081;12597;12850
Expanded weather and alka;13494;13485;12698;12698;12984;13004;12823;12823;13015;13020;12751;12747;12979;13008;12655;12651;12980;13019;12591;12591;12971;13004;12655;12651;12980;13019;12702;12702;12956;12999;12670;12670;12967;12996;12676;12672;12978;13013;12697;12697;12954;12998;12697;12697;12954;12998;12697;12697;12954;12998;12291;12291;12916;12974;12291;12291;12916;12974;12291;12291;12916;12974;12291;12291;12916;12974
Weather and alka;13452;13558;12630;12630;12981;13072;12788;12788;12999;13030;12777;12777;12931;12992;12771;12771;12906;12988;12768;12768;12882;12971;12771;12771;12906;12988;12648;12648;12882;13029;12615;12615;12930;13042;12761;12761;12902;12989;12654;12654;12877;13040;12654;12654;12877;13040;12654;12654;12877;13040;12188;12192;12794;12788;12188;12192;12794;12788;12188;12192;12794;12788;12188;12192;12794;12788
Expanded all sources;1847;1871;1617;1617;1680;1710;1653;1653;1698;1710;1636;1634;1683;1700;1644;1644;1681;1697;1609;1609;1656;1687;1644;1644;1681;1697;1619;1613;1670;1699;1667;1667;1678;1709;1641;1641;1683;1700;1623;1617;1672;1701;1623;1617;1672;1701;1623;1617;1672;1701;1026;1026;1452;1504;1026;1026;1452;1504;1026;1026;1452;1504;1026;1026;1452;1504
All sources;1824;1863;1637;1637;1611;1668;1688;1688;1615;1675;1654;1654;1611;1641;1616;1616;1609;1644;1578;1578;1616;1643;1616;1616;1609;1644;1591;1591;1614;1641;1636;1636;1611;1668;1622;1622;1608;1643;1611;1611;1613;1640;1611;1611;1613;1640;1611;1611;1613;1640;990;990;1485;1473;990;990;1485;1473;990;990;1485;1473;990;990;1485;1473
