Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;52.63157894736842;51.282051282051285;52.5;52.5;51.21951219512195;51.21951219512195;52.5;52.5;51.21951219512195;51.21951219512195;52.5;52.5;51.21951219512195;51.21951219512195;50.0;50.0;51.21951219512195;51.21951219512195;50.0;50.0;51.21951219512195;51.21951219512195;50.0;50.0;51.21951219512195;51.21951219512195;57.5;57.5;51.21951219512195;51.21951219512195;52.5;52.5;51.21951219512195;51.21951219512195;50.0;50.0;51.21951219512195;51.21951219512195;57.5;57.5;51.21951219512195;51.21951219512195;57.5;57.5;51.21951219512195;51.21951219512195;57.5;57.5;51.21951219512195;51.21951219512195;53.65853658536585;53.65853658536585;53.65853658536585;50.0;53.65853658536585;53.65853658536585;53.65853658536585;50.0;53.65853658536585;53.65853658536585;53.65853658536585;50.0;53.65853658536585;53.65853658536585;53.65853658536585;50.0
Weather and new source;38.46153846153846;38.46153846153846;51.21951219512195;51.21951219512195;29.26829268292683;29.26829268292683;48.78048780487805;48.78048780487805;29.26829268292683;29.26829268292683;50.0;50.0;29.26829268292683;29.26829268292683;47.5;47.5;29.26829268292683;29.26829268292683;47.5;47.5;29.26829268292683;29.26829268292683;47.5;47.5;29.26829268292683;29.26829268292683;45.0;45.0;29.26829268292683;29.26829268292683;53.65853658536585;53.65853658536585;29.26829268292683;29.26829268292683;45.0;45.0;29.26829268292683;29.26829268292683;45.0;45.0;29.26829268292683;29.26829268292683;45.0;45.0;29.26829268292683;29.26829268292683;45.0;45.0;29.26829268292683;29.26829268292683;43.90243902439025;43.90243902439025;31.70731707317073;34.146341463414636;43.90243902439025;43.90243902439025;31.70731707317073;34.146341463414636;43.90243902439025;43.90243902439025;31.70731707317073;34.146341463414636;43.90243902439025;43.90243902439025;31.70731707317073;34.146341463414636
Expanded weather and new source;46.15384615384615;42.10526315789474;46.51162790697674;46.51162790697674;42.857142857142854;42.857142857142854;44.18604651162791;44.18604651162791;42.857142857142854;42.857142857142854;45.23809523809524;45.23809523809524;42.857142857142854;42.857142857142854;42.857142857142854;42.857142857142854;42.857142857142854;42.857142857142854;45.23809523809524;45.23809523809524;42.857142857142854;42.857142857142854;42.857142857142854;42.857142857142854;42.857142857142854;42.857142857142854;41.86046511627907;41.86046511627907;42.857142857142854;42.857142857142854;46.51162790697674;46.51162790697674;42.857142857142854;42.857142857142854;42.857142857142854;42.857142857142854;42.857142857142854;42.857142857142854;41.86046511627907;41.86046511627907;42.857142857142854;42.857142857142854;41.86046511627907;41.86046511627907;42.857142857142854;42.857142857142854;41.86046511627907;41.86046511627907;42.857142857142854;42.857142857142854;48.78048780487805;48.78048780487805;45.23809523809524;45.23809523809524;48.78048780487805;48.78048780487805;45.23809523809524;45.23809523809524;48.78048780487805;48.78048780487805;45.23809523809524;45.23809523809524;48.78048780487805;48.78048780487805;45.23809523809524;45.23809523809524
Expanded weather;42.10526315789474;39.473684210526315;41.46341463414634;41.46341463414634;50.0;50.0;45.0;45.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;48.78048780487805;48.78048780487805;50.0;50.0;41.46341463414634;41.46341463414634;50.0;50.0;50.0;50.0;50.0;50.0;48.78048780487805;48.78048780487805;50.0;50.0;48.78048780487805;48.78048780487805;50.0;50.0;48.78048780487805;48.78048780487805;50.0;50.0;45.23809523809524;45.23809523809524;47.5;45.0;45.23809523809524;45.23809523809524;47.5;45.0;45.23809523809524;45.23809523809524;47.5;45.0;45.23809523809524;45.23809523809524;47.5;45.0
Weather, new source and alka;51.282051282051285;53.84615384615385;47.61904761904762;47.61904761904762;39.02439024390244;42.857142857142854;51.21951219512195;51.21951219512195;39.02439024390244;42.857142857142854;52.38095238095238;52.38095238095238;39.02439024390244;42.857142857142854;55.81395348837209;55.81395348837209;39.02439024390244;42.857142857142854;55.81395348837209;55.81395348837209;39.02439024390244;42.857142857142854;55.81395348837209;55.81395348837209;39.02439024390244;42.857142857142854;53.48837209302326;53.48837209302326;39.02439024390244;42.857142857142854;53.48837209302326;53.48837209302326;39.02439024390244;42.857142857142854;53.48837209302326;53.48837209302326;39.02439024390244;42.857142857142854;53.48837209302326;53.48837209302326;39.02439024390244;42.857142857142854;53.48837209302326;53.48837209302326;39.02439024390244;42.857142857142854;53.48837209302326;53.48837209302326;39.02439024390244;42.857142857142854;54.76190476190476;54.76190476190476;39.53488372093023;41.86046511627907;54.76190476190476;54.76190476190476;39.53488372093023;41.86046511627907;54.76190476190476;54.76190476190476;39.53488372093023;41.86046511627907;54.76190476190476;54.76190476190476;39.53488372093023;41.86046511627907
Expanded weather, new source and alka;41.02564102564103;43.58974358974359;46.34146341463415;46.34146341463415;40.476190476190474;48.83720930232558;51.21951219512195;51.21951219512195;40.476190476190474;48.83720930232558;43.90243902439025;43.90243902439025;40.476190476190474;48.83720930232558;41.46341463414634;41.46341463414634;40.476190476190474;48.83720930232558;41.46341463414634;41.46341463414634;40.476190476190474;48.83720930232558;41.46341463414634;41.46341463414634;40.476190476190474;48.83720930232558;43.90243902439025;43.90243902439025;40.476190476190474;48.83720930232558;47.5;47.5;40.476190476190474;48.83720930232558;41.46341463414634;41.46341463414634;40.476190476190474;48.83720930232558;43.90243902439025;43.90243902439025;40.476190476190474;48.83720930232558;43.90243902439025;43.90243902439025;40.476190476190474;48.83720930232558;43.90243902439025;43.90243902439025;40.476190476190474;48.83720930232558;44.18604651162791;44.18604651162791;42.857142857142854;46.51162790697674;44.18604651162791;44.18604651162791;42.857142857142854;46.51162790697674;44.18604651162791;44.18604651162791;42.857142857142854;46.51162790697674;44.18604651162791;44.18604651162791;42.857142857142854;46.51162790697674
Expanded weather and alka;40.0;36.8421052631579;50.0;50.0;42.857142857142854;40.0;52.5;52.5;42.857142857142854;40.0;47.61904761904762;47.61904761904762;42.857142857142854;40.0;47.72727272727273;47.72727272727273;42.857142857142854;40.0;48.83720930232558;48.83720930232558;42.857142857142854;40.0;47.72727272727273;47.72727272727273;42.857142857142854;40.0;44.18604651162791;44.18604651162791;42.857142857142854;40.0;48.83720930232558;48.83720930232558;42.857142857142854;40.0;47.72727272727273;47.72727272727273;43.90243902439025;41.02564102564103;44.18604651162791;44.18604651162791;43.90243902439025;41.02564102564103;44.18604651162791;44.18604651162791;43.90243902439025;41.02564102564103;44.18604651162791;44.18604651162791;43.90243902439025;41.02564102564103;45.23809523809524;45.23809523809524;43.90243902439025;41.02564102564103;45.23809523809524;45.23809523809524;43.90243902439025;41.02564102564103;45.23809523809524;45.23809523809524;43.90243902439025;41.02564102564103;45.23809523809524;45.23809523809524;43.90243902439025;41.02564102564103
Weather and alka;42.5;47.5;52.38095238095238;52.38095238095238;42.857142857142854;50.0;54.76190476190476;54.76190476190476;42.857142857142854;50.0;54.76190476190476;54.76190476190476;45.23809523809524;50.0;53.48837209302326;53.48837209302326;45.23809523809524;50.0;51.16279069767442;51.16279069767442;45.23809523809524;50.0;53.48837209302326;53.48837209302326;45.23809523809524;50.0;52.38095238095238;52.38095238095238;45.23809523809524;50.0;51.16279069767442;51.16279069767442;42.857142857142854;50.0;54.76190476190476;54.76190476190476;45.23809523809524;50.0;52.38095238095238;52.38095238095238;45.23809523809524;50.0;52.38095238095238;52.38095238095238;45.23809523809524;50.0;52.38095238095238;52.38095238095238;45.23809523809524;50.0;51.16279069767442;51.16279069767442;45.23809523809524;48.83720930232558;51.16279069767442;51.16279069767442;45.23809523809524;48.83720930232558;51.16279069767442;51.16279069767442;45.23809523809524;48.83720930232558;51.16279069767442;51.16279069767442;45.23809523809524;48.83720930232558
Expanded all sources;60.0;60.0;42.10526315789474;42.10526315789474;50.0;50.0;42.10526315789474;42.10526315789474;50.0;50.0;47.36842105263158;47.36842105263158;50.0;50.0;47.36842105263158;47.36842105263158;50.0;50.0;47.36842105263158;47.36842105263158;50.0;50.0;47.36842105263158;47.36842105263158;50.0;50.0;52.63157894736842;52.63157894736842;50.0;50.0;42.10526315789474;42.10526315789474;50.0;50.0;47.36842105263158;47.36842105263158;50.0;50.0;52.63157894736842;52.63157894736842;50.0;50.0;52.63157894736842;52.63157894736842;50.0;50.0;52.63157894736842;52.63157894736842;50.0;50.0;42.857142857142854;42.857142857142854;52.38095238095238;52.38095238095238;42.857142857142854;42.857142857142854;52.38095238095238;52.38095238095238;42.857142857142854;42.857142857142854;52.38095238095238;52.38095238095238;42.857142857142854;42.857142857142854;52.38095238095238;52.38095238095238
All sources;65.0;65.0;47.61904761904762;47.61904761904762;50.0;50.0;38.095238095238095;38.095238095238095;50.0;50.0;42.857142857142854;42.857142857142854;55.0;50.0;42.857142857142854;42.857142857142854;55.0;50.0;42.857142857142854;42.857142857142854;55.0;50.0;42.857142857142854;42.857142857142854;55.0;50.0;40.0;40.0;55.0;50.0;47.61904761904762;47.61904761904762;50.0;50.0;42.857142857142854;42.857142857142854;55.0;50.0;40.0;40.0;55.0;50.0;40.0;40.0;55.0;50.0;40.0;40.0;55.0;50.0;33.333333333333336;33.333333333333336;50.0;50.0;33.333333333333336;33.333333333333336;50.0;50.0;33.333333333333336;33.333333333333336;50.0;50.0;33.333333333333336;33.333333333333336;50.0;50.0
