Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;10.60216894977169;10.61084026383711;9.810994084547684;9.810994084547684;9.459264599855803;9.715777262180975;10.098522167487685;10.098522167487685;9.855907780979827;9.956584659913169;9.606231068801385;9.606231068801385;9.832997408580479;10.037604859704947;9.558186543459428;9.558186543459428;9.831581977832158;10.033251409570623;9.49769053117783;9.49769053117783;9.85164914302175;10.033251409570623;9.558186543459428;9.558186543459428;9.831581977832158;10.033251409570623;9.660724554341575;9.660724554341575;9.500503814596229;9.752568369266386;9.613163972286374;9.613163972286374;9.459264599855803;9.712960278341548;9.622587150677038;9.622587150677038;9.831581977832158;10.034702139965297;9.653287296791829;9.653287296791829;9.503239740820735;9.748336708128434;9.653287296791829;9.653287296791829;9.503239740820735;9.748336708128434;9.653287296791829;9.653287296791829;9.503239740820735;9.748336708128434;9.478121820031982;9.478121820031982;9.576160856357587;9.32642487046632;9.478121820031982;9.478121820031982;9.576160856357587;9.32642487046632;9.478121820031982;9.478121820031982;9.576160856357587;9.32642487046632;9.478121820031982;9.478121820031982;9.576160856357587;9.32642487046632
Weather and new source;11.288682260642162;11.217669282185412;9.65557845157492;9.65557845157492;9.995615957913197;9.6797777452844;9.636068955355828;9.636068955355828;10.2031866686157;9.697235629662133;9.796400118028917;9.796400118028917;10.313048566413107;9.837267262864682;9.816311535635561;9.816311535635561;10.327677004095962;9.850483729111698;9.898514487424622;9.898514487424622;10.327677004095962;9.810822701275846;9.816311535635561;9.816311535635561;10.327677004095962;9.850483729111698;9.848373325482115;9.848373325482115;10.084894613583138;9.815411661295048;9.673608034263772;9.673608034263772;10.076045627376425;9.692982456140351;9.869098396823063;9.869098396823063;10.329188002926115;9.838709677419354;9.830757910228108;9.830757910228108;10.086370955936173;9.816849816849818;9.830757910228108;9.830757910228108;10.086370955936173;9.816849816849818;9.830757910228108;9.830757910228108;10.086370955936173;9.816849816849818;9.17960088691796;9.182315540440634;9.923887587822014;9.961742201294879;9.17960088691796;9.182315540440634;9.923887587822014;9.961742201294879;9.17960088691796;9.182315540440634;9.923887587822014;9.961742201294879;9.17960088691796;9.182315540440634;9.923887587822014;9.961742201294879
Expanded weather and new source;10.655021834061136;10.437808060307335;9.910701215049041;9.910701215049041;9.621034077555816;9.89430416911333;9.932610606504541;9.932610606504541;9.743213499633162;9.925121127587726;10.01754899093302;10.01754899093302;9.83558426306518;10.066030814380044;10.057009209179945;10.057009209179945;9.83558426306518;10.03668378576669;10.001462202076327;10.001462202076327;9.75609756097561;10.03668378576669;10.057009209179945;10.057009209179945;9.83558426306518;10.03668378576669;10.083663584324086;10.083663584324086;9.728141072740632;9.917840375586854;9.907665249890078;9.907665249890078;9.604934645322368;9.803346052245377;10.005859947260475;10.005859947260475;9.83558426306518;10.067508071617258;10.064553990610328;10.064553990610328;9.726711724948574;9.948642699926632;10.064553990610328;10.064553990610328;9.726711724948574;9.948642699926632;10.064553990610328;10.064553990610328;9.726711724948574;9.948642699926632;9.392101760094661;9.392101760094661;9.887047088161948;9.704332552693208;9.392101760094661;9.392101760094661;9.887047088161948;9.704332552693208;9.392101760094661;9.392101760094661;9.887047088161948;9.704332552693208;9.392101760094661;9.392101760094661;9.887047088161948;9.704332552693208
Expanded weather;10.741108119597563;10.780563819237852;9.809027777777779;9.809027777777779;9.742489270386265;9.909780896462838;9.914356220060967;9.914356220060967;9.902690326273612;10.090296689121399;10.070799017483022;10.070799017483022;9.781522204769384;9.987104169651813;10.086580086580087;10.086580086580087;9.79300499643112;9.987104169651813;9.991324465008676;9.991324465008676;9.79749001711352;10.030090270812437;10.086580086580087;10.086580086580087;9.79300499643112;9.987104169651813;10.281043877258389;10.281043877258389;9.70415892525368;9.84826796450043;9.95096625324488;9.95096625324488;9.76970390502074;9.929789368104313;10.117068940598353;10.117068940598353;9.781522204769384;9.98853539696188;10.231023102310232;10.231023102310232;9.692637598284488;9.806728704366499;10.231023102310232;10.231023102310232;9.692637598284488;9.806728704366499;10.231023102310232;10.231023102310232;9.692637598284488;9.806728704366499;9.203077369719843;9.20040632709331;9.687141216991963;9.418004587155963;9.203077369719843;9.20040632709331;9.687141216991963;9.418004587155963;9.203077369719843;9.20040632709331;9.687141216991963;9.418004587155963;9.203077369719843;9.20040632709331;9.687141216991963;9.418004587155963
Weather, new source and alka;11.07117181883537;10.470300589673522;9.65833456589262;9.65833456589262;9.81247274313127;9.63435867672664;10.256788665879576;10.256788665879576;9.88084859052601;9.828687572590011;10.428084728188416;10.428084728188416;9.656777196044212;9.694323144104803;10.310650887573965;10.310650887573965;9.727683122178535;9.74082702387886;10.154165431366735;10.154165431366735;9.793063246866803;9.797641578104528;10.310650887573965;10.310650887573965;9.727683122178535;9.74082702387886;9.99407758365413;9.964465501924785;9.60081585081585;9.557109557109557;9.483651427725995;9.454061251664447;9.819610125109106;9.62962962962963;10.25716819391073;10.25716819391073;9.68586387434555;9.737991266375547;10.100710900473933;10.071090047393366;9.60081585081585;9.568890183512963;10.100710900473933;10.071090047393366;9.60081585081585;9.568890183512963;10.100710900473933;10.071090047393366;9.60081585081585;9.568890183512963;9.225749035894394;9.225749035894394;9.28135001454757;9.195235328297501;9.225749035894394;9.225749035894394;9.28135001454757;9.195235328297501;9.225749035894394;9.225749035894394;9.28135001454757;9.195235328297501;9.225749035894394;9.225749035894394;9.28135001454757;9.195235328297501
Expanded weather, new source and alka;10.752064918127807;10.901710640765438;10.12396694214876;10.12396694214876;9.609168380840435;9.853372434017595;10.248447204968944;10.246931834984474;9.633431085043988;9.818288393903869;10.167233979576736;10.164225477141589;9.523809523809524;9.908984145625366;9.997029114676174;9.995544333877914;9.551800146950772;9.95302407516148;9.937611408199643;9.936135452250111;9.581190301249082;9.96624100983414;9.997029114676174;9.995544333877914;9.551800146950772;9.95302407516148;10.069909266696415;10.069909266696415;9.537827494848395;9.913349977970334;9.729809537870958;9.729809537870958;9.656084656084657;9.889948642699927;10.204383886255924;10.20136215575955;9.551800146950772;9.9501027296742;10.068513553768245;10.068513553768245;9.52310862525758;9.92803642238214;10.068513553768245;10.068513553768245;9.52310862525758;9.92803642238214;10.068513553768245;10.068513553768245;9.52310862525758;9.92803642238214;9.458655562165378;9.458655562165378;9.660842754367934;9.4869171173805;9.458655562165378;9.458655562165378;9.660842754367934;9.4869171173805;9.458655562165378;9.458655562165378;9.660842754367934;9.4869171173805;9.458655562165378;9.458655562165378;9.660842754367934;9.4869171173805
Expanded weather and alka;10.77163564018758;10.838212194773668;9.921671018276763;9.921671018276763;9.772173663848688;9.695130761450658;9.941944847605225;9.941944847605225;9.798023205844435;9.864436111912315;9.753623188405797;9.753623188405797;9.683426443202979;9.796859242184123;9.519650655021834;9.519650655021834;9.609050551338965;9.786682040933986;9.61678566224683;9.61678566224683;9.61180346655207;9.798270893371757;9.519650655021834;9.519650655021834;9.609050551338965;9.786682040933986;9.764944863609983;9.764944863609983;9.60492413398225;9.554048203203925;9.8734913479715;9.8734913479715;9.740724824523706;9.693730135798901;9.479499854608898;9.479499854608898;9.623371043963912;9.785271652975933;9.868135052890885;9.868135052890885;9.619238476953909;9.552669552669553;9.868135052890885;9.868135052890885;9.619238476953909;9.552669552669553;9.868135052890885;9.868135052890885;9.619238476953909;9.552669552669553;9.711286089238845;9.711286089238845;9.21090387374462;8.969383354894351;9.711286089238845;9.711286089238845;9.21090387374462;8.969383354894351;9.711286089238845;9.711286089238845;9.21090387374462;8.969383354894351;9.711286089238845;9.711286089238845;9.21090387374462;8.969383354894351
Weather and alka;11.498505763483706;11.06056297981234;9.864240323512421;9.864240323512421;10.466455513964872;10.491520551882726;9.844335543384261;9.844335543384261;10.580793559516964;10.457610098981494;9.87725631768953;9.87725631768953;10.599741118941465;10.537665324899367;9.45770065075922;9.45770065075922;10.572497123130034;10.561862336542607;9.582309582309582;9.582309582309582;10.585358837911693;10.597357840321655;9.45770065075922;9.45770065075922;10.572497123130034;10.561862336542607;9.43914426134721;9.43914426134721;10.465619143722071;10.540696002300834;9.63768115942029;9.63768115942029;10.508133007053404;10.587559258727195;9.787786920744912;9.787786920744912;10.626977279263732;10.557311117494972;9.495591848533024;9.495591848533024;10.505836575875486;10.504382813622646;9.495591848533024;9.495591848533024;10.505836575875486;10.504382813622646;9.495591848533024;9.495591848533024;10.505836575875486;10.504382813622646;9.059233449477352;9.044715447154472;10.02300834052344;10.41036717062635;9.059233449477352;9.044715447154472;10.02300834052344;10.41036717062635;9.059233449477352;9.044715447154472;10.02300834052344;10.41036717062635;9.059233449477352;9.044715447154472;10.02300834052344;10.41036717062635
Expanded all sources;7.310215557638238;7.0356472795497185;7.292659675881792;7.292659675881792;6.014319809069212;5.386081982840801;7.485604606525912;7.485604606525912;5.924510272336359;5.579399141630901;7.7990430622009566;7.7990430622009566;6.008583690987124;5.465779467680608;7.357859531772576;7.357859531772576;6.008583690987124;5.465779467680608;7.22488038277512;7.22488038277512;5.910390848427073;5.515929624346172;7.357859531772576;7.357859531772576;6.008583690987124;5.465779467680608;6.898192197906756;6.891634980988593;6.1516452074391985;5.380952380952381;7.08848715509039;7.08848715509039;6.011450381679389;5.386081982840801;7.442748091603053;7.442748091603053;6.008583690987124;5.465779467680608;6.986692015209125;6.98005698005698;6.1516452074391985;5.378391242265588;6.986692015209125;6.98005698005698;6.1516452074391985;5.378391242265588;6.986692015209125;6.98005698005698;6.1516452074391985;5.378391242265588;5.294705294705294;5.294705294705294;6.019417475728155;5.6594724220623505;5.294705294705294;5.294705294705294;6.019417475728155;5.6594724220623505;5.294705294705294;5.294705294705294;6.019417475728155;5.6594724220623505;5.294705294705294;5.294705294705294;6.019417475728155;5.6594724220623505
All sources;7.757404795486601;7.881075979235488;7.677634716261326;7.677634716261326;6.159068865179438;6.292352371732817;7.478427612655801;7.478427612655801;6.256062075654704;6.440677966101695;7.659167065581618;7.659167065581618;6.259097525473071;6.437560503388189;8.066825775656325;8.066825775656325;6.259097525473071;6.48596321393998;8.045977011494253;8.045977011494253;6.159068865179438;6.48596321393998;8.066825775656325;8.066825775656325;6.259097525473071;6.48596321393998;7.842205323193916;7.842205323193916;6.156083373727581;6.289308176100629;7.578646329837941;7.578646329837941;6.210577389616691;6.340755082284608;8.173996175908222;8.173996175908222;6.259097525473071;6.48596321393998;7.7983832620066575;7.7983832620066575;6.153100775193798;6.289308176100629;7.7983832620066575;7.7983832620066575;6.153100775193798;6.289308176100629;7.7983832620066575;7.7983832620066575;6.153100775193798;6.289308176100629;5.527888446215139;5.527888446215139;5.316578057032383;5.994152046783626;5.527888446215139;5.527888446215139;5.316578057032383;5.994152046783626;5.527888446215139;5.527888446215139;5.316578057032383;5.994152046783626;5.527888446215139;5.527888446215139;5.316578057032383;5.994152046783626
