Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;13231;13221;12883;12882;12609;12658;12899;12899;12628;12660;12877;12879;12589;12640;12882;12882;12591;12642;12877;12877;12578;12637;12882;12882;12591;12642;12893;12893;12578;12637;12941;12941;12616;12660;12874;12876;12592;12645;12885;12885;12579;12633;12885;12885;12579;12633;12885;12885;12579;12633;12304;12304;12437;12538;12304;12304;12437;12538;12304;12304;12437;12538;12304;12304;12437;12538
Weather and new source;13139;13087;12789;12789;12553;12661;12853;12853;12543;12680;12723;12723;12486;12618;12715;12715;12487;12620;12700;12700;12467;12601;12715;12715;12487;12620;12638;12638;12497;12603;12764;12765;12539;12656;12711;12711;12484;12620;12631;12631;12495;12600;12631;12631;12495;12600;12631;12631;12495;12600;12308;12307;12312;12436;12308;12307;12312;12436;12308;12307;12312;12436;12308;12307;12312;12436
Expanded weather and new source;13284;13221;12844;12844;12626;12578;12894;12894;12611;12575;12895;12895;12608;12586;12834;12834;12603;12589;12781;12781;12591;12583;12834;12834;12603;12589;12704;12704;12600;12602;12817;12817;12626;12585;12844;12844;12604;12586;12701;12701;12600;12598;12701;12701;12600;12598;12701;12701;12600;12598;12214;12214;12416;12435;12214;12214;12416;12435;12214;12214;12416;12435;12214;12214;12416;12435
Expanded weather;13350;13262;12903;12902;12782;12714;12948;12948;12786;12702;12846;12846;12737;12666;12808;12807;12739;12663;12810;12812;12720;12658;12808;12807;12739;12663;12826;12826;12724;12666;12884;12884;12785;12720;12836;12836;12739;12670;12828;12828;12724;12669;12828;12828;12724;12669;12828;12828;12724;12669;12503;12503;12656;12586;12503;12503;12656;12586;12503;12503;12656;12586;12503;12503;12656;12586
Weather, new source and alka;13064;12962;12808;12809;12563;12489;12904;12904;12566;12471;12672;12672;12590;12492;12660;12660;12572;12484;12655;12655;12553;12476;12660;12660;12572;12484;12655;12647;12592;12504;12790;12784;12559;12494;12739;12739;12582;12486;12657;12649;12595;12505;12657;12649;12595;12505;12657;12649;12595;12505;12160;12160;12427;12434;12160;12160;12427;12434;12160;12160;12427;12434;12160;12160;12427;12434
Expanded weather, new source and alka;13201;13096;12785;12785;12636;12683;12805;12807;12687;12717;12693;12695;12640;12670;12632;12635;12631;12657;12605;12607;12630;12641;12632;12635;12631;12657;12520;12520;12579;12647;12748;12748;12599;12653;12668;12670;12633;12660;12548;12548;12580;12645;12548;12548;12580;12645;12548;12548;12580;12645;12235;12235;12437;12566;12235;12235;12437;12566;12235;12235;12437;12566;12235;12235;12437;12566
Expanded weather and alka;13270;13293;12938;12938;12603;12634;13000;13000;12622;12658;12896;12894;12607;12655;12880;12878;12608;12650;12853;12853;12610;12654;12880;12878;12608;12650;12923;12923;12599;12637;12895;12895;12597;12624;12919;12917;12605;12650;12909;12909;12595;12637;12909;12909;12595;12637;12909;12909;12595;12637;12496;12496;12430;12547;12496;12496;12430;12547;12496;12496;12430;12547;12496;12496;12430;12547
Weather and alka;13203;13260;12864;12864;12638;12694;12961;12961;12678;12714;12889;12889;12615;12678;12842;12842;12610;12671;12866;12866;12598;12664;12842;12842;12610;12671;12841;12841;12563;12650;12808;12808;12594;12656;12860;12860;12602;12668;12851;12851;12558;12646;12851;12851;12558;12646;12851;12851;12558;12646;12371;12377;12462;12520;12371;12377;12462;12520;12371;12377;12462;12520;12371;12377;12462;12520
Expanded all sources;1888;1902;1718;1718;1666;1671;1739;1739;1675;1675;1708;1714;1654;1659;1715;1715;1652;1655;1689;1689;1636;1660;1715;1715;1652;1655;1721;1711;1644;1654;1722;1722;1664;1666;1725;1725;1654;1658;1728;1718;1646;1657;1728;1718;1646;1657;1728;1718;1646;1657;1054;1054;1484;1527;1054;1054;1484;1527;1054;1054;1484;1527;1054;1054;1484;1527
All sources;1895;1883;1685;1685;1577;1605;1735;1735;1587;1617;1680;1680;1585;1599;1669;1669;1585;1603;1644;1644;1583;1597;1669;1669;1585;1603;1663;1663;1576;1592;1693;1693;1577;1607;1675;1675;1584;1599;1662;1662;1575;1589;1662;1662;1575;1589;1662;1662;1575;1589;1045;1047;1470;1506;1045;1047;1470;1506;1045;1047;1470;1506;1045;1047;1470;1506
Expanded no TV;11874;11912;12037;12037;11554;11498;12106;12106;11568;11503;11981;11981;11539;11479;12002;12002;11535;11482;11955;11955;11527;11467;12002;12002;11535;11482;11913;11913;11519;11475;12063;12063;11549;11502;11996;11996;11530;11492;11918;11918;11520;11477;11918;11918;11520;11477;11918;11918;11520;11477;11458;11459;11402;11441;11458;11459;11402;11441;11458;11459;11402;11441;11458;11459;11402;11441
No TV;11978;11978;12133;12134;11690;11703;12096;12096;11673;11701;11923;11923;11601;11654;11941;11941;11602;11657;11951;11951;11570;11633;11941;11941;11602;11657;11967;11967;11621;11661;12092;12093;11688;11700;11941;11941;11599;11658;12005;12005;11622;11659;12005;12005;11622;11659;12005;12005;11622;11659;11461;11460;11443;11571;11461;11460;11443;11571;11461;11460;11443;11571;11461;11460;11443;11571
