Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;57.70582793709528;57.589513178007316;55.71257042578738;55.714615562225816;55.94259439877386;55.86618208927407;55.807182141701716;55.80256042889495;55.923223497699496;55.82078418574292;55.75110864745011;55.749064535501454;55.80161905648088;55.76133607016234;55.8419402434526;55.8419402434526;55.78873894834807;55.7738067466057;55.79389242550051;55.79389242550051;55.76395029552753;55.76026119402985;55.8419402434526;55.8419402434526;55.78873894834807;55.7738067466057;55.648032551902716;55.648032551902716;55.84530284014317;55.82739177035277;55.769142119577744;55.769142119577744;55.957466567607725;55.873444853455105;55.78316032295271;55.781120236227736;55.79079614722442;55.76393748542104;55.65728025153743;55.65728025153743;55.82984658298466;55.805714818440315;55.65728025153743;55.65728025153743;55.82984658298466;55.805714818440315;55.65728025153743;55.65728025153743;55.82984658298466;55.805714818440315;54.18335973166869;54.18335973166869;55.35755827478714;55.50537734531403;54.18335973166869;54.18335973166869;55.35755827478714;55.50537734531403;54.18335973166869;54.18335973166869;55.35755827478714;55.50537734531403;54.18335973166869;54.18335973166869;55.35755827478714;55.50537734531403
Weather and new source;57.30352679811163;57.226688845762865;55.40148339245405;55.40148339245405;55.61489875534089;55.78243920549471;55.73454495387581;55.73454495387581;55.58291900933971;55.71295866233163;55.62749690039951;55.62749690039951;55.465040499022436;55.645948584445165;55.64986007248704;55.64986007248704;55.465040499022436;55.64388656438866;55.52648489855871;55.52648489855871;55.44019740211369;55.62686011904762;55.64986007248704;55.64986007248704;55.465040499022436;55.64388656438866;55.299157109299436;55.299157109299436;55.50644395849812;55.671780567178054;55.187066974595844;55.18499699755185;55.587565633567216;55.78243920549471;55.631508923246315;55.631508923246315;55.45209051122078;55.641824352596586;55.301215917464994;55.301215917464994;55.500232666356446;55.67590182223875;55.301215917464994;55.301215917464994;55.500232666356446;55.67590182223875;55.301215917464994;55.301215917464994;55.500232666356446;55.67590182223875;54.2571877600074;54.25256540630489;54.89318033398638;55.08367908256025;54.2571877600074;54.25256540630489;54.89318033398638;55.08367908256025;54.2571877600074;54.25256540630489;54.89318033398638;55.08367908256025;54.2571877600074;54.25256540630489;54.89318033398638;55.08367908256025
Expanded weather and new source;57.76511670648778;57.676558546123765;55.47771581324607;55.47771581324607;55.7549619736598;55.55813953488372;55.60680843212325;55.60680843212325;55.69215067730562;55.56382236689142;55.53356044563116;55.53356044563116;55.722039244792875;55.62218193650351;55.410697010181046;55.410697010181046;55.719985154945256;55.63249372618273;55.12737677681373;55.12737677681373;55.70964749536178;55.652618372752194;55.410697010181046;55.410697010181046;55.719985154945256;55.63249372618273;55.10741510741511;55.10741510741511;55.682925697312854;55.58242269239712;55.40172596797268;55.40172596797268;55.761116520610194;55.57931932304259;55.417300336421036;55.417300336421036;55.719985154945256;55.61547043510599;55.13004111424216;55.13004111424216;55.68086883876357;55.57364088731805;55.13004111424216;55.13004111424216;55.68086883876357;55.57364088731805;55.13004111424216;55.13004111424216;55.68086883876357;55.57364088731805;53.78350707371556;53.78780828292229;55.16263940520446;55.26450234545539;53.78350707371556;53.78780828292229;55.16263940520446;55.26450234545539;53.78350707371556;53.78780828292229;55.16263940520446;55.26450234545539;53.78350707371556;53.78780828292229;55.16263940520446;55.26450234545539
Expanded weather;57.533992296626295;57.47281345849986;55.39838604953158;55.39631742498029;55.67221988893556;55.62301513170185;55.46234067207416;55.46234067207416;55.66808232603724;55.60228016073264;55.45197347061825;55.45197347061825;55.4355954383997;55.50310791232416;55.35026229051576;55.34818941504178;55.44077778816491;55.5109096855581;55.23261212740273;55.234690561307396;55.45747512960628;55.536356418997805;55.35026229051576;55.34818941504178;55.44077778816491;55.5109096855581;55.406157270029674;55.406157270029674;55.456840923968954;55.525442736320734;55.280022290331566;55.280022290331566;55.68568895525174;55.65619309958448;55.409166821302655;55.409166821302655;55.43818649217107;55.50259357913921;55.42632066728452;55.42632066728452;55.454247907607424;55.51350341089618;55.42632066728452;55.42632066728452;55.454247907607424;55.51350341089618;55.42632066728452;55.42632066728452;55.454247907607424;55.51350341089618;54.459766912754795;54.477508007984774;55.342977134857676;55.30762767248623;54.459766912754795;54.477508007984774;55.342977134857676;55.30762767248623;54.459766912754795;54.477508007984774;55.342977134857676;55.30762767248623;54.459766912754795;54.477508007984774;55.342977134857676;55.30762767248623
Weather, new source and alka;57.557280118255726;57.282271865316126;55.46385097749908;55.459240132792324;55.79391187508688;55.754878783664765;55.67256840653024;55.67256840653024;55.79659759885042;55.627725712164796;55.18323640727407;55.18323640727407;55.93024331575539;55.77644932573335;55.04306751875521;55.04306751875521;55.90930124942157;55.75594603365942;54.94439295644115;54.94439295644115;55.86519766688269;55.77609794555489;55.04306751875521;55.04306751875521;55.90930124942157;55.75594603365942;55.00231588698472;54.99189251795228;55.92765622831768;55.865999443981096;55.33724746891036;55.328986914505016;55.813414860107464;55.7667346560356;55.24223372781065;55.24223372781065;55.92726263187118;55.773420479302835;55.13568583865889;55.12529528926768;55.93079200592154;55.87063293485312;55.13568583865889;55.12529528926768;55.93079200592154;55.87063293485312;55.13568583865889;55.12529528926768;55.93079200592154;55.87063293485312;53.573590352470084;53.573590352470084;55.19468450887464;55.37704309063893;53.573590352470084;53.573590352470084;55.19468450887464;55.37704309063893;53.573590352470084;53.573590352470084;55.19468450887464;55.37704309063893;53.573590352470084;53.573590352470084;55.19468450887464;55.37704309063893
Expanded weather, new source and alka;57.269700332963374;57.183841562167416;55.261333703036186;55.261333703036186;55.43139172137636;55.481588380429216;55.30047577255301;55.30047577255301;55.498697432080384;55.541596873255166;55.10317386878875;55.10317386878875;55.31429103956013;55.41422048271363;54.85159552231873;54.84740093835648;55.30655982109579;55.419946895234546;54.78434467709736;54.78434467709736;55.34857728309971;55.40282372676017;54.85159552231873;54.84740093835648;55.30655982109579;55.419946895234546;54.410871900247514;54.410871900247514;55.22952043291659;55.37278657968313;54.949897940248654;54.949897940248654;55.316868592730664;55.39049038327202;54.940564635958395;54.940564635958395;55.32004099506196;55.422023476802686;54.53994310497598;54.53994310497598;55.240938564164765;55.36862708546929;54.53994310497598;54.53994310497598;55.240938564164765;55.36862708546929;54.53994310497598;54.53994310497598;55.240938564164765;55.36862708546929;53.53747203579418;53.54213273676361;54.8758865248227;55.15636634400596;53.53747203579418;53.54213273676361;54.8758865248227;55.15636634400596;53.53747203579418;53.54213273676361;54.8758865248227;55.15636634400596;53.53747203579418;53.54213273676361;54.8758865248227;55.15636634400596
Expanded weather and alka;57.61607761607762;57.563025210084035;55.94177610432546;55.94177610432546;55.75472576589999;55.74258346507951;56.07738614953357;56.07738614953357;55.86210105145622;55.74525493114998;55.968401230882286;55.968401230882286;55.775408538572556;55.71780681765335;55.844335066010395;55.844335066010395;55.75212998742958;55.6935528886408;55.70547062074047;55.70547062074047;55.7727209269859;55.74204946996466;55.844335066010395;55.844335066010395;55.75212998742958;55.6935528886408;55.82132035625746;55.82132035625746;55.66116857701985;55.70744408797136;55.7145486334775;55.7145486334775;55.73251373754307;55.712159270629826;55.934227448098476;55.934227448098476;55.748009498533314;55.70591517857143;55.83050224956386;55.83050224956386;55.64771668219944;55.70691338509461;55.83050224956386;55.83050224956386;55.64771668219944;55.70691338509461;55.83050224956386;55.83050224956386;55.64771668219944;55.70691338509461;54.58418225597333;54.58418225597333;55.16213194185613;55.388762373936885;54.58418225597333;54.58418225597333;55.16213194185613;55.388762373936885;54.58418225597333;54.58418225597333;55.16213194185613;55.388762373936885;54.58418225597333;54.58418225597333;55.16213194185613;55.388762373936885
Weather and alka;57.434213568884985;57.41828101160479;55.67527743242621;55.67527743242621;55.761977929878476;55.87468578344661;55.72382048331416;55.72382048331416;55.77692952239084;55.81016254482791;55.75746423149469;55.75746423149469;55.56488086911922;55.661740711388745;55.63331645103366;55.63331645103366;55.51252741100173;55.63688922044013;55.600608210846424;55.600608210846424;55.48089038219236;55.61410053156766;55.63331645103366;55.63331645103366;55.51252741100173;55.63688922044013;55.50484094052559;55.50484094052559;55.48971116606785;55.72746761114736;55.50018456995201;55.50018456995201;55.623922062182444;55.747099659879794;55.65937859608746;55.65937859608746;55.516147097255924;55.650876538605;55.54378856248273;55.54378856248273;55.492813141683776;55.745037741123845;55.54378856248273;55.54378856248273;55.492813141683776;55.745037741123845;55.54378856248273;55.54378856248273;55.492813141683776;55.745037741123845;54.05868196964087;54.062933826931975;55.22673253483712;55.31487792353298;54.05868196964087;54.062933826931975;55.22673253483712;55.31487792353298;54.05868196964087;54.062933826931975;55.22673253483712;55.31487792353298;54.05868196964087;54.062933826931975;55.22673253483712;55.31487792353298
Expanded all sources;27.027027027027028;27.271334456871458;25.447864033073035;25.447864033073035;23.7660529166022;23.86046511627907;25.623374636683494;25.623374636683494;23.866976024748645;23.953488372093023;25.680220116172425;25.680220116172425;23.644251626898047;23.833152426732827;25.63005956926837;25.63005956926837;23.659745894019213;23.833152426732827;25.03442999234889;25.03442999234889;23.454686289697907;23.92314843507902;25.63005956926837;25.63005956926837;23.659745894019213;23.833152426732827;25.580329871716554;25.572519083969464;23.57408555486671;23.76299053823484;25.470111603730317;25.470111603730317;23.796998298004024;23.89956602603844;25.709923664122137;25.709923664122137;23.659745894019213;23.82133995037221;25.435646591256496;25.4278728606357;23.57408555486671;23.751163512255662;25.435646591256496;25.4278728606357;23.57408555486671;23.751163512255662;25.435646591256496;25.4278728606357;23.57408555486671;23.751163512255662;17.0348005720642;17.0348005720642;21.38819095477387;22.051923678448546;17.0348005720642;17.0348005720642;21.38819095477387;22.051923678448546;17.0348005720642;17.0348005720642;21.38819095477387;22.051923678448546;17.0348005720642;17.0348005720642;21.38819095477387;22.051923678448546
All sources;26.62168379082963;26.726910706080563;25.057330683381746;25.057330683381746;23.283211905130987;23.679332715477294;25.385202135774218;25.385202135774218;23.384472338447235;23.74922791846819;25.2326468344775;25.2326468344775;23.37984496124031;23.593943139678615;25.003825554705433;25.003825554705433;23.391722213610294;23.605746948864514;24.47134538768005;24.47134538768005;23.431934334830416;23.617547111523017;25.003825554705433;25.003825554705433;23.391722213610294;23.605746948864514;25.35146699266504;25.35146699266504;23.278535980148884;23.512134796722833;25.084226646248087;25.084226646248087;23.25581395348837;23.648439913500155;25.04589963280294;25.04589963280294;23.3953488372093;23.60939431396786;25.450381679389313;25.450381679389313;23.294044665012407;23.531230674087816;25.450381679389313;25.450381679389313;23.294044665012407;23.531230674087816;25.450381679389313;25.450381679389313;23.294044665012407;23.531230674087816;16.693189051559518;16.719694559338212;22.040752838699643;22.109691492676845;16.693189051559518;16.719694559338212;22.040752838699643;22.109691492676845;16.693189051559518;16.719694559338212;22.040752838699643;22.109691492676845;16.693189051559518;16.719694559338212;22.040752838699643;22.109691492676845
