Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;5502;5471;4983;4983;5209;5180;4983;4983;5202;5179;5012;5011;5174;5151;5011;5011;5175;5155;5013;5013;5162;5147;5011;5011;5175;5155;4987;4987;5186;5156;5016;5016;5210;5184;5032;5031;5175;5154;4977;4977;5186;5157;4977;4977;5186;5157;4977;4977;5186;5157;4778;4780;5106;5161;4778;4780;5106;5161;4778;4780;5106;5161;4778;4780;5106;5161
Weather and new source;5405;5361;4995;4995;5154;5165;4993;4993;5136;5160;5043;5043;5077;5115;5028;5028;5077;5116;5016;5016;5076;5121;5028;5028;5077;5116;4964;4964;5093;5121;4949;4949;5140;5168;5028;5028;5075;5114;4967;4967;5091;5119;4967;4967;5091;5119;4967;4967;5091;5119;4802;4802;4968;5034;4802;4802;4968;5034;4802;4802;4968;5034;4802;4802;4968;5034
Expanded weather and new source;5453;5466;5027;5027;5159;5150;5057;5057;5154;5150;5059;5059;5134;5144;5012;5012;5134;5146;4972;4972;5131;5145;5012;5012;5134;5146;4902;4903;5124;5150;4995;4995;5160;5150;5024;5024;5134;5142;4899;4900;5124;5146;4899;4900;5124;5146;4899;4900;5124;5146;4741;4740;5078;5051;4741;4740;5078;5051;4741;4740;5078;5051;4741;4740;5078;5051
Expanded weather;5405;5390;5003;5003;5170;5172;5084;5084;5166;5156;5002;5002;5159;5148;5003;5003;5159;5147;4989;4988;5156;5139;5003;5003;5159;5147;4993;4993;5149;5155;4976;4976;5171;5167;4996;4996;5159;5149;4989;4989;5149;5152;4989;4989;5149;5152;4989;4989;5149;5152;4847;4851;5106;5088;4847;4851;5106;5088;4847;4851;5106;5088;4847;4851;5106;5088
Weather, new source and alka;5430;5415;5027;5027;5173;5218;5069;5069;5180;5214;4953;4953;5203;5208;4943;4943;5198;5207;4923;4923;5189;5210;4943;4943;5198;5207;4932;4928;5202;5197;4995;4991;5177;5223;4960;4960;5201;5209;4913;4909;5202;5196;4913;4909;5202;5196;4913;4909;5202;5196;4757;4757;5119;5118;4757;4757;5119;5118;4757;4757;5119;5118;4757;4757;5119;5118
Expanded weather, new source and alka;5450;5405;5014;5014;5139;5200;5021;5021;5163;5200;4992;4992;5139;5177;4941;4941;5137;5169;4919;4919;5137;5165;4941;4941;5137;5169;4855;4855;5123;5173;4963;4963;5124;5187;4955;4955;5138;5174;4874;4874;5124;5174;4874;4874;5124;5174;4874;4874;5124;5174;4774;4773;5062;5151;4774;4773;5062;5151;4774;4773;5062;5151;4774;4773;5062;5151
Expanded weather and alka;5464;5427;5018;5019;5159;5144;5097;5097;5178;5161;5077;5077;5172;5177;5051;5051;5169;5176;5010;5010;5169;5174;5051;5051;5169;5176;5045;5045;5159;5159;5003;5004;5157;5143;5046;5046;5169;5173;5015;5016;5159;5158;5015;5016;5159;5158;5015;5016;5159;5158;4863;4863;5138;5166;4863;4863;5138;5166;4863;4863;5138;5166;4863;4863;5138;5166
Weather and alka;5431;5544;5029;5029;5176;5233;5156;5156;5163;5215;5131;5131;5139;5202;5130;5130;5132;5199;5124;5124;5122;5187;5130;5130;5132;5199;5062;5062;5145;5220;5051;5051;5158;5216;5111;5111;5127;5199;5074;5074;5140;5226;5074;5074;5140;5226;5074;5074;5140;5226;4827;4828;5101;5161;4827;4828;5101;5161;4827;4828;5101;5161;4827;4828;5101;5161
Expanded all sources;891;913;767;767;775;768;766;766;772;774;748;752;747;760;772;772;748;762;750;750;741;762;772;772;748;762;760;756;751;756;768;768;776;769;772;772;747;761;764;760;750;755;764;760;750;755;764;760;750;755;465;465;681;681;465;465;681;681;465;465;681;681;465;465;681;681
All sources;836;846;734;734;702;720;761;761;701;723;750;750;702;720;738;738;702;719;718;718;704;717;738;738;702;719;733;733;704;720;739;739;702;720;738;738;702;719;736;736;704;720;736;736;704;720;736;736;704;720;450;452;658;647;450;452;658;647;450;452;658;647;450;452;658;647
