Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;4372;4384;4035;4035;4239;4224;4016;4016;4241;4216;4041;4041;4228;4200;4046;4046;4228;4201;4049;4049;4220;4193;4046;4046;4228;4201;4022;4022;4224;4204;4045;4045;4239;4227;4029;4029;4228;4200;4022;4022;4224;4205;4022;4022;4224;4205;4022;4022;4224;4205;3863;3863;4134;4173;3863;3863;4134;4173;3863;3863;4134;4173;3863;3863;4134;4173
Weather and new source;4293;4323;3981;3981;4159;4197;4004;4004;4159;4192;3991;3991;4122;4169;3988;3988;4124;4169;3983;3983;4117;4156;3988;3988;4124;4169;3920;3920;4127;4169;3961;3961;4146;4197;3979;3979;4123;4169;3923;3923;4126;4167;3923;3923;4126;4167;3923;3923;4126;4167;3880;3880;4069;4084;3880;3880;4069;4084;3880;3880;4069;4084;3880;3880;4069;4084
Expanded weather and new source;4376;4375;4099;4099;4172;4150;4072;4072;4177;4161;4083;4083;4175;4167;4067;4067;4174;4171;4051;4051;4174;4170;4067;4067;4174;4171;4014;4014;4164;4164;4066;4066;4174;4158;4070;4070;4174;4166;4018;4018;4164;4159;4018;4018;4164;4159;4018;4018;4164;4159;3792;3791;4123;4112;3792;3791;4123;4112;3792;3791;4123;4112;3792;3791;4123;4112
Expanded weather;4369;4375;4040;4039;4218;4229;4071;4071;4232;4239;4036;4036;4229;4234;4029;4029;4229;4232;4023;4024;4230;4236;4029;4029;4229;4232;4031;4031;4204;4220;4047;4047;4218;4230;4036;4036;4229;4236;4032;4032;4204;4222;4032;4032;4204;4222;4032;4032;4204;4222;3927;3929;4163;4174;3927;3929;4163;4174;3927;3929;4163;4174;3927;3929;4163;4174
Weather, new source and alka;4325;4339;4053;4053;4160;4170;4084;4084;4180;4191;4021;4021;4195;4210;4012;4012;4187;4209;4002;4002;4174;4203;4012;4012;4187;4209;3994;3992;4186;4185;4033;4031;4162;4171;4044;4044;4195;4209;4002;4000;4186;4184;4002;4000;4186;4184;4002;4000;4186;4184;3813;3813;4113;4140;3813;3813;4113;4140;3813;3813;4113;4140;3813;3813;4113;4140
Expanded weather, new source and alka;4322;4370;4042;4042;4102;4165;3996;3996;4139;4198;3967;3967;4129;4183;3941;3941;4127;4184;3943;3943;4130;4175;3941;3941;4127;4184;3892;3892;4100;4156;4020;4020;4092;4158;3948;3948;4127;4183;3908;3908;4100;4155;3908;3908;4100;4155;3908;3908;4100;4155;3834;3833;4035;4136;3834;3833;4035;4136;3834;3833;4035;4136;3834;3833;4035;4136
Expanded weather and alka;4406;4453;4063;4063;4193;4220;4096;4096;4212;4242;4070;4072;4198;4238;4057;4059;4195;4239;4024;4024;4195;4238;4057;4059;4195;4239;4092;4092;4184;4220;4083;4083;4187;4218;4066;4068;4193;4237;4087;4087;4182;4219;4087;4087;4182;4219;4087;4087;4182;4219;3984;3984;4151;4186;3984;3984;4151;4186;3984;3984;4151;4186;3984;3984;4151;4186
Weather and alka;4397;4424;4039;4039;4187;4199;4085;4085;4206;4198;4095;4095;4185;4190;4098;4098;4178;4186;4090;4090;4173;4181;4098;4098;4178;4186;4063;4063;4157;4182;4025;4025;4171;4186;4081;4081;4177;4187;4060;4060;4156;4185;4060;4060;4156;4185;4060;4060;4156;4185;3896;3897;4107;4137;3896;3897;4107;4137;3896;3897;4107;4137;3896;3897;4107;4137
Expanded all sources;590;590;489;489;503;509;502;502;517;516;500;500;512;517;499;499;511;517;490;490;506;513;499;499;511;517;496;494;502;508;500;500;503;509;503;503;511;516;498;496;502;508;498;496;502;508;498;496;502;508;297;297;420;437;297;297;420;437;297;297;420;437;297;297;420;437
All sources;565;563;506;506;474;489;518;518;480;492;507;507;474;490;501;501;474;489;484;484;480;488;501;501;474;489;497;497;471;486;517;517;474;488;498;498;474;489;502;502;471;487;502;502;471;487;502;502;471;487;307;307;446;441;307;307;446;441;307;307;446;441;307;307;446;441
