Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;721;721;661;661;633;645;650;650;637;650;635;635;635;653;628;628;635;651;634;634;636;652;628;628;635;651;656;656;631;646;660;660;632;643;637;637;635;653;657;657;632;646;657;657;632;646;657;657;632;646;667;667;614;626;667;667;614;626;667;667;614;626;667;667;614;626
Weather and new source;722;728;646;646;640;637;660;660;652;638;648;648;659;638;640;640;657;638;645;645;657;642;640;640;657;638;650;650;651;638;650;650;647;637;641;641;658;638;645;645;652;638;645;645;652;638;645;645;652;638;638;638;650;632;638;638;650;632;638;638;650;632;638;638;650;632
Expanded weather and new source;677;684;639;639;607;636;643;643;608;634;653;653;612;629;654;654;612;628;655;655;606;627;654;654;612;628;661;661;607;627;643;643;607;632;658;658;612;631;664;664;607;630;664;664;607;630;664;664;607;630;666;665;613;627;666;665;613;627;666;665;613;627;666;665;613;627
Expanded weather;702;716;645;645;629;632;659;659;633;637;662;662;629;637;659;659;630;638;655;655;626;641;659;659;630;638;664;664;626;633;650;650;629;634;659;659;630;639;663;663;626;632;663;663;626;632;663;663;626;632;633;632;620;630;633;632;620;630;633;632;620;630;633;632;620;630
Weather, new source and alka;733;697;647;647;635;628;642;642;632;623;653;653;629;630;646;646;633;631;651;651;630;630;646;646;633;631;659;660;629;639;641;641;635;621;634;634;631;631;665;666;628;637;665;666;628;637;665;666;628;637;663;663;621;623;663;663;621;623;663;663;621;623;663;663;621;623
Expanded weather, new source and alka;707;714;648;648;640;641;635;635;631;631;665;665;630;638;666;666;624;639;672;672;624;639;666;666;624;639;678;678;636;650;629;629;642;642;659;659;626;640;676;676;638;651;676;676;638;651;676;676;638;651;612;612;646;635;612;612;646;635;612;612;646;635;612;612;646;635
Expanded weather and alka;685;704;675;675;646;650;656;656;640;651;645;645;636;656;642;642;638;653;645;645;637;655;642;642;638;653;644;644;640;650;656;656;647;650;651;651;639;655;657;657;639;650;657;657;639;650;657;657;639;650;656;656;614;637;656;656;614;637;656;656;614;637;656;656;614;637
Weather and alka;735;704;617;617;658;644;612;612;663;650;609;609;656;652;605;605;664;653;617;617;662;652;605;605;664;653;612;612;659;647;598;598;664;650;616;616;663;654;607;607;658;646;607;607;658;646;607;607;658;646;621;620;638;661;621;620;638;661;621;620;638;661;621;620;638;661
Expanded all sources;144;143;113;113;87;88;111;111;85;86;121;121;87;85;119;119;87;85;119;119;87;88;119;119;87;85;121;121;90;89;113;113;87;88;119;119;87;85;117;117;90;89;117;117;90;89;117;117;90;89;80;80;80;87;80;80;80;87;80;80;80;87;80;80;80;87
All sources;145;143;102;102;91;91;100;100;92;90;109;109;96;89;116;116;96;89;115;115;95;87;116;116;96;89;113;113;93;89;102;102;91;90;117;117;96;88;114;114;93;89;114;114;93;89;114;114;93;89;78;78;87;97;78;78;87;97;78;78;87;97;78;78;87;97
Expanded no TV;572;549;538;538;544;540;519;519;542;535;556;556;554;535;531;531;557;537;532;532;556;538;531;531;557;537;571;571;557;541;518;518;544;542;538;538;557;535;570;570;557;539;570;570;557;539;570;570;557;539;527;527;532;536;527;527;532;536;527;527;532;536;527;527;532;536
No TV;582;582;506;506;533;544;525;525;538;543;551;551;542;542;534;534;544;542;527;527;541;546;534;534;544;542;524;524;543;543;497;497;534;544;540;540;544;543;520;520;543;544;520;520;543;544;520;520;543;544;513;513;515;525;513;513;515;525;513;513;515;525;513;513;515;525
