Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;11.187845303867404;13.629842180774748;18.236173393124066;18.236173393124066;18.7039764359352;16.789396170839467;15.868263473053892;15.868263473053892;18.529411764705884;16.84053651266766;16.666666666666664;16.666666666666664;19.7869101978691;19.076923076923077;16.64050235478807;16.64050235478807;19.7869101978691;19.076923076923077;13.406940063091483;13.406940063091483;19.84;20.06472491909385;16.64050235478807;16.64050235478807;19.7869101978691;19.076923076923077;17.1875;17.1875;20.06125574272588;19.34984520123839;18.208955223880597;18.208955223880597;18.73156342182891;16.789396170839467;16.614420062695924;16.614420062695924;19.7869101978691;19.076923076923077;17.1875;17.1875;20.06125574272588;19.34984520123839;17.1875;17.1875;20.06125574272588;19.34984520123839;17.1875;17.1875;20.06125574272588;19.34984520123839;17.304747320061256;17.304747320061256;19.662058371735792;19.040247678018577;17.304747320061256;17.304747320061256;19.662058371735792;19.040247678018577;17.304747320061256;17.304747320061256;19.662058371735792;19.040247678018577;17.304747320061256;17.304747320061256;19.662058371735792;19.040247678018577
Weather and new source;17.467948717948715;18.108974358974358;14.30635838150289;14.30635838150289;16.586921850079744;17.957166392092258;13.872832369942195;13.872832369942195;16.323296354992074;19.00826446280992;15.483870967741936;15.483870967741936;19.047619047619047;19.270833333333336;15.483870967741936;15.483870967741936;19.047619047619047;19.270833333333336;7.917383820998279;7.917383820998279;15.502555366269167;14.60101867572156;15.483870967741936;15.483870967741936;19.047619047619047;19.270833333333336;15.96774193548387;15.96774193548387;19.33884297520661;19.791666666666664;14.327062228654125;14.327062228654125;16.586921850079744;17.957166392092258;15.483870967741936;15.483870967741936;19.047619047619047;19.270833333333336;15.96774193548387;15.96774193548387;19.33884297520661;19.791666666666664;15.96774193548387;15.96774193548387;19.33884297520661;19.791666666666664;15.96774193548387;15.96774193548387;19.33884297520661;19.791666666666664;11.928104575163399;11.928104575163399;18.360655737704917;17.5;11.928104575163399;11.928104575163399;18.360655737704917;17.5;11.928104575163399;11.928104575163399;18.360655737704917;17.5;11.928104575163399;11.928104575163399;18.360655737704917;17.5
Expanded weather and new source;17.984496124031008;17.91277258566978;14.954682779456194;14.954682779456194;17.425431711145997;19.426751592356688;13.333333333333334;13.333333333333334;17.34375;17.142857142857142;12.792511700468017;12.792511700468017;21.322314049586776;19.736842105263158;12.792511700468017;12.792511700468017;21.322314049586776;19.736842105263158;9.91150442477876;9.91150442477876;17.310924369747898;17.304492512479204;12.792511700468017;12.792511700468017;21.322314049586776;19.736842105263158;12.71585557299843;12.71585557299843;21.818181818181817;20.263591433278417;14.954682779456194;14.954682779456194;17.425431711145997;19.426751592356688;12.673879443585781;12.673879443585781;21.322314049586776;19.736842105263158;12.71585557299843;12.71585557299843;21.818181818181817;20.263591433278417;12.71585557299843;12.71585557299843;21.818181818181817;20.263591433278417;12.71585557299843;12.71585557299843;21.818181818181817;20.263591433278417;13.365539452495975;13.365539452495975;20.59800664451827;20.798668885191347;13.365539452495975;13.365539452495975;20.59800664451827;20.798668885191347;13.365539452495975;13.365539452495975;20.59800664451827;20.798668885191347;13.365539452495975;13.365539452495975;20.59800664451827;20.798668885191347
Expanded weather;17.160686427457097;18.9792663476874;14.864864864864865;14.864864864864865;17.119999999999997;17.0;12.960235640648014;12.960235640648014;19.249592169657422;19.015280135823428;16.129032258064516;16.129032258064516;18.729641693811075;16.27906976744186;16.129032258064516;16.129032258064516;18.729641693811075;15.448504983388705;10.666666666666668;10.666666666666668;14.358108108108109;14.756944444444445;16.129032258064516;16.129032258064516;18.729641693811075;15.448504983388705;17.746913580246915;17.746913580246915;18.86178861788618;16.27906976744186;13.561847988077497;13.561847988077497;17.119999999999997;17.0;16.129032258064516;16.129032258064516;18.729641693811075;15.448504983388705;17.746913580246915;17.746913580246915;18.86178861788618;16.27906976744186;17.746913580246915;17.746913580246915;18.86178861788618;16.27906976744186;17.746913580246915;17.746913580246915;18.86178861788618;16.27906976744186;18.85369532428356;18.85369532428356;18.39258114374034;14.918032786885247;18.85369532428356;18.85369532428356;18.39258114374034;14.918032786885247;18.85369532428356;18.85369532428356;18.39258114374034;14.918032786885247;18.85369532428356;18.85369532428356;18.39258114374034;14.918032786885247
Weather, new source and alka;22.366288492706644;19.59564541213064;17.210682492581604;17.210682492581604;16.429699842022117;16.401273885350317;19.478527607361965;19.478527607361965;16.27172195892575;16.24203821656051;14.18918918918919;14.18918918918919;19.318181818181817;17.18494271685761;14.165261382799327;14.165261382799327;19.155844155844157;18.360655737704917;10.181818181818182;10.181818181818182;17.845117845117844;17.863105175292155;14.165261382799327;14.165261382799327;19.155844155844157;18.360655737704917;14.402618657937808;14.402618657937808;19.480519480519483;18.88341543513957;17.261904761904763;17.261904761904763;16.429699842022117;17.197452229299362;14.117647058823529;14.117647058823529;19.155844155844157;18.360655737704917;14.402618657937808;14.402618657937808;19.480519480519483;18.88341543513957;14.402618657937808;14.402618657937808;19.480519480519483;18.88341543513957;14.402618657937808;14.402618657937808;19.480519480519483;18.88341543513957;12.038523274478331;12.038523274478331;19.24342105263158;18.196994991652755;12.038523274478331;12.038523274478331;19.24342105263158;18.196994991652755;12.038523274478331;12.038523274478331;19.24342105263158;18.196994991652755;12.038523274478331;12.038523274478331;19.24342105263158;18.196994991652755
Expanded weather, new source and alka;19.52755905511811;20.158730158730158;16.666666666666664;16.666666666666664;16.216216216216218;16.451612903225808;17.151607963246555;17.151607963246555;16.00633914421553;16.7741935483871;11.532125205930807;11.532125205930807;16.974789915966387;18.41216216216216;11.86161449752883;11.86161449752883;16.974789915966387;18.41216216216216;9.764918625678119;9.764918625678119;16.4983164983165;17.03204047217538;11.86161449752883;11.86161449752883;16.974789915966387;18.41216216216216;11.608623548922056;11.608623548922056;17.647058823529413;18.91891891891892;17.484662576687114;17.484662576687114;16.05723370429253;16.451612903225808;11.881188118811881;11.881188118811881;16.974789915966387;18.41216216216216;11.589403973509933;11.589403973509933;17.647058823529413;18.91891891891892;11.589403973509933;11.589403973509933;17.647058823529413;18.91891891891892;11.589403973509933;11.589403973509933;17.647058823529413;18.91891891891892;12.171052631578947;12.171052631578947;17.93570219966159;19.047619047619047;12.171052631578947;12.171052631578947;17.93570219966159;19.047619047619047;12.171052631578947;12.171052631578947;17.93570219966159;19.047619047619047;12.171052631578947;12.171052631578947;17.93570219966159;19.047619047619047
Expanded weather and alka;16.473988439306357;18.98355754857997;12.364760432766616;12.364760432766616;20.673076923076923;22.0949263502455;12.982998454404946;12.982998454404946;21.634615384615387;21.1038961038961;16.25;16.25;20.064205457463885;19.292604501607716;16.275430359937403;16.275430359937403;20.064205457463885;19.292604501607716;13.89776357827476;13.89776357827476;16.346153846153847;18.327974276527332;16.275430359937403;16.275430359937403;20.064205457463885;19.292604501607716;16.246056782334385;16.246056782334385;19.903691813804173;19.774919614147908;12.89308176100629;12.89308176100629;20.673076923076923;22.0949263502455;15.806451612903224;15.806451612903224;20.064205457463885;19.292604501607716;16.246056782334385;16.246056782334385;19.903691813804173;19.774919614147908;16.246056782334385;16.246056782334385;19.903691813804173;19.774919614147908;16.246056782334385;16.246056782334385;19.903691813804173;19.774919614147908;14.374034003091191;14.374034003091191;18.53582554517134;17.75700934579439;14.374034003091191;14.374034003091191;18.53582554517134;17.75700934579439;14.374034003091191;14.374034003091191;18.53582554517134;17.75700934579439;14.374034003091191;14.374034003091191;18.53582554517134;17.75700934579439
Weather and alka;17.39766081871345;14.529914529914532;16.516516516516518;16.516516516516518;19.01931649331352;18.74062968515742;16.442451420029897;16.442451420029897;18.962962962962962;18.74062968515742;12.209302325581394;12.209302325581394;19.047619047619047;18.452380952380953;12.028985507246377;12.028985507246377;19.047619047619047;18.452380952380953;12.01780415430267;12.01780415430267;20.278637770897834;19.444444444444446;12.028985507246377;12.028985507246377;19.047619047619047;18.452380952380953;13.828238719068414;13.828238719068414;19.076005961251862;18.479880774962744;17.26726726726727;17.26726726726727;19.01931649331352;18.74062968515742;11.644832605531295;11.644832605531295;19.047619047619047;18.452380952380953;13.828238719068414;13.828238719068414;19.076005961251862;18.479880774962744;13.828238719068414;13.828238719068414;19.076005961251862;18.479880774962744;13.828238719068414;13.828238719068414;19.076005961251862;18.479880774962744;14.285714285714285;14.285714285714285;18.910741301059;18.24925816023739;14.285714285714285;14.285714285714285;18.910741301059;18.24925816023739;14.285714285714285;14.285714285714285;18.910741301059;18.24925816023739;14.285714285714285;14.285714285714285;18.910741301059;18.24925816023739
Expanded all sources;19.84251968503937;17.524115755627008;19.435736677115987;19.435736677115987;15.572519083969466;16.37795275590551;19.248826291079812;19.248826291079812;14.961832061068703;16.4576802507837;19.329073482428115;19.329073482428115;13.841368584758943;13.62179487179487;19.329073482428115;19.329073482428115;13.841368584758943;13.418530351437699;7.9722703639514725;7.9722703639514725;9.651898734177216;13.32263242375602;19.329073482428115;19.329073482428115;13.841368584758943;13.418530351437699;19.58266452648475;19.58266452648475;13.996889580093313;14.057507987220447;19.6875;19.6875;15.572519083969466;16.16954474097331;19.329073482428115;19.329073482428115;13.841368584758943;13.62179487179487;18.31442463533225;18.31442463533225;13.996889580093313;14.262820512820513;18.31442463533225;18.31442463533225;13.996889580093313;14.262820512820513;18.31442463533225;18.31442463533225;13.996889580093313;14.262820512820513;16.666666666666664;16.666666666666664;12.334801762114537;12.781954887218044;16.666666666666664;16.666666666666664;12.334801762114537;12.781954887218044;16.666666666666664;16.666666666666664;12.334801762114537;12.781954887218044;16.666666666666664;16.666666666666664;12.334801762114537;12.781954887218044
All sources;21.070234113712374;19.024390243902438;21.163166397415186;21.163166397415186;21.0896309314587;21.06135986733002;19.776714513556616;19.776714513556616;19.137931034482758;21.192052980132452;16.7479674796748;16.7479674796748;18.384879725085913;17.616580310880828;16.72077922077922;16.72077922077922;18.384879725085913;17.616580310880828;9.515570934256056;9.515570934256056;11.442786069651742;13.59724612736661;16.72077922077922;16.72077922077922;18.384879725085913;17.616580310880828;16.910569105691057;16.910569105691057;18.556701030927837;18.307426597582037;17.791411042944784;17.791411042944784;21.0896309314587;21.06135986733002;16.883116883116884;16.883116883116884;18.384879725085913;17.616580310880828;16.910569105691057;16.910569105691057;18.556701030927837;18.307426597582037;16.910569105691057;16.910569105691057;18.556701030927837;18.307426597582037;16.910569105691057;16.910569105691057;18.556701030927837;18.307426597582037;12.207357859531772;12.207357859531772;16.225165562913908;16.11295681063123;12.207357859531772;12.207357859531772;16.225165562913908;16.11295681063123;12.207357859531772;12.207357859531772;16.225165562913908;16.11295681063123;12.207357859531772;12.207357859531772;16.225165562913908;16.11295681063123
