Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;90.92627217140836;89.95350952549396;82.5109694511135;82.5109694511135;88.00370124323811;85.53858788103945;77.9410547230731;77.9410547230731;88.09605554283971;84.16205541325303;69.35049386411254;69.35049386411254;84.83796968465067;80.83199217715485;69.35049386411254;69.35049386411254;84.83796968465067;80.83199217715485;65.25531141699831;65.25531141699831;79.61778817809946;75.93307780165321;69.35049386411254;69.35049386411254;84.83796968465067;80.83199217715485;71.23615683926968;71.23615683926968;84.70421256915546;80.73473978599222;82.5109694511135;82.5109694511135;87.85232988516655;85.53858788103945;69.58947545645017;69.58947545645017;84.83796968465067;80.83199217715485;71.23615683926968;71.23615683926968;84.70421256915546;80.73473978599222;71.23615683926968;71.23615683926968;84.70421256915546;80.73473978599222;71.23615683926968;71.23615683926968;84.70421256915546;80.73473978599222;77.08919121058064;77.08919121058064;83.65565650616486;79.93626378080415;77.08919121058064;77.08919121058064;83.65565650616486;79.93626378080415;77.08919121058064;77.08919121058064;83.65565650616486;79.93626378080415;77.08919121058064;77.08919121058064;83.65565650616486;79.93626378080415
Weather and new source;80.73885441059933;81.74517758092557;83.97443023902169;83.97443023902169;76.00972309143515;73.60429707325325;83.45330739299611;83.45330739299611;76.9877995563475;73.91928159505214;70.71301795344392;70.71301795344392;73.94981338839037;68.76248816910295;70.48902655471363;70.48902655471363;74.16377705427178;68.9960388403968;45.708179538239776;45.708179538239776;65.02143795385264;63.291999828964805;70.48902655471363;70.48902655471363;74.16377705427178;68.9960388403968;71.15844084920472;71.15844084920472;73.94981338839037;70.0563591631624;83.80164906429498;83.80164906429498;76.21788069258886;73.82657568751291;70.48902655471363;70.48902655471363;74.16377705427178;68.9960388403968;71.15844084920472;71.15844084920472;73.94981338839037;70.0563591631624;71.15844084920472;71.15844084920472;73.94981338839037;70.0563591631624;71.15844084920472;71.15844084920472;73.94981338839037;70.0563591631624;64.11871117482421;64.11871117482421;73.65107271623889;71.23992415596553;64.11871117482421;64.11871117482421;73.65107271623889;71.23992415596553;64.11871117482421;64.11871117482421;73.65107271623889;71.23992415596553;64.11871117482421;64.11871117482421;73.65107271623889;71.23992415596553
Expanded weather and new source;84.07042987731089;84.41299126840802;78.30015383223238;78.30015383223238;78.89523715707038;80.59041222303615;77.5584602017302;77.5584602017302;79.30108850908732;78.26895700863624;68.52806113506502;68.52806113506502;78.25325077955806;78.10566802345389;68.76248816910295;68.76248816910295;78.25325077955806;78.10566802345389;42.39259079118028;42.39259079118028;68.19692389906649;71.76164888783009;68.76248816910295;68.76248816910295;78.25325077955806;78.10566802345389;68.76248816910295;68.76248816910295;78.64684896792804;78.45049918674347;78.30015383223238;78.30015383223238;78.89523715707038;80.59041222303615;69.22871314894661;69.22871314894661;78.25325077955806;78.10566802345389;68.76248816910295;68.76248816910295;78.64684896792804;78.45049918674347;68.76248816910295;68.76248816910295;78.64684896792804;78.45049918674347;68.76248816910295;68.76248816910295;78.64684896792804;78.45049918674347;64.65804325726505;64.65804325726505;76.21157149367266;76.00694079293301;64.65804325726505;64.65804325726505;76.21157149367266;76.00694079293301;64.65804325726505;64.65804325726505;76.21157149367266;76.00694079293301;64.65804325726505;64.65804325726505;76.21157149367266;76.00694079293301
Expanded weather;83.78135108527495;81.76234515686384;76.0375392889261;76.0375392889261;81.57090818776389;75.60906094326997;75.16383370878559;75.16383370878559;81.22589379219917;74.8428614187369;71.78606851300832;71.78606851300832;80.13776192219602;73.39078452891683;71.78606851300832;71.78606851300832;80.13776192219602;72.87192648398046;51.737612932315756;51.737612932315756;64.36574168885248;62.5860520802155;71.78606851300832;71.78606851300832;80.13776192219602;72.87192648398046;70.96368934410498;70.96368934410498;79.99719640460128;73.86566334530792;74.76724016689326;74.76724016689326;81.57090818776389;75.60906094326997;71.78606851300832;71.78606851300832;80.13776192219602;72.87192648398046;70.96368934410498;70.96368934410498;79.99719640460128;73.86566334530792;70.96368934410498;70.96368934410498;79.99719640460128;73.86566334530792;70.96368934410498;70.96368934410498;79.99719640460128;73.86566334530792;78.2083480721613;78.2083480721613;82.31340643792005;73.29628781906192;78.2083480721613;78.2083480721613;82.31340643792005;73.29628781906192;78.2083480721613;78.2083480721613;82.31340643792005;73.29628781906192;78.2083480721613;78.2083480721613;82.31340643792005;73.29628781906192
Weather, new source and alka;83.47447928587778;84.32029689378663;83.7629895155224;83.7629895155224;76.09412186921537;74.44387343073195;84.13330845903737;84.13330845903737;76.24849706987796;74.60008646779075;62.36560516076183;62.36560516076183;76.92229857144171;74.70411802853437;62.87075909618404;62.87075909618404;76.92229857144171;75.49564572910876;39.48319699763613;39.48319699763613;68.84464433102565;70.77710325332698;62.87075909618404;62.87075909618404;76.92229857144171;75.49564572910876;66.78773133305812;66.78773133305812;76.97672711254681;76.23134227765746;84.10844794442949;84.10844794442949;76.30614634883457;75.51528889215182;62.87075909618404;62.87075909618404;76.92229857144171;75.49564572910876;66.78773133305812;66.78773133305812;76.97672711254681;75.7659639361535;66.78773133305812;66.78773133305812;76.97672711254681;75.7659639361535;66.78773133305812;66.78773133305812;76.97672711254681;75.7659639361535;66.05914748223556;66.05914748223556;74.8206889131955;73.20664728460883;66.05914748223556;66.05914748223556;74.8206889131955;73.20664728460883;66.05914748223556;66.05914748223556;74.8206889131955;73.20664728460883;66.05914748223556;66.05914748223556;74.8206889131955;73.20664728460883
Expanded weather, new source and alka;83.77980068475301;83.60861243159209;82.8421424980917;82.8421424980917;78.24620643309301;76.73554568984727;81.19589298680022;81.19589298680022;78.62452606340172;77.13322134421227;62.707194158281766;62.707194158281766;71.92137110070567;72.10023073844818;62.707194158281766;62.707194158281766;72.13612082041813;72.9652870607668;41.965671023451904;41.965671023451904;66.89210720515229;68.75041929424393;62.707194158281766;62.707194158281766;72.13612082041813;72.9652870607668;62.45393304650405;62.45393304650405;72.56314713447208;73.17942255787618;81.75302068400573;81.75302068400573;78.43578107240342;76.93481204682973;62.707194158281766;62.707194158281766;72.13612082041813;72.9652870607668;62.45393304650405;62.45393304650405;72.56314713447208;73.17942255787618;62.45393304650405;62.45393304650405;72.56314713447208;73.17942255787618;62.45393304650405;62.45393304650405;72.56314713447208;73.17942255787618;63.7914225851969;63.7914225851969;72.48587662601958;76.5287505404237;63.7914225851969;63.7914225851969;72.48587662601958;76.5287505404237;63.7914225851969;63.7914225851969;72.48587662601958;76.5287505404237;63.7914225851969;63.7914225851969;72.48587662601958;76.5287505404237
Expanded weather and alka;91.0557169697032;89.9025262201505;76.17632223663352;76.17632223663352;83.68137563080896;81.0880498870066;76.28610877010526;76.28610877010526;85.23960679909891;82.0700218444945;75.88054566695183;75.88054566695183;83.1042221312035;80.8246296675541;74.16590777382234;74.16590777382234;83.1042221312035;80.8246296675541;64.45437904167932;64.45437904167932;77.91785559878946;78.11284046692607;74.16590777382234;74.16590777382234;83.1042221312035;80.8246296675541;75.55385084614176;75.55385084614176;82.83817307528928;81.0880498870066;73.68643344326524;73.68643344326524;83.68137563080896;81.0880498870066;67.7772373540856;67.7772373540856;83.1042221312035;80.8246296675541;75.55385084614176;75.55385084614176;82.83817307528928;81.0880498870066;75.55385084614176;75.55385084614176;82.83817307528928;81.0880498870066;75.55385084614176;75.55385084614176;82.83817307528928;81.0880498870066;74.98429515728283;74.98429515728283;83.88318104315131;81.62680890132471;74.98429515728283;74.98429515728283;83.88318104315131;81.62680890132471;74.98429515728283;74.98429515728283;83.88318104315131;81.62680890132471;74.98429515728283;74.98429515728283;83.88318104315131;81.62680890132471
Weather and alka;91.52529182879377;91.47299526306885;78.30015383223238;78.30015383223238;87.26724045916338;86.79129025684816;78.49787349561126;78.49787349561126;87.6729762148562;87.0449469978448;75.25321158320787;75.25321158320787;87.20341710306896;86.88550169197312;75.03275130516394;75.03275130516394;87.20341710306896;86.88550169197312;70.41476137729936;70.41476137729936;82.83559182789098;82.54991621460422;75.03275130516394;75.03275130516394;87.20341710306896;86.88550169197312;77.19335979508438;77.19335979508438;86.95091066109046;86.63069951580194;78.49787349561126;78.49787349561126;87.26724045916338;86.79129025684816;74.46196329088258;74.46196329088258;87.20341710306896;86.88550169197312;77.19335979508438;77.19335979508438;86.95091066109046;86.63069951580194;77.19335979508438;77.19335979508438;86.95091066109046;86.63069951580194;77.19335979508438;77.19335979508438;86.95091066109046;86.63069951580194;73.81722971744426;73.81722971744426;85.00880809957992;86.30660702329779;73.81722971744426;73.81722971744426;85.00880809957992;86.30660702329779;73.81722971744426;73.81722971744426;85.00880809957992;86.30660702329779;73.81722971744426;73.81722971744426;85.00880809957992;86.30660702329779
Expanded all sources;86.00348920404983;81.97291751359931;81.79048989106792;81.79048989106792;79.26090572158968;79.37563049430753;81.39200597554196;81.39200597554196;78.63720829953903;80.32812725176538;75.4249436821626;75.4249436821626;76.4115358205539;74.2994803227744;75.4249436821626;75.4249436821626;76.4115358205539;74.08751817129328;43.21057303808916;43.21057303808916;62.9035287803569;68.97213589951166;75.4249436821626;75.4249436821626;76.4115358205539;74.08751817129328;75.88570358198027;75.88570358198027;76.46690780219579;74.77721998332407;81.9677103463815;81.9677103463815;79.26090572158968;79.18242902435509;75.4249436821626;75.4249436821626;76.4115358205539;74.2994803227744;72.91053916463227;72.91053916463227;76.46690780219579;74.98610339077266;72.91053916463227;72.91053916463227;76.46690780219579;74.98610339077266;72.91053916463227;72.91053916463227;76.46690780219579;74.98610339077266;77.2215795562099;77.2215795562099;80.78781398203978;79.12849842951573;77.2215795562099;77.2215795562099;80.78781398203978;79.12849842951573;77.2215795562099;77.2215795562099;80.78781398203978;79.12849842951573;77.2215795562099;77.2215795562099;80.78781398203978;79.12849842951573
All sources;83.09652315802686;83.72760968737421;79.72387193665097;79.72387193665097;72.54331738462913;78.05907702606586;79.88774802153692;79.88774802153692;72.18614718614718;78.53787261221437;67.74687969363467;67.74687969363467;68.76213371665551;68.3061125017555;68.2211838279857;68.2211838279857;68.76213371665551;68.3061125017555;46.04636906231641;46.04636906231641;58.64326335143456;60.050217832319;68.2211838279857;68.2211838279857;68.76213371665551;68.3061125017555;68.2211838279857;68.2211838279857;68.60120029018005;69.054606608191;81.4601586419263;81.4601586419263;72.54331738462913;78.05907702606586;68.45701838367691;68.45701838367691;68.76213371665551;68.3061125017555;68.2211838279857;68.2211838279857;68.60120029018005;69.054606608191;68.2211838279857;68.2211838279857;68.60120029018005;69.054606608191;68.2211838279857;68.2211838279857;68.60120029018005;69.054606608191;61.60147450337907;61.60147450337907;70.00924018548189;70.45853360799573;61.60147450337907;61.60147450337907;70.00924018548189;70.45853360799573;61.60147450337907;61.60147450337907;70.00924018548189;70.45853360799573;61.60147450337907;61.60147450337907;70.00924018548189;70.45853360799573
