Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;34.21052631578947;33.33333333333333;27.00729927007299;27.00729927007299;30.555555555555557;29.45205479452055;26.811594202898554;26.811594202898554;30.555555555555557;28.27586206896552;21.374045801526716;21.374045801526716;28.05755395683453;24.46043165467626;21.374045801526716;21.374045801526716;28.05755395683453;24.46043165467626;20.47244094488189;20.47244094488189;24.817518248175183;22.962962962962962;21.374045801526716;21.374045801526716;28.05755395683453;24.46043165467626;22.30769230769231;22.30769230769231;28.05755395683453;24.46043165467626;27.00729927007299;27.00729927007299;30.555555555555557;29.45205479452055;21.374045801526716;21.374045801526716;28.05755395683453;24.46043165467626;22.30769230769231;22.30769230769231;28.05755395683453;24.46043165467626;22.30769230769231;22.30769230769231;28.05755395683453;24.46043165467626;22.30769230769231;22.30769230769231;28.05755395683453;24.46043165467626;25.185185185185183;25.185185185185183;28.05755395683453;24.817518248175183;25.185185185185183;25.185185185185183;28.05755395683453;24.817518248175183;25.185185185185183;25.185185185185183;28.05755395683453;24.817518248175183;25.185185185185183;25.185185185185183;28.05755395683453;24.817518248175183
Weather and new source;24.817518248175183;24.637681159420293;32.0;32.0;23.88059701492537;19.84732824427481;32.6530612244898;32.6530612244898;23.703703703703706;19.083969465648856;24.06015037593985;24.06015037593985;17.692307692307693;19.402985074626866;24.06015037593985;24.06015037593985;17.692307692307693;19.402985074626866;12.195121951219512;12.195121951219512;18.11023622047244;18.75;24.06015037593985;24.06015037593985;17.692307692307693;19.402985074626866;24.62686567164179;24.62686567164179;17.692307692307693;19.402985074626866;32.666666666666664;32.666666666666664;23.88059701492537;19.84732824427481;24.06015037593985;24.06015037593985;17.692307692307693;19.402985074626866;24.62686567164179;24.62686567164179;17.692307692307693;19.402985074626866;24.62686567164179;24.62686567164179;17.692307692307693;19.402985074626866;24.62686567164179;24.62686567164179;17.692307692307693;19.402985074626866;23.52941176470588;23.52941176470588;18.3206106870229;21.641791044776117;23.52941176470588;23.52941176470588;18.3206106870229;21.641791044776117;23.52941176470588;23.52941176470588;18.3206106870229;21.641791044776117;23.52941176470588;23.52941176470588;18.3206106870229;21.641791044776117
Expanded weather and new source;29.629629629629626;29.629629629629626;27.00729927007299;27.00729927007299;23.703703703703706;22.962962962962962;28.57142857142857;28.57142857142857;23.703703703703706;22.794117647058822;25.185185185185183;25.185185185185183;24.06015037593985;24.62686567164179;25.185185185185183;25.185185185185183;24.06015037593985;24.62686567164179;10.084033613445378;10.084033613445378;18.4;22.83464566929134;25.185185185185183;25.185185185185183;24.06015037593985;24.62686567164179;25.185185185185183;25.185185185185183;24.06015037593985;24.81203007518797;27.00729927007299;27.00729927007299;23.703703703703706;22.962962962962962;25.185185185185183;25.185185185185183;24.06015037593985;24.62686567164179;25.185185185185183;25.185185185185183;24.06015037593985;24.81203007518797;25.185185185185183;25.185185185185183;24.06015037593985;24.81203007518797;25.185185185185183;25.185185185185183;24.06015037593985;24.81203007518797;23.076923076923077;23.076923076923077;21.96969696969697;21.96969696969697;23.076923076923077;23.076923076923077;21.96969696969697;21.96969696969697;23.076923076923077;23.076923076923077;21.96969696969697;21.96969696969697;23.076923076923077;23.076923076923077;21.96969696969697;21.96969696969697
Expanded weather;26.811594202898554;29.411764705882355;21.27659574468085;21.27659574468085;27.33812949640288;21.052631578947366;22.302158273381295;22.302158273381295;24.62686567164179;20.610687022900763;20.161290322580644;20.161290322580644;24.444444444444443;24.087591240875913;20.161290322580644;20.161290322580644;24.444444444444443;24.087591240875913;13.008130081300814;13.008130081300814;16.923076923076923;19.68503937007874;20.161290322580644;20.161290322580644;24.444444444444443;24.087591240875913;19.2;19.2;24.444444444444443;24.087591240875913;21.428571428571427;21.428571428571427;27.33812949640288;21.052631578947366;20.161290322580644;20.161290322580644;24.444444444444443;24.087591240875913;19.2;19.2;24.444444444444443;24.087591240875913;19.2;19.2;24.444444444444443;24.087591240875913;19.2;19.2;24.444444444444443;24.087591240875913;23.66412213740458;23.66412213740458;25.547445255474454;26.277372262773724;23.66412213740458;23.66412213740458;25.547445255474454;26.277372262773724;23.66412213740458;23.66412213740458;25.547445255474454;26.277372262773724;23.66412213740458;23.66412213740458;25.547445255474454;26.277372262773724
Weather, new source and alka;24.427480916030532;28.14814814814815;31.25;31.25;26.119402985074625;22.388059701492537;30.935251798561154;30.935251798561154;26.119402985074625;22.388059701492537;22.137404580152673;22.137404580152673;26.356589147286826;26.717557251908396;21.374045801526716;21.374045801526716;26.356589147286826;26.717557251908396;11.76470588235294;11.76470588235294;22.400000000000002;23.809523809523807;21.374045801526716;21.374045801526716;26.356589147286826;26.717557251908396;24.427480916030532;24.427480916030532;27.131782945736433;26.717557251908396;31.25;31.25;26.119402985074625;22.388059701492537;21.374045801526716;21.374045801526716;26.356589147286826;26.717557251908396;23.66412213740458;23.66412213740458;27.131782945736433;26.717557251908396;23.66412213740458;23.66412213740458;27.131782945736433;26.717557251908396;23.66412213740458;23.66412213740458;27.131782945736433;26.717557251908396;25.547445255474454;26.277372262773724;23.62204724409449;24.031007751937985;25.547445255474454;26.277372262773724;23.62204724409449;24.031007751937985;25.547445255474454;26.277372262773724;23.62204724409449;24.031007751937985;25.547445255474454;26.277372262773724;23.62204724409449;24.031007751937985
Expanded weather, new source and alka;24.81203007518797;25.0;31.15942028985507;31.15942028985507;27.536231884057973;23.52941176470588;31.11111111111111;31.11111111111111;27.536231884057973;23.52941176470588;20.930232558139537;20.930232558139537;23.846153846153847;22.65625;20.155038759689923;20.155038759689923;23.846153846153847;22.65625;10.92436974789916;10.92436974789916;20.161290322580644;20.967741935483872;20.155038759689923;20.155038759689923;23.846153846153847;22.65625;20.930232558139537;20.930232558139537;23.846153846153847;22.65625;28.676470588235293;28.676470588235293;27.536231884057973;23.52941176470588;20.155038759689923;20.155038759689923;23.846153846153847;22.65625;20.930232558139537;20.930232558139537;23.846153846153847;22.65625;20.930232558139537;20.930232558139537;23.846153846153847;22.65625;20.930232558139537;20.930232558139537;23.846153846153847;22.65625;20.0;20.0;23.25581395348837;24.409448818897637;20.0;20.0;23.25581395348837;24.409448818897637;20.0;20.0;23.25581395348837;24.409448818897637;20.0;20.0;23.25581395348837;24.409448818897637
Expanded weather and alka;35.172413793103445;31.88405797101449;26.47058823529412;26.47058823529412;31.851851851851855;27.819548872180448;25.36231884057971;25.36231884057971;32.08955223880597;27.611940298507463;24.427480916030532;24.427480916030532;31.11111111111111;31.15942028985507;24.242424242424242;24.242424242424242;31.11111111111111;31.15942028985507;21.705426356589147;21.705426356589147;28.35820895522388;30.075187969924812;24.242424242424242;24.242424242424242;31.11111111111111;31.15942028985507;25.190839694656486;25.190839694656486;31.11111111111111;31.15942028985507;24.444444444444443;24.444444444444443;31.851851851851855;27.819548872180448;20.155038759689923;20.155038759689923;31.11111111111111;31.15942028985507;25.190839694656486;25.190839694656486;31.11111111111111;31.15942028985507;25.190839694656486;25.190839694656486;31.11111111111111;31.15942028985507;25.190839694656486;25.190839694656486;31.11111111111111;31.15942028985507;30.075187969924812;30.075187969924812;33.088235294117645;33.093525179856115;30.075187969924812;30.075187969924812;33.088235294117645;33.093525179856115;30.075187969924812;30.075187969924812;33.088235294117645;33.093525179856115;30.075187969924812;30.075187969924812;33.088235294117645;33.093525179856115
Weather and alka;31.690140845070424;38.35616438356164;25.925925925925924;25.925925925925924;35.03649635036496;31.654676258992804;25.37313432835821;25.37313432835821;35.03649635036496;31.654676258992804;27.142857142857142;27.142857142857142;35.03649635036496;34.53237410071942;26.24113475177305;26.24113475177305;35.03649635036496;34.53237410071942;25.563909774436087;25.563909774436087;29.629629629629626;31.851851851851855;26.24113475177305;26.24113475177305;35.03649635036496;34.53237410071942;26.056338028169012;26.056338028169012;34.78260869565217;34.53237410071942;24.087591240875913;24.087591240875913;35.03649635036496;31.654676258992804;25.71428571428571;25.71428571428571;35.03649635036496;34.53237410071942;26.056338028169012;26.056338028169012;34.78260869565217;34.53237410071942;26.056338028169012;26.056338028169012;34.78260869565217;34.53237410071942;26.056338028169012;26.056338028169012;34.78260869565217;34.53237410071942;29.629629629629626;29.629629629629626;32.608695652173914;34.53237410071942;29.629629629629626;29.629629629629626;32.608695652173914;34.53237410071942;29.629629629629626;29.629629629629626;32.608695652173914;34.53237410071942;29.629629629629626;29.629629629629626;32.608695652173914;34.53237410071942
Expanded all sources;29.496402877697843;29.71014492753623;23.91304347826087;23.91304347826087;24.82758620689655;22.69503546099291;24.087591240875913;24.087591240875913;24.82758620689655;22.69503546099291;23.703703703703706;23.703703703703706;25.675675675675674;23.61111111111111;23.703703703703706;23.703703703703706;25.675675675675674;23.61111111111111;10.0;10.0;20.588235294117645;23.239436619718308;23.703703703703706;23.703703703703706;25.675675675675674;23.61111111111111;24.444444444444443;24.444444444444443;25.675675675675674;23.61111111111111;23.91304347826087;23.91304347826087;24.82758620689655;22.69503546099291;23.703703703703706;23.703703703703706;25.675675675675674;23.61111111111111;21.052631578947366;21.052631578947366;25.675675675675674;23.61111111111111;21.052631578947366;21.052631578947366;25.675675675675674;23.61111111111111;21.052631578947366;21.052631578947366;25.675675675675674;23.61111111111111;27.819548872180448;27.819548872180448;31.125827814569533;28.57142857142857;27.819548872180448;27.819548872180448;31.125827814569533;28.57142857142857;27.819548872180448;27.819548872180448;31.125827814569533;28.57142857142857;27.819548872180448;27.819548872180448;31.125827814569533;28.57142857142857
All sources;25.78125;28.14814814814815;23.18840579710145;23.18840579710145;19.230769230769234;22.900763358778626;24.285714285714285;24.285714285714285;21.052631578947366;22.900763358778626;22.48062015503876;22.48062015503876;18.89763779527559;18.89763779527559;22.48062015503876;22.48062015503876;18.89763779527559;18.89763779527559;13.821138211382115;13.821138211382115;20.3125;18.11023622047244;22.48062015503876;22.48062015503876;18.89763779527559;18.89763779527559;22.48062015503876;22.48062015503876;18.89763779527559;18.89763779527559;25.71428571428571;25.71428571428571;19.230769230769234;22.900763358778626;22.48062015503876;22.48062015503876;18.89763779527559;18.89763779527559;22.48062015503876;22.48062015503876;18.89763779527559;18.89763779527559;22.48062015503876;22.48062015503876;18.89763779527559;18.89763779527559;22.48062015503876;22.48062015503876;18.89763779527559;18.89763779527559;22.137404580152673;22.137404580152673;21.25984251968504;21.25984251968504;22.137404580152673;22.137404580152673;21.25984251968504;21.25984251968504;22.137404580152673;22.137404580152673;21.25984251968504;21.25984251968504;22.137404580152673;22.137404580152673;21.25984251968504;21.25984251968504
