Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;75.44757033248082;73.54497354497354;64.46991404011462;64.46991404011462;71.97802197802197;71.11716621253406;60.40462427745664;60.40462427745664;71.97802197802197;68.31955922865014;53.776435045317214;53.776435045317214;68.07909604519774;65.52706552706553;53.776435045317214;53.776435045317214;68.07909604519774;65.52706552706553;51.651651651651655;51.651651651651655;61.76470588235294;59.34718100890207;53.776435045317214;53.776435045317214;68.07909604519774;65.52706552706553;55.82089552238806;55.82089552238806;68.07909604519774;65.52706552706553;64.46991404011462;64.46991404011462;71.97802197802197;71.11716621253406;53.939393939393945;53.939393939393945;68.07909604519774;65.52706552706553;55.82089552238806;55.82089552238806;68.07909604519774;65.52706552706553;55.82089552238806;55.82089552238806;68.07909604519774;65.52706552706553;55.82089552238806;55.82089552238806;68.07909604519774;65.52706552706553;59.64912280701754;59.64912280701754;67.42209631728045;65.14285714285715;59.64912280701754;59.64912280701754;67.42209631728045;65.14285714285715;59.64912280701754;59.64912280701754;67.42209631728045;65.14285714285715;59.64912280701754;59.64912280701754;67.42209631728045;65.14285714285715
Weather and new source;53.333333333333336;51.533742331288344;67.22222222222223;67.22222222222223;57.18562874251497;53.25077399380805;66.66666666666666;66.66666666666666;58.333333333333336;52.79503105590062;51.702786377708975;51.702786377708975;59.63855421686747;52.64797507788161;51.39318885448917;51.39318885448917;59.93975903614458;52.95950155763239;33.881578947368425;33.881578947368425;49.532710280373834;49.22600619195047;51.39318885448917;51.39318885448917;59.93975903614458;52.95950155763239;51.39318885448917;51.39318885448917;59.818731117824775;53.58255451713395;66.57381615598887;66.57381615598887;57.48502994011976;53.56037151702786;51.39318885448917;51.39318885448917;59.93975903614458;52.95950155763239;51.39318885448917;51.39318885448917;59.818731117824775;53.58255451713395;51.39318885448917;51.39318885448917;59.818731117824775;53.58255451713395;51.39318885448917;51.39318885448917;59.818731117824775;53.58255451713395;47.05882352941176;47.05882352941176;59.45945945945946;57.40181268882175;47.05882352941176;47.05882352941176;59.45945945945946;57.40181268882175;47.05882352941176;47.05882352941176;59.45945945945946;57.40181268882175;47.05882352941176;47.05882352941176;59.45945945945946;57.40181268882175
Expanded weather and new source;61.80758017492711;63.26530612244898;60.115606936416185;60.115606936416185;61.51515151515151;60.670731707317074;61.07954545454546;61.07954545454546;61.702127659574465;58.05471124620061;53.86904761904761;53.86904761904761;58.82352941176471;59.57446808510638;53.86904761904761;53.86904761904761;58.82352941176471;59.57446808510638;29.591836734693878;29.591836734693878;51.5527950310559;55.04587155963303;53.86904761904761;53.86904761904761;58.82352941176471;59.57446808510638;53.273809523809526;53.273809523809526;59.07692307692308;59.57446808510638;60.23054755043228;60.23054755043228;61.51515151515151;60.670731707317074;53.86904761904761;53.86904761904761;58.82352941176471;59.57446808510638;53.273809523809526;53.273809523809526;59.07692307692308;59.57446808510638;53.273809523809526;53.273809523809526;59.07692307692308;59.57446808510638;53.273809523809526;53.273809523809526;59.07692307692308;59.57446808510638;51.66163141993958;51.66163141993958;57.53846153846154;57.668711656441715;51.66163141993958;51.66163141993958;57.53846153846154;57.668711656441715;51.66163141993958;51.66163141993958;57.53846153846154;57.668711656441715;51.66163141993958;51.66163141993958;57.53846153846154;57.668711656441715
Expanded weather;63.89684813753582;61.80758017492711;51.95195195195195;51.95195195195195;58.734939759036145;51.419558359621455;52.366863905325445;52.366863905325445;58.71559633027523;50.0;50.75987841945289;50.75987841945289;58.231707317073166;51.39318885448917;50.75987841945289;50.75987841945289;58.231707317073166;51.23456790123457;37.254901960784316;37.254901960784316;50.155763239875384;47.16981132075472;50.75987841945289;50.75987841945289;58.231707317073166;51.23456790123457;50.153846153846146;50.153846153846146;58.35866261398176;52.32198142414861;52.38095238095239;52.38095238095239;58.734939759036145;51.419558359621455;50.75987841945289;50.75987841945289;58.231707317073166;51.23456790123457;50.153846153846146;50.153846153846146;58.35866261398176;52.32198142414861;50.153846153846146;50.153846153846146;58.35866261398176;52.32198142414861;50.153846153846146;50.153846153846146;58.35866261398176;52.32198142414861;57.14285714285714;57.14285714285714;65.3179190751445;54.38066465256798;57.14285714285714;57.14285714285714;65.3179190751445;54.38066465256798;57.14285714285714;57.14285714285714;65.3179190751445;54.38066465256798;57.14285714285714;57.14285714285714;65.3179190751445;54.38066465256798
Weather, new source and alka;60.670731707317074;63.1578947368421;66.94915254237289;66.94915254237289;60.17964071856288;57.53012048192772;65.02890173410405;65.02890173410405;59.88023952095808;57.35735735735735;46.68769716088328;46.68769716088328;63.50148367952523;61.67664670658682;47.3186119873817;47.3186119873817;63.50148367952523;63.47305389221557;27.2108843537415;27.2108843537415;53.56037151702786;56.269113149847094;47.3186119873817;47.3186119873817;63.50148367952523;63.47305389221557;53.49544072948328;53.49544072948328;63.798219584569736;63.772455089820355;67.2316384180791;67.2316384180791;60.47904191616767;59.337349397590366;47.3186119873817;47.3186119873817;63.50148367952523;63.47305389221557;54.1033434650456;54.1033434650456;63.798219584569736;63.772455089820355;54.1033434650456;54.1033434650456;63.798219584569736;63.772455089820355;54.1033434650456;54.1033434650456;63.798219584569736;63.772455089820355;53.273809523809526;53.273809523809526;60.24096385542169;59.14634146341463;53.273809523809526;53.273809523809526;60.24096385542169;59.14634146341463;53.273809523809526;53.273809523809526;60.24096385542169;59.14634146341463;53.273809523809526;53.273809523809526;60.24096385542169;59.14634146341463
Expanded weather, new source and alka;57.40181268882175;57.75075987841946;64.42577030812325;64.42577030812325;56.96969696969697;55.487804878048784;61.86440677966102;61.86440677966102;56.96969696969697;55.35168195718655;46.60493827160494;46.60493827160494;51.57232704402516;52.66457680250783;46.60493827160494;46.60493827160494;51.886792452830186;52.97805642633229;28.767123287671232;28.767123287671232;49.68944099378882;50.621118012422365;46.60493827160494;46.60493827160494;51.886792452830186;52.97805642633229;46.60493827160494;46.60493827160494;51.886792452830186;52.97805642633229;63.38028169014085;63.38028169014085;57.27272727272727;55.79268292682927;46.60493827160494;46.60493827160494;51.886792452830186;52.97805642633229;46.60493827160494;46.60493827160494;51.886792452830186;52.97805642633229;46.60493827160494;46.60493827160494;51.886792452830186;52.97805642633229;46.60493827160494;46.60493827160494;51.886792452830186;52.97805642633229;48.01223241590214;48.01223241590214;52.20125786163522;58.91238670694864;48.01223241590214;48.01223241590214;52.20125786163522;58.91238670694864;48.01223241590214;48.01223241590214;52.20125786163522;58.91238670694864;48.01223241590214;48.01223241590214;52.20125786163522;58.91238670694864
Expanded weather and alka;71.19113573407202;69.49152542372882;56.89149560117303;56.89149560117303;58.51393188854489;54.57413249211357;56.598240469208214;56.598240469208214;59.38461538461538;55.3125;58.4070796460177;58.4070796460177;58.71559633027523;56.92307692307692;56.63716814159292;56.63716814159292;58.71559633027523;56.92307692307692;52.25225225225225;52.25225225225225;55.45454545454545;54.74006116207951;56.63716814159292;56.63716814159292;58.71559633027523;56.92307692307692;58.28402366863905;58.28402366863905;58.40978593272171;56.61538461538461;53.84615384615385;53.84615384615385;58.51393188854489;54.57413249211357;51.963746223564954;51.963746223564954;58.71559633027523;56.92307692307692;58.28402366863905;58.28402366863905;58.40978593272171;56.61538461538461;58.28402366863905;58.28402366863905;58.40978593272171;56.61538461538461;58.28402366863905;58.28402366863905;58.40978593272171;56.61538461538461;59.77011494252874;59.77011494252874;61.87683284457478;59.76331360946746;59.77011494252874;59.77011494252874;61.87683284457478;59.76331360946746;59.77011494252874;59.77011494252874;61.87683284457478;59.76331360946746;59.77011494252874;59.77011494252874;61.87683284457478;59.76331360946746
Weather and alka;69.25207756232687;72.26666666666667;58.94428152492669;58.94428152492669;69.3820224719101;67.3352435530086;58.11209439528023;58.11209439528023;69.83240223463687;67.621776504298;59.71830985915493;59.71830985915493;69.66292134831461;67.90830945558739;59.943977591036415;59.943977591036415;69.66292134831461;67.90830945558739;56.48414985590778;56.48414985590778;62.4633431085044;64.03508771929825;59.943977591036415;59.943977591036415;69.66292134831461;67.90830945558739;62.92134831460674;62.92134831460674;69.12181303116147;67.621776504298;58.4070796460177;58.4070796460177;69.3820224719101;67.3352435530086;58.75706214689266;58.75706214689266;69.66292134831461;67.90830945558739;62.92134831460674;62.92134831460674;69.12181303116147;67.621776504298;62.92134831460674;62.92134831460674;69.12181303116147;67.621776504298;62.92134831460674;62.92134831460674;69.12181303116147;67.621776504298;56.559766763848394;56.559766763848394;66.57142857142857;67.89772727272727;56.559766763848394;56.559766763848394;66.57142857142857;67.89772727272727;56.559766763848394;56.559766763848394;66.57142857142857;67.89772727272727;56.559766763848394;56.559766763848394;66.57142857142857;67.89772727272727
Expanded all sources;63.42857142857142;58.187134502923975;58.484848484848484;58.484848484848484;64.20454545454545;60.28985507246377;58.484848484848484;58.484848484848484;64.20454545454545;60.69364161849711;54.43425076452599;54.43425076452599;59.598853868194844;55.294117647058826;54.43425076452599;54.43425076452599;59.598853868194844;55.294117647058826;33.33333333333333;33.33333333333333;53.352769679300295;54.00593471810089;54.43425076452599;54.43425076452599;59.598853868194844;55.294117647058826;53.987730061349694;53.987730061349694;59.885386819484246;55.58823529411765;59.15915915915916;59.15915915915916;64.20454545454545;60.28985507246377;54.43425076452599;54.43425076452599;59.598853868194844;55.294117647058826;49.532710280373834;49.532710280373834;59.885386819484246;55.58823529411765;49.532710280373834;49.532710280373834;59.885386819484246;55.58823529411765;49.532710280373834;49.532710280373834;59.885386819484246;55.58823529411765;58.529411764705884;58.529411764705884;66.30434782608695;62.56983240223464;58.529411764705884;58.529411764705884;66.30434782608695;62.56983240223464;58.529411764705884;58.529411764705884;66.30434782608695;62.56983240223464;58.529411764705884;58.529411764705884;66.30434782608695;62.56983240223464
All sources;55.72289156626506;58.57988165680473;54.96894409937888;54.96894409937888;43.606557377049185;53.60501567398119;58.006042296072515;58.006042296072515;45.01607717041801;53.29153605015674;52.58358662613982;52.58358662613982;46.42857142857143;46.30225080385852;53.03030303030303;53.03030303030303;46.42857142857143;46.30225080385852;37.096774193548384;37.096774193548384;47.86585365853659;44.620253164556964;53.03030303030303;53.03030303030303;46.42857142857143;46.30225080385852;52.88753799392097;52.88753799392097;46.103896103896105;46.62379421221865;61.111111111111114;61.111111111111114;43.606557377049185;53.60501567398119;52.88753799392097;52.88753799392097;46.42857142857143;46.30225080385852;52.88753799392097;52.88753799392097;46.103896103896105;46.62379421221865;52.88753799392097;52.88753799392097;46.103896103896105;46.62379421221865;52.88753799392097;52.88753799392097;46.103896103896105;46.62379421221865;45.51083591331269;45.51083591331269;50.9375;51.702786377708975;45.51083591331269;45.51083591331269;50.9375;51.702786377708975;45.51083591331269;45.51083591331269;50.9375;51.702786377708975;45.51083591331269;45.51083591331269;50.9375;51.702786377708975
