Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;76;65;55;55;69;69;52;52;69;70;39;39;61;59;39;39;61;59;41;41;48;47;39;39;61;59;42;42;61;59;55;55;69;69;39;39;61;59;42;42;61;59;42;42;61;59;42;42;61;59;50;50;61;59;50;50;61;59;50;50;61;59;50;50;61;59
Weather and new source;38;37;72;72;45;42;72;72;45;40;37;37;36;33;37;37;36;33;24;24;29;31;37;37;36;33;37;37;36;33;71;71;45;42;37;37;36;33;37;37;36;33;37;37;36;33;37;37;36;33;38;38;39;39;38;38;39;39;38;38;39;39;38;38;39;39
Expanded weather and new source;53;54;54;54;47;46;58;58;47;46;45;45;41;45;45;45;41;45;15;15;37;41;45;45;41;45;45;45;41;45;54;54;47;46;45;45;41;45;45;45;41;45;45;45;41;45;45;45;41;45;38;38;41;41;38;38;41;41;38;38;41;41;38;38;41;41
Expanded weather;49;42;48;48;47;38;52;52;41;35;38;38;41;35;38;38;41;35;26;26;29;25;38;38;41;35;36;36;41;35;51;51;47;38;38;38;41;35;36;36;41;35;36;36;41;35;36;36;41;35;45;45;49;37;45;45;49;37;45;45;49;37;45;45;49;37
Weather, new source and alka;45;52;64;64;51;49;56;56;51;49;32;32;49;49;32;32;49;49;16;16;37;39;32;32;49;49;38;38;49;49;64;64;51;49;32;32;49;49;38;38;49;49;38;38;49;49;38;38;49;49;46;46;45;44;46;46;45;44;46;46;45;44;46;46;45;44
Expanded weather, new source and alka;46;46;54;54;49;48;53;53;49;48;32;32;39;40;31;31;39;40;15;15;37;36;31;31;39;40;32;32;39;40;51;51;49;48;32;32;39;40;31;31;39;40;31;31;39;40;31;31;39;40;32;32;37;44;32;32;37;44;32;32;37;44;32;32;37;44
Expanded weather and alka;67;56;52;52;42;35;50;50;43;39;47;47;45;37;46;46;45;37;43;43;39;36;46;46;45;37;47;47;45;37;49;49;42;35;41;41;45;37;47;47;45;37;47;47;45;37;47;47;45;37;48;48;51;43;48;48;51;43;48;48;51;43;48;48;51;43
Weather and alka;72;75;48;48;58;60;47;47;58;60;51;51;58;58;52;52;58;58;49;49;45;50;52;52;58;58;53;53;57;58;46;46;58;60;50;50;58;58;53;53;57;58;53;53;57;58;53;53;57;58;42;42;55;58;42;42;55;58;42;42;55;58;42;42;55;58
Expanded all sources;48;44;45;45;57;51;46;46;58;53;38;38;50;43;38;38;50;44;21;21;40;43;38;38;50;44;36;36;50;44;44;44;57;52;38;38;50;43;32;32;50;43;32;32;50;43;32;32;50;43;39;39;62;57;39;39;62;57;39;39;62;57;39;39;62;57
All sources;40;47;42;42;25;39;47;47;30;39;36;36;28;28;37;37;28;28;23;23;35;27;37;37;28;28;36;36;28;28;53;53;25;39;36;36;28;28;36;36;28;28;36;36;28;28;36;36;28;28;34;34;36;36;34;34;36;36;34;34;36;36;34;34;36;36
Expanded no TV;44;45;46;46;42;52;46;46;42;52;30;30;42;45;34;34;42;45;19;19;43;36;34;34;42;45;31;31;42;45;47;47;42;52;34;34;42;45;31;31;42;45;31;31;42;45;31;31;42;45;36;36;42;43;36;36;42;43;36;36;42;43;36;36;42;43
No TV;55;60;65;65;54;55;63;63;54;54;30;30;56;51;38;38;56;51;20;20;37;43;38;38;56;51;42;42;56;51;61;61;54;55;38;38;56;51;42;42;56;51;42;42;56;51;42;42;56;51;33;33;49;50;33;33;49;50;33;33;49;50;33;33;49;50
