Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;28;34;42;42;44;45;35;35;44;41;36;36;47;48;36;36;47;48;34;34;44;48;36;36;47;48;37;37;47;48;42;42;44;45;36;36;47;48;37;37;47;48;37;37;47;48;37;37;47;48;36;36;46;47;36;36;46;47;36;36;46;47;36;36;46;47
Weather and new source;45;41;36;36;45;41;34;34;43;43;40;40;43;46;40;40;43;46;21;21;36;35;40;40;43;46;42;42;46;47;36;36;45;41;40;40;43;46;42;42;46;47;42;42;46;47;42;42;46;47;31;31;44;46;31;31;44;46;31;31;44;46;31;31;44;46
Expanded weather and new source;48;47;41;41;45;48;37;37;46;44;38;38;54;50;39;39;54;50;21;21;39;41;39;39;54;50;38;38;55;51;41;41;45;48;39;39;54;50;38;38;55;51;38;38;55;51;38;38;55;51;40;40;49;49;40;40;49;49;40;40;49;49;40;40;49;49
Expanded weather;44;52;34;34;38;38;32;32;41;42;40;40;39;38;40;40;39;38;29;29;32;35;40;40;39;38;43;43;39;38;35;35;38;38;40;40;39;38;43;43;39;38;43;43;39;38;43;43;39;38;41;41;40;35;41;41;40;35;41;41;40;35;41;41;40;35
Weather, new source and alka;57;49;41;41;43;39;43;43;43;39;39;39;52;48;40;40;52;52;22;22;47;47;40;40;52;52;42;42;52;53;41;41;43;43;40;40;52;52;42;42;52;53;42;42;52;53;42;42;52;53;36;36;46;46;36;36;46;46;36;36;46;46;36;36;46;46
Expanded weather, new source and alka;49;50;38;38;36;37;35;35;36;38;31;31;36;39;32;32;36;39;22;22;37;37;32;32;36;39;31;31;38;41;37;37;36;37;32;32;36;39;31;31;38;41;31;31;38;41;31;31;38;41;32;32;38;44;32;32;38;44;32;32;38;44;32;32;38;44
Expanded weather and alka;42;47;31;31;41;44;32;32;46;44;36;36;42;40;36;36;42;40;36;36;36;44;36;36;42;40;36;36;41;43;31;31;41;44;37;37;42;40;36;36;41;43;36;36;41;43;36;36;41;43;33;33;42;40;33;33;42;40;33;33;42;40;33;33;42;40
Weather and alka;41;35;43;43;47;42;43;43;47;42;26;26;47;43;27;27;47;43;31;31;48;47;27;27;47;43;32;32;47;43;44;44;47;42;26;26;47;43;32;32;47;43;32;32;47;43;32;32;47;43;34;34;43;43;34;34;43;43;34;34;43;43;34;34;43;43
Expanded all sources;49;46;52;52;39;35;52;52;38;37;49;49;34;31;49;49;34;31;19;19;29;32;49;49;34;31;49;49;34;32;52;52;39;35;49;49;34;31;42;42;34;32;42;42;34;32;42;42;34;32;45;45;35;33;45;45;35;33;45;45;35;33;45;45;35;33
All sources;54;50;47;47;50;52;47;47;45;53;40;40;50;46;40;40;50;46;21;21;32;32;40;40;50;46;40;40;50;47;42;42;50;52;40;40;50;46;40;40;50;47;40;40;50;47;40;40;50;47;36;36;49;46;36;36;49;46;36;36;49;46;36;36;49;46
Expanded no TV;53;46;39;39;41;35;39;39;41;35;32;32;41;43;38;38;41;43;26;26;33;39;38;38;41;43;37;37;41;43;36;36;41;35;38;38;41;43;37;37;41;43;37;37;41;43;37;37;41;43;41;41;41;43;41;41;41;43;41;41;41;43;41;41;41;43
No TV;48;46;39;39;34;34;32;32;34;34;34;34;43;34;36;36;43;34;27;27;28;35;36;36;43;34;38;38;43;34;33;33;34;34;36;36;43;34;38;38;43;34;38;38;43;34;38;38;43;34;33;33;30;32;33;33;30;32;33;33;30;32;33;33;30;32
