Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;30;27;14;14;18;19;15;15;18;18;10;10;13;14;10;10;13;14;9;9;10;12;10;10;13;14;10;10;13;14;14;14;18;19;10;10;13;14;10;10;13;14;10;10;13;14;10;10;13;14;12;12;13;14;12;12;13;14;12;12;13;14;12;12;13;14
Weather and new source;13;15;22;22;7;6;22;22;7;6;10;10;9;6;10;10;9;6;5;5;4;4;10;10;9;6;10;10;9;6;23;23;7;6;10;10;9;6;10;10;9;6;10;10;9;6;10;10;9;6;9;9;10;9;9;9;10;9;9;9;10;9;9;9;10;9
Expanded weather and new source;22;22;17;17;11;11;18;18;11;11;11;11;10;11;11;11;10;11;2;2;5;7;11;11;10;11;11;11;10;11;17;17;11;11;11;11;10;11;11;11;10;11;11;11;10;11;11;11;10;11;10;10;9;9;10;10;9;9;10;10;9;9;10;10;9;9
Expanded weather;20;15;12;12;12;11;15;15;11;8;11;11;10;7;11;11;10;7;7;7;9;4;11;11;10;7;8;8;10;7;10;10;12;11;11;11;10;7;8;8;10;7;8;8;10;7;8;8;10;7;11;11;13;8;11;11;13;8;11;11;13;8;11;11;13;8
Weather, new source and alka;18;21;20;20;8;10;17;17;8;9;10;10;11;14;9;9;11;14;5;5;8;8;9;9;11;14;10;10;11;14;19;19;8;9;9;9;11;14;10;10;11;14;10;10;11;14;10;10;11;14;11;11;9;10;11;11;9;10;11;11;9;10;11;11;9;10
Expanded weather, new source and alka;19;17;18;18;12;12;13;13;12;12;8;8;8;7;8;8;8;7;2;2;6;6;8;8;8;7;8;8;8;7;15;15;12;12;8;8;8;7;8;8;8;7;8;8;8;7;8;8;8;7;8;8;8;9;8;8;8;9;8;8;8;9;8;8;8;9
Expanded weather and alka;26;23;17;17;13;12;17;17;13;13;12;12;15;13;12;12;15;13;10;10;11;10;12;12;15;13;13;13;15;13;15;15;13;12;11;11;15;13;13;13;15;13;13;13;15;13;13;13;15;13;13;13;16;14;13;13;16;14;13;13;16;14;13;13;16;14
Weather and alka;24;25;14;14;14;15;14;14;14;15;16;16;14;14;16;16;14;14;11;11;11;12;16;16;14;14;16;16;14;14;15;15;14;15;15;15;14;14;16;16;14;14;16;16;14;14;16;16;14;14;9;9;11;14;9;9;11;14;9;9;11;14;9;9;11;14
Expanded all sources;14;15;12;12;14;13;13;13;14;13;9;9;15;12;9;9;15;12;2;2;7;11;9;9;15;12;9;9;15;12;12;12;14;13;9;9;15;12;7;7;15;12;7;7;15;12;7;7;15;12;12;12;19;15;12;12;19;15;12;12;19;15;12;12;19;15
All sources;10;14;9;9;9;11;9;9;7;11;7;7;6;7;7;7;6;7;4;4;7;6;7;7;6;7;7;7;7;7;12;12;9;11;7;7;6;7;7;7;7;7;7;7;7;7;7;7;7;7;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
Expanded no TV;16;17;12;12;11;15;12;12;11;15;6;6;10;11;8;8;10;11;3;3;10;7;8;8;10;11;6;6;10;11;13;13;11;15;8;8;10;11;6;6;10;11;6;6;10;11;6;6;10;11;10;10;10;11;10;10;10;11;10;10;10;11;10;10;10;11
No TV;19;19;19;19;15;15;17;17;15;15;5;5;16;15;5;5;16;15;4;4;10;12;5;5;16;15;7;7;16;15;17;17;15;15;5;5;16;15;7;7;16;15;7;7;16;15;7;7;16;15;7;7;14;15;7;7;14;15;7;7;14;15;7;7;14;15
