Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;19.17808219178082;22.22222222222222;39.39393939393939;39.39393939393939;26.47058823529412;30.0;40.909090909090914;40.909090909090914;26.47058823529412;33.82352941176471;53.96825396825397;53.96825396825397;35.483870967741936;42.857142857142854;53.96825396825397;53.96825396825397;35.483870967741936;42.857142857142854;63.33333333333333;63.33333333333333;45.90163934426229;50.81967213114754;53.96825396825397;53.96825396825397;35.483870967741936;42.857142857142854;54.09836065573771;54.09836065573771;35.483870967741936;42.857142857142854;40.0;40.0;26.47058823529412;30.0;53.96825396825397;53.96825396825397;35.483870967741936;42.857142857142854;54.09836065573771;54.09836065573771;35.483870967741936;42.857142857142854;54.09836065573771;54.09836065573771;35.483870967741936;42.857142857142854;54.09836065573771;54.09836065573771;35.483870967741936;42.857142857142854;46.875;46.875;35.483870967741936;42.857142857142854;46.875;46.875;35.483870967741936;42.857142857142854;46.875;46.875;35.483870967741936;42.857142857142854;46.875;46.875;35.483870967741936;42.857142857142854
Weather and new source;31.818181818181817;31.818181818181817;29.850746268656714;29.850746268656714;44.44444444444444;43.54838709677419;31.343283582089555;31.343283582089555;43.75;44.26229508196721;46.03174603174603;46.03174603174603;49.2063492063492;55.172413793103445;46.774193548387096;46.774193548387096;49.2063492063492;55.172413793103445;71.1864406779661;71.1864406779661;61.66666666666667;60.65573770491803;46.774193548387096;46.774193548387096;49.2063492063492;55.172413793103445;45.16129032258064;45.16129032258064;49.2063492063492;53.44827586206896;30.303030303030305;30.303030303030305;44.44444444444444;43.54838709677419;46.774193548387096;46.774193548387096;49.2063492063492;55.172413793103445;45.16129032258064;45.16129032258064;49.2063492063492;53.44827586206896;45.16129032258064;45.16129032258064;49.2063492063492;53.44827586206896;45.16129032258064;45.16129032258064;49.2063492063492;53.44827586206896;52.459016393442624;52.459016393442624;48.4375;49.2063492063492;52.459016393442624;52.459016393442624;48.4375;49.2063492063492;52.459016393442624;52.459016393442624;48.4375;49.2063492063492;52.459016393442624;52.459016393442624;48.4375;49.2063492063492
Expanded weather and new source;33.33333333333333;33.84615384615385;36.36363636363637;36.36363636363637;39.39393939393939;38.46153846153847;36.36363636363637;36.36363636363637;39.39393939393939;38.46153846153847;46.875;46.875;50.0;51.66666666666667;46.875;46.875;50.0;51.66666666666667;81.13207547169812;81.13207547169812;68.42105263157895;65.51724137931035;46.875;46.875;50.0;51.66666666666667;46.875;46.875;48.333333333333336;50.0;36.36363636363637;36.36363636363637;39.39393939393939;38.46153846153847;46.875;46.875;50.0;51.66666666666667;46.875;46.875;48.333333333333336;50.0;46.875;46.875;48.333333333333336;50.0;46.875;46.875;48.333333333333336;50.0;50.79365079365079;50.79365079365079;48.333333333333336;48.333333333333336;50.79365079365079;50.79365079365079;48.333333333333336;48.333333333333336;50.79365079365079;50.79365079365079;48.333333333333336;48.333333333333336;50.79365079365079;50.79365079365079;48.333333333333336;48.333333333333336
Expanded weather;35.38461538461539;38.095238095238095;50.0;50.0;39.0625;48.38709677419355;48.484848484848484;48.484848484848484;39.682539682539684;50.0;46.875;46.875;40.32258064516129;50.81967213114754;46.875;46.875;40.32258064516129;52.459016393442624;72.41379310344827;72.41379310344827;56.666666666666664;62.71186440677966;46.875;46.875;40.32258064516129;52.459016393442624;47.61904761904761;47.61904761904761;40.32258064516129;50.81967213114754;50.0;50.0;39.0625;48.38709677419355;46.875;46.875;40.32258064516129;52.459016393442624;47.61904761904761;47.61904761904761;40.32258064516129;50.81967213114754;47.61904761904761;47.61904761904761;40.32258064516129;50.81967213114754;47.61904761904761;47.61904761904761;40.32258064516129;50.81967213114754;40.0;40.0;38.095238095238095;49.18032786885246;40.0;40.0;38.095238095238095;49.18032786885246;40.0;40.0;38.095238095238095;49.18032786885246;40.0;40.0;38.095238095238095;49.18032786885246
Weather, new source and alka;40.0;33.33333333333333;30.88235294117647;30.88235294117647;41.53846153846154;40.0;33.33333333333333;33.33333333333333;41.53846153846154;40.0;59.32203389830508;59.32203389830508;49.18032786885246;47.61904761904761;59.32203389830508;59.32203389830508;49.18032786885246;46.03174603174603;81.48148148148148;81.48148148148148;66.66666666666666;63.793103448275865;59.32203389830508;59.32203389830508;49.18032786885246;46.03174603174603;50.0;50.0;49.18032786885246;46.03174603174603;30.88235294117647;30.88235294117647;41.53846153846154;38.46153846153847;58.333333333333336;58.333333333333336;49.18032786885246;46.03174603174603;50.0;50.0;49.18032786885246;46.03174603174603;50.0;50.0;49.18032786885246;46.03174603174603;50.0;50.0;49.18032786885246;46.03174603174603;49.2063492063492;49.2063492063492;49.18032786885246;49.18032786885246;49.2063492063492;49.2063492063492;49.18032786885246;49.18032786885246;49.2063492063492;49.2063492063492;49.18032786885246;49.18032786885246;49.2063492063492;49.2063492063492;49.18032786885246;49.18032786885246
Expanded weather, new source and alka;33.84615384615385;34.375;32.3943661971831;32.3943661971831;50.0;48.333333333333336;36.76470588235294;36.76470588235294;50.0;48.333333333333336;51.515151515151516;51.515151515151516;60.71428571428571;62.5;51.515151515151516;51.515151515151516;60.71428571428571;62.5;85.45454545454545;85.45454545454545;65.51724137931035;65.51724137931035;51.515151515151516;51.515151515151516;60.71428571428571;62.5;52.307692307692314;52.307692307692314;58.92857142857143;60.71428571428571;33.33333333333333;33.33333333333333;50.0;48.333333333333336;51.515151515151516;51.515151515151516;60.71428571428571;62.5;52.307692307692314;52.307692307692314;58.92857142857143;60.71428571428571;52.307692307692314;52.307692307692314;58.92857142857143;60.71428571428571;52.307692307692314;52.307692307692314;58.92857142857143;60.71428571428571;51.515151515151516;51.515151515151516;60.0;53.44827586206896;51.515151515151516;51.515151515151516;60.0;53.44827586206896;51.515151515151516;51.515151515151516;60.0;53.44827586206896;51.515151515151516;51.515151515151516;60.0;53.44827586206896
Expanded weather and alka;20.27027027027027;18.91891891891892;46.26865671641791;46.26865671641791;36.92307692307693;36.36363636363637;45.588235294117645;45.588235294117645;33.84615384615385;36.36363636363637;44.776119402985074;44.776119402985074;40.625;37.3134328358209;45.45454545454545;45.45454545454545;40.625;37.3134328358209;53.96825396825397;53.96825396825397;47.69230769230769;41.7910447761194;45.45454545454545;45.45454545454545;40.625;37.3134328358209;46.96969696969697;46.96969696969697;40.625;35.82089552238806;46.96969696969697;46.96969696969697;36.92307692307693;36.36363636363637;51.5625;51.5625;40.625;37.3134328358209;46.96969696969697;46.96969696969697;40.625;35.82089552238806;46.96969696969697;46.96969696969697;40.625;35.82089552238806;46.96969696969697;46.96969696969697;40.625;35.82089552238806;46.96969696969697;46.96969696969697;35.294117647058826;32.3943661971831;46.96969696969697;46.96969696969697;35.294117647058826;32.3943661971831;46.96969696969697;46.96969696969697;35.294117647058826;32.3943661971831;46.96969696969697;46.96969696969697;35.294117647058826;32.3943661971831
Weather and alka;21.73913043478261;20.54794520547945;41.7910447761194;41.7910447761194;29.411764705882355;30.88235294117647;42.42424242424242;42.42424242424242;29.411764705882355;30.88235294117647;44.11764705882353;44.11764705882353;29.411764705882355;30.88235294117647;44.776119402985074;44.776119402985074;29.411764705882355;30.88235294117647;46.26865671641791;46.26865671641791;40.0;38.80597014925373;44.776119402985074;44.776119402985074;29.411764705882355;30.88235294117647;41.17647058823529;41.17647058823529;29.411764705882355;30.88235294117647;40.909090909090914;40.909090909090914;29.411764705882355;30.88235294117647;44.776119402985074;44.776119402985074;29.411764705882355;30.88235294117647;41.17647058823529;41.17647058823529;29.411764705882355;30.88235294117647;41.17647058823529;41.17647058823529;29.411764705882355;30.88235294117647;41.17647058823529;41.17647058823529;29.411764705882355;30.88235294117647;48.4375;48.4375;32.83582089552239;30.88235294117647;48.4375;48.4375;32.83582089552239;30.88235294117647;48.4375;48.4375;32.83582089552239;30.88235294117647;48.4375;48.4375;32.83582089552239;30.88235294117647
Expanded all sources;26.865671641791046;29.411764705882355;42.857142857142854;42.857142857142854;33.33333333333333;35.82089552238806;42.857142857142854;42.857142857142854;34.78260869565217;35.82089552238806;46.03174603174603;46.03174603174603;39.39393939393939;41.53846153846154;46.03174603174603;46.03174603174603;39.39393939393939;41.53846153846154;78.94736842105263;78.94736842105263;53.84615384615385;50.0;46.03174603174603;46.03174603174603;39.39393939393939;41.53846153846154;46.03174603174603;46.03174603174603;39.39393939393939;40.0;42.857142857142854;42.857142857142854;33.33333333333333;35.82089552238806;46.03174603174603;46.03174603174603;39.39393939393939;41.53846153846154;47.61904761904761;47.61904761904761;39.39393939393939;40.0;47.61904761904761;47.61904761904761;39.39393939393939;40.0;47.61904761904761;47.61904761904761;39.39393939393939;40.0;39.705882352941174;39.705882352941174;38.028169014084504;40.0;39.705882352941174;39.705882352941174;38.028169014084504;40.0;39.705882352941174;39.705882352941174;38.028169014084504;40.0;39.705882352941174;39.705882352941174;38.028169014084504;40.0
All sources;37.704918032786885;35.0;42.62295081967213;42.62295081967213;53.44827586206896;42.62295081967213;48.333333333333336;48.333333333333336;52.54237288135594;42.62295081967213;51.66666666666667;51.66666666666667;54.54545454545454;57.14285714285714;51.66666666666667;51.66666666666667;54.54545454545454;57.14285714285714;79.62962962962963;79.62962962962963;61.66666666666667;64.91228070175438;51.66666666666667;51.66666666666667;54.54545454545454;57.14285714285714;51.66666666666667;51.66666666666667;54.54545454545454;55.35714285714286;40.909090909090914;40.909090909090914;53.44827586206896;42.62295081967213;51.66666666666667;51.66666666666667;54.54545454545454;57.14285714285714;51.66666666666667;51.66666666666667;54.54545454545454;55.35714285714286;51.66666666666667;51.66666666666667;54.54545454545454;55.35714285714286;51.66666666666667;51.66666666666667;54.54545454545454;55.35714285714286;53.333333333333336;53.333333333333336;53.44827586206896;54.23728813559322;53.333333333333336;53.333333333333336;53.44827586206896;54.23728813559322;53.333333333333336;53.333333333333336;53.44827586206896;54.23728813559322;53.333333333333336;53.333333333333336;53.44827586206896;54.23728813559322
Expanded no TV;28.35820895522388;27.941176470588236;38.46153846153847;38.46153846153847;46.03174603174603;35.82089552238806;38.46153846153847;38.46153846153847;46.03174603174603;35.82089552238806;56.666666666666664;56.666666666666664;47.61904761904761;46.03174603174603;55.00000000000001;55.00000000000001;47.61904761904761;46.03174603174603;83.33333333333334;83.33333333333334;50.0;57.6271186440678;55.00000000000001;55.00000000000001;47.61904761904761;46.03174603174603;55.00000000000001;55.00000000000001;47.61904761904761;44.44444444444444;37.3134328358209;37.3134328358209;46.03174603174603;35.82089552238806;55.00000000000001;55.00000000000001;47.61904761904761;46.03174603174603;55.00000000000001;55.00000000000001;47.61904761904761;44.44444444444444;55.00000000000001;55.00000000000001;47.61904761904761;44.44444444444444;55.00000000000001;55.00000000000001;47.61904761904761;44.44444444444444;50.0;50.0;47.61904761904761;46.774193548387096;50.0;50.0;47.61904761904761;46.774193548387096;50.0;50.0;47.61904761904761;46.774193548387096;50.0;50.0;47.61904761904761;46.774193548387096
No TV;26.027397260273972;26.027397260273972;27.77777777777778;27.77777777777778;31.428571428571427;31.88405797101449;29.166666666666668;29.166666666666668;31.428571428571427;31.88405797101449;52.459016393442624;52.459016393442624;31.428571428571427;32.857142857142854;44.61538461538462;44.61538461538462;31.428571428571427;32.857142857142854;76.36363636363637;76.36363636363637;52.307692307692314;46.26865671641791;44.61538461538462;44.61538461538462;31.428571428571427;32.857142857142854;44.61538461538462;44.61538461538462;31.428571428571427;32.857142857142854;29.577464788732392;29.577464788732392;31.428571428571427;31.88405797101449;44.61538461538462;44.61538461538462;31.428571428571427;32.857142857142854;44.61538461538462;44.61538461538462;31.428571428571427;32.857142857142854;44.61538461538462;44.61538461538462;31.428571428571427;32.857142857142854;44.61538461538462;44.61538461538462;31.428571428571427;32.857142857142854;52.38095238095239;52.38095238095239;37.142857142857146;34.285714285714285;52.38095238095239;52.38095238095239;37.142857142857146;34.285714285714285;52.38095238095239;52.38095238095239;37.142857142857146;34.285714285714285;52.38095238095239;52.38095238095239;37.142857142857146;34.285714285714285
