Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;33.33333333333333;31.88405797101449;19.696969696969695;19.696969696969695;29.411764705882355;27.941176470588236;19.696969696969695;19.696969696969695;29.411764705882355;25.757575757575758;15.873015873015872;15.873015873015872;24.193548387096776;22.950819672131146;15.873015873015872;15.873015873015872;24.193548387096776;22.950819672131146;16.666666666666664;16.666666666666664;16.666666666666664;15.254237288135593;15.873015873015872;15.873015873015872;24.193548387096776;22.950819672131146;16.39344262295082;16.39344262295082;24.193548387096776;22.950819672131146;20.0;20.0;29.411764705882355;27.941176470588236;15.873015873015872;15.873015873015872;24.193548387096776;22.950819672131146;16.39344262295082;16.39344262295082;24.193548387096776;22.950819672131146;16.39344262295082;16.39344262295082;24.193548387096776;22.950819672131146;16.39344262295082;16.39344262295082;24.193548387096776;22.950819672131146;20.634920634920633;20.634920634920633;24.193548387096776;22.950819672131146;20.634920634920633;20.634920634920633;24.193548387096776;22.950819672131146;20.634920634920633;20.634920634920633;24.193548387096776;22.950819672131146;20.634920634920633;20.634920634920633;24.193548387096776;22.950819672131146
Weather and new source;21.53846153846154;23.076923076923077;28.78787878787879;28.78787878787879;24.193548387096776;18.333333333333332;27.27272727272727;27.27272727272727;23.809523809523807;18.64406779661017;17.46031746031746;17.46031746031746;19.35483870967742;15.789473684210526;17.741935483870968;17.741935483870968;19.35483870967742;15.789473684210526;10.16949152542373;10.16949152542373;11.864406779661017;10.0;17.741935483870968;17.741935483870968;19.35483870967742;15.789473684210526;19.35483870967742;19.35483870967742;19.35483870967742;15.789473684210526;29.230769230769234;29.230769230769234;24.193548387096776;18.333333333333332;17.741935483870968;17.741935483870968;19.35483870967742;15.789473684210526;19.35483870967742;19.35483870967742;19.35483870967742;15.789473684210526;19.35483870967742;19.35483870967742;19.35483870967742;15.789473684210526;19.35483870967742;19.35483870967742;19.35483870967742;15.789473684210526;18.0327868852459;18.0327868852459;19.047619047619047;19.35483870967742;18.0327868852459;18.0327868852459;19.047619047619047;19.35483870967742;18.0327868852459;18.0327868852459;19.047619047619047;19.35483870967742;18.0327868852459;18.0327868852459;19.047619047619047;19.35483870967742
Expanded weather and new source;26.153846153846157;26.5625;24.615384615384617;24.615384615384617;16.923076923076923;20.3125;24.615384615384617;24.615384615384617;16.923076923076923;21.875;20.3125;20.3125;18.64406779661017;20.33898305084746;20.3125;20.3125;18.64406779661017;20.33898305084746;1.8867924528301887;1.8867924528301887;12.280701754385964;12.280701754385964;20.3125;20.3125;18.64406779661017;20.33898305084746;20.3125;20.3125;18.64406779661017;20.33898305084746;24.615384615384617;24.615384615384617;16.923076923076923;20.3125;20.3125;20.3125;18.64406779661017;20.33898305084746;20.3125;20.3125;18.64406779661017;20.33898305084746;20.3125;20.3125;18.64406779661017;20.33898305084746;20.3125;20.3125;18.64406779661017;20.33898305084746;19.047619047619047;19.047619047619047;20.33898305084746;20.33898305084746;19.047619047619047;19.047619047619047;20.33898305084746;20.33898305084746;19.047619047619047;19.047619047619047;20.33898305084746;20.33898305084746;19.047619047619047;19.047619047619047;20.33898305084746;20.33898305084746
Expanded weather;20.3125;16.129032258064516;19.047619047619047;19.047619047619047;23.809523809523807;18.333333333333332;21.53846153846154;21.53846153846154;19.35483870967742;15.517241379310345;17.1875;17.1875;19.35483870967742;15.0;17.1875;17.1875;19.35483870967742;15.0;10.344827586206897;10.344827586206897;13.333333333333334;12.068965517241379;17.1875;17.1875;19.35483870967742;15.0;14.285714285714285;14.285714285714285;19.35483870967742;15.0;19.047619047619047;19.047619047619047;23.809523809523807;18.333333333333332;17.1875;17.1875;19.35483870967742;15.0;14.285714285714285;14.285714285714285;19.35483870967742;15.0;14.285714285714285;14.285714285714285;19.35483870967742;15.0;14.285714285714285;14.285714285714285;19.35483870967742;15.0;18.461538461538463;18.461538461538463;22.22222222222222;19.672131147540984;18.461538461538463;18.461538461538463;22.22222222222222;19.672131147540984;18.461538461538463;18.461538461538463;22.22222222222222;19.672131147540984;18.461538461538463;18.461538461538463;22.22222222222222;19.672131147540984
Weather, new source and alka;20.33898305084746;24.193548387096776;25.37313432835821;25.37313432835821;21.875;23.4375;24.615384615384617;24.615384615384617;21.875;23.4375;16.94915254237288;16.94915254237288;21.666666666666668;24.193548387096776;16.94915254237288;16.94915254237288;21.666666666666668;22.58064516129032;1.8518518518518516;1.8518518518518516;14.285714285714285;14.035087719298245;16.94915254237288;16.94915254237288;21.666666666666668;22.58064516129032;18.75;18.75;21.666666666666668;24.193548387096776;25.37313432835821;25.37313432835821;21.875;23.4375;16.666666666666664;16.666666666666664;21.666666666666668;22.58064516129032;18.75;18.75;21.666666666666668;22.58064516129032;18.75;18.75;21.666666666666668;22.58064516129032;18.75;18.75;21.666666666666668;22.58064516129032;20.634920634920633;20.634920634920633;21.666666666666668;23.333333333333332;20.634920634920633;20.634920634920633;21.666666666666668;23.333333333333332;20.634920634920633;20.634920634920633;21.666666666666668;23.333333333333332;20.634920634920633;20.634920634920633;21.666666666666668;23.333333333333332
Expanded weather, new source and alka;23.076923076923077;21.875;21.428571428571427;21.428571428571427;20.0;23.333333333333332;19.402985074626866;19.402985074626866;20.0;21.666666666666668;15.151515151515152;15.151515151515152;16.071428571428573;16.071428571428573;15.151515151515152;15.151515151515152;16.071428571428573;16.071428571428573;1.8181818181818181;1.8181818181818181;12.280701754385964;12.280701754385964;15.151515151515152;15.151515151515152;16.071428571428573;16.071428571428573;15.384615384615385;15.384615384615385;17.857142857142858;17.857142857142858;20.588235294117645;20.588235294117645;20.0;23.333333333333332;15.151515151515152;15.151515151515152;16.071428571428573;16.071428571428573;15.384615384615385;15.384615384615385;17.857142857142858;17.857142857142858;15.384615384615385;15.384615384615385;17.857142857142858;17.857142857142858;15.384615384615385;15.384615384615385;17.857142857142858;17.857142857142858;15.151515151515152;15.151515151515152;16.363636363636363;20.689655172413794;15.151515151515152;15.151515151515152;16.363636363636363;20.689655172413794;15.151515151515152;15.151515151515152;16.363636363636363;20.689655172413794;15.151515151515152;15.151515151515152;16.363636363636363;20.689655172413794
Expanded weather and alka;30.136986301369863;35.61643835616438;20.8955223880597;20.8955223880597;26.5625;26.153846153846157;20.588235294117645;20.588235294117645;26.5625;24.615384615384617;17.91044776119403;17.91044776119403;24.193548387096776;24.242424242424242;18.181818181818183;18.181818181818183;24.193548387096776;24.242424242424242;19.047619047619047;19.047619047619047;20.634920634920633;21.21212121212121;18.181818181818183;18.181818181818183;24.193548387096776;24.242424242424242;18.461538461538463;18.461538461538463;24.193548387096776;25.757575757575758;21.21212121212121;21.21212121212121;26.5625;26.153846153846157;17.1875;17.1875;24.193548387096776;24.242424242424242;18.461538461538463;18.461538461538463;24.193548387096776;25.757575757575758;18.461538461538463;18.461538461538463;24.193548387096776;25.757575757575758;18.461538461538463;18.461538461538463;24.193548387096776;25.757575757575758;20.0;20.0;25.757575757575758;25.71428571428571;20.0;20.0;25.757575757575758;25.71428571428571;20.0;20.0;25.757575757575758;25.71428571428571;20.0;20.0;25.757575757575758;25.71428571428571
Weather and alka;30.434782608695656;32.87671232876712;19.696969696969695;19.696969696969695;29.411764705882355;27.941176470588236;20.0;20.0;29.411764705882355;27.941176470588236;19.11764705882353;19.11764705882353;29.411764705882355;29.411764705882355;19.402985074626866;19.402985074626866;29.411764705882355;29.411764705882355;20.8955223880597;20.8955223880597;20.3125;21.21212121212121;19.402985074626866;19.402985074626866;29.411764705882355;29.411764705882355;19.11764705882353;19.11764705882353;29.411764705882355;29.411764705882355;20.0;20.0;29.411764705882355;27.941176470588236;20.8955223880597;20.8955223880597;29.411764705882355;29.411764705882355;19.11764705882353;19.11764705882353;29.411764705882355;29.411764705882355;19.11764705882353;19.11764705882353;29.411764705882355;29.411764705882355;19.11764705882353;19.11764705882353;29.411764705882355;29.411764705882355;18.75;18.75;26.865671641791046;29.411764705882355;18.75;18.75;26.865671641791046;29.411764705882355;18.75;18.75;26.865671641791046;29.411764705882355;18.75;18.75;26.865671641791046;29.411764705882355
Expanded all sources;20.8955223880597;20.588235294117645;21.311475409836063;21.311475409836063;20.28985507246377;19.402985074626866;21.311475409836063;21.311475409836063;20.28985507246377;19.402985074626866;16.39344262295082;16.39344262295082;24.242424242424242;21.53846153846154;16.39344262295082;16.39344262295082;24.242424242424242;21.53846153846154;5.357142857142857;5.357142857142857;13.846153846153847;16.129032258064516;16.39344262295082;16.39344262295082;24.242424242424242;21.53846153846154;16.39344262295082;16.39344262295082;24.242424242424242;21.53846153846154;21.311475409836063;21.311475409836063;20.28985507246377;19.402985074626866;16.39344262295082;16.39344262295082;24.242424242424242;21.53846153846154;14.754098360655737;14.754098360655737;24.242424242424242;21.53846153846154;14.754098360655737;14.754098360655737;24.242424242424242;21.53846153846154;14.754098360655737;14.754098360655737;24.242424242424242;21.53846153846154;17.647058823529413;17.647058823529413;27.142857142857142;24.637681159420293;17.647058823529413;17.647058823529413;27.142857142857142;24.637681159420293;17.647058823529413;17.647058823529413;27.142857142857142;24.637681159420293;17.647058823529413;17.647058823529413;27.142857142857142;24.637681159420293
All sources;25.0;23.333333333333332;15.254237288135593;15.254237288135593;12.068965517241379;16.39344262295082;20.689655172413794;20.689655172413794;13.559322033898304;16.39344262295082;16.666666666666664;16.666666666666664;12.727272727272727;12.5;16.666666666666664;16.666666666666664;12.727272727272727;12.5;7.4074074074074066;7.4074074074074066;13.333333333333334;10.526315789473683;16.666666666666664;16.666666666666664;12.727272727272727;12.5;16.666666666666664;16.666666666666664;12.727272727272727;12.5;21.875;21.875;12.068965517241379;16.39344262295082;16.666666666666664;16.666666666666664;12.727272727272727;12.5;16.666666666666664;16.666666666666664;12.727272727272727;12.5;16.666666666666664;16.666666666666664;12.727272727272727;12.5;16.666666666666664;16.666666666666664;12.727272727272727;12.5;16.666666666666664;16.666666666666664;15.517241379310345;15.254237288135593;16.666666666666664;16.666666666666664;15.517241379310345;15.254237288135593;16.666666666666664;16.666666666666664;15.517241379310345;15.254237288135593;16.666666666666664;16.666666666666664;15.517241379310345;15.254237288135593
