Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;13.333333333333334;12.5;30.0;30.0;13.333333333333334;16.129032258064516;31.03448275862069;31.03448275862069;13.333333333333334;16.129032258064516;37.03703703703704;37.03703703703704;16.666666666666664;17.24137931034483;37.03703703703704;37.03703703703704;16.666666666666664;17.24137931034483;46.15384615384615;46.15384615384615;25.925925925925924;26.923076923076923;37.03703703703704;37.03703703703704;16.666666666666664;17.24137931034483;33.33333333333333;33.33333333333333;16.666666666666664;17.24137931034483;30.0;30.0;13.333333333333334;16.129032258064516;37.03703703703704;37.03703703703704;16.666666666666664;17.24137931034483;33.33333333333333;33.33333333333333;16.666666666666664;17.24137931034483;33.33333333333333;33.33333333333333;16.666666666666664;17.24137931034483;33.33333333333333;33.33333333333333;16.666666666666664;17.24137931034483;32.142857142857146;32.142857142857146;16.666666666666664;17.24137931034483;32.142857142857146;32.142857142857146;16.666666666666664;17.24137931034483;32.142857142857146;32.142857142857146;16.666666666666664;17.24137931034483;32.142857142857146;32.142857142857146;16.666666666666664;17.24137931034483
Weather and new source;37.93103448275862;37.93103448275862;22.58064516129032;22.58064516129032;46.15384615384615;46.42857142857143;22.58064516129032;22.58064516129032;46.15384615384615;48.148148148148145;42.857142857142854;42.857142857142854;52.0;66.66666666666666;42.857142857142854;42.857142857142854;52.0;66.66666666666666;55.55555555555556;55.55555555555556;56.00000000000001;53.84615384615385;42.857142857142854;42.857142857142854;52.0;66.66666666666666;42.857142857142854;42.857142857142854;52.0;66.66666666666666;22.58064516129032;22.58064516129032;46.15384615384615;46.42857142857143;42.857142857142854;42.857142857142854;52.0;66.66666666666666;42.857142857142854;42.857142857142854;52.0;66.66666666666666;42.857142857142854;42.857142857142854;52.0;66.66666666666666;42.857142857142854;42.857142857142854;52.0;66.66666666666666;44.827586206896555;44.827586206896555;50.0;62.5;44.827586206896555;44.827586206896555;50.0;62.5;44.827586206896555;44.827586206896555;50.0;62.5;44.827586206896555;44.827586206896555;50.0;62.5
Expanded weather and new source;25.806451612903224;25.806451612903224;23.333333333333332;23.333333333333332;25.806451612903224;27.586206896551722;23.333333333333332;23.333333333333332;25.806451612903224;27.586206896551722;39.285714285714285;39.285714285714285;27.586206896551722;27.586206896551722;39.285714285714285;39.285714285714285;27.586206896551722;27.586206896551722;60.0;60.0;33.33333333333333;29.629629629629626;39.285714285714285;39.285714285714285;27.586206896551722;27.586206896551722;39.285714285714285;39.285714285714285;27.586206896551722;27.586206896551722;23.333333333333332;23.333333333333332;25.806451612903224;27.586206896551722;39.285714285714285;39.285714285714285;27.586206896551722;27.586206896551722;39.285714285714285;39.285714285714285;27.586206896551722;27.586206896551722;39.285714285714285;39.285714285714285;27.586206896551722;27.586206896551722;39.285714285714285;39.285714285714285;27.586206896551722;27.586206896551722;46.15384615384615;46.15384615384615;27.586206896551722;27.586206896551722;46.15384615384615;46.15384615384615;27.586206896551722;27.586206896551722;46.15384615384615;46.15384615384615;27.586206896551722;27.586206896551722;46.15384615384615;46.15384615384615;27.586206896551722;27.586206896551722
Expanded weather;29.03225806451613;29.03225806451613;34.48275862068966;34.48275862068966;35.714285714285715;42.857142857142854;34.48275862068966;34.48275862068966;38.46153846153847;42.857142857142854;50.0;50.0;30.76923076923077;44.44444444444444;50.0;50.0;30.76923076923077;44.44444444444444;55.55555555555556;55.55555555555556;52.17391304347826;54.166666666666664;50.0;50.0;30.76923076923077;44.44444444444444;46.15384615384615;46.15384615384615;30.76923076923077;44.44444444444444;34.48275862068966;34.48275862068966;35.714285714285715;42.857142857142854;50.0;50.0;30.76923076923077;44.44444444444444;46.15384615384615;46.15384615384615;30.76923076923077;44.44444444444444;46.15384615384615;46.15384615384615;30.76923076923077;44.44444444444444;46.15384615384615;46.15384615384615;30.76923076923077;44.44444444444444;44.44444444444444;44.44444444444444;30.76923076923077;46.15384615384615;44.44444444444444;44.44444444444444;30.76923076923077;46.15384615384615;44.44444444444444;44.44444444444444;30.76923076923077;46.15384615384615;44.44444444444444;44.44444444444444;30.76923076923077;46.15384615384615
Weather, new source and alka;26.666666666666668;25.0;23.333333333333332;23.333333333333332;35.714285714285715;35.714285714285715;24.137931034482758;24.137931034482758;35.714285714285715;35.714285714285715;48.148148148148145;48.148148148148145;32.142857142857146;42.30769230769231;48.148148148148145;48.148148148148145;32.142857142857146;42.30769230769231;64.0;64.0;33.33333333333333;32.142857142857146;48.148148148148145;48.148148148148145;32.142857142857146;42.30769230769231;48.148148148148145;48.148148148148145;32.142857142857146;42.30769230769231;23.333333333333332;23.333333333333332;35.714285714285715;35.714285714285715;48.148148148148145;48.148148148148145;32.142857142857146;42.30769230769231;48.148148148148145;48.148148148148145;32.142857142857146;42.30769230769231;48.148148148148145;48.148148148148145;32.142857142857146;42.30769230769231;48.148148148148145;48.148148148148145;32.142857142857146;42.30769230769231;41.37931034482759;41.37931034482759;32.142857142857146;42.30769230769231;41.37931034482759;41.37931034482759;32.142857142857146;42.30769230769231;41.37931034482759;41.37931034482759;32.142857142857146;42.30769230769231;41.37931034482759;41.37931034482759;32.142857142857146;42.30769230769231
Expanded weather, new source and alka;31.25;32.25806451612903;21.428571428571427;21.428571428571427;34.48275862068966;34.48275862068966;22.22222222222222;22.22222222222222;34.48275862068966;34.48275862068966;46.15384615384615;46.15384615384615;39.285714285714285;39.285714285714285;46.15384615384615;46.15384615384615;39.285714285714285;39.285714285714285;64.0;64.0;37.03703703703704;37.03703703703704;46.15384615384615;46.15384615384615;39.285714285714285;39.285714285714285;46.15384615384615;46.15384615384615;39.285714285714285;39.285714285714285;25.925925925925924;25.925925925925924;34.48275862068966;34.48275862068966;46.15384615384615;46.15384615384615;39.285714285714285;39.285714285714285;46.15384615384615;46.15384615384615;39.285714285714285;39.285714285714285;46.15384615384615;46.15384615384615;39.285714285714285;39.285714285714285;46.15384615384615;46.15384615384615;39.285714285714285;39.285714285714285;46.15384615384615;46.15384615384615;40.74074074074074;37.03703703703704;46.15384615384615;46.15384615384615;40.74074074074074;37.03703703703704;46.15384615384615;46.15384615384615;40.74074074074074;37.03703703703704;46.15384615384615;46.15384615384615;40.74074074074074;37.03703703703704
Expanded weather and alka;17.647058823529413;29.03225806451613;32.142857142857146;32.142857142857146;29.03225806451613;39.285714285714285;32.142857142857146;32.142857142857146;29.03225806451613;39.285714285714285;37.03703703703704;37.03703703703704;30.0;40.74074074074074;37.03703703703704;37.03703703703704;30.0;40.74074074074074;40.74074074074074;40.74074074074074;46.15384615384615;42.30769230769231;37.03703703703704;37.03703703703704;30.0;40.74074074074074;37.03703703703704;37.03703703703704;30.0;40.74074074074074;37.03703703703704;37.03703703703704;29.03225806451613;39.285714285714285;40.74074074074074;40.74074074074074;30.0;40.74074074074074;37.03703703703704;37.03703703703704;30.0;40.74074074074074;37.03703703703704;37.03703703703704;30.0;40.74074074074074;37.03703703703704;37.03703703703704;30.0;40.74074074074074;37.03703703703704;37.03703703703704;30.0;40.74074074074074;37.03703703703704;37.03703703703704;30.0;40.74074074074074;37.03703703703704;37.03703703703704;30.0;40.74074074074074;37.03703703703704;37.03703703703704;30.0;40.74074074074074
Weather and alka;15.625;21.21212121212121;27.586206896551722;27.586206896551722;22.58064516129032;22.58064516129032;27.586206896551722;27.586206896551722;22.58064516129032;22.58064516129032;34.48275862068966;34.48275862068966;22.58064516129032;22.58064516129032;34.48275862068966;34.48275862068966;22.58064516129032;22.58064516129032;39.285714285714285;39.285714285714285;29.629629629629626;28.57142857142857;34.48275862068966;34.48275862068966;22.58064516129032;22.58064516129032;34.48275862068966;34.48275862068966;22.58064516129032;22.58064516129032;26.666666666666668;27.586206896551722;22.58064516129032;22.58064516129032;39.285714285714285;39.285714285714285;22.58064516129032;22.58064516129032;34.48275862068966;34.48275862068966;22.58064516129032;22.58064516129032;34.48275862068966;34.48275862068966;22.58064516129032;22.58064516129032;34.48275862068966;34.48275862068966;22.58064516129032;22.58064516129032;42.30769230769231;42.30769230769231;26.666666666666668;22.58064516129032;42.30769230769231;42.30769230769231;26.666666666666668;22.58064516129032;42.30769230769231;42.30769230769231;26.666666666666668;22.58064516129032;42.30769230769231;42.30769230769231;26.666666666666668;22.58064516129032
Expanded all sources;35.714285714285715;42.30769230769231;22.58064516129032;22.58064516129032;32.25806451612903;29.03225806451613;22.58064516129032;22.58064516129032;32.25806451612903;29.03225806451613;44.827586206896555;44.827586206896555;46.42857142857143;42.857142857142854;44.827586206896555;44.827586206896555;46.42857142857143;42.857142857142854;73.07692307692307;73.07692307692307;51.85185185185185;51.85185185185185;44.827586206896555;44.827586206896555;46.42857142857143;42.857142857142854;44.827586206896555;44.827586206896555;46.42857142857143;42.857142857142854;22.58064516129032;22.58064516129032;32.25806451612903;29.03225806451613;44.827586206896555;44.827586206896555;46.42857142857143;42.857142857142854;44.827586206896555;44.827586206896555;46.42857142857143;42.857142857142854;44.827586206896555;44.827586206896555;46.42857142857143;42.857142857142854;44.827586206896555;44.827586206896555;46.42857142857143;42.857142857142854;44.44444444444444;44.44444444444444;39.285714285714285;35.714285714285715;44.44444444444444;44.44444444444444;39.285714285714285;35.714285714285715;44.44444444444444;44.44444444444444;39.285714285714285;35.714285714285715;44.44444444444444;44.44444444444444;39.285714285714285;35.714285714285715
All sources;34.48275862068966;30.0;27.586206896551722;27.586206896551722;58.333333333333336;46.15384615384615;24.137931034482758;24.137931034482758;58.333333333333336;46.15384615384615;50.0;50.0;57.692307692307686;56.00000000000001;50.0;50.0;57.692307692307686;56.00000000000001;73.07692307692307;73.07692307692307;64.0;68.0;50.0;50.0;57.692307692307686;56.00000000000001;50.0;50.0;57.692307692307686;56.00000000000001;23.333333333333332;23.333333333333332;58.333333333333336;46.15384615384615;50.0;50.0;57.692307692307686;56.00000000000001;50.0;50.0;57.692307692307686;56.00000000000001;50.0;50.0;57.692307692307686;56.00000000000001;50.0;50.0;57.692307692307686;56.00000000000001;55.55555555555556;55.55555555555556;53.84615384615385;52.0;55.55555555555556;55.55555555555556;53.84615384615385;52.0;55.55555555555556;55.55555555555556;53.84615384615385;52.0;55.55555555555556;55.55555555555556;53.84615384615385;52.0
