Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;96;84;57;57;71;71;56;56;72;68;46;46;64;62;46;46;64;62;42;42;54;52;46;46;64;62;46;46;64;61;57;57;71;71;46;46;64;62;46;46;64;61;46;46;64;61;46;46;64;61;52;52;64;60;52;52;64;60;52;52;64;60;52;52;64;60
Weather and new source;57;57;76;76;49;48;75;75;50;45;42;42;45;35;41;41;45;35;29;29;31;33;41;41;45;35;42;42;44;35;75;75;49;48;41;41;45;35;42;42;44;35;42;42;44;35;42;42;44;35;38;38;47;42;38;38;47;42;38;38;47;42;38;38;47;42
Expanded weather and new source;65;65;61;61;58;57;64;64;58;57;46;46;41;44;46;46;41;44;18;18;35;36;46;46;41;44;47;47;41;44;61;61;58;57;46;46;41;44;47;47;41;44;47;47;41;44;47;47;41;44;41;41;42;42;41;41;42;42;41;41;42;42;41;41;42;42
Expanded weather;62;59;54;54;51;45;59;59;50;40;43;43;49;41;43;43;49;42;30;30;41;33;43;43;49;42;40;40;49;41;58;58;51;45;43;43;49;42;40;40;49;41;40;40;49;41;40;40;49;41;46;46;57;43;46;46;57;43;46;46;57;43;46;46;57;43
Weather, new source and alka;52;61;69;69;51;53;60;60;51;53;34;34;43;46;34;34;43;46;19;19;31;34;34;34;43;46;39;39;43;46;69;69;51;53;34;34;43;46;39;39;43;46;39;39;43;46;39;39;43;46;43;43;42;41;43;43;42;41;43;43;42;41;43;43;42;41
Expanded weather, new source and alka;62;62;65;65;47;51;60;60;46;50;41;41;34;36;41;41;34;36;19;19;33;32;41;41;34;36;42;42;35;36;62;62;46;51;41;41;34;36;42;42;35;36;42;42;35;36;42;42;35;36;40;40;31;37;40;40;31;37;40;40;31;37;40;40;31;37
Expanded weather and alka;85;77;65;65;55;53;63;63;54;56;58;58;58;54;58;58;58;54;52;52;55;52;58;58;58;54;58;58;58;54;61;61;55;53;52;52;58;54;58;58;58;54;58;58;58;54;58;58;58;54;60;60;62;58;60;60;62;58;60;60;62;58;60;60;62;58
Weather and alka;82;85;55;55;66;67;55;55;66;67;62;62;66;66;62;62;66;66;57;57;58;58;62;62;66;66;62;62;66;66;54;54;66;67;61;61;66;66;62;62;66;66;62;62;66;66;62;62;66;66;50;50;61;65;50;50;61;65;50;50;61;65;50;50;61;65
Expanded all sources;55;51;51;51;62;57;50;50;63;58;37;37;54;49;37;37;54;49;22;22;48;45;37;37;54;49;38;38;54;49;51;51;62;57;37;37;54;49;37;37;54;49;37;37;54;49;37;37;54;49;44;44;66;62;44;44;66;62;44;44;66;62;44;44;66;62
All sources;42;48;43;43;23;43;50;50;27;43;32;32;28;30;32;32;28;29;24;24;33;29;32;32;28;29;32;32;28;29;53;53;23;43;32;32;28;29;32;32;28;29;32;32;28;29;32;32;28;29;34;34;34;37;34;34;34;37;34;34;34;37;34;34;34;37
Expanded no TV;56;56;53;53;45;56;53;53;45;55;34;34;41;42;34;34;41;42;19;19;47;38;34;34;41;42;32;32;41;43;54;54;45;56;34;34;41;42;32;32;41;43;32;32;41;43;32;32;41;43;43;43;41;39;43;43;41;39;43;43;41;39;43;43;41;39
No TV;70;71;71;71;62;62;68;68;62;62;33;33;57;58;40;40;57;58;21;21;45;50;40;40;57;58;42;42;57;58;67;67;62;62;40;40;57;58;42;42;57;58;42;42;57;58;42;42;57;58;43;43;55;58;43;43;55;58;43;43;55;58;43;43;55;58
