Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;87;73;57;57;59;64;54;54;61;63;45;45;52;51;45;45;52;51;43;43;46;42;45;45;52;51;46;46;52;50;57;57;59;64;45;45;52;51;46;46;52;50;46;46;52;50;46;46;52;50;52;52;52;50;52;52;52;50;52;52;52;50;52;52;52;50
Weather and new source;50;48;73;73;47;42;73;73;47;40;42;42;38;28;41;41;38;28;30;30;30;32;41;41;38;28;40;40;38;28;72;72;47;42;41;41;38;28;40;40;38;28;40;40;38;28;40;40;38;28;36;36;39;33;36;36;39;33;36;36;39;33;36;36;39;33
Expanded weather and new source;57;56;59;59;56;52;62;62;56;53;46;46;44;45;46;46;44;45;20;20;39;41;46;46;44;45;46;46;44;44;59;59;56;52;46;46;44;45;46;46;44;44;46;46;44;44;46;46;44;44;38;38;43;42;38;38;43;42;38;38;43;42;38;38;43;42
Expanded weather;48;44;50;50;41;33;52;52;38;30;45;45;39;32;45;45;39;32;29;29;32;27;45;45;39;32;42;42;39;32;51;51;41;33;45;45;39;32;42;42;39;32;42;42;39;32;42;42;39;32;45;45;45;34;45;45;45;34;45;45;45;34;45;45;45;34
Weather, new source and alka;41;51;63;63;50;50;59;59;50;50;36;36;43;43;36;36;43;42;18;18;37;40;36;36;43;42;41;41;43;43;63;63;50;51;36;36;43;42;41;41;43;42;41;41;43;42;41;41;43;42;42;41;40;37;42;41;40;37;42;41;40;37;42;41;40;37
Expanded weather, new source and alka;49;49;57;57;48;47;54;54;49;46;34;34;37;36;35;35;37;36;18;18;36;36;35;35;37;36;35;35;37;36;55;55;48;47;35;35;37;36;35;35;37;36;35;35;37;36;35;35;37;36;37;37;36;40;37;37;36;40;37;37;36;40;37;37;36;40
Expanded weather and alka;75;66;57;57;50;43;54;54;49;43;51;51;50;45;49;49;50;45;47;47;47;44;49;49;50;45;49;49;50;45;52;52;50;43;44;44;50;45;49;49;50;45;49;49;50;45;49;49;50;45;54;54;56;51;54;54;56;51;54;54;56;51;54;54;56;51
Weather and alka;71;78;59;59;62;64;56;56;62;64;55;55;62;63;53;53;62;63;53;53;55;54;53;53;62;63;54;54;62;63;56;55;62;64;53;53;62;63;54;54;62;63;54;54;62;63;54;54;62;63;48;48;57;63;48;48;57;63;48;48;57;63;48;48;57;63
Expanded all sources;52;47;53;53;58;52;53;53;58;53;40;40;52;45;40;40;52;45;28;28;51;46;40;40;52;45;39;39;52;45;52;52;58;52;40;40;52;45;36;36;52;45;36;36;52;45;36;36;52;45;49;49;69;62;49;49;69;62;49;49;69;62;49;49;69;62
All sources;39;51;41;41;26;44;49;49;29;44;34;34;28;29;34;34;28;29;27;27;34;30;34;34;28;29;34;34;28;29;52;52;26;44;34;34;28;29;34;34;28;29;34;34;28;29;34;34;28;29;34;34;35;34;34;34;35;34;34;34;35;34;34;34;35;34
Expanded no TV;60;60;50;50;50;60;50;50;50;60;34;34;48;47;36;36;48;47;22;22;50;41;36;36;48;47;33;33;48;47;52;52;50;60;36;36;48;47;34;34;48;47;34;34;48;47;34;34;48;47;41;41;48;46;41;41;48;46;41;41;48;46;41;41;48;46
No TV;71;73;68;68;62;61;68;68;62;62;35;35;59;56;42;42;59;56;24;24;41;50;42;42;59;56;43;43;59;55;59;59;62;61;42;42;59;56;43;43;59;55;43;43;59;55;43;43;59;55;38;38;52;56;38;38;52;56;38;38;52;56;38;38;52;56
