Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;7;7;11;11;10;10;13;13;10;11;15;15;11;10;15;15;11;10;15;15;12;10;15;15;11;10;13;13;11;10;11;11;10;10;15;15;11;10;13;13;11;10;13;13;11;10;13;13;11;10;13;13;11;10;13;13;11;10;13;13;11;10;13;13;11;10
Weather and new source;11;11;8;8;14;15;9;9;14;14;13;13;15;16;13;13;15;16;19;19;16;16;13;13;15;16;13;13;15;16;8;8;14;15;13;13;15;16;13;13;15;16;13;13;15;16;13;13;15;16;14;14;15;15;14;14;15;15;14;14;15;15;14;14;15;15
Expanded weather and new source;6;6;10;10;13;13;9;9;13;12;12;12;11;11;12;12;11;11;19;19;14;12;12;12;11;11;12;12;11;11;10;10;13;13;12;12;11;11;12;12;11;11;12;12;11;11;12;12;11;11;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13
Expanded weather;6;7;11;11;14;16;12;12;14;16;14;14;15;17;14;14;15;17;19;19;19;20;14;14;15;17;14;14;15;17;11;11;14;16;14;14;15;17;14;14;15;17;14;14;15;17;14;14;15;17;13;13;13;17;13;13;13;17;13;13;13;17;13;13;13;17
Weather, new source and alka;6;6;8;8;12;13;10;10;12;13;15;15;11;12;15;15;11;11;19;19;13;13;15;15;11;11;13;13;11;11;8;8;12;12;15;15;11;11;13;13;11;11;13;13;11;11;13;13;11;11;13;13;14;14;13;13;14;14;13;13;14;14;13;13;14;14
Expanded weather, new source and alka;5;5;10;10;13;13;12;12;13;12;17;17;14;13;17;17;14;13;19;19;15;14;17;17;14;13;17;17;14;13;10;10;13;13;17;17;14;13;17;17;14;13;17;17;14;13;17;17;14;13;17;17;14;12;17;17;14;12;17;17;14;12;17;17;14;12
Expanded weather and alka;4;5;12;12;14;14;13;13;12;13;14;14;13;14;14;14;13;14;15;15;14;13;14;14;13;14;13;13;14;14;12;12;14;14;15;15;13;14;13;13;14;14;13;13;14;14;13;13;14;14;13;13;12;13;13;13;12;13;13;13;12;13;13;13;12;13
Weather and alka;5;4;10;10;8;9;11;11;8;9;13;13;8;9;13;13;8;9;14;14;10;10;13;13;8;9;11;11;8;9;10;10;8;9;13;13;8;9;11;11;8;9;11;11;8;9;11;11;8;9;13;13;9;9;13;13;9;9;13;13;9;9;13;13;9;9
Expanded all sources;7;9;9;9;12;15;9;9;12;14;12;12;13;16;12;12;13;16;19;19;15;13;12;12;13;16;12;12;13;16;9;9;12;15;12;12;13;16;16;16;13;16;16;16;13;16;16;16;13;16;11;11;10;13;11;11;10;13;11;11;10;13;11;11;10;13
All sources;4;5;11;11;13;9;11;11;14;8;14;14;12;12;14;14;12;12;16;16;14;15;14;14;12;12;14;14;12;12;9;9;13;9;14;14;12;12;14;14;12;12;14;14;12;12;14;14;12;12;14;14;11;11;14;14;11;11;14;14;11;11;14;14;11;11
Expanded no TV;7;7;11;11;13;12;11;11;13;12;17;17;13;13;14;14;13;13;16;16;14;15;14;14;13;13;16;16;13;13;11;11;13;12;14;14;13;13;16;16;13;13;16;16;13;13;16;16;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13
No TV;6;5;7;7;12;12;10;10;12;12;16;16;10;13;14;14;10;13;16;16;15;12;14;14;10;13;12;12;10;13;10;10;12;12;14;14;10;13;12;12;10;13;12;12;10;13;12;12;10;13;17;17;14;13;17;17;14;13;17;17;14;13;17;17;14;13
