Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;12.110726643598616;15.43859649122807;21.484375;21.484375;18.45018450184502;18.38235294117647;17.647058823529413;17.647058823529413;18.51851851851852;18.726591760299627;17.073170731707318;17.073170731707318;20.703125;19.921875;17.142857142857142;17.142857142857142;20.703125;19.921875;14.767932489451477;14.767932489451477;22.540983606557376;21.544715447154474;17.142857142857142;17.142857142857142;20.703125;19.921875;17.551020408163264;17.551020408163264;20.622568093385212;19.767441860465116;21.40077821011673;21.40077821011673;18.45018450184502;18.38235294117647;17.142857142857142;17.142857142857142;20.703125;19.921875;17.551020408163264;17.551020408163264;20.622568093385212;19.767441860465116;17.551020408163264;17.551020408163264;20.622568093385212;19.767441860465116;17.551020408163264;17.551020408163264;20.622568093385212;19.767441860465116;21.40077821011673;21.40077821011673;20.622568093385212;19.767441860465116;21.40077821011673;21.40077821011673;20.622568093385212;19.767441860465116;21.40077821011673;21.40077821011673;20.622568093385212;19.767441860465116;21.40077821011673;21.40077821011673;20.622568093385212;19.767441860465116
Weather and new source;14.5748987854251;14.112903225806454;15.925925925925927;15.925925925925927;16.334661354581673;15.725806451612904;15.185185185185185;15.185185185185185;16.8;17.00404858299595;15.2;15.2;17.695473251028808;18.26086956521739;15.2;15.2;17.695473251028808;18.26086956521739;8.849557522123893;8.849557522123893;16.877637130801688;14.87603305785124;15.2;15.2;17.695473251028808;18.26086956521739;16.0;16.0;17.28395061728395;20.0;15.925925925925927;15.925925925925927;16.334661354581673;15.725806451612904;15.2;15.2;17.695473251028808;18.26086956521739;16.0;16.0;17.28395061728395;20.0;16.0;16.0;17.28395061728395;20.0;16.0;16.0;17.28395061728395;20.0;11.618257261410788;11.618257261410788;15.983606557377051;17.768595041322314;11.618257261410788;11.618257261410788;15.983606557377051;17.768595041322314;11.618257261410788;11.618257261410788;15.983606557377051;17.768595041322314;11.618257261410788;11.618257261410788;15.983606557377051;17.768595041322314
Expanded weather and new source;16.791044776119403;17.537313432835823;15.0;15.0;19.923371647509576;21.705426356589147;13.584905660377359;13.584905660377359;19.923371647509576;18.992248062015506;12.350597609561753;12.350597609561753;21.686746987951807;19.9203187250996;12.350597609561753;12.350597609561753;21.686746987951807;19.9203187250996;11.162790697674419;11.162790697674419;17.28395061728395;16.99604743083004;12.350597609561753;12.350597609561753;21.686746987951807;19.9203187250996;12.3015873015873;12.3015873015873;22.89156626506024;21.115537848605577;15.0;15.0;19.923371647509576;21.705426356589147;12.350597609561753;12.350597609561753;21.686746987951807;19.9203187250996;12.3015873015873;12.3015873015873;22.89156626506024;21.115537848605577;12.3015873015873;12.3015873015873;22.89156626506024;21.115537848605577;12.3015873015873;12.3015873015873;22.89156626506024;21.115537848605577;12.096774193548388;12.096774193548388;21.951219512195124;21.63265306122449;12.096774193548388;12.096774193548388;21.951219512195124;21.63265306122449;12.096774193548388;12.096774193548388;21.951219512195124;21.63265306122449;12.096774193548388;12.096774193548388;21.951219512195124;21.63265306122449
Expanded weather;16.602316602316602;19.12350597609562;16.8;16.8;19.841269841269842;18.4549356223176;13.83399209486166;13.83399209486166;21.370967741935484;20.96069868995633;16.115702479338843;16.115702479338843;21.285140562248998;18.88412017167382;16.115702479338843;16.115702479338843;21.285140562248998;18.025751072961373;12.389380530973451;12.389380530973451;13.983050847457626;16.299559471365637;16.115702479338843;16.115702479338843;21.285140562248998;18.025751072961373;19.08713692946058;19.08713692946058;21.45748987854251;18.88412017167382;16.400000000000002;16.400000000000002;19.841269841269842;18.4549356223176;16.115702479338843;16.115702479338843;21.285140562248998;18.025751072961373;19.08713692946058;19.08713692946058;21.45748987854251;18.88412017167382;19.08713692946058;19.08713692946058;21.45748987854251;18.88412017167382;19.08713692946058;19.08713692946058;21.45748987854251;18.88412017167382;22.709163346613543;22.709163346613543;21.153846153846153;16.80672268907563;22.709163346613543;22.709163346613543;21.153846153846153;16.80672268907563;22.709163346613543;22.709163346613543;21.153846153846153;16.80672268907563;22.709163346613543;22.709163346613543;21.153846153846153;16.80672268907563
Weather, new source and alka;19.84732824427481;16.84981684981685;17.228464419475657;17.228464419475657;17.374517374517374;15.079365079365079;19.771863117870723;19.771863117870723;17.760617760617762;15.476190476190476;12.658227848101266;12.658227848101266;19.69111969111969;18.62348178137652;12.236286919831224;12.236286919831224;19.69111969111969;20.158102766798418;9.389671361502346;9.389671361502346;19.27710843373494;18.87550200803213;12.236286919831224;12.236286919831224;19.69111969111969;20.158102766798418;12.903225806451612;12.903225806451612;19.69111969111969;20.080321285140563;17.228464419475657;17.228464419475657;17.374517374517374;16.600790513833992;12.184873949579831;12.184873949579831;19.69111969111969;20.158102766798418;12.5;12.5;19.69111969111969;19.76284584980237;12.5;12.5;19.69111969111969;19.76284584980237;12.5;12.5;19.69111969111969;19.76284584980237;11.200000000000001;11.200000000000001;19.76284584980237;20.5761316872428;11.200000000000001;11.200000000000001;19.76284584980237;20.5761316872428;11.200000000000001;11.200000000000001;19.76284584980237;20.5761316872428;11.200000000000001;11.200000000000001;19.76284584980237;20.5761316872428
Expanded weather, new source and alka;18.359375;18.57707509881423;18.631178707224336;18.631178707224336;17.338709677419356;16.260162601626014;19.767441860465116;19.767441860465116;17.599999999999998;17.338709677419356;11.065573770491802;11.065573770491802;20.0;19.574468085106382;10.655737704918032;10.655737704918032;20.0;19.574468085106382;10.69767441860465;10.69767441860465;18.51851851851852;18.25726141078838;10.655737704918032;10.655737704918032;20.0;19.574468085106382;10.699588477366255;10.699588477366255;20.0;19.574468085106382;19.844357976653697;19.844357976653697;17.338709677419356;16.260162601626014;10.655737704918032;10.655737704918032;20.0;19.574468085106382;10.699588477366255;10.699588477366255;20.0;19.574468085106382;10.699588477366255;10.699588477366255;20.0;19.574468085106382;10.699588477366255;10.699588477366255;20.0;19.574468085106382;11.065573770491802;11.065573770491802;20.33898305084746;20.242914979757085;11.065573770491802;11.065573770491802;20.33898305084746;20.242914979757085;11.065573770491802;11.065573770491802;20.33898305084746;20.242914979757085;11.065573770491802;11.065573770491802;20.33898305084746;20.242914979757085
Expanded weather and alka;20.955882352941178;21.88679245283019;14.396887159533073;14.396887159533073;22.672064777327936;22.821576763485478;14.453125;14.453125;24.291497975708502;23.333333333333332;16.796875;16.796875;23.456790123456788;22.268907563025213;14.785992217898833;14.785992217898833;23.456790123456788;22.268907563025213;12.955465587044534;12.955465587044534;20.0;21.721311475409834;14.785992217898833;14.785992217898833;23.456790123456788;22.268907563025213;17.1875;17.1875;23.045267489711936;22.689075630252102;12.598425196850393;12.598425196850393;22.672064777327936;22.821576763485478;11.646586345381527;11.646586345381527;23.456790123456788;22.268907563025213;17.1875;17.1875;23.045267489711936;22.689075630252102;17.1875;17.1875;23.045267489711936;22.689075630252102;17.1875;17.1875;23.045267489711936;22.689075630252102;16.153846153846153;16.153846153846153;22.35294117647059;21.2;16.153846153846153;16.153846153846153;22.35294117647059;21.2;16.153846153846153;16.153846153846153;22.35294117647059;21.2;16.153846153846153;16.153846153846153;22.35294117647059;21.2
Weather and alka;19.708029197080293;17.6678445229682;16.0;16.0;23.595505617977526;21.34831460674157;16.0;16.0;23.970037453183522;22.09737827715356;13.513513513513514;13.513513513513514;23.88059701492537;22.388059701492537;13.127413127413126;13.127413127413126;23.88059701492537;22.388059701492537;13.88888888888889;13.88888888888889;24.803149606299215;24.031007751937985;13.127413127413126;13.127413127413126;23.88059701492537;22.388059701492537;14.285714285714285;14.285714285714285;23.507462686567166;21.641791044776117;16.334661354581673;16.334661354581673;23.595505617977526;21.34831460674157;12.840466926070038;12.840466926070038;23.88059701492537;22.388059701492537;14.285714285714285;14.285714285714285;23.507462686567166;21.641791044776117;14.285714285714285;14.285714285714285;23.507462686567166;21.641791044776117;14.285714285714285;14.285714285714285;23.507462686567166;21.641791044776117;15.725806451612904;15.725806451612904;22.348484848484848;21.641791044776117;15.725806451612904;15.725806451612904;22.348484848484848;21.641791044776117;15.725806451612904;15.725806451612904;22.348484848484848;21.641791044776117;15.725806451612904;15.725806451612904;22.348484848484848;21.641791044776117
Expanded all sources;19.615384615384617;15.53784860557769;21.686746987951807;21.686746987951807;15.925925925925927;18.67704280155642;21.370967741935484;21.370967741935484;15.925925925925927;18.846153846153847;19.10569105691057;19.10569105691057;15.209125475285171;15.6;19.10569105691057;19.10569105691057;15.209125475285171;15.53784860557769;9.58904109589041;9.58904109589041;13.438735177865613;15.810276679841898;19.10569105691057;19.10569105691057;15.209125475285171;15.53784860557769;20.0;20.0;14.82889733840304;15.936254980079681;21.686746987951807;21.686746987951807;15.925925925925927;18.6046511627907;19.10569105691057;19.10569105691057;15.209125475285171;15.6;18.410041841004183;18.410041841004183;14.82889733840304;16.0;18.410041841004183;18.410041841004183;14.82889733840304;16.0;18.410041841004183;18.410041841004183;14.82889733840304;16.0;19.291338582677163;19.291338582677163;12.5;14.17910447761194;19.291338582677163;19.291338582677163;12.5;14.17910447761194;19.291338582677163;19.291338582677163;12.5;14.17910447761194;19.291338582677163;19.291338582677163;12.5;14.17910447761194
All sources;19.421487603305785;16.26984126984127;24.390243902439025;24.390243902439025;17.410714285714285;17.959183673469386;20.634920634920633;20.634920634920633;18.06167400881057;17.959183673469386;17.479674796747968;17.479674796747968;20.96069868995633;16.593886462882097;17.479674796747968;17.479674796747968;20.96069868995633;16.593886462882097;7.964601769911504;7.964601769911504;12.552301255230125;13.100436681222707;17.479674796747968;17.479674796747968;20.96069868995633;16.593886462882097;17.073170731707318;17.073170731707318;18.777292576419214;17.03056768558952;18.939393939393938;18.939393939393938;17.410714285714285;17.959183673469386;17.479674796747968;17.479674796747968;20.96069868995633;16.593886462882097;17.073170731707318;17.073170731707318;18.777292576419214;17.03056768558952;17.073170731707318;17.073170731707318;18.777292576419214;17.03056768558952;17.073170731707318;17.073170731707318;18.777292576419214;17.03056768558952;14.345991561181433;14.345991561181433;17.5;15.833333333333332;14.345991561181433;14.345991561181433;17.5;15.833333333333332;14.345991561181433;14.345991561181433;17.5;15.833333333333332;14.345991561181433;14.345991561181433;17.5;15.833333333333332
