Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;24.03846153846154;22.115384615384613;32.323232323232325;32.323232323232325;22.641509433962266;25.49019607843137;34.0;34.0;22.641509433962266;26.47058823529412;39.175257731958766;39.175257731958766;29.292929292929294;30.927835051546392;39.58333333333333;39.58333333333333;29.292929292929294;30.927835051546392;42.10526315789473;42.10526315789473;34.34343434343434;34.375;39.58333333333333;39.58333333333333;29.292929292929294;30.927835051546392;37.11340206185567;37.11340206185567;29.292929292929294;30.927835051546392;32.323232323232325;32.323232323232325;22.641509433962266;25.49019607843137;39.58333333333333;39.58333333333333;29.292929292929294;30.927835051546392;37.11340206185567;37.11340206185567;29.292929292929294;30.927835051546392;37.11340206185567;37.11340206185567;29.292929292929294;30.927835051546392;37.11340206185567;37.11340206185567;29.292929292929294;30.927835051546392;36.36363636363637;36.36363636363637;29.292929292929294;30.927835051546392;36.36363636363637;36.36363636363637;29.292929292929294;30.927835051546392;36.36363636363637;36.36363636363637;29.292929292929294;30.927835051546392;36.36363636363637;36.36363636363637;29.292929292929294;30.927835051546392
Weather and new source;36.27450980392157;37.254901960784316;27.884615384615387;27.884615384615387;35.0;35.35353535353536;27.884615384615387;27.884615384615387;35.0;37.11340206185567;36.0;36.0;36.734693877551024;41.66666666666667;36.0;36.0;36.734693877551024;41.66666666666667;54.25531914893617;54.25531914893617;44.21052631578947;43.29896907216495;36.0;36.0;36.734693877551024;41.66666666666667;36.0;36.0;36.734693877551024;41.66666666666667;27.884615384615387;27.884615384615387;35.0;35.35353535353536;36.0;36.0;36.734693877551024;41.66666666666667;36.0;36.0;36.734693877551024;41.66666666666667;36.0;36.0;36.734693877551024;41.66666666666667;36.0;36.0;36.734693877551024;41.66666666666667;44.329896907216494;44.329896907216494;36.36363636363637;37.0;44.329896907216494;44.329896907216494;36.36363636363637;37.0;44.329896907216494;44.329896907216494;36.36363636363637;37.0;44.329896907216494;44.329896907216494;36.36363636363637;37.0
Expanded weather and new source;29.807692307692307;29.807692307692307;27.102803738317753;27.102803738317753;30.693069306930692;32.0;25.925925925925924;25.925925925925924;31.0;34.34343434343434;38.23529411764706;38.23529411764706;36.17021276595745;36.45833333333333;38.23529411764706;38.23529411764706;36.17021276595745;36.45833333333333;59.34065934065934;59.34065934065934;41.05263157894737;37.11340206185567;38.23529411764706;38.23529411764706;36.17021276595745;36.45833333333333;38.613861386138616;38.613861386138616;36.17021276595745;36.45833333333333;27.102803738317753;27.102803738317753;30.693069306930692;32.0;38.23529411764706;38.23529411764706;36.17021276595745;36.45833333333333;38.613861386138616;38.613861386138616;36.17021276595745;36.45833333333333;38.613861386138616;38.613861386138616;36.17021276595745;36.45833333333333;38.613861386138616;38.613861386138616;36.17021276595745;36.45833333333333;42.2680412371134;42.2680412371134;37.234042553191486;37.89473684210527;42.2680412371134;42.2680412371134;37.234042553191486;37.89473684210527;42.2680412371134;42.2680412371134;37.234042553191486;37.89473684210527;42.2680412371134;42.2680412371134;37.234042553191486;37.89473684210527
Expanded weather;30.693069306930692;32.6530612244898;34.34343434343434;34.34343434343434;35.64356435643564;43.29896907216495;37.11340206185567;37.11340206185567;36.0;45.744680851063826;37.37373737373738;37.37373737373738;36.0;45.744680851063826;37.37373737373738;37.37373737373738;36.0;46.808510638297875;52.74725274725275;52.74725274725275;43.87755102040816;51.08695652173913;37.37373737373738;37.37373737373738;36.0;46.808510638297875;36.0;36.0;36.0;45.744680851063826;37.5;37.5;35.64356435643564;43.29896907216495;37.37373737373738;37.37373737373738;36.0;46.808510638297875;36.0;36.0;36.0;45.744680851063826;36.0;36.0;36.0;45.744680851063826;36.0;36.0;36.0;45.744680851063826;32.038834951456316;32.038834951456316;30.097087378640776;45.26315789473684;32.038834951456316;32.038834951456316;30.097087378640776;45.26315789473684;32.038834951456316;32.038834951456316;30.097087378640776;45.26315789473684;32.038834951456316;32.038834951456316;30.097087378640776;45.26315789473684
Weather, new source and alka;32.0;28.037383177570092;28.28282828282828;28.28282828282828;32.038834951456316;33.980582524271846;24.752475247524753;24.752475247524753;33.00970873786408;34.95145631067961;43.61702127659575;43.61702127659575;34.0;36.27450980392157;43.61702127659575;43.61702127659575;34.0;34.31372549019608;58.24175824175825;58.24175824175825;41.66666666666667;39.795918367346935;43.61702127659575;43.61702127659575;34.0;34.31372549019608;38.775510204081634;38.775510204081634;33.0;34.31372549019608;28.28282828282828;28.28282828282828;32.038834951456316;33.00970873786408;43.15789473684211;43.15789473684211;34.0;34.31372549019608;38.775510204081634;38.775510204081634;33.0;33.33333333333333;38.775510204081634;38.775510204081634;33.0;33.33333333333333;38.775510204081634;38.775510204081634;33.0;33.33333333333333;39.0;39.0;35.35353535353536;37.62376237623762;39.0;39.0;35.35353535353536;37.62376237623762;39.0;39.0;35.35353535353536;37.62376237623762;39.0;39.0;35.35353535353536;37.62376237623762
Expanded weather, new source and alka;29.245283018867923;29.523809523809526;25.0;25.0;35.64356435643564;35.294117647058826;26.666666666666668;26.666666666666668;35.64356435643564;35.294117647058826;42.42424242424242;42.42424242424242;41.83673469387755;40.816326530612244;42.42424242424242;42.42424242424242;41.83673469387755;40.816326530612244;57.77777777777777;57.77777777777777;41.83673469387755;40.816326530612244;42.42424242424242;42.42424242424242;41.83673469387755;40.816326530612244;42.857142857142854;42.857142857142854;41.83673469387755;40.816326530612244;25.961538461538463;25.961538461538463;35.64356435643564;35.294117647058826;42.42424242424242;42.42424242424242;41.83673469387755;40.816326530612244;43.87755102040816;43.87755102040816;41.83673469387755;40.816326530612244;43.87755102040816;43.87755102040816;41.83673469387755;40.816326530612244;43.87755102040816;43.87755102040816;41.83673469387755;40.816326530612244;43.75;43.75;42.70833333333333;36.36363636363637;43.75;43.75;42.70833333333333;36.36363636363637;43.75;43.75;42.70833333333333;36.36363636363637;43.75;43.75;42.70833333333333;36.36363636363637
Expanded weather and alka;22.54901960784314;25.742574257425744;36.84210526315789;36.84210526315789;32.98969072164948;36.84210526315789;34.02061855670103;34.02061855670103;33.33333333333333;36.84210526315789;32.98969072164948;32.98969072164948;32.98969072164948;36.45833333333333;34.02061855670103;34.02061855670103;32.98969072164948;36.45833333333333;41.30434782608695;41.30434782608695;40.0;37.11340206185567;34.02061855670103;34.02061855670103;32.98969072164948;36.45833333333333;36.84210526315789;36.84210526315789;32.98969072164948;36.45833333333333;37.89473684210527;37.89473684210527;32.98969072164948;36.84210526315789;39.361702127659576;39.361702127659576;32.98969072164948;36.45833333333333;36.84210526315789;36.84210526315789;32.98969072164948;36.45833333333333;36.84210526315789;36.84210526315789;32.98969072164948;36.45833333333333;36.84210526315789;36.84210526315789;32.98969072164948;36.45833333333333;31.313131313131315;31.313131313131315;30.693069306930692;34.0;31.313131313131315;31.313131313131315;30.693069306930692;34.0;31.313131313131315;31.313131313131315;30.693069306930692;34.0;31.313131313131315;31.313131313131315;30.693069306930692;34.0
Weather and alka;26.732673267326735;25.961538461538463;25.742574257425744;25.742574257425744;27.0;26.732673267326735;25.742574257425744;25.742574257425744;27.0;26.732673267326735;29.807692307692307;29.807692307692307;27.0;26.732673267326735;29.807692307692307;29.807692307692307;27.0;26.732673267326735;31.683168316831683;31.683168316831683;28.431372549019606;27.722772277227726;29.807692307692307;29.807692307692307;27.0;26.732673267326735;27.884615384615387;27.884615384615387;26.732673267326735;26.732673267326735;26.47058823529412;26.47058823529412;27.0;26.732673267326735;29.807692307692307;29.807692307692307;27.0;26.732673267326735;27.884615384615387;27.884615384615387;26.732673267326735;26.732673267326735;27.884615384615387;27.884615384615387;26.732673267326735;26.732673267326735;27.884615384615387;27.884615384615387;26.732673267326735;26.732673267326735;30.097087378640776;30.097087378640776;28.000000000000004;26.732673267326735;30.097087378640776;30.097087378640776;28.000000000000004;26.732673267326735;30.097087378640776;30.097087378640776;28.000000000000004;26.732673267326735;30.097087378640776;30.097087378640776;28.000000000000004;26.732673267326735
Expanded all sources;31.06796116504854;37.254901960784316;29.7029702970297;29.7029702970297;31.132075471698112;33.33333333333333;29.7029702970297;29.7029702970297;31.132075471698112;33.65384615384615;38.144329896907216;38.144329896907216;37.86407766990291;40.19607843137255;38.144329896907216;38.144329896907216;37.86407766990291;40.5940594059406;57.14285714285714;57.14285714285714;40.0;39.603960396039604;38.144329896907216;38.144329896907216;37.86407766990291;40.5940594059406;36.734693877551024;36.734693877551024;36.89320388349515;39.603960396039604;30.0;30.0;31.132075471698112;33.65384615384615;38.144329896907216;38.144329896907216;37.86407766990291;40.19607843137255;39.795918367346935;39.795918367346935;36.89320388349515;39.21568627450981;39.795918367346935;39.795918367346935;36.89320388349515;39.21568627450981;39.795918367346935;39.795918367346935;36.89320388349515;39.21568627450981;34.0;34.0;31.48148148148148;33.9622641509434;34.0;34.0;31.48148148148148;33.9622641509434;34.0;34.0;31.48148148148148;33.9622641509434;34.0;34.0;31.48148148148148;33.9622641509434
All sources;41.05263157894737;35.714285714285715;34.69387755102041;34.69387755102041;47.87234042553192;36.84210526315789;32.323232323232325;32.323232323232325;50.0;37.89473684210527;42.2680412371134;42.2680412371134;45.26315789473684;45.26315789473684;42.2680412371134;42.2680412371134;45.26315789473684;45.26315789473684;53.68421052631579;53.68421052631579;44.44444444444444;48.95833333333333;42.2680412371134;42.2680412371134;45.26315789473684;45.26315789473684;42.2680412371134;42.2680412371134;44.21052631578947;44.21052631578947;30.392156862745097;30.392156862745097;47.87234042553192;36.84210526315789;42.2680412371134;42.2680412371134;45.26315789473684;45.26315789473684;42.2680412371134;42.2680412371134;44.21052631578947;44.21052631578947;42.2680412371134;42.2680412371134;44.21052631578947;44.21052631578947;42.2680412371134;42.2680412371134;44.21052631578947;44.21052631578947;48.421052631578945;48.421052631578945;39.175257731958766;39.175257731958766;48.421052631578945;48.421052631578945;39.175257731958766;39.175257731958766;48.421052631578945;48.421052631578945;39.175257731958766;39.175257731958766;48.421052631578945;48.421052631578945;39.175257731958766;39.175257731958766
