Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;77.8409090909091;74.13793103448276;65.0;65.0;74.11764705882354;71.76470588235294;59.49367088607595;59.49367088607595;74.11764705882354;69.27710843373494;55.55555555555556;55.55555555555556;70.9090909090909;69.75308641975309;55.26315789473685;55.26315789473685;70.9090909090909;69.75308641975309;53.896103896103895;53.896103896103895;61.63522012578616;64.3312101910828;55.26315789473685;55.26315789473685;70.9090909090909;69.75308641975309;57.14285714285714;57.14285714285714;70.9090909090909;69.75308641975309;65.0;65.0;74.11764705882354;71.76470588235294;55.26315789473685;55.26315789473685;70.9090909090909;69.75308641975309;57.14285714285714;57.14285714285714;70.9090909090909;69.75308641975309;57.14285714285714;57.14285714285714;70.9090909090909;69.75308641975309;57.14285714285714;57.14285714285714;70.9090909090909;69.75308641975309;60.64516129032258;60.64516129032258;69.0909090909091;68.29268292682927;60.64516129032258;60.64516129032258;69.0909090909091;68.29268292682927;60.64516129032258;60.64516129032258;69.0909090909091;68.29268292682927;60.64516129032258;60.64516129032258;69.0909090909091;68.29268292682927
Weather and new source;61.18421052631579;58.38926174496645;69.36416184971098;69.36416184971098;62.96296296296296;58.70967741935483;67.63005780346822;67.63005780346822;62.732919254658384;57.615894039735096;51.94805194805194;51.94805194805194;60.3896103896104;56.00000000000001;51.94805194805194;51.94805194805194;60.3896103896104;56.00000000000001;34.26573426573427;34.26573426573427;49.668874172185426;49.673202614379086;51.94805194805194;51.94805194805194;60.3896103896104;56.00000000000001;53.896103896103895;53.896103896103895;60.3896103896104;56.29139072847682;69.36416184971098;69.36416184971098;62.96296296296296;58.70967741935483;51.94805194805194;51.94805194805194;60.3896103896104;56.00000000000001;53.896103896103895;53.896103896103895;60.3896103896104;56.29139072847682;53.896103896103895;53.896103896103895;60.3896103896104;56.29139072847682;53.896103896103895;53.896103896103895;60.3896103896104;56.29139072847682;49.673202614379086;49.673202614379086;60.89743589743589;59.61538461538461;49.673202614379086;49.673202614379086;60.89743589743589;59.61538461538461;49.673202614379086;49.673202614379086;60.89743589743589;59.61538461538461;49.673202614379086;49.673202614379086;60.89743589743589;59.61538461538461
Expanded weather and new source;68.94409937888199;67.70186335403726;64.24242424242425;64.24242424242425;61.038961038961034;61.43790849673203;63.69047619047619;63.69047619047619;61.038961038961034;60.130718954248366;55.34591194968554;55.34591194968554;62.251655629139066;62.091503267973856;55.34591194968554;55.34591194968554;62.251655629139066;62.091503267973856;28.985507246376812;28.985507246376812;52.317880794701985;56.12903225806451;55.34591194968554;55.34591194968554;62.251655629139066;62.091503267973856;56.60377358490566;56.60377358490566;62.913907284768214;62.745098039215684;64.24242424242425;64.24242424242425;61.038961038961034;61.43790849673203;55.34591194968554;55.34591194968554;62.251655629139066;62.091503267973856;56.60377358490566;56.60377358490566;62.913907284768214;62.745098039215684;56.60377358490566;56.60377358490566;62.913907284768214;62.745098039215684;56.60377358490566;56.60377358490566;62.913907284768214;62.745098039215684;52.903225806451616;52.903225806451616;58.38926174496645;57.71812080536913;52.903225806451616;52.903225806451616;58.38926174496645;57.71812080536913;52.903225806451616;52.903225806451616;58.38926174496645;57.71812080536913;52.903225806451616;52.903225806451616;58.38926174496645;57.71812080536913
Expanded weather;67.28395061728395;65.40880503144653;54.90196078431373;54.90196078431373;60.75949367088608;54.666666666666664;55.06329113924051;55.06329113924051;59.47712418300654;52.73972602739726;52.94117647058824;52.94117647058824;60.3896103896104;54.0;52.94117647058824;52.94117647058824;60.3896103896104;54.0;37.5;37.5;47.333333333333336;44.966442953020135;52.94117647058824;52.94117647058824;60.3896103896104;54.0;54.0;54.0;60.3896103896104;54.3046357615894;54.60526315789473;54.60526315789473;60.75949367088608;54.666666666666664;52.94117647058824;52.94117647058824;60.3896103896104;54.0;54.0;54.0;60.3896103896104;54.3046357615894;54.0;54.0;60.3896103896104;54.3046357615894;54.0;54.0;60.3896103896104;54.3046357615894;58.44155844155844;58.44155844155844;65.83850931677019;57.05128205128205;58.44155844155844;58.44155844155844;65.83850931677019;57.05128205128205;58.44155844155844;58.44155844155844;65.83850931677019;57.05128205128205;58.44155844155844;58.44155844155844;65.83850931677019;57.05128205128205
Weather, new source and alka;67.94871794871796;69.93865030674846;69.46107784431138;69.46107784431138;63.80368098159509;62.34567901234568;67.70186335403726;67.70186335403726;63.580246913580254;61.875;49.00662251655629;49.00662251655629;65.21739130434783;63.125;49.00662251655629;49.00662251655629;65.21739130434783;65.21739130434783;29.496402877697843;29.496402877697843;53.84615384615385;55.69620253164557;49.00662251655629;49.00662251655629;65.21739130434783;65.21739130434783;57.324840764331206;57.324840764331206;65.4320987654321;66.0493827160494;69.64285714285714;69.64285714285714;63.80368098159509;63.580246913580254;49.00662251655629;49.00662251655629;65.21739130434783;65.21739130434783;57.324840764331206;57.324840764331206;65.4320987654321;66.0493827160494;57.324840764331206;57.324840764331206;65.4320987654321;66.0493827160494;57.324840764331206;57.324840764331206;65.4320987654321;66.0493827160494;56.60377358490566;56.60377358490566;60.75949367088608;59.87261146496815;56.60377358490566;56.60377358490566;60.75949367088608;59.87261146496815;56.60377358490566;56.60377358490566;60.75949367088608;59.87261146496815;56.60377358490566;56.60377358490566;60.75949367088608;59.87261146496815
Expanded weather, new source and alka;66.02564102564102;64.93506493506493;68.09815950920245;68.09815950920245;58.97435897435898;57.7922077922078;65.2439024390244;65.2439024390244;58.97435897435898;58.44155844155844;47.682119205298015;47.682119205298015;54.60526315789473;55.92105263157895;49.668874172185426;49.668874172185426;54.60526315789473;55.92105263157895;29.71014492753623;29.71014492753623;51.94805194805194;51.31578947368421;49.668874172185426;49.668874172185426;54.60526315789473;55.92105263157895;49.00662251655629;49.00662251655629;54.60526315789473;55.92105263157895;68.29268292682927;68.29268292682927;58.97435897435898;57.7922077922078;49.668874172185426;49.668874172185426;54.60526315789473;55.92105263157895;49.00662251655629;49.00662251655629;54.60526315789473;55.92105263157895;49.00662251655629;49.00662251655629;54.60526315789473;55.92105263157895;49.00662251655629;49.00662251655629;54.60526315789473;55.92105263157895;50.0;50.0;53.333333333333336;59.09090909090909;50.0;50.0;53.333333333333336;59.09090909090909;50.0;50.0;53.333333333333336;59.09090909090909;50.0;50.0;53.333333333333336;59.09090909090909
Expanded weather and alka;75.92592592592592;74.39024390243902;56.05095541401274;56.05095541401274;61.07382550335571;60.273972602739725;53.896103896103895;53.896103896103895;63.08724832214765;62.16216216216216;57.23684210526315;57.23684210526315;61.58940397350994;60.66666666666667;57.51633986928104;57.51633986928104;61.58940397350994;60.66666666666667;53.289473684210535;53.289473684210535;57.51633986928104;61.18421052631579;57.51633986928104;57.51633986928104;61.58940397350994;60.66666666666667;59.09090909090909;59.09090909090909;61.8421052631579;61.58940397350994;56.05095541401274;56.05095541401274;61.07382550335571;60.273972602739725;54.966887417218544;54.966887417218544;61.58940397350994;60.66666666666667;59.09090909090909;59.09090909090909;61.8421052631579;61.58940397350994;59.09090909090909;59.09090909090909;61.8421052631579;61.58940397350994;59.09090909090909;59.09090909090909;61.8421052631579;61.58940397350994;60.12658227848101;60.12658227848101;65.82278481012658;64.96815286624204;60.12658227848101;60.12658227848101;65.82278481012658;64.96815286624204;60.12658227848101;60.12658227848101;65.82278481012658;64.96815286624204;60.12658227848101;60.12658227848101;65.82278481012658;64.96815286624204
Weather and alka;73.91304347826086;77.05882352941177;63.29113924050633;63.29113924050633;73.00613496932516;70.98765432098766;62.5;62.5;72.8395061728395;70.80745341614907;60.122699386503065;60.122699386503065;72.8395061728395;70.98765432098766;60.0;60.0;72.8395061728395;70.98765432098766;58.64197530864198;58.64197530864198;65.82278481012658;66.45569620253164;60.0;60.0;72.8395061728395;70.98765432098766;64.41717791411043;64.41717791411043;73.00613496932516;71.16564417177914;63.975155279503106;63.975155279503106;73.00613496932516;70.98765432098766;60.24096385542169;60.24096385542169;72.8395061728395;70.98765432098766;64.41717791411043;64.41717791411043;73.00613496932516;71.16564417177914;64.41717791411043;64.41717791411043;73.00613496932516;71.16564417177914;64.41717791411043;64.41717791411043;73.00613496932516;71.16564417177914;56.41025641025641;56.41025641025641;71.95121951219512;70.5521472392638;56.41025641025641;56.41025641025641;71.95121951219512;70.5521472392638;56.41025641025641;56.41025641025641;71.95121951219512;70.5521472392638;56.41025641025641;56.41025641025641;71.95121951219512;70.5521472392638
Expanded all sources;69.375;64.15094339622641;63.05732484076433;63.05732484076433;64.41717791411043;59.49367088607595;61.935483870967744;61.935483870967744;63.80368098159509;59.87261146496815;56.12903225806451;56.12903225806451;60.0;53.896103896103895;56.12903225806451;56.12903225806451;60.0;53.59477124183007;35.41666666666667;35.41666666666667;50.967741935483865;54.83870967741935;56.12903225806451;56.12903225806451;60.0;53.59477124183007;57.692307692307686;57.692307692307686;60.24844720496895;54.54545454545454;63.05732484076433;63.05732484076433;64.41717791411043;59.23566878980891;56.12903225806451;56.12903225806451;60.0;53.896103896103895;52.63157894736842;52.63157894736842;60.24844720496895;54.83870967741935;52.63157894736842;52.63157894736842;60.24844720496895;54.83870967741935;52.63157894736842;52.63157894736842;60.24844720496895;54.83870967741935;58.86075949367089;58.86075949367089;66.07142857142857;60.86956521739131;58.86075949367089;58.86075949367089;66.07142857142857;60.86956521739131;58.86075949367089;58.86075949367089;66.07142857142857;60.86956521739131;58.86075949367089;58.86075949367089;66.07142857142857;60.86956521739131
All sources;65.33333333333333;68.58974358974359;55.55555555555556;55.55555555555556;53.42465753424658;64.28571428571429;59.61538461538461;59.61538461538461;54.421768707483;65.359477124183;52.63157894736842;52.63157894736842;55.78231292517006;55.78231292517006;53.289473684210535;53.289473684210535;55.78231292517006;55.78231292517006;37.67123287671233;37.67123287671233;50.649350649350644;48.66666666666667;53.289473684210535;53.289473684210535;55.78231292517006;55.78231292517006;53.289473684210535;53.289473684210535;56.08108108108109;56.75675675675676;63.35403726708074;63.35403726708074;53.42465753424658;64.28571428571429;53.289473684210535;53.289473684210535;55.78231292517006;55.78231292517006;53.289473684210535;53.289473684210535;56.08108108108109;56.75675675675676;53.289473684210535;53.289473684210535;56.08108108108109;56.75675675675676;53.289473684210535;53.289473684210535;56.08108108108109;56.75675675675676;46.308724832214764;46.308724832214764;59.47712418300654;60.130718954248366;46.308724832214764;46.308724832214764;59.47712418300654;60.130718954248366;46.308724832214764;46.308724832214764;59.47712418300654;60.130718954248366;46.308724832214764;46.308724832214764;59.47712418300654;60.130718954248366
