Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;6.918238993710692;8.724832214765101;15.503875968992247;15.503875968992247;12.587412587412588;9.859154929577464;12.4031007751938;12.4031007751938;12.587412587412588;8.51063829787234;13.709677419354838;13.709677419354838;12.949640287769784;14.17910447761194;13.709677419354838;13.709677419354838;12.949640287769784;14.17910447761194;8.130081300813007;8.130081300813007;12.698412698412698;13.709677419354838;13.709677419354838;13.709677419354838;12.949640287769784;14.17910447761194;13.600000000000001;13.600000000000001;13.043478260869565;14.17910447761194;15.503875968992247;15.503875968992247;12.587412587412588;9.859154929577464;13.709677419354838;13.709677419354838;12.949640287769784;14.17910447761194;13.600000000000001;13.600000000000001;13.043478260869565;14.17910447761194;13.600000000000001;13.600000000000001;13.043478260869565;14.17910447761194;13.600000000000001;13.600000000000001;13.043478260869565;14.17910447761194;12.5;12.5;13.138686131386862;14.285714285714285;12.5;12.5;13.138686131386862;14.285714285714285;12.5;12.5;13.138686131386862;14.285714285714285;12.5;12.5;13.138686131386862;14.285714285714285
Weather and new source;7.6923076923076925;9.230769230769232;12.408759124087592;12.408759124087592;9.523809523809524;13.114754098360656;11.678832116788321;11.678832116788321;9.523809523809524;13.114754098360656;8.94308943089431;8.94308943089431;14.87603305785124;13.043478260869565;9.01639344262295;9.01639344262295;14.87603305785124;13.043478260869565;7.017543859649122;7.017543859649122;11.11111111111111;11.11111111111111;9.01639344262295;9.01639344262295;14.87603305785124;13.043478260869565;9.836065573770492;9.836065573770492;15.702479338842975;14.782608695652174;12.5;12.5;9.523809523809524;13.114754098360656;9.01639344262295;9.01639344262295;14.87603305785124;13.043478260869565;9.836065573770492;9.836065573770492;15.702479338842975;14.782608695652174;9.836065573770492;9.836065573770492;15.702479338842975;14.782608695652174;9.836065573770492;9.836065573770492;15.702479338842975;14.782608695652174;8.333333333333332;8.333333333333332;15.702479338842975;13.559322033898304;8.333333333333332;8.333333333333332;15.702479338842975;13.559322033898304;8.333333333333332;8.333333333333332;15.702479338842975;13.559322033898304;8.333333333333332;8.333333333333332;15.702479338842975;13.559322033898304
Expanded weather and new source;11.510791366906476;13.66906474820144;11.023622047244094;11.023622047244094;12.878787878787879;11.278195488721805;9.923664122137405;9.923664122137405;13.533834586466165;10.606060606060606;7.142857142857142;7.142857142857142;18.253968253968253;15.625;7.142857142857142;7.142857142857142;18.253968253968253;15.625;9.345794392523365;9.345794392523365;14.634146341463413;13.709677419354838;7.142857142857142;7.142857142857142;18.253968253968253;15.625;7.142857142857142;7.142857142857142;19.047619047619047;16.27906976744186;11.023622047244094;11.023622047244094;12.878787878787879;11.278195488721805;7.142857142857142;7.142857142857142;18.253968253968253;15.625;7.142857142857142;7.142857142857142;19.047619047619047;16.27906976744186;7.142857142857142;7.142857142857142;19.047619047619047;16.27906976744186;7.142857142857142;7.142857142857142;19.047619047619047;16.27906976744186;7.377049180327869;7.377049180327869;18.548387096774192;16.93548387096774;7.377049180327869;7.377049180327869;18.548387096774192;16.93548387096774;7.377049180327869;7.377049180327869;18.548387096774192;16.93548387096774;7.377049180327869;7.377049180327869;18.548387096774192;16.93548387096774
Expanded weather;15.384615384615385;9.16030534351145;11.11111111111111;11.11111111111111;16.0;15.0;9.375;9.375;17.073170731707318;14.40677966101695;8.94308943089431;8.94308943089431;17.21311475409836;11.666666666666666;8.94308943089431;8.94308943089431;17.21311475409836;11.570247933884298;9.322033898305085;9.322033898305085;10.0;9.401709401709402;8.94308943089431;8.94308943089431;17.21311475409836;11.570247933884298;11.570247933884298;11.570247933884298;17.21311475409836;12.5;10.236220472440944;10.236220472440944;16.0;15.0;8.94308943089431;8.94308943089431;17.21311475409836;11.570247933884298;11.570247933884298;11.570247933884298;17.21311475409836;12.5;11.570247933884298;11.570247933884298;17.21311475409836;12.5;11.570247933884298;11.570247933884298;17.21311475409836;12.5;11.29032258064516;11.29032258064516;16.793893129770993;11.38211382113821;11.29032258064516;11.29032258064516;16.793893129770993;11.38211382113821;11.29032258064516;11.29032258064516;16.793893129770993;11.38211382113821;11.29032258064516;11.29032258064516;16.793893129770993;11.38211382113821
Weather, new source and alka;14.173228346456693;12.781954887218044;13.333333333333334;13.333333333333334;12.307692307692308;8.461538461538462;14.0625;14.0625;12.307692307692308;8.461538461538462;9.243697478991598;9.243697478991598;17.46031746031746;14.516129032258066;9.243697478991598;9.243697478991598;17.46031746031746;15.32258064516129;7.4074074074074066;7.4074074074074066;15.0;14.166666666666666;9.243697478991598;9.243697478991598;17.46031746031746;15.32258064516129;9.75609756097561;9.75609756097561;17.46031746031746;15.32258064516129;13.333333333333334;13.333333333333334;12.307692307692308;9.230769230769232;9.322033898305085;9.322033898305085;17.46031746031746;15.32258064516129;9.75609756097561;9.75609756097561;17.46031746031746;15.32258064516129;9.75609756097561;9.75609756097561;17.46031746031746;15.32258064516129;9.75609756097561;9.75609756097561;17.46031746031746;15.32258064516129;7.199999999999999;7.199999999999999;17.741935483870968;15.702479338842975;7.199999999999999;7.199999999999999;17.741935483870968;15.702479338842975;7.199999999999999;7.199999999999999;17.741935483870968;15.702479338842975;7.199999999999999;7.199999999999999;17.741935483870968;15.702479338842975
Expanded weather, new source and alka;12.213740458015266;12.781954887218044;11.278195488721805;11.278195488721805;13.385826771653544;11.11111111111111;10.852713178294573;10.852713178294573;13.385826771653544;11.904761904761903;6.666666666666667;6.666666666666667;17.5;17.5;6.666666666666667;6.666666666666667;17.5;17.5;8.333333333333332;8.333333333333332;15.833333333333332;15.0;6.666666666666667;6.666666666666667;17.5;17.5;6.6115702479338845;6.6115702479338845;17.5;17.5;13.178294573643413;13.178294573643413;13.385826771653544;11.11111111111111;6.666666666666667;6.666666666666667;17.5;17.5;6.6115702479338845;6.6115702479338845;17.5;17.5;6.6115702479338845;6.6115702479338845;17.5;17.5;6.6115702479338845;6.6115702479338845;17.5;17.5;7.43801652892562;7.43801652892562;17.647058823529413;17.073170731707318;7.43801652892562;7.43801652892562;17.647058823529413;17.073170731707318;7.43801652892562;7.43801652892562;17.647058823529413;17.073170731707318;7.43801652892562;7.43801652892562;17.647058823529413;17.073170731707318
Expanded weather and alka;9.395973154362416;11.267605633802818;8.396946564885496;8.396946564885496;12.121212121212121;11.627906976744185;8.333333333333332;8.333333333333332;13.636363636363635;10.76923076923077;8.59375;8.59375;10.526315789473683;8.461538461538462;8.59375;8.59375;10.526315789473683;8.461538461538462;8.661417322834646;8.661417322834646;6.923076923076923;8.59375;8.59375;8.59375;10.526315789473683;8.461538461538462;8.73015873015873;8.73015873015873;10.526315789473683;9.230769230769232;8.59375;8.59375;12.121212121212121;11.627906976744185;8.73015873015873;8.73015873015873;10.526315789473683;8.461538461538462;8.73015873015873;8.73015873015873;10.526315789473683;9.230769230769232;8.73015873015873;8.73015873015873;10.526315789473683;9.230769230769232;8.73015873015873;8.73015873015873;10.526315789473683;9.230769230769232;7.086614173228346;7.086614173228346;9.48905109489051;7.518796992481203;7.086614173228346;7.086614173228346;9.48905109489051;7.518796992481203;7.086614173228346;7.086614173228346;9.48905109489051;7.518796992481203;7.086614173228346;7.086614173228346;9.48905109489051;7.518796992481203
Weather and alka;8.904109589041095;6.535947712418301;13.846153846153847;13.846153846153847;12.949640287769784;11.347517730496454;13.953488372093023;13.953488372093023;13.66906474820144;11.347517730496454;8.333333333333332;8.333333333333332;12.949640287769784;12.056737588652481;8.333333333333332;8.333333333333332;12.949640287769784;12.056737588652481;9.448818897637794;9.448818897637794;12.5;12.030075187969924;8.333333333333332;8.333333333333332;12.949640287769784;12.056737588652481;11.363636363636363;11.363636363636363;12.949640287769784;12.056737588652481;15.503875968992247;15.503875968992247;12.949640287769784;11.347517730496454;8.396946564885496;8.396946564885496;12.949640287769784;12.056737588652481;11.363636363636363;11.363636363636363;12.949640287769784;12.056737588652481;11.363636363636363;11.363636363636363;12.949640287769784;12.056737588652481;11.363636363636363;11.363636363636363;12.949640287769784;12.056737588652481;7.258064516129033;7.258064516129033;13.533834586466165;12.142857142857142;7.258064516129033;7.258064516129033;13.533834586466165;12.142857142857142;7.258064516129033;7.258064516129033;13.533834586466165;12.142857142857142;7.258064516129033;7.258064516129033;13.533834586466165;12.142857142857142
Expanded all sources;12.686567164179104;8.396946564885496;13.385826771653544;13.385826771653544;12.781954887218044;15.384615384615385;13.385826771653544;13.385826771653544;11.278195488721805;14.615384615384617;14.049586776859504;14.049586776859504;11.627906976744185;11.904761904761903;14.049586776859504;14.049586776859504;11.627906976744185;11.904761904761903;8.035714285714286;8.035714285714286;7.317073170731707;10.569105691056912;14.049586776859504;14.049586776859504;11.627906976744185;11.904761904761903;13.223140495867769;13.223140495867769;11.627906976744185;12.698412698412698;13.385826771653544;13.385826771653544;12.781954887218044;15.384615384615385;14.049586776859504;14.049586776859504;11.627906976744185;11.904761904761903;13.445378151260504;13.445378151260504;11.627906976744185;12.698412698412698;13.445378151260504;13.445378151260504;11.627906976744185;12.698412698412698;13.445378151260504;13.445378151260504;11.627906976744185;12.698412698412698;9.67741935483871;9.67741935483871;9.558823529411764;11.278195488721805;9.67741935483871;9.67741935483871;9.558823529411764;11.278195488721805;9.67741935483871;9.67741935483871;9.558823529411764;11.278195488721805;9.67741935483871;9.67741935483871;9.558823529411764;11.278195488721805
All sources;17.96875;11.11111111111111;20.833333333333336;20.833333333333336;18.103448275862068;16.0;18.0327868852459;18.0327868852459;15.126050420168067;16.0;11.864406779661017;11.864406779661017;14.40677966101695;12.711864406779661;11.864406779661017;11.864406779661017;14.40677966101695;12.711864406779661;7.964601769911504;7.964601769911504;7.5;8.547008547008547;11.864406779661017;11.864406779661017;14.40677966101695;12.711864406779661;11.864406779661017;11.864406779661017;14.40677966101695;13.559322033898304;15.079365079365079;15.079365079365079;18.103448275862068;16.0;11.864406779661017;11.864406779661017;14.40677966101695;12.711864406779661;11.864406779661017;11.864406779661017;14.40677966101695;13.559322033898304;11.864406779661017;11.864406779661017;14.40677966101695;13.559322033898304;11.864406779661017;11.864406779661017;14.40677966101695;13.559322033898304;6.779661016949152;6.779661016949152;12.396694214876034;11.475409836065573;6.779661016949152;6.779661016949152;12.396694214876034;11.475409836065573;6.779661016949152;6.779661016949152;12.396694214876034;11.475409836065573;6.779661016949152;6.779661016949152;12.396694214876034;11.475409836065573
