Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;7.017543859649123;8.771929824561411;5.26315789473685;5.26315789473685;5.26315789473685;7.017543859649123;8.771929824561411;8.771929824561411;7.017543859649123;8.771929824561411;8.771929824561411;8.771929824561411;7.017543859649123;8.771929824561411;12.280701754385973;12.280701754385973;8.771929824561411;8.771929824561411;7.017543859649123;7.017543859649123;8.771929824561411;8.771929824561411;12.280701754385973;12.280701754385973;8.771929824561411;8.771929824561411;5.26315789473685;5.26315789473685;7.017543859649123;7.017543859649123;10.526315789473685;10.526315789473685;7.017543859649123;7.017543859649123;8.771929824561411;8.771929824561411;7.017543859649123;8.771929824561411;0.0;0.0;5.26315789473685;7.017543859649123;0.0;0.0;5.26315789473685;7.017543859649123;0.0;0.0;5.26315789473685;7.017543859649123;10.526315789473685;10.526315789473685;0.0;7.017543859649123;10.526315789473685;10.526315789473685;0.0;7.017543859649123;10.526315789473685;10.526315789473685;0.0;7.017543859649123;10.526315789473685;10.526315789473685;0.0;7.017543859649123
Weather and new source;8.771929824561411;7.017543859649123;10.526315789473685;10.526315789473685;8.771929824561411;7.017543859649123;8.771929824561411;8.771929824561411;8.771929824561411;7.017543859649123;8.771929824561411;8.771929824561411;8.771929824561411;7.017543859649123;15.789473684210535;15.789473684210535;10.526315789473685;8.771929824561411;15.789473684210535;15.789473684210535;10.526315789473685;8.771929824561411;15.789473684210535;15.789473684210535;10.526315789473685;8.771929824561411;15.789473684210535;15.789473684210535;10.526315789473685;8.771929824561411;17.54385964912281;17.54385964912281;10.526315789473685;8.771929824561411;8.771929824561411;8.771929824561411;8.771929824561411;7.017543859649123;10.526315789473685;10.526315789473685;8.771929824561411;7.017543859649123;10.526315789473685;10.526315789473685;8.771929824561411;7.017543859649123;10.526315789473685;10.526315789473685;8.771929824561411;7.017543859649123;10.526315789473685;10.526315789473685;8.771929824561411;7.017543859649123;10.526315789473685;10.526315789473685;8.771929824561411;7.017543859649123;10.526315789473685;10.526315789473685;8.771929824561411;7.017543859649123;10.526315789473685;10.526315789473685;8.771929824561411;7.017543859649123
Expanded weather and new source;12.280701754385973;10.526315789473685;8.771929824561411;8.771929824561411;12.280701754385973;10.526315789473685;8.771929824561411;8.771929824561411;12.280701754385973;10.526315789473685;8.771929824561411;8.771929824561411;12.280701754385973;10.526315789473685;15.789473684210535;15.789473684210535;15.789473684210535;12.280701754385973;15.789473684210535;15.789473684210535;15.789473684210535;12.280701754385973;15.789473684210535;15.789473684210535;15.789473684210535;12.280701754385973;15.789473684210535;15.789473684210535;15.789473684210535;12.280701754385973;15.789473684210535;15.789473684210535;15.789473684210535;12.280701754385973;10.526315789473685;10.526315789473685;12.280701754385973;10.526315789473685;10.526315789473685;10.526315789473685;12.280701754385973;10.526315789473685;10.526315789473685;10.526315789473685;12.280701754385973;10.526315789473685;10.526315789473685;10.526315789473685;12.280701754385973;10.526315789473685;10.526315789473685;10.526315789473685;12.280701754385973;10.526315789473685;10.526315789473685;10.526315789473685;12.280701754385973;10.526315789473685;10.526315789473685;10.526315789473685;12.280701754385973;10.526315789473685;10.526315789473685;10.526315789473685;12.280701754385973;10.526315789473685
Expanded weather;10.526315789473685;8.771929824561411;8.771929824561411;8.771929824561411;8.771929824561411;8.771929824561411;7.017543859649123;7.017543859649123;8.771929824561411;8.771929824561411;8.771929824561411;8.771929824561411;8.771929824561411;8.771929824561411;15.789473684210535;15.789473684210535;8.771929824561411;8.771929824561411;15.789473684210535;15.789473684210535;8.771929824561411;8.771929824561411;15.789473684210535;15.789473684210535;8.771929824561411;8.771929824561411;15.789473684210535;15.789473684210535;8.771929824561411;8.771929824561411;15.789473684210535;15.789473684210535;8.771929824561411;8.771929824561411;8.771929824561411;8.771929824561411;8.771929824561411;8.771929824561411;8.771929824561411;8.771929824561411;8.771929824561411;8.771929824561411;8.771929824561411;8.771929824561411;8.771929824561411;8.771929824561411;8.771929824561411;8.771929824561411;8.771929824561411;8.771929824561411;12.280701754385973;12.280701754385973;8.771929824561411;8.771929824561411;12.280701754385973;12.280701754385973;8.771929824561411;8.771929824561411;12.280701754385973;12.280701754385973;8.771929824561411;8.771929824561411;12.280701754385973;12.280701754385973;8.771929824561411;8.771929824561411
Weather, new source and alka;15.789473684210535;12.280701754385973;8.771929824561411;8.771929824561411;15.789473684210535;12.280701754385973;8.771929824561411;8.771929824561411;15.789473684210535;12.280701754385973;10.526315789473685;10.526315789473685;17.54385964912281;14.035087719298247;45.614035087719294;45.614035087719294;29.82456140350878;24.56140350877193;45.614035087719294;45.614035087719294;29.82456140350878;24.56140350877193;45.614035087719294;45.614035087719294;29.82456140350878;24.56140350877193;45.614035087719294;45.614035087719294;29.82456140350878;24.56140350877193;45.614035087719294;45.614035087719294;28.070175438596493;28.070175438596493;8.771929824561411;8.771929824561411;17.54385964912281;14.035087719298247;8.771929824561411;8.771929824561411;17.54385964912281;14.035087719298247;8.771929824561411;8.771929824561411;17.54385964912281;14.035087719298247;8.771929824561411;8.771929824561411;17.54385964912281;14.035087719298247;14.035087719298247;14.035087719298247;17.54385964912281;14.035087719298247;14.035087719298247;14.035087719298247;17.54385964912281;14.035087719298247;14.035087719298247;14.035087719298247;17.54385964912281;14.035087719298247;14.035087719298247;14.035087719298247;17.54385964912281;14.035087719298247
Expanded weather, new source and alka;19.298245614035096;14.035087719298247;8.771929824561411;8.771929824561411;17.54385964912281;12.280701754385973;8.771929824561411;8.771929824561411;17.54385964912281;12.280701754385973;5.26315789473685;5.26315789473685;17.54385964912281;12.280701754385973;54.385964912280706;54.385964912280706;36.8421052631579;29.82456140350878;54.385964912280706;54.385964912280706;36.8421052631579;29.82456140350878;54.385964912280706;54.385964912280706;36.8421052631579;29.82456140350878;56.140350877192986;56.140350877192986;36.8421052631579;29.82456140350878;56.140350877192986;56.140350877192986;36.8421052631579;29.82456140350878;5.26315789473685;5.26315789473685;17.54385964912281;12.280701754385973;5.26315789473685;5.26315789473685;17.54385964912281;12.280701754385973;5.26315789473685;5.26315789473685;17.54385964912281;12.280701754385973;5.26315789473685;5.26315789473685;17.54385964912281;12.280701754385973;12.280701754385973;12.280701754385973;15.789473684210535;10.526315789473685;12.280701754385973;12.280701754385973;15.789473684210535;10.526315789473685;12.280701754385973;12.280701754385973;15.789473684210535;10.526315789473685;12.280701754385973;12.280701754385973;15.789473684210535;10.526315789473685
Expanded weather and alka;14.035087719298247;12.280701754385973;7.017543859649123;7.017543859649123;14.035087719298247;12.280701754385973;7.017543859649123;7.017543859649123;14.035087719298247;12.280701754385973;7.017543859649123;7.017543859649123;14.035087719298247;12.280701754385973;31.578947368421055;31.578947368421055;29.82456140350878;22.807017543859658;31.578947368421055;31.578947368421055;29.82456140350878;22.807017543859658;31.578947368421055;31.578947368421055;29.82456140350878;22.807017543859658;31.578947368421055;31.578947368421055;29.82456140350878;22.807017543859658;31.578947368421055;31.578947368421055;29.82456140350878;22.807017543859658;7.017543859649123;7.017543859649123;17.54385964912281;15.789473684210535;7.017543859649123;7.017543859649123;17.54385964912281;15.789473684210535;7.017543859649123;7.017543859649123;17.54385964912281;15.789473684210535;7.017543859649123;7.017543859649123;17.54385964912281;15.789473684210535;10.526315789473685;10.526315789473685;17.54385964912281;15.789473684210535;10.526315789473685;10.526315789473685;17.54385964912281;15.789473684210535;10.526315789473685;10.526315789473685;17.54385964912281;15.789473684210535;10.526315789473685;10.526315789473685;17.54385964912281;15.789473684210535
Weather and alka;17.54385964912281;10.526315789473685;8.771929824561411;8.771929824561411;10.526315789473685;8.771929824561411;8.771929824561411;8.771929824561411;12.280701754385973;5.26315789473685;7.017543859649123;7.017543859649123;12.280701754385973;5.26315789473685;33.33333333333334;33.33333333333334;29.82456140350878;19.298245614035096;33.33333333333334;33.33333333333334;29.82456140350878;19.298245614035096;33.33333333333334;33.33333333333334;29.82456140350878;19.298245614035096;35.08771929824562;35.08771929824562;29.82456140350878;19.298245614035096;33.33333333333334;33.33333333333334;29.82456140350878;19.298245614035096;8.771929824561411;8.771929824561411;12.280701754385973;8.771929824561411;7.017543859649123;7.017543859649123;10.526315789473685;7.017543859649123;7.017543859649123;7.017543859649123;10.526315789473685;7.017543859649123;7.017543859649123;7.017543859649123;10.526315789473685;7.017543859649123;12.280701754385973;12.280701754385973;10.526315789473685;7.017543859649123;12.280701754385973;12.280701754385973;10.526315789473685;7.017543859649123;12.280701754385973;12.280701754385973;10.526315789473685;7.017543859649123;12.280701754385973;12.280701754385973;10.526315789473685;7.017543859649123
Expanded all sources;15.789473684210535;14.035087719298247;1.754385964912288;1.754385964912288;19.298245614035096;15.789473684210535;1.754385964912288;1.754385964912288;17.54385964912281;15.789473684210535;3.5087719298245617;3.5087719298245617;19.298245614035096;15.789473684210535;35.08771929824562;35.08771929824562;28.070175438596493;26.31578947368422;35.08771929824562;35.08771929824562;28.070175438596493;26.31578947368422;35.08771929824562;35.08771929824562;28.070175438596493;26.31578947368422;35.08771929824562;35.08771929824562;28.070175438596493;26.31578947368422;35.08771929824562;35.08771929824562;28.070175438596493;26.31578947368422;3.5087719298245617;3.5087719298245617;19.298245614035096;15.789473684210535;3.5087719298245617;3.5087719298245617;19.298245614035096;15.789473684210535;3.5087719298245617;3.5087719298245617;19.298245614035096;15.789473684210535;3.5087719298245617;3.5087719298245617;19.298245614035096;15.789473684210535;8.771929824561411;8.771929824561411;17.54385964912281;14.035087719298247;8.771929824561411;8.771929824561411;17.54385964912281;14.035087719298247;8.771929824561411;8.771929824561411;17.54385964912281;14.035087719298247;8.771929824561411;8.771929824561411;17.54385964912281;14.035087719298247
All sources;14.035087719298247;12.280701754385973;8.771929824561411;8.771929824561411;14.035087719298247;8.771929824561411;5.26315789473685;5.26315789473685;14.035087719298247;8.771929824561411;5.26315789473685;5.26315789473685;14.035087719298247;8.771929824561411;43.85964912280702;43.85964912280702;29.82456140350878;15.789473684210535;43.85964912280702;43.85964912280702;29.82456140350878;15.789473684210535;43.85964912280702;43.85964912280702;29.82456140350878;15.789473684210535;45.614035087719294;45.614035087719294;29.82456140350878;15.789473684210535;40.35087719298246;40.35087719298246;29.82456140350878;15.789473684210535;8.771929824561411;8.771929824561411;14.035087719298247;8.771929824561411;8.771929824561411;8.771929824561411;14.035087719298247;8.771929824561411;8.771929824561411;8.771929824561411;14.035087719298247;8.771929824561411;8.771929824561411;8.771929824561411;14.035087719298247;8.771929824561411;10.526315789473685;10.526315789473685;14.035087719298247;8.771929824561411;10.526315789473685;10.526315789473685;14.035087719298247;8.771929824561411;10.526315789473685;10.526315789473685;14.035087719298247;8.771929824561411;10.526315789473685;10.526315789473685;14.035087719298247;8.771929824561411
