Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;15.384615384615385;8.333333333333332;15.384615384615385;15.384615384615385;8.333333333333332;0.0;15.384615384615385;15.384615384615385;15.384615384615385;8.333333333333332;21.428571428571427;21.428571428571427;8.333333333333332;0.0;15.384615384615385;15.384615384615385;8.333333333333332;0.0;15.384615384615385;15.384615384615385;8.333333333333332;0.0;15.384615384615385;15.384615384615385;8.333333333333332;0.0;15.384615384615385;15.384615384615385;8.333333333333332;0.0;15.384615384615385;15.384615384615385;8.333333333333332;0.0;21.428571428571427;21.428571428571427;8.333333333333332;0.0;21.428571428571427;21.428571428571427;8.333333333333332;0.0;21.428571428571427;21.428571428571427;8.333333333333332;0.0;21.428571428571427;21.428571428571427;8.333333333333332;0.0;15.384615384615385;15.384615384615385;8.333333333333332;0.0;15.384615384615385;15.384615384615385;8.333333333333332;0.0;15.384615384615385;15.384615384615385;8.333333333333332;0.0;15.384615384615385;15.384615384615385;8.333333333333332;0.0
Weather and new source;8.333333333333332;8.333333333333332;15.384615384615385;15.384615384615385;8.333333333333332;8.333333333333332;15.384615384615385;15.384615384615385;8.333333333333332;8.333333333333332;31.25;31.25;8.333333333333332;8.333333333333332;21.428571428571427;21.428571428571427;8.333333333333332;8.333333333333332;21.428571428571427;21.428571428571427;8.333333333333332;8.333333333333332;21.428571428571427;21.428571428571427;8.333333333333332;8.333333333333332;21.428571428571427;21.428571428571427;8.333333333333332;8.333333333333332;15.384615384615385;15.384615384615385;8.333333333333332;8.333333333333332;31.25;31.25;8.333333333333332;8.333333333333332;31.25;31.25;8.333333333333332;8.333333333333332;31.25;31.25;8.333333333333332;8.333333333333332;31.25;31.25;8.333333333333332;8.333333333333332;15.384615384615385;15.384615384615385;8.333333333333332;8.333333333333332;15.384615384615385;15.384615384615385;8.333333333333332;8.333333333333332;15.384615384615385;15.384615384615385;8.333333333333332;8.333333333333332;15.384615384615385;15.384615384615385;8.333333333333332;8.333333333333332
Expanded weather and new source;15.384615384615385;15.384615384615385;15.384615384615385;15.384615384615385;15.384615384615385;15.384615384615385;15.384615384615385;15.384615384615385;15.384615384615385;15.384615384615385;21.428571428571427;21.428571428571427;15.384615384615385;15.384615384615385;15.384615384615385;15.384615384615385;15.384615384615385;15.384615384615385;21.428571428571427;21.428571428571427;15.384615384615385;15.384615384615385;15.384615384615385;15.384615384615385;15.384615384615385;15.384615384615385;21.428571428571427;21.428571428571427;15.384615384615385;15.384615384615385;15.384615384615385;15.384615384615385;15.384615384615385;15.384615384615385;21.428571428571427;21.428571428571427;15.384615384615385;15.384615384615385;21.428571428571427;21.428571428571427;15.384615384615385;15.384615384615385;21.428571428571427;21.428571428571427;15.384615384615385;15.384615384615385;21.428571428571427;21.428571428571427;15.384615384615385;15.384615384615385;15.384615384615385;15.384615384615385;15.384615384615385;15.384615384615385;15.384615384615385;15.384615384615385;15.384615384615385;15.384615384615385;15.384615384615385;15.384615384615385;15.384615384615385;15.384615384615385;15.384615384615385;15.384615384615385;15.384615384615385;15.384615384615385
Expanded weather;8.333333333333332;8.333333333333332;8.333333333333332;8.333333333333332;8.333333333333332;8.333333333333332;15.384615384615385;15.384615384615385;8.333333333333332;8.333333333333332;15.384615384615385;15.384615384615385;8.333333333333332;8.333333333333332;15.384615384615385;15.384615384615385;8.333333333333332;8.333333333333332;15.384615384615385;15.384615384615385;8.333333333333332;8.333333333333332;15.384615384615385;15.384615384615385;8.333333333333332;8.333333333333332;8.333333333333332;8.333333333333332;8.333333333333332;8.333333333333332;8.333333333333332;8.333333333333332;8.333333333333332;8.333333333333332;15.384615384615385;15.384615384615385;8.333333333333332;8.333333333333332;8.333333333333332;8.333333333333332;8.333333333333332;8.333333333333332;8.333333333333332;8.333333333333332;8.333333333333332;8.333333333333332;8.333333333333332;8.333333333333332;8.333333333333332;8.333333333333332;26.666666666666668;26.666666666666668;8.333333333333332;8.333333333333332;26.666666666666668;26.666666666666668;8.333333333333332;8.333333333333332;26.666666666666668;26.666666666666668;8.333333333333332;8.333333333333332;26.666666666666668;26.666666666666668;8.333333333333332;8.333333333333332
Weather, new source and alka;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.333333333333332;8.333333333333332;0.0;0.0;0.0;0.0;0.0;8.333333333333332;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.333333333333332;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.333333333333332;8.333333333333332;8.333333333333332;0.0;0.0;8.333333333333332;8.333333333333332;0.0;0.0;8.333333333333332;8.333333333333332;0.0;0.0;8.333333333333332;8.333333333333332;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Expanded weather, new source and alka;0.0;8.333333333333332;8.333333333333332;8.333333333333332;0.0;8.333333333333332;15.384615384615385;15.384615384615385;0.0;8.333333333333332;21.428571428571427;21.428571428571427;0.0;8.333333333333332;8.333333333333332;8.333333333333332;0.0;8.333333333333332;8.333333333333332;8.333333333333332;0.0;8.333333333333332;8.333333333333332;8.333333333333332;0.0;8.333333333333332;0.0;0.0;0.0;8.333333333333332;0.0;0.0;0.0;8.333333333333332;15.384615384615385;15.384615384615385;0.0;8.333333333333332;8.333333333333332;8.333333333333332;0.0;8.333333333333332;8.333333333333332;8.333333333333332;0.0;8.333333333333332;8.333333333333332;8.333333333333332;0.0;8.333333333333332;0.0;0.0;8.333333333333332;8.333333333333332;0.0;0.0;8.333333333333332;8.333333333333332;0.0;0.0;8.333333333333332;8.333333333333332;0.0;0.0;8.333333333333332;8.333333333333332
Expanded weather and alka;8.333333333333332;15.384615384615385;15.384615384615385;15.384615384615385;8.333333333333332;15.384615384615385;15.384615384615385;15.384615384615385;8.333333333333332;15.384615384615385;15.384615384615385;15.384615384615385;8.333333333333332;15.384615384615385;8.333333333333332;8.333333333333332;0.0;15.384615384615385;8.333333333333332;8.333333333333332;0.0;15.384615384615385;8.333333333333332;8.333333333333332;0.0;15.384615384615385;8.333333333333332;8.333333333333332;0.0;15.384615384615385;8.333333333333332;8.333333333333332;0.0;15.384615384615385;8.333333333333332;8.333333333333332;8.333333333333332;15.384615384615385;8.333333333333332;8.333333333333332;8.333333333333332;15.384615384615385;8.333333333333332;8.333333333333332;8.333333333333332;15.384615384615385;8.333333333333332;8.333333333333332;8.333333333333332;15.384615384615385;15.384615384615385;15.384615384615385;8.333333333333332;15.384615384615385;15.384615384615385;15.384615384615385;8.333333333333332;15.384615384615385;15.384615384615385;15.384615384615385;8.333333333333332;15.384615384615385;15.384615384615385;15.384615384615385;8.333333333333332;15.384615384615385
Weather and alka;0.0;15.384615384615385;8.333333333333332;8.333333333333332;0.0;15.384615384615385;15.384615384615385;15.384615384615385;0.0;15.384615384615385;21.428571428571427;21.428571428571427;0.0;15.384615384615385;0.0;0.0;0.0;15.384615384615385;0.0;0.0;0.0;15.384615384615385;0.0;0.0;0.0;15.384615384615385;0.0;0.0;0.0;15.384615384615385;0.0;0.0;0.0;15.384615384615385;8.333333333333332;8.333333333333332;0.0;15.384615384615385;21.428571428571427;21.428571428571427;0.0;15.384615384615385;21.428571428571427;21.428571428571427;0.0;15.384615384615385;21.428571428571427;21.428571428571427;0.0;15.384615384615385;15.384615384615385;15.384615384615385;0.0;15.384615384615385;15.384615384615385;15.384615384615385;0.0;15.384615384615385;15.384615384615385;15.384615384615385;0.0;15.384615384615385;15.384615384615385;15.384615384615385;0.0;15.384615384615385
Expanded all sources;8.333333333333332;8.333333333333332;8.333333333333332;8.333333333333332;8.333333333333332;8.333333333333332;8.333333333333332;8.333333333333332;15.384615384615385;8.333333333333332;15.384615384615385;15.384615384615385;8.333333333333332;8.333333333333332;8.333333333333332;8.333333333333332;0.0;0.0;8.333333333333332;8.333333333333332;0.0;0.0;8.333333333333332;8.333333333333332;0.0;0.0;8.333333333333332;8.333333333333332;0.0;0.0;0.0;0.0;0.0;0.0;15.384615384615385;15.384615384615385;8.333333333333332;8.333333333333332;15.384615384615385;15.384615384615385;8.333333333333332;8.333333333333332;15.384615384615385;15.384615384615385;8.333333333333332;8.333333333333332;15.384615384615385;15.384615384615385;8.333333333333332;8.333333333333332;8.333333333333332;8.333333333333332;8.333333333333332;8.333333333333332;8.333333333333332;8.333333333333332;8.333333333333332;8.333333333333332;8.333333333333332;8.333333333333332;8.333333333333332;8.333333333333332;8.333333333333332;8.333333333333332;8.333333333333332;8.333333333333332
All sources;8.333333333333332;8.333333333333332;15.384615384615385;15.384615384615385;8.333333333333332;8.333333333333332;15.384615384615385;15.384615384615385;8.333333333333332;8.333333333333332;15.384615384615385;15.384615384615385;8.333333333333332;8.333333333333332;8.333333333333332;8.333333333333332;0.0;0.0;8.333333333333332;8.333333333333332;0.0;0.0;8.333333333333332;8.333333333333332;0.0;0.0;8.333333333333332;8.333333333333332;0.0;0.0;0.0;0.0;0.0;0.0;15.384615384615385;15.384615384615385;8.333333333333332;8.333333333333332;15.384615384615385;15.384615384615385;8.333333333333332;8.333333333333332;15.384615384615385;15.384615384615385;8.333333333333332;8.333333333333332;15.384615384615385;15.384615384615385;8.333333333333332;8.333333333333332;15.384615384615385;15.384615384615385;8.333333333333332;8.333333333333332;15.384615384615385;15.384615384615385;8.333333333333332;8.333333333333332;15.384615384615385;15.384615384615385;8.333333333333332;8.333333333333332;15.384615384615385;15.384615384615385;8.333333333333332;8.333333333333332
