Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;20.0;9.090909090909092;20.0;20.0;20.0;9.090909090909092;20.0;20.0;20.0;9.090909090909092;16.666666666666664;16.666666666666664;20.0;9.090909090909092;18.181818181818183;18.181818181818183;20.0;9.090909090909092;18.181818181818183;18.181818181818183;20.0;9.090909090909092;18.181818181818183;18.181818181818183;20.0;9.090909090909092;18.181818181818183;18.181818181818183;20.0;9.090909090909092;18.181818181818183;18.181818181818183;20.0;9.090909090909092;16.666666666666664;16.666666666666664;20.0;9.090909090909092;18.181818181818183;18.181818181818183;20.0;9.090909090909092;18.181818181818183;18.181818181818183;20.0;9.090909090909092;18.181818181818183;18.181818181818183;20.0;9.090909090909092;18.181818181818183;18.181818181818183;10.0;9.090909090909092;18.181818181818183;18.181818181818183;10.0;9.090909090909092;18.181818181818183;18.181818181818183;10.0;9.090909090909092;18.181818181818183;18.181818181818183;10.0;9.090909090909092
Weather and new source;10.0;18.181818181818183;27.27272727272727;27.27272727272727;10.0;18.181818181818183;27.27272727272727;27.27272727272727;10.0;18.181818181818183;23.076923076923077;23.076923076923077;10.0;18.181818181818183;27.27272727272727;27.27272727272727;10.0;18.181818181818183;27.27272727272727;27.27272727272727;10.0;18.181818181818183;27.27272727272727;27.27272727272727;10.0;18.181818181818183;27.27272727272727;27.27272727272727;10.0;18.181818181818183;27.27272727272727;27.27272727272727;10.0;18.181818181818183;23.076923076923077;23.076923076923077;10.0;18.181818181818183;23.076923076923077;23.076923076923077;10.0;18.181818181818183;23.076923076923077;23.076923076923077;10.0;18.181818181818183;23.076923076923077;23.076923076923077;10.0;18.181818181818183;33.33333333333333;33.33333333333333;10.0;18.181818181818183;33.33333333333333;33.33333333333333;10.0;18.181818181818183;33.33333333333333;33.33333333333333;10.0;18.181818181818183;33.33333333333333;33.33333333333333;10.0;18.181818181818183
Expanded weather and new source;16.666666666666664;18.181818181818183;27.27272727272727;27.27272727272727;18.181818181818183;18.181818181818183;27.27272727272727;27.27272727272727;18.181818181818183;18.181818181818183;27.27272727272727;27.27272727272727;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;27.27272727272727;18.181818181818183;18.181818181818183;18.181818181818183;27.27272727272727;18.181818181818183;18.181818181818183;18.181818181818183;27.27272727272727;18.181818181818183;18.181818181818183;18.181818181818183;27.27272727272727;18.181818181818183;18.181818181818183;18.181818181818183;27.27272727272727;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183
Expanded weather;22.22222222222222;18.181818181818183;20.0;20.0;22.22222222222222;18.181818181818183;18.181818181818183;18.181818181818183;22.22222222222222;18.181818181818183;18.181818181818183;18.181818181818183;22.22222222222222;18.181818181818183;18.181818181818183;18.181818181818183;22.22222222222222;18.181818181818183;18.181818181818183;18.181818181818183;22.22222222222222;18.181818181818183;18.181818181818183;18.181818181818183;22.22222222222222;18.181818181818183;20.0;20.0;22.22222222222222;18.181818181818183;20.0;20.0;22.22222222222222;18.181818181818183;18.181818181818183;18.181818181818183;22.22222222222222;18.181818181818183;20.0;20.0;22.22222222222222;18.181818181818183;20.0;20.0;22.22222222222222;18.181818181818183;20.0;20.0;22.22222222222222;18.181818181818183;18.181818181818183;18.181818181818183;22.22222222222222;18.181818181818183;18.181818181818183;18.181818181818183;22.22222222222222;18.181818181818183;18.181818181818183;18.181818181818183;22.22222222222222;18.181818181818183;18.181818181818183;18.181818181818183;22.22222222222222;18.181818181818183
Weather, new source and alka;44.44444444444444;27.27272727272727;33.33333333333333;33.33333333333333;44.44444444444444;27.27272727272727;33.33333333333333;33.33333333333333;44.44444444444444;27.27272727272727;30.0;30.0;50.0;27.27272727272727;75.0;75.0;50.0;44.44444444444444;75.0;75.0;50.0;40.0;75.0;75.0;50.0;44.44444444444444;75.0;75.0;50.0;40.0;75.0;75.0;44.44444444444444;55.55555555555556;30.0;30.0;50.0;27.27272727272727;30.0;30.0;50.0;27.27272727272727;30.0;30.0;50.0;27.27272727272727;30.0;30.0;50.0;27.27272727272727;33.33333333333333;33.33333333333333;44.44444444444444;27.27272727272727;33.33333333333333;33.33333333333333;44.44444444444444;27.27272727272727;33.33333333333333;33.33333333333333;44.44444444444444;27.27272727272727;33.33333333333333;33.33333333333333;44.44444444444444;27.27272727272727
Expanded weather, new source and alka;50.0;20.0;37.5;37.5;50.0;20.0;33.33333333333333;33.33333333333333;50.0;20.0;30.0;30.0;50.0;20.0;66.66666666666666;66.66666666666666;50.0;33.33333333333333;66.66666666666666;66.66666666666666;50.0;33.33333333333333;66.66666666666666;66.66666666666666;50.0;33.33333333333333;66.66666666666666;66.66666666666666;50.0;33.33333333333333;66.66666666666666;66.66666666666666;50.0;33.33333333333333;27.27272727272727;27.27272727272727;50.0;20.0;30.0;30.0;50.0;20.0;30.0;30.0;50.0;20.0;30.0;30.0;50.0;20.0;33.33333333333333;33.33333333333333;50.0;22.22222222222222;33.33333333333333;33.33333333333333;50.0;22.22222222222222;33.33333333333333;33.33333333333333;50.0;22.22222222222222;33.33333333333333;33.33333333333333;50.0;22.22222222222222
Expanded weather and alka;25.0;20.0;20.0;20.0;25.0;20.0;22.22222222222222;22.22222222222222;25.0;20.0;22.22222222222222;22.22222222222222;25.0;20.0;30.0;30.0;25.0;33.33333333333333;30.0;30.0;25.0;33.33333333333333;30.0;30.0;25.0;33.33333333333333;30.0;30.0;25.0;33.33333333333333;30.0;30.0;25.0;33.33333333333333;22.22222222222222;22.22222222222222;25.0;20.0;20.0;20.0;25.0;20.0;20.0;20.0;25.0;20.0;20.0;20.0;25.0;20.0;20.0;20.0;25.0;20.0;20.0;20.0;25.0;20.0;20.0;20.0;25.0;20.0;20.0;20.0;25.0;20.0
Weather and alka;37.5;22.22222222222222;37.5;37.5;37.5;20.0;37.5;37.5;37.5;22.22222222222222;37.5;37.5;37.5;22.22222222222222;50.0;50.0;37.5;37.5;50.0;50.0;37.5;37.5;50.0;50.0;37.5;37.5;50.0;50.0;37.5;33.33333333333333;50.0;50.0;37.5;33.33333333333333;37.5;37.5;37.5;22.22222222222222;37.5;37.5;37.5;20.0;37.5;37.5;37.5;20.0;37.5;37.5;37.5;20.0;37.5;37.5;37.5;22.22222222222222;37.5;37.5;37.5;22.22222222222222;37.5;37.5;37.5;22.22222222222222;37.5;37.5;37.5;22.22222222222222
Expanded all sources;44.44444444444444;33.33333333333333;20.0;20.0;44.44444444444444;33.33333333333333;20.0;20.0;30.0;33.33333333333333;20.0;20.0;44.44444444444444;33.33333333333333;44.44444444444444;44.44444444444444;44.44444444444444;44.44444444444444;44.44444444444444;44.44444444444444;44.44444444444444;44.44444444444444;44.44444444444444;44.44444444444444;44.44444444444444;44.44444444444444;44.44444444444444;44.44444444444444;44.44444444444444;44.44444444444444;44.44444444444444;44.44444444444444;44.44444444444444;44.44444444444444;20.0;20.0;44.44444444444444;33.33333333333333;20.0;20.0;44.44444444444444;33.33333333333333;20.0;20.0;44.44444444444444;33.33333333333333;20.0;20.0;44.44444444444444;33.33333333333333;37.5;37.5;44.44444444444444;33.33333333333333;37.5;37.5;44.44444444444444;33.33333333333333;37.5;37.5;44.44444444444444;33.33333333333333;37.5;37.5;44.44444444444444;33.33333333333333
All sources;25.0;25.0;37.5;37.5;25.0;25.0;33.33333333333333;33.33333333333333;25.0;25.0;33.33333333333333;33.33333333333333;25.0;25.0;55.55555555555556;55.55555555555556;25.0;25.0;55.55555555555556;55.55555555555556;25.0;25.0;55.55555555555556;55.55555555555556;25.0;25.0;55.55555555555556;55.55555555555556;25.0;25.0;55.55555555555556;55.55555555555556;25.0;25.0;37.5;37.5;25.0;25.0;37.5;37.5;25.0;25.0;37.5;37.5;25.0;25.0;37.5;37.5;25.0;25.0;37.5;37.5;25.0;25.0;37.5;37.5;25.0;25.0;37.5;37.5;25.0;25.0;37.5;37.5;25.0;25.0
