Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;45;6;17;17;62;21;18;18;65;14;20;20;62;14;14;14;62;14;14;14;60;14;14;14;62;14;15;15;62;21;21;21;62;21;21;21;62;14;22;22;62;21;22;22;62;21;22;22;62;21;67;67;14;14;67;67;14;14;67;67;14;14;67;67;14;14
Weather and new source;18;5;18;18;13;14;33;33;24;14;17;17;24;14;17;17;24;14;20;20;13;14;17;17;24;14;16;16;13;14;21;21;13;14;17;17;24;14;16;16;13;14;16;16;13;14;16;16;13;14;25;25;9;17;25;25;9;17;25;25;9;17;25;25;9;17
Expanded weather and new source;4;5;26;26;3;5;23;23;3;5;53;53;3;5;79;79;3;6;68;68;3;6;79;79;3;6;45;45;2;5;28;28;2;5;76;76;3;5;35;35;3;5;35;35;3;5;35;35;3;5;56;56;3;9;56;56;3;9;56;56;3;9;56;56;3;9
Expanded weather;8;9;59;59;41;42;18;18;41;50;24;24;41;42;24;24;41;42;20;20;41;42;24;24;41;42;54;54;41;42;62;62;41;42;24;24;41;42;54;54;41;42;54;54;41;42;54;54;41;42;21;21;7;8;21;21;7;8;21;21;7;8;21;21;7;8
Weather, new source and alka;6;6;39;39;5;8;44;44;5;16;20;20;5;16;37;37;5;16;30;30;5;16;37;37;5;16;29;29;5;8;24;24;5;8;30;30;5;16;29;29;5;8;29;29;5;8;29;29;5;8;13;13;5;4;13;13;5;4;13;13;5;4;13;13;5;4
Expanded weather, new source and alka;12;3;36;36;18;12;81;81;18;12;47;47;18;13;48;48;18;13;41;41;18;13;48;48;18;13;60;60;18;13;48;48;18;12;48;48;18;13;45;45;18;13;45;45;18;13;45;45;18;13;42;42;2;12;42;42;2;12;42;42;2;12;42;42;2;12
Expanded weather and alka;8;7;33;33;7;6;20;20;8;6;24;24;8;6;23;23;8;6;23;23;8;6;23;23;8;6;36;36;7;6;39;39;7;6;24;24;8;6;41;41;7;6;41;41;7;6;41;41;7;6;52;52;6;5;52;52;6;5;52;52;6;5;52;52;6;5
Weather and alka;7;9;41;41;18;5;16;16;16;5;41;41;17;17;53;53;19;17;53;53;19;17;53;53;19;17;49;49;19;17;25;25;18;5;52;52;19;17;49;49;19;17;49;49;19;17;49;49;19;17;57;57;23;15;57;57;23;15;57;57;23;15;57;57;23;15
Expanded all sources;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;7;0;0;7;7;0;0;7;7;0;0;7;7;0;0
All sources;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;3;3;0;0;3;3;0;0;3;3;0;0
Expanded no TV;22;21;25;25;40;21;33;33;40;24;25;25;40;25;23;23;40;22;26;26;40;22;23;23;40;22;20;20;40;21;24;24;40;21;23;23;40;22;20;20;40;21;20;20;40;21;20;20;40;21;31;31;47;17;31;31;47;17;31;31;47;17;31;31;47;17
No TV;16;31;19;19;24;31;21;21;24;31;18;18;25;31;3;3;25;31;8;8;25;31;3;3;25;31;9;9;25;31;15;15;24;31;3;3;25;31;9;9;25;31;9;9;25;31;9;9;25;31;20;20;26;45;20;20;26;45;20;20;26;45;20;20;26;45
