Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;18114;18154;18355;18359;17835;17819;18506;18506;17841;17858;18570;18570;17838;17862;18576;18576;17835;17873;18597;18597;17830;17878;18576;18576;17835;17873;18360;18360;17833;17848;18359;18359;17832;17833;18576;18576;17835;17873;18359;18359;17831;17849;18359;18359;17831;17849;18359;18359;17831;17849;16420;16421;17074;17241;16420;16421;17074;17241;16420;16421;17074;17241;16420;16421;17074;17241
Weather and new source;17698;17683;17814;17814;17396;17448;17931;17933;17409;17501;17850;17850;17389;17461;17825;17825;17384;17476;17860;17860;17385;17468;17825;17825;17384;17476;17676;17676;17378;17436;17773;17774;17401;17476;17875;17875;17386;17466;17686;17686;17379;17419;17686;17686;17379;17419;17686;17686;17379;17419;15686;15685;16555;16738;15686;15685;16555;16738;15686;15685;16555;16738;15686;15685;16555;16738
Expanded weather and new source;17693;17768;17824;17824;17356;17452;17993;17993;17372;17474;17839;17839;17339;17451;17844;17844;17332;17461;17823;17823;17333;17454;17844;17844;17332;17461;17729;17729;17310;17433;17840;17840;17350;17463;17873;17873;17332;17457;17733;17733;17318;17431;17733;17733;17318;17431;17733;17733;17318;17431;15660;15664;16585;16771;15660;15664;16585;16771;15660;15664;16585;16771;15660;15664;16585;16771
Expanded weather;17881;17927;18335;18336;17583;17721;18500;18500;17589;17703;18358;18358;17550;17682;18369;18369;17549;17681;18389;18389;17553;17684;18369;18369;17549;17681;18146;18146;17554;17682;18291;18291;17584;17716;18363;18363;17550;17693;18152;18152;17555;17682;18152;18152;17555;17682;18152;18152;17555;17682;16042;16029;16842;17042;16042;16029;16842;17042;16042;16029;16842;17042;16042;16029;16842;17042
Weather, new source and alka;17646;17687;17437;17437;17275;17361;17568;17568;17278;17398;17538;17538;17247;17357;17527;17527;17251;17350;17495;17495;17249;17351;17527;17527;17251;17350;17346;17346;17247;17313;17404;17404;17283;17355;17539;17539;17245;17349;17336;17336;17243;17307;17336;17336;17243;17307;17336;17336;17243;17307;15231;15231;16467;16597;15231;15231;16467;16597;15231;15231;16467;16597;15231;15231;16467;16597
Expanded weather, new source and alka;17627;17601;17474;17474;17329;17278;17632;17629;17361;17317;17587;17583;17298;17272;17511;17507;17306;17279;17513;17509;17307;17280;17511;17507;17306;17279;17361;17361;17276;17227;17396;17396;17330;17273;17527;17523;17306;17283;17393;17393;17276;17227;17393;17393;17276;17227;17393;17393;17276;17227;15237;15236;16471;16570;15237;15236;16471;16570;15237;15236;16471;16570;15237;15236;16471;16570
Expanded weather and alka;17863;17867;17714;17714;17543;17572;17916;17915;17549;17578;17920;17920;17526;17545;17837;17837;17520;17552;17835;17835;17521;17550;17837;17837;17520;17552;17664;17664;17510;17534;17606;17606;17538;17575;17865;17865;17521;17562;17685;17685;17517;17533;17685;17685;17517;17533;17685;17685;17517;17533;15716;15718;16825;16968;15716;15718;16825;16968;15716;15718;16825;16968;15716;15718;16825;16968
Weather and alka;17902;17809;17877;17877;17450;17457;18082;18082;17470;17479;18128;18128;17450;17475;18057;18057;17456;17473;18057;18057;17455;17473;18057;18057;17456;17473;17889;17889;17439;17464;17839;17839;17449;17455;18061;18061;17450;17470;17907;17907;17432;17450;17907;17907;17432;17450;17907;17907;17432;17450;15760;15760;16719;16897;15760;15760;16719;16897;15760;15760;16719;16897;15760;15760;16719;16897
Expanded all sources;1206;1213;1686;1686;1159;1161;1710;1710;1164;1162;1716;1716;1159;1158;1705;1705;1159;1158;1710;1710;1157;1158;1705;1705;1159;1158;1677;1677;1154;1158;1669;1669;1157;1160;1714;1714;1159;1160;1683;1683;1154;1158;1683;1683;1154;1158;1683;1683;1154;1158;427;427;712;789;427;427;712;789;427;427;712;789;427;427;712;789
All sources;1183;1195;1694;1694;1157;1186;1704;1704;1158;1187;1685;1685;1161;1192;1661;1661;1158;1189;1654;1654;1158;1189;1661;1661;1158;1189;1661;1661;1158;1188;1669;1669;1154;1183;1663;1663;1161;1192;1673;1673;1161;1191;1673;1673;1161;1191;1673;1673;1161;1191;429;429;722;807;429;429;722;807;429;429;722;807;429;429;722;807
