Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;3864;3836;3775;3775;3837;3813;3760;3760;3835;3793;3771;3771;3815;3773;3798;3798;3815;3778;3777;3777;3816;3780;3798;3798;3815;3778;3791;3791;3816;3799;3804;3804;3838;3816;3789;3789;3815;3775;3781;3781;3815;3797;3781;3781;3815;3797;3781;3781;3815;3797;3618;3618;3778;3786;3618;3618;3778;3786;3618;3618;3778;3786;3618;3618;3778;3786
Weather and new source;3754;3749;3715;3715;3755;3794;3730;3730;3749;3797;3731;3731;3727;3775;3772;3772;3726;3774;3758;3758;3722;3768;3772;3772;3726;3774;3704;3704;3729;3775;3688;3688;3736;3795;3763;3763;3725;3775;3709;3709;3728;3771;3709;3709;3728;3771;3709;3709;3728;3771;3626;3626;3696;3715;3626;3626;3696;3715;3626;3626;3696;3715;3626;3626;3696;3715
Expanded weather and new source;3811;3807;3696;3696;3771;3721;3713;3713;3767;3731;3744;3744;3770;3752;3729;3729;3770;3755;3721;3721;3769;3754;3729;3729;3770;3755;3667;3667;3761;3745;3685;3685;3773;3729;3723;3723;3770;3750;3666;3666;3761;3740;3666;3666;3761;3740;3666;3666;3761;3740;3562;3562;3712;3717;3562;3562;3712;3717;3562;3562;3712;3717;3562;3562;3712;3717
Expanded weather;3851;3845;3722;3722;3890;3825;3745;3745;3879;3816;3708;3708;3861;3809;3714;3714;3861;3810;3730;3730;3865;3813;3714;3714;3861;3810;3735;3735;3859;3814;3698;3698;3890;3827;3722;3722;3861;3811;3740;3740;3859;3814;3740;3740;3859;3814;3740;3740;3859;3814;3675;3676;3839;3811;3675;3676;3839;3811;3675;3676;3839;3811;3675;3676;3839;3811
Weather, new source and alka;3808;3833;3729;3729;3798;3848;3737;3737;3801;3831;3685;3685;3828;3833;3647;3647;3814;3831;3656;3656;3806;3830;3647;3647;3814;3831;3648;3648;3831;3837;3713;3713;3798;3845;3669;3669;3822;3832;3658;3658;3831;3837;3658;3658;3831;3837;3658;3658;3831;3837;3582;3582;3763;3781;3582;3582;3763;3781;3582;3582;3763;3781;3582;3582;3763;3781
Expanded weather, new source and alka;3785;3780;3699;3699;3748;3783;3707;3707;3758;3789;3674;3674;3750;3786;3654;3654;3753;3788;3653;3653;3753;3780;3654;3654;3753;3788;3577;3577;3740;3783;3686;3686;3737;3776;3652;3652;3753;3789;3599;3599;3740;3783;3599;3599;3740;3783;3599;3599;3740;3783;3564;3564;3726;3769;3564;3564;3726;3769;3564;3564;3726;3769;3564;3564;3726;3769
Expanded weather and alka;3837;3827;3763;3763;3793;3776;3789;3789;3786;3778;3781;3781;3768;3767;3754;3754;3768;3768;3714;3714;3768;3766;3754;3754;3768;3768;3759;3759;3779;3764;3763;3763;3786;3778;3765;3765;3769;3766;3765;3765;3780;3765;3765;3765;3780;3765;3765;3765;3780;3765;3698;3697;3757;3785;3698;3697;3757;3785;3698;3697;3757;3785;3698;3697;3757;3785
Weather and alka;3809;3807;3684;3684;3742;3768;3763;3763;3747;3760;3759;3759;3714;3757;3776;3776;3697;3757;3776;3776;3697;3757;3776;3776;3697;3757;3733;3733;3693;3758;3697;3697;3721;3758;3762;3762;3691;3757;3723;3723;3687;3762;3723;3723;3687;3762;3723;3723;3687;3762;3651;3651;3714;3733;3651;3651;3714;3733;3651;3651;3714;3733;3651;3651;3714;3733
Expanded all sources;367;380;363;363;370;380;366;366;372;380;383;383;375;382;382;382;375;382;383;383;375;382;382;382;375;382;375;375;373;382;381;381;370;380;384;384;375;382;379;379;373;382;379;379;373;382;379;379;373;382;222;222;293;309;222;222;293;309;222;222;293;309;222;222;293;309
All sources;352;360;363;363;353;376;374;374;353;376;377;377;357;375;368;368;357;375;367;367;357;375;368;368;357;375;355;355;357;375;364;364;352;375;370;370;357;375;358;358;357;375;358;358;357;375;358;358;357;375;225;225;332;326;225;225;332;326;225;225;332;326;225;225;332;326
Expanded no TV;3843;3862;3794;3794;3787;3786;3809;3809;3797;3776;3764;3764;3787;3759;3760;3760;3784;3771;3759;3759;3783;3771;3760;3760;3784;3771;3714;3714;3777;3786;3801;3801;3789;3802;3772;3772;3782;3777;3731;3731;3777;3786;3731;3731;3777;3786;3731;3731;3777;3786;3606;3606;3698;3692;3606;3606;3698;3692;3606;3606;3698;3692;3606;3606;3698;3692
No TV;3810;3803;3855;3855;3802;3795;3810;3810;3782;3790;3754;3754;3749;3772;3759;3759;3745;3777;3780;3780;3743;3774;3759;3759;3745;3777;3804;3804;3764;3778;3802;3802;3795;3798;3758;3758;3742;3777;3813;3813;3764;3778;3813;3813;3764;3778;3813;3813;3764;3778;3543;3543;3707;3750;3543;3543;3707;3750;3543;3543;3707;3750;3543;3543;3707;3750
