Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;354;358;363;363;357;354;361;361;354;352;354;354;355;354;350;350;355;353;351;351;355;353;350;350;355;353;359;359;357;354;365;365;357;354;350;350;355;354;360;360;357;355;360;360;357;355;360;360;357;355;340;340;349;352;340;340;349;352;340;340;349;352;340;340;349;352
Weather and new source;339;345;343;343;338;341;345;345;338;342;342;342;338;340;345;345;338;340;343;343;338;340;345;345;338;340;345;345;336;339;342;342;338;342;349;349;338;340;346;346;336;339;346;346;336;339;346;346;336;339;342;342;338;339;342;342;338;339;342;342;338;339;342;342;338;339
Expanded weather and new source;344;338;342;342;346;341;352;352;347;342;354;354;346;340;351;351;346;340;352;352;346;340;351;351;346;340;343;343;345;340;341;341;346;342;351;351;346;340;343;343;345;340;343;343;345;340;343;343;345;340;337;337;337;330;337;337;337;330;337;337;337;330;337;337;337;330
Expanded weather;347;338;360;360;349;340;357;357;349;340;357;357;352;343;356;356;351;343;362;362;351;343;356;356;351;343;359;359;350;343;362;362;348;340;357;357;352;343;361;361;351;343;361;361;351;343;361;361;351;343;336;336;343;344;336;336;343;344;336;336;343;344;336;336;343;344
Weather, new source and alka;334;347;349;349;336;341;348;348;336;341;356;356;335;339;352;352;333;337;358;358;333;337;352;352;333;337;343;343;335;340;355;355;336;341;354;354;333;338;340;340;335;340;340;340;335;340;340;340;335;340;333;333;339;338;333;333;339;338;333;333;339;338;333;333;339;338
Expanded weather, new source and alka;339;338;349;349;339;337;348;348;339;335;347;347;337;335;344;344;337;335;343;343;337;336;344;344;337;335;345;345;335;337;346;346;339;337;342;342;337;335;346;346;335;337;346;346;335;337;346;346;335;337;340;340;329;338;340;340;329;338;340;340;329;338;340;340;329;338
Expanded weather and alka;369;358;367;367;369;359;366;366;370;360;358;358;372;360;363;363;371;360;360;360;371;360;363;363;371;360;368;368;370;359;364;364;368;359;360;360;372;360;371;371;372;359;371;371;372;359;371;371;372;359;346;346;371;359;346;346;371;359;346;346;371;359;346;346;371;359
Weather and alka;369;363;370;370;368;354;371;371;368;351;383;383;366;354;386;386;367;355;385;385;368;355;386;386;367;355;371;371;366;355;368;368;369;355;384;384;367;354;369;369;366;354;369;369;366;354;369;369;366;354;351;351;366;359;351;351;366;359;351;351;366;359;351;351;366;359
Expanded all sources;41;42;38;38;44;41;41;41;44;41;42;42;44;41;40;40;44;41;42;42;44;41;40;40;44;41;38;38;44;41;37;37;44;41;42;42;44;41;38;38;44;41;38;38;44;41;38;38;44;41;19;19;35;36;19;19;35;36;19;19;35;36;19;19;35;36
All sources;49;52;41;41;51;50;40;40;51;50;43;43;51;50;44;44;51;50;42;42;51;50;44;44;51;50;41;41;51;50;43;43;51;50;44;44;51;50;42;42;51;50;42;42;51;50;42;42;51;50;21;21;50;47;21;21;50;47;21;21;50;47;21;21;50;47
Expanded no TV;362;358;386;386;355;346;390;390;355;345;391;391;358;347;389;389;357;348;393;393;357;348;389;389;357;348;389;389;357;348;381;381;356;348;384;384;357;348;386;386;357;348;386;386;357;348;386;386;357;348;366;366;355;352;366;366;355;352;366;366;355;352;366;366;355;352
No TV;353;357;385;385;356;361;373;373;356;361;367;367;356;361;369;369;357;361;368;368;357;361;369;369;357;361;372;372;357;364;379;379;357;361;367;367;357;361;370;370;357;364;370;370;357;364;370;370;357;364;371;372;354;367;371;372;354;367;371;372;354;367;371;372;354;367
