Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;95.69659588492867;95.87739822180627;95.19262430029634;95.1928504233302;95.53851190197821;95.63337250293772;95.35092273563977;95.34620286024449;95.49093973872735;95.56947125570883;95.12056737588652;95.12033665894369;95.42833028555351;95.58193208044841;95.15145787061104;95.15145787061104;95.43451767132277;95.60242949291397;95.10373836192637;95.10373836192637;95.43941879540661;95.60263653483993;95.15145787061104;95.15145787061104;95.43451767132277;95.60242949291397;95.1101051539586;95.1101051539586;95.45816359975652;95.63928873835732;95.23229103183161;95.23229103183161;95.53934633188386;95.64951844021611;95.14719085195861;95.14696153482657;95.42961608775137;95.577430293896;95.11585106884999;95.11585106884999;95.44858587750515;95.63008608118915;95.11585106884999;95.11585106884999;95.44858587750515;95.63008608118915;95.11585106884999;95.11585106884999;95.44858587750515;95.63008608118915;93.86076846731886;93.85604234604659;95.0326000281439;95.34371190096596;93.86076846731886;93.85604234604659;95.0326000281439;95.34371190096596;93.86076846731886;93.85604234604659;95.0326000281439;95.34371190096596;93.86076846731886;93.85604234604659;95.0326000281439;95.34371190096596
Weather and new source;95.18668678106732;95.34545112958527;94.59573867644984;94.59573867644984;94.96592244418332;95.15449438202246;94.8051948051948;94.80495123780945;94.96775408369817;95.1834325071452;94.78583854436033;94.78583854436033;94.82212878537347;95.09744071378258;94.81227385931112;94.81227385931112;94.82212878537347;95.07796355438663;94.83786193627107;94.83786193627107;94.82188415383162;95.02796184031205;94.81227385931112;94.81227385931112;94.82212878537347;95.07796355438663;94.51345755693582;94.51345755693582;94.78478383990938;95.05001643732682;94.51383324692463;94.51383324692463;94.92395347742149;95.12640449438202;94.80586631569051;94.80586631569051;94.82188415383162;95.0979011128328;94.54502703973665;94.54502703973665;94.78999528079282;95.05024889640275;94.54502703973665;94.54502703973665;94.78999528079282;95.05024889640275;94.54502703973665;94.54502703973665;94.78999528079282;95.05024889640275;93.4513440986771;93.44663622240007;94.39234720324207;94.52551308604782;93.4513440986771;93.44663622240007;94.39234720324207;94.52551308604782;93.4513440986771;93.44663622240007;94.39234720324207;94.52551308604782;93.4513440986771;93.44663622240007;94.39234720324207;94.52551308604782
Expanded weather and new source;95.55076807793182;95.59730790802018;94.99859379394394;94.99859379394394;95.1794196491558;95.0329877474081;95.15461979509352;95.15461979509352;95.09416195856873;95.08814933534458;95.08027415266173;95.08027415266173;95.11184365434424;95.12953367875647;94.97813513894766;94.97813513894766;95.11207383688077;95.1403277453381;94.90295835688714;94.90295835688714;95.11414450458932;95.14009889333647;94.97813513894766;94.97813513894766;95.11207383688077;95.1403277453381;94.7201739459255;94.7201739459255;95.08165858709465;95.08142709215852;94.9983531736696;94.9983531736696;95.18145919518616;95.04661455880968;95.06880195369371;95.06880195369371;95.11701276074776;95.11988317867068;94.70846928642361;94.70846928642361;95.07764705882353;95.06568105843026;94.70846928642361;94.70846928642361;95.07764705882353;95.06568105843026;94.70846928642361;94.70846928642361;95.07764705882353;95.06568105843026;93.11602785805657;93.12043968539751;94.64050442311311;94.71475719000472;93.11602785805657;93.12043968539751;94.64050442311311;94.71475719000472;93.11602785805657;93.12043968539751;94.64050442311311;94.71475719000472;93.11602785805657;93.12043968539751;94.64050442311311;94.71475719000472
Expanded weather;95.82803597494937;95.88152327221438;95.03319052775294;95.02824858757062;95.5242846385542;95.69209039548022;95.42192410525821;95.42192410525821;95.56821928130739;95.63864397189872;95.2376452801663;95.2376452801663;95.33305048790835;95.53971775145136;95.11468432253488;95.11445327279606;95.33776457832461;95.5547166249823;95.19603212092584;95.20098247602853;95.33930254476908;95.52682489501251;95.11468432253488;95.11445327279606;95.33776457832461;95.5547166249823;95.04510887534835;95.04510887534835;95.3189082166596;95.51584307808373;95.064640936114;95.064640936114;95.52962213542891;95.68697617478105;95.1681466087285;95.1681466087285;95.33261043798029;95.55492638731596;95.08351420213268;95.08351420213268;95.31375229833577;95.47383309759547;95.08351420213268;95.08351420213268;95.31375229833577;95.47383309759547;95.08351420213268;95.08351420213268;95.31375229833577;95.47383309759547;94.0233441147518;94.02418447694039;95.07911912475936;95.19932225725984;94.0233441147518;94.02418447694039;95.07911912475936;95.19932225725984;94.0233441147518;94.02418447694039;95.07911912475936;95.19932225725984;94.0233441147518;94.02418447694039;95.07911912475936;95.19932225725984
Weather, new source and alka;95.38512148127262;95.49435623624186;94.90922702601536;94.90922702601536;95.10384362371957;95.15063486857518;95.07935764782995;95.07935764782995;95.10338345864662;95.11726078799249;94.60657206166611;94.60657206166611;95.21309015893853;95.26419336706014;94.54657152308492;94.54657152308492;95.23474508700343;95.27890965294365;94.62751392691908;94.62751392691908;95.21351478179258;95.30635188308038;94.54657152308492;94.54657152308492;95.23474508700343;95.27890965294365;94.40480128538348;94.40034023249221;95.25014052838672;95.29698332396478;94.78158759981213;94.78158759981213;95.09490697237362;95.13234949636917;94.76708586500871;94.76708586500871;95.23229103183161;95.27890965294365;94.50902561194594;94.50455984501252;95.25415788240805;95.30591211468192;94.50902561194594;94.50455984501252;95.25415788240805;95.30591211468192;94.50902561194594;94.50455984501252;95.25415788240805;95.30591211468192;93.38839075035395;93.38807872009062;94.65985278259646;94.80069324090121;93.38839075035395;93.38807872009062;94.65985278259646;94.80069324090121;93.38839075035395;93.38807872009062;94.65985278259646;94.80069324090121;93.38839075035395;93.38807872009062;94.65985278259646;94.80069324090121
Expanded weather, new source and alka;95.27466866482462;95.3514526710403;94.87863055984285;94.87863055984285;95.07088536287672;95.10253769079502;94.89896385203245;94.89824627215604;95.11521168977146;95.1502668289486;94.66981132075472;94.66880543498773;95.00070280654079;95.04236693038716;94.5551567812618;94.55387086108355;95.00679188720783;95.07068626533096;94.61029759093056;94.60927903241047;95.00655799138093;95.03981264637002;94.5551567812618;94.55387086108355;95.00679188720783;95.07068626533096;94.32647644326477;94.32647644326477;94.93801652892562;95.04027725739978;94.77625912750422;94.77625912750422;94.95557331578205;95.03818582204939;94.60339943342775;94.60238005289007;94.99718943226532;95.06178618236285;94.35506766348065;94.35506766348065;94.92838694529232;95.03137585464081;94.35506766348065;94.35506766348065;94.92838694529232;95.03137585464081;94.35506766348065;94.35506766348065;94.92838694529232;95.03137585464081;93.22274209556217;93.23219433810671;94.60169929117964;94.91889870518393;93.22274209556217;93.23219433810671;94.60169929117964;94.91889870518393;93.22274209556217;93.23219433810671;94.60169929117964;94.91889870518393;93.22274209556217;93.23219433810671;94.60169929117964;94.91889870518393
Expanded weather and alka;95.65887130653971;95.8335275201566;95.06785212915302;95.06785212915302;95.42966739954156;95.34796649038236;95.4301951833046;95.42998229758688;95.44965626899874;95.36135555139487;95.26438933083762;95.26438933083762;95.38691868625433;95.2835485682201;95.06612888096801;95.06612888096801;95.39310602871709;95.32002431156201;94.96517974778844;94.96517974778844;95.39245953784264;95.32024310425432;95.06612888096801;95.06612888096801;95.39310602871709;95.32002431156201;94.96085876341817;94.96085876341817;95.39821353411588;95.30198204936426;94.94339975675928;94.94339975675928;95.43902324928662;95.36820436043791;95.14663168743559;95.14663168743559;95.36374269005849;95.29664780962177;94.92090315917946;94.92090315917946;95.36928761869123;95.27816736792893;94.92090315917946;94.92090315917946;95.36928761869123;95.27816736792893;94.92090315917946;94.92090315917946;95.36928761869123;95.27816736792893;93.9967143862943;93.99699615131888;94.82484820177487;94.84175147045094;93.9967143862943;93.99699615131888;94.82484820177487;94.84175147045094;93.9967143862943;93.99699615131888;94.82484820177487;94.84175147045094;93.9967143862943;93.99699615131888;94.82484820177487;94.84175147045094
Weather and alka;95.62573099415205;95.76330369197821;94.93986092839691;94.93986092839691;95.58789016662756;95.61637426900585;95.15434985968194;95.15434985968194;95.57360120165227;95.41404857919909;95.1219512195122;95.1219512195122;95.36327298377616;95.31807093263276;95.06548175865295;95.06548175865295;95.3221328062497;95.3202663415549;95.05237560793117;95.05237560793117;95.32617904546738;95.32451697617708;95.06548175865295;95.06548175865295;95.3221328062497;95.3202663415549;94.77258888004123;94.77258888004123;95.33022642752907;95.51393116366191;94.8306595365419;94.8306595365419;95.420780441937;95.50435515594268;95.0836574963678;95.0836574963678;95.3199303168699;95.32385910604569;94.78146812198436;94.78146812198436;95.32758701898167;95.51903357213092;94.78146812198436;94.78146812198436;95.32758701898167;95.51903357213092;94.78146812198436;94.78146812198436;95.32758701898167;95.51903357213092;93.66329208848893;93.66797900262466;94.78537658568553;95.11704119850187;93.66329208848893;93.66797900262466;94.78537658568553;95.11704119850187;93.66329208848893;93.66797900262466;94.78537658568553;95.11704119850187;93.66329208848893;93.66797900262466;94.78537658568553;95.11704119850187
Expanded all sources;94.20160570918823;94.42959001782532;95.62443026435734;95.62443026435734;94.47635881573133;94.36056838365897;95.8446251129178;95.8446251129178;94.49096518289996;94.36557231588287;95.83521955636034;95.83521955636034;94.24014178112539;94.25645592163848;95.7714799820063;95.7714799820063;94.24014178112539;94.25901201602136;95.67762269248087;95.67762269248087;94.19583517944173;94.25645592163848;95.7714799820063;95.7714799820063;94.24014178112539;94.25901201602136;95.42752629172382;95.42752629172382;94.23247559893522;94.25389755011136;95.90274651058081;95.90274651058081;94.48123620309052;94.35806308307419;95.76767221972085;95.76767221972085;94.24014178112539;94.25901201602136;95.49590536851683;95.49590536851683;94.23247559893522;94.25389755011136;95.49590536851683;95.49590536851683;94.23247559893522;94.25389755011136;95.49590536851683;95.49590536851683;94.23247559893522;94.25389755011136;69.88517745302714;69.88517745302714;86.0632183908046;88.24644549763033;69.88517745302714;69.88517745302714;86.0632183908046;88.24644549763033;69.88517745302714;69.88517745302714;86.0632183908046;88.24644549763033;69.88517745302714;69.88517745302714;86.0632183908046;88.24644549763033
All sources;94.46209714026328;94.41189725101397;95.65217391304348;95.65217391304348;94.65337562301767;94.62124607799193;96.34906500445236;96.34906500445236;94.65579710144928;94.62124607799193;96.07493309545049;96.07493309545049;94.48495897903373;94.64928057553958;96.16771866546439;96.16771866546439;94.4874715261959;94.65168539325842;96.15906009941256;96.15906009941256;94.4874715261959;94.65168539325842;96.16771866546439;96.16771866546439;94.4874715261959;94.65168539325842;95.93235831809872;95.93235831809872;94.4874715261959;94.65168539325842;96.05621033544878;96.05621033544878;94.65579710144928;94.6236559139785;96.08284556506078;96.08284556506078;94.48495897903373;94.64928057553958;95.77848388561053;95.77848388561053;94.48495897903373;94.64928057553958;95.77848388561053;95.77848388561053;94.48495897903373;94.64928057553958;95.77848388561053;95.77848388561053;94.48495897903373;94.64928057553958;70.51751176163094;70.51751176163094;88.57545839210155;90.18779342723005;70.51751176163094;70.51751176163094;88.57545839210155;90.18779342723005;70.51751176163094;70.51751176163094;88.57545839210155;90.18779342723005;70.51751176163094;70.51751176163094;88.57545839210155;90.18779342723005
