Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;4918;4884;4746;4746;4910;4792;4714;4714;4890;4768;4750;4751;4871;4751;4783;4783;4868;4757;4774;4774;4869;4757;4783;4783;4868;4757;4802;4802;4891;4782;4767;4768;4910;4796;4787;4788;4868;4750;4782;4782;4888;4773;4782;4782;4888;4773;4782;4782;4888;4773;4603;4603;4858;4854;4603;4603;4858;4854;4603;4603;4858;4854;4603;4603;4858;4854
Weather and new source;4679;4691;4503;4503;4694;4731;4547;4548;4659;4717;4544;4544;4630;4676;4553;4553;4632;4675;4559;4559;4630;4668;4553;4553;4632;4675;4474;4474;4663;4692;4481;4482;4677;4728;4551;4551;4632;4678;4471;4471;4664;4688;4471;4471;4664;4688;4471;4471;4664;4688;4516;4517;4616;4630;4516;4517;4616;4630;4516;4517;4616;4630;4516;4517;4616;4630
Expanded weather and new source;4796;4805;4602;4602;4756;4716;4592;4592;4729;4710;4550;4550;4725;4715;4531;4531;4727;4722;4526;4526;4729;4720;4531;4531;4727;4722;4482;4482;4726;4734;4565;4565;4763;4729;4548;4548;4727;4716;4479;4479;4725;4729;4479;4479;4725;4729;4479;4479;4725;4729;4475;4476;4700;4685;4475;4476;4700;4685;4475;4476;4700;4685;4475;4476;4700;4685
Expanded weather;4965;4999;4672;4670;4932;4982;4718;4718;4932;4969;4656;4656;4907;4938;4642;4642;4908;4939;4653;4655;4911;4935;4642;4642;4908;4939;4703;4703;4902;4928;4679;4679;4936;4988;4651;4651;4912;4944;4705;4705;4906;4932;4705;4705;4906;4932;4705;4705;4906;4932;4689;4695;4927;4932;4689;4695;4927;4932;4689;4695;4927;4932;4689;4695;4927;4932
Weather, new source and alka;4877;4873;4608;4607;4852;4887;4665;4665;4855;4880;4548;4548;4893;4903;4489;4489;4889;4899;4506;4506;4881;4904;4489;4489;4889;4899;4494;4493;4888;4891;4594;4594;4853;4891;4532;4532;4900;4900;4512;4511;4889;4893;4512;4511;4889;4893;4512;4511;4889;4893;4485;4485;4839;4868;4485;4485;4839;4868;4485;4485;4839;4868;4485;4485;4839;4868
Expanded weather, new source and alka;4873;4813;4584;4584;4798;4823;4595;4591;4812;4833;4498;4494;4790;4818;4449;4444;4784;4820;4470;4466;4784;4811;4449;4444;4784;4820;4377;4377;4767;4800;4544;4544;4770;4796;4466;4462;4786;4825;4409;4409;4769;4804;4409;4409;4769;4804;4409;4409;4769;4804;4510;4513;4728;4826;4510;4513;4728;4826;4510;4513;4728;4826;4510;4513;4728;4826
Expanded weather and alka;4873;4926;4720;4720;4793;4810;4768;4768;4820;4829;4735;4735;4802;4826;4659;4659;4801;4836;4615;4615;4805;4830;4659;4659;4801;4836;4667;4667;4782;4807;4687;4687;4786;4811;4675;4675;4798;4826;4670;4670;4778;4803;4670;4670;4778;4803;4670;4670;4778;4803;4641;4641;4791;4831;4641;4641;4791;4831;4641;4641;4791;4831;4641;4641;4791;4831
Weather and alka;4679;4804;4568;4568;4624;4772;4617;4617;4623;4735;4631;4631;4582;4727;4609;4609;4566;4723;4611;4611;4566;4714;4609;4609;4566;4723;4603;4603;4560;4735;4550;4550;4586;4734;4599;4599;4564;4729;4612;4612;4558;4741;4612;4612;4558;4741;4612;4612;4558;4741;4501;4501;4560;4642;4501;4501;4560;4642;4501;4501;4560;4642;4501;4501;4560;4642
Expanded all sources;506;519;501;501;518;509;500;500;519;508;499;499;514;508;507;507;514;507;506;506;514;508;507;507;514;507;503;503;511;508;514;514;518;510;508;508;514;507;511;511;511;508;511;511;511;508;511;511;511;508;285;285;391;415;285;285;391;415;285;285;391;415;285;285;391;415
All sources;505;499;472;472;500;498;498;498;500;497;472;472;490;493;473;473;490;493;472;472;490;493;473;473;490;493;460;460;491;494;472;472;503;500;465;465;490;493;465;465;490;494;465;465;490;494;465;465;490;494;271;271;460;450;271;271;460;450;271;271;460;450;271;271;460;450
Expanded no TV;4834;4871;4614;4614;4782;4730;4712;4712;4781;4744;4600;4600;4770;4752;4602;4602;4770;4760;4596;4596;4770;4760;4602;4602;4770;4760;4511;4511;4764;4749;4651;4651;4787;4742;4617;4617;4765;4771;4532;4532;4765;4752;4532;4532;4765;4752;4532;4532;4765;4752;4462;4461;4634;4697;4462;4461;4634;4697;4462;4461;4634;4697;4462;4461;4634;4697
No TV;4859;4849;4670;4670;4841;4796;4610;4610;4818;4796;4586;4586;4784;4773;4535;4535;4784;4772;4601;4601;4787;4771;4535;4535;4784;4772;4557;4557;4815;4772;4600;4600;4839;4797;4557;4557;4782;4773;4610;4610;4816;4768;4610;4610;4816;4768;4610;4610;4816;4768;4353;4353;4759;4730;4353;4353;4759;4730;4353;4353;4759;4730;4353;4353;4759;4730
