Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;96.82029028879245;96.77756228554378;96.22103647394196;96.22103647394196;96.33617466726484;96.37566734340928;96.34297370146426;96.34297370146426;96.32347435417446;96.36993523120952;96.15300863758438;96.1527293844367;96.22740568514213;96.34072732759921;96.22067767158993;96.22067767158993;96.22655663915978;96.33456520099554;96.14380979994202;96.14380979994202;96.2343410096767;96.33428873133202;96.22067767158993;96.22067767158993;96.22655663915978;96.33456520099554;96.18209584757473;96.18209584757473;96.24634749381885;96.32502447473455;96.27012457201135;96.2698528340376;96.33535262882359;96.37593984962406;96.23694895591647;96.2366760931042;96.22627353890014;96.34155540469186;96.2073232874718;96.2073232874718;96.23857335531245;96.33338352657732;96.2073232874718;96.2073232874718;96.23857335531245;96.33338352657732;96.2073232874718;96.2073232874718;96.23857335531245;96.33338352657732;94.97565294378043;94.97565294378043;95.84621183565774;96.14779285018362;94.97565294378043;94.97565294378043;95.84621183565774;96.14779285018362;94.97565294378043;94.97565294378043;95.84621183565774;96.14779285018362;94.97565294378043;94.97565294378043;95.84621183565774;96.14779285018362
Weather and new source;96.34599348040331;96.2020537601933;95.7968991108825;95.7968991108825;96.01542416452442;95.92879140689551;95.77207226976813;95.77238150965476;95.9781867757328;95.9419854212069;95.62541217850077;95.62541217850077;95.8690864910016;95.86751975912684;95.7206712097897;95.7206712097897;95.87034084870568;95.85936911842204;95.67413263065437;95.67444924247968;95.86971376508997;95.8496535100934;95.7206712097897;95.7206712097897;95.87034084870568;95.85936911842204;95.63518395635184;95.63518395635184;95.89965135667727;95.86155003762227;95.73512080141427;95.73512080141427;95.98697660331642;95.93630286186435;95.72831184056272;95.72831184056272;95.86940015186029;95.86783079933765;95.65537555228278;95.65537555228278;95.9066100667071;95.86061563934672;95.65537555228278;95.65537555228278;95.9066100667071;95.86061563934672;95.65537555228278;95.65537555228278;95.9066100667071;95.86061563934672;94.55423476968797;94.55463932843028;95.4131227217497;95.42805238059194;94.55423476968797;94.55463932843028;95.4131227217497;95.42805238059194;94.55423476968797;94.55463932843028;95.4131227217497;95.42805238059194;94.55423476968797;94.55463932843028;95.4131227217497;95.42805238059194
Expanded weather and new source;96.87850887042443;96.88550302487117;95.84986043778463;95.84986043778463;96.24896639855672;96.03234582829504;95.9137260655858;95.9137260655858;96.12665463297232;96.09191926827425;95.92046371707389;95.92046371707389;96.13966438407707;96.15442731943186;95.8912164645351;95.8912164645351;96.13937387116195;96.15587946529718;95.82689335394127;95.82689335394127;96.13908331451795;96.14832716562192;95.8912164645351;95.8912164645351;96.13937387116195;96.15587946529718;95.62615441448098;95.62615441448098;96.13879271413518;96.11291418220243;95.84348468069398;95.84348468069398;96.25065744984596;96.05044555203142;95.91746824289595;95.91746824289595;96.14689945815773;96.14658103513412;95.63579973416039;95.63579973416039;96.13821138211382;96.1018357633905;95.63579973416039;95.63579973416039;96.13821138211382;96.1018357633905;95.63579973416039;95.63579973416039;96.13821138211382;96.1018357633905;94.28464419475655;94.29341720961581;95.70265379975874;95.70705162119265;94.28464419475655;94.29341720961581;95.70265379975874;95.70705162119265;94.28464419475655;94.29341720961581;95.70265379975874;95.70705162119265;94.28464419475655;94.29341720961581;95.70265379975874;95.70705162119265
Expanded weather;96.96404594957482;96.97627423097074;96.13834542390269;96.13862837045721;96.48610174571066;96.52512543997604;96.44027080148504;96.44027080148504;96.49359406608227;96.50465046504651;96.09884872039305;96.09884872039305;96.24268786560673;96.43687645337934;96.12021456389154;96.12021456389154;96.25074985002999;96.43446929890406;96.05571847507332;96.05542928367183;96.23659944523577;96.41114197762595;96.12021456389154;96.12021456389154;96.25074985002999;96.43446929890406;96.14989733059548;96.14989733059548;96.22287301944883;96.3776811159442;96.03197887633857;96.03197887633857;96.49490713001796;96.51607102719713;96.08360836083608;96.08360836083608;96.24268786560673;96.4363418110886;96.16765589506852;96.16765589506852;96.21507960348453;96.35600209942265;96.16765589506852;96.16765589506852;96.21507960348453;96.35600209942265;96.16765589506852;96.16765589506852;96.21507960348453;96.35600209942265;94.79687959964674;94.8057680988817;95.99789758221955;96.24325134973006;94.79687959964674;94.8057680988817;95.99789758221955;96.24325134973006;94.79687959964674;94.8057680988817;95.99789758221955;96.24325134973006;94.79687959964674;94.8057680988817;95.99789758221955;96.24325134973006
Weather, new source and alka;96.59414853713429;96.36226982337467;95.91821779275979;95.91821779275979;96.04108870060733;96.10418856027624;95.94693638229258;95.94693638229258;96.0110969483392;96.00901916572717;95.38484222943084;95.38484222943084;96.03553830073167;96.06181081689296;95.40408525754884;95.40408525754884;96.01016138673042;96.0381181061004;95.40204353620612;95.40204353620612;96.00747663551402;96.085195740213;95.40408525754884;95.40408525754884;96.01016138673042;96.0381181061004;95.4784671262323;95.47172608018973;96.13432835820895;96.1916185621111;95.82657425158531;95.82657425158531;96.0503634864723;96.10535794687078;95.60277408882986;95.60277408882986;96.02030911670275;96.03180556597405;95.58289483435856;95.57613931085587;96.14121510673235;96.19247489132064;95.58289483435856;95.57613931085587;96.14121510673235;96.19247489132064;95.58289483435856;95.57613931085587;96.14121510673235;96.19247489132064;94.20973782771536;94.21017152273238;95.51599819738621;95.73331326661149;94.20973782771536;94.21017152273238;95.51599819738621;95.73331326661149;94.20973782771536;94.21017152273238;95.51599819738621;95.73331326661149;94.20973782771536;94.21017152273238;95.51599819738621;95.73331326661149
Expanded weather, new source and alka;96.48180373761065;96.26352015732547;95.84795321637426;95.84795321637426;96.00333687244047;96.03594080338267;95.62729273661041;95.62697189815835;96.06996819627443;96.00453172205438;95.49582810307908;95.4954954954955;95.93816307972112;95.91775022679165;95.51729256345554;95.51695984561715;95.94574113367688;95.93379185246769;95.38541434824542;95.38507196913488;95.94543387646836;95.91775022679165;95.51729256345554;95.51695984561715;95.94574113367688;95.93379185246769;95.3814064362336;95.3814064362336;95.90039477679927;95.98278335724534;95.69307658386006;95.69307658386006;95.89914945321992;95.93225464993195;95.57482766288636;95.57449962935507;95.9445118253487;95.93379185246769;95.42823215080897;95.42823215080897;95.89946085503834;95.9821765727664;95.42823215080897;95.42823215080897;95.89946085503834;95.9821765727664;95.42823215080897;95.42823215080897;95.89946085503834;95.9821765727664;94.26296599449364;94.2774222354517;95.40991093857045;95.70653811388972;94.26296599449364;94.2774222354517;95.40991093857045;95.70653811388972;94.26296599449364;94.2774222354517;95.40991093857045;95.70653811388972;94.26296599449364;94.2774222354517;95.40991093857045;95.70653811388972
Expanded weather and alka;96.6517524235645;96.68586818283833;96.24505928853755;96.24505928853755;96.01238577146741;96.13293051359516;96.24863685932388;96.24890956673453;96.05312806580636;96.09233554616777;95.98048496322727;95.98048496322727;95.9479891140006;95.98972887244166;95.89453584018801;95.89453584018801;95.93502077823952;95.97705487206582;95.81981716307874;95.81981716307874;95.93563496260482;95.97523219814241;95.89453584018801;95.89453584018801;95.93502077823952;95.97705487206582;95.85476995443187;95.85476995443187;95.94104308390023;95.98821396192203;95.94256259204712;95.94256259204712;96.00392808581357;96.12567026659617;95.90729059703682;95.90729059703682;95.9652436720816;95.9833899584749;95.88849661665195;95.88849661665195;95.91805881018973;95.99576911453612;95.88849661665195;95.88849661665195;95.91805881018973;95.99576911453612;95.88849661665195;95.88849661665195;95.91805881018973;95.99576911453612;94.79189850879145;94.79189850879145;95.33338367439403;95.57669082125604;94.79189850879145;94.79189850879145;95.33338367439403;95.57669082125604;94.79189850879145;94.79189850879145;95.33338367439403;95.57669082125604;94.79189850879145;94.79189850879145;95.33338367439403;95.57669082125604
Weather and alka;96.71823370381496;96.84704830053667;96.12261321237837;96.12261321237837;96.52709915056754;96.4732309996256;96.15859414712075;96.15859414712075;96.52657694910157;96.37740943523589;96.09250398724083;96.09250398724083;96.2971342383107;96.30630630630631;95.9450621321125;95.9450621321125;96.28763298875727;96.30713803197479;95.93082400813834;95.93082400813834;96.28763298875727;96.32297763770073;95.9450621321125;95.9450621321125;96.28763298875727;96.30713803197479;95.91866588648332;95.91866588648332;96.28261197406123;96.40152935002624;95.97713783249066;95.97713783249066;96.39307228915662;96.36404528075569;96.00493934771556;96.00493934771556;96.27169811320755;96.3082464170481;95.91211037301993;95.91211037301993;96.26640518931966;96.3887015808796;95.91211037301993;95.91211037301993;96.26640518931966;96.3887015808796;95.91211037301993;95.91211037301993;96.26640518931966;96.3887015808796;94.55992923485184;94.55832473086565;95.76584042793641;96.10155487117855;94.55992923485184;94.55832473086565;95.76584042793641;96.10155487117855;94.55992923485184;94.55832473086565;95.76584042793641;96.10155487117855;94.55992923485184;94.55832473086565;95.76584042793641;96.10155487117855
Expanded all sources;95.23809523809523;95.01206757843926;96.47611589663273;96.47611589663273;95.1651893634166;94.9919224555735;96.7817896389325;96.7817896389325;95.2572347266881;94.9919224555735;96.66408068269978;96.66408068269978;95.25341914722446;94.9919224555735;96.74418604651163;96.74418604651163;95.25341914722446;94.9919224555735;96.75174013921114;96.75174013921114;95.24959742351047;94.9919224555735;96.74418604651163;96.74418604651163;95.25341914722446;94.9919224555735;96.55712050078247;96.55712050078247;95.1651893634166;94.99596448748991;96.88715953307393;96.88715953307393;95.16129032258065;94.9919224555735;96.73405909797823;96.73405909797823;95.25341914722446;94.9919224555735;96.63536776212833;96.63536776212833;95.1651893634166;94.99596448748991;96.63536776212833;96.63536776212833;95.1651893634166;94.99596448748991;96.63536776212833;96.63536776212833;95.1651893634166;94.99596448748991;71.45557655954632;71.45557655954632;87.09394205443371;88.7620719929763;71.45557655954632;71.45557655954632;87.09394205443371;88.7620719929763;71.45557655954632;71.45557655954632;87.09394205443371;88.7620719929763;71.45557655954632;71.45557655954632;87.09394205443371;88.7620719929763
All sources;95.29602595296026;94.77071600965407;96.56274980015988;96.56274980015988;95.31880548829702;95.11217948717949;96.45669291338582;96.45669291338582;95.31502423263328;95.11217948717949;96.53543307086613;96.53543307086613;95.27302363488182;95.10433386837882;96.5818759936407;96.5818759936407;95.27302363488182;95.10433386837882;96.37972646822205;96.37972646822205;95.27302363488182;95.10433386837882;96.5818759936407;96.5818759936407;95.27302363488182;95.10433386837882;96.7741935483871;96.7741935483871;95.27302363488182;95.1004016064257;96.6373098478783;96.6373098478783;95.30744336569579;95.10433386837882;96.34920634920636;96.34920634920636;95.27302363488182;95.10433386837882;96.70152855993564;96.70152855993564;95.27687296416939;95.1004016064257;96.70152855993564;96.70152855993564;95.27687296416939;95.1004016064257;96.70152855993564;96.70152855993564;95.27687296416939;95.1004016064257;71.19460500963392;71.19460500963392;89.957805907173;91.43576826196474;71.19460500963392;71.19460500963392;89.957805907173;91.43576826196474;71.19460500963392;71.19460500963392;89.957805907173;91.43576826196474;71.19460500963392;71.19460500963392;89.957805907173;91.43576826196474
