Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;44;48;62;62;57;61;58;58;57;62;59;59;60;62;58;58;60;62;59;59;60;62;58;58;60;62;58;58;60;61;62;62;57;61;57;57;60;61;57;57;60;61;57;57;60;61;57;57;60;61;91;91;68;68;91;91;68;68;91;91;68;68;91;91;68;68
Weather and new source;52;48;75;75;68;69;70;70;67;68;80;80;68;70;76;76;68;70;75;75;68;70;76;76;68;70;81;81;69;71;76;76;68;69;77;77;68;70;81;81;69;71;81;81;69;71;81;81;69;71;101;101;80;76;101;101;80;76;101;101;80;76;101;101;80;76
Expanded weather and new source;55;53;72;72;64;67;69;69;66;64;72;72;67;66;73;73;67;66;74;74;67;66;73;73;67;66;78;78;69;68;71;71;64;67;73;73;67;66;79;79;69;68;79;79;69;68;79;79;69;68;111;111;73;74;111;111;73;74;111;111;73;74;111;111;73;74
Expanded weather;43;41;66;66;52;57;56;56;52;57;61;61;54;56;63;63;54;54;60;60;53;52;63;63;54;54;64;64;53;57;66;66;52;57;59;59;54;54;64;64;53;57;64;64;53;57;64;64;53;57;88;88;55;57;88;88;55;57;88;88;55;57;88;88;55;57
Weather, new source and alka;50;50;72;72;61;63;65;65;62;64;76;76;60;60;75;75;60;61;77;77;60;56;75;75;60;61;82;82;58;57;75;75;61;63;71;71;60;61;74;74;58;57;74;74;58;57;74;74;58;57;104;104;69;65;104;104;69;65;104;104;69;65;104;104;69;65
Expanded weather, new source and alka;46;49;70;70;64;64;71;71;62;64;75;75;66;67;73;73;66;67;73;73;66;68;73;73;66;67;80;80;68;69;75;75;67;67;73;73;66;67;80;80;68;69;80;80;68;69;80;80;68;69;106;106;82;75;106;106;82;75;106;106;82;75;106;106;82;75
Expanded weather and alka;41;46;63;63;60;61;61;61;59;60;66;66;62;64;68;68;62;64;68;68;62;64;68;68;62;64;67;67;63;65;67;67;60;61;68;68;63;65;66;66;64;66;66;66;64;66;66;66;64;66;91;91;73;72;91;91;73;72;91;91;73;72;91;91;73;72
Weather and alka;45;44;72;72;53;56;62;62;53;58;71;71;59;61;71;71;59;60;71;71;59;60;71;71;59;60;75;75;59;58;70;70;56;58;70;70;59;60;75;75;59;58;75;75;59;58;75;75;59;58;96;96;69;69;96;96;69;69;96;96;69;69;96;96;69;69
Expanded all sources;10;8;6;6;10;8;7;7;10;8;5;5;10;8;5;5;10;8;5;5;10;8;5;5;10;8;6;6;10;8;6;6;10;8;5;5;10;8;6;6;10;8;6;6;10;8;6;6;10;8;44;44;24;22;44;44;24;22;44;44;24;22;44;44;24;22
All sources;13;13;8;8;13;13;7;7;13;13;6;6;13;13;6;6;13;13;6;6;13;13;6;6;13;13;8;8;13;13;8;8;13;13;5;5;13;13;8;8;13;13;8;8;13;13;8;8;13;13;49;49;25;20;49;49;25;20;49;49;25;20;49;49;25;20
Expanded no TV;62;59;69;69;80;79;63;63;80;77;69;69;80;77;67;67;80;77;68;68;80;77;67;67;80;77;75;75;81;79;65;65;80;79;67;67;80;77;75;75;81;79;75;75;81;79;75;75;81;79;119;119;78;83;119;119;78;83;119;119;78;83;119;119;78;83
No TV;57;50;72;72;69;66;73;73;69;64;69;69;72;65;67;67;72;65;61;61;71;65;67;67;72;65;69;69;72;67;72;72;69;66;65;65;72;65;70;70;72;67;70;70;72;67;70;70;72;67;113;113;90;78;113;113;90;78;113;113;90;78;113;113;90;78
