Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;50;51;67;67;60;62;61;61;60;63;63;63;63;63;62;62;63;63;63;63;63;63;62;62;63;63;61;61;63;62;67;67;60;62;61;61;63;62;60;60;63;62;60;60;63;62;60;60;63;62;101;101;73;72;101;101;73;72;101;101;73;72;101;101;73;72
Weather and new source;57;55;83;83;71;72;77;77;70;71;84;84;71;73;81;81;71;73;80;80;71;73;81;81;71;73;86;86;72;74;84;84;71;72;82;82;71;73;86;86;72;74;86;86;72;74;86;86;72;74;108;108;86;83;108;108;86;83;108;108;86;83;108;108;86;83
Expanded weather and new source;59;56;77;77;68;71;74;74;68;68;77;77;69;69;78;78;69;69;79;79;69;69;78;78;69;69;82;82;71;71;77;77;68;71;78;78;69;69;83;83;71;71;83;83;71;71;83;83;71;71;116;116;77;78;116;116;77;78;116;116;77;78;116;116;77;78
Expanded weather;48;44;71;71;59;60;61;61;59;60;64;64;61;59;66;66;61;57;63;63;60;55;66;66;61;57;66;66;60;60;71;71;59;60;62;62;61;57;66;66;60;60;66;66;60;60;66;66;60;60;94;94;63;62;94;94;63;62;94;94;63;62;94;94;63;62
Weather, new source and alka;53;52;76;76;65;66;68;68;66;67;80;80;64;63;81;81;64;64;83;83;64;59;81;81;64;64;89;89;62;60;80;80;65;66;77;77;64;64;81;81;62;60;81;81;62;60;81;81;62;60;108;108;71;67;108;108;71;67;108;108;71;67;108;108;71;67
Expanded weather, new source and alka;48;52;72;72;67;70;72;72;65;69;77;77;69;72;76;76;69;72;76;76;69;73;76;76;69;72;84;84;71;75;78;78;70;73;76;76;69;72;84;84;71;75;84;84;71;75;84;84;71;75;113;113;84;79;113;113;84;79;113;113;84;79;113;113;84;79
Expanded weather and alka;44;49;69;69;65;67;65;65;64;66;71;71;67;70;72;72;67;70;72;72;67;70;72;72;67;70;74;74;68;71;74;74;65;67;72;72;68;71;73;73;69;72;73;73;69;72;73;73;69;72;100;100;78;79;100;100;78;79;100;100;78;79;100;100;78;79
Weather and alka;51;49;79;79;59;61;70;70;59;62;79;79;65;66;79;79;65;65;78;78;65;65;79;79;65;65;81;81;65;63;77;77;62;63;78;78;65;65;81;81;65;63;81;81;65;63;81;81;65;63;103;103;73;72;103;103;73;72;103;103;73;72;103;103;73;72
Expanded all sources;11;9;6;6;11;9;8;8;11;9;5;5;11;9;5;5;11;9;5;5;11;9;5;5;11;9;7;7;11;9;6;6;11;9;5;5;11;9;7;7;11;9;7;7;11;9;7;7;11;9;45;45;24;22;45;45;24;22;45;45;24;22;45;45;24;22
All sources;13;13;8;8;13;13;7;7;13;13;6;6;13;13;6;6;13;13;6;6;13;13;6;6;13;13;8;8;13;13;8;8;13;13;5;5;13;13;8;8;13;13;8;8;13;13;8;8;13;13;49;49;25;20;49;49;25;20;49;49;25;20;49;49;25;20
Expanded no TV;67;63;75;75;84;85;69;69;84;82;75;75;85;83;74;74;85;83;75;75;85;83;74;74;85;83;81;81;86;86;71;71;84;85;74;74;85;83;81;81;86;86;81;81;86;86;81;81;86;86;127;127;88;93;127;127;88;93;127;127;88;93;127;127;88;93
No TV;65;55;75;75;75;73;75;75;75;70;75;75;79;72;73;73;79;72;67;67;78;72;73;73;79;72;75;75;79;75;75;75;75;73;72;72;79;72;76;76;79;75;76;76;79;75;76;76;79;75;122;122;96;84;122;122;96;84;122;122;96;84;122;122;96;84
