Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;1978;1940;2141;2140;1981;1965;2127;2127;1976;1956;2120;2120;1965;1949;2124;2124;1964;1953;2104;2104;1964;1956;2124;2124;1964;1953;2112;2112;1967;1950;2136;2135;1981;1971;2138;2138;1965;1950;2102;2102;1969;1951;2102;2102;1969;1951;2102;2102;1969;1951;2063;2063;1958;1980;2063;2063;1958;1980;2063;2063;1958;1980;2063;2063;1958;1980
Weather and new source;2140;2142;2339;2339;2128;2167;2319;2319;2118;2167;2342;2342;2107;2154;2349;2349;2106;2149;2329;2329;2105;2145;2349;2349;2106;2149;2324;2324;2114;2149;2343;2342;2125;2167;2350;2350;2106;2152;2319;2319;2115;2148;2319;2319;2115;2148;2319;2319;2115;2148;2228;2228;2101;2144;2228;2228;2101;2144;2228;2228;2101;2144;2228;2228;2101;2144
Expanded weather and new source;2209;2183;2267;2267;2153;2158;2336;2336;2145;2163;2341;2341;2146;2171;2346;2346;2145;2170;2329;2329;2145;2172;2346;2346;2145;2170;2263;2263;2150;2172;2260;2260;2152;2159;2346;2346;2145;2168;2269;2269;2149;2170;2269;2269;2149;2170;2269;2269;2149;2170;2180;2179;2131;2147;2180;2179;2131;2147;2180;2179;2131;2147;2180;2179;2131;2147
Expanded weather;1995;1994;2117;2117;1993;1969;2123;2123;1986;1966;2125;2125;1976;1954;2113;2114;1978;1958;2121;2122;1982;1961;2113;2114;1978;1958;2108;2108;1978;1952;2103;2103;1991;1968;2121;2121;1977;1962;2116;2116;1976;1952;2116;2116;1976;1952;2116;2116;1976;1952;2114;2112;2001;1971;2114;2112;2001;1971;2114;2112;2001;1971;2114;2112;2001;1971
Weather, new source and alka;2154;2127;2251;2251;2170;2131;2260;2260;2175;2144;2211;2211;2186;2128;2213;2213;2182;2128;2219;2219;2182;2132;2213;2213;2182;2128;2210;2209;2186;2129;2262;2262;2174;2141;2226;2226;2184;2128;2208;2207;2185;2128;2208;2207;2185;2128;2208;2207;2185;2128;2181;2181;2171;2131;2181;2181;2171;2131;2181;2181;2171;2131;2181;2181;2171;2131
Expanded weather, new source and alka;2187;2159;2236;2236;2176;2174;2243;2244;2185;2175;2212;2213;2174;2170;2228;2228;2174;2167;2206;2207;2175;2165;2228;2228;2174;2167;2183;2183;2166;2163;2204;2204;2172;2166;2227;2228;2174;2168;2201;2201;2166;2164;2201;2201;2166;2164;2201;2201;2166;2164;2128;2128;2141;2187;2128;2128;2141;2187;2128;2128;2141;2187;2128;2128;2141;2187
Expanded weather and alka;2081;2076;2227;2227;2048;2038;2209;2208;2050;2035;2241;2241;2044;2038;2200;2200;2039;2038;2188;2188;2042;2040;2200;2200;2039;2038;2226;2226;2047;2039;2223;2223;2047;2038;2216;2216;2040;2039;2229;2229;2047;2039;2229;2229;2047;2039;2229;2229;2047;2039;2171;2171;2035;2080;2171;2171;2035;2080;2171;2171;2035;2080;2171;2171;2035;2080
Weather and alka;1984;2022;2183;2183;1975;2007;2186;2186;1977;1996;2169;2169;1950;1997;2208;2208;1945;1997;2191;2191;1945;1998;2208;2208;1945;1997;2195;2195;1940;2002;2201;2201;1965;1999;2205;2205;1944;1999;2200;2200;1940;2010;2200;2200;1940;2010;2200;2200;1940;2010;2127;2129;1982;2004;2127;2129;1982;2004;2127;2129;1982;2004;2127;2129;1982;2004
Expanded all sources;264;268;263;263;263;268;253;253;266;270;263;263;261;268;270;270;261;268;267;267;261;268;270;270;261;268;257;257;258;268;270;270;263;267;276;276;261;268;264;264;258;268;264;264;258;268;264;264;258;268;150;150;200;218;150;150;200;218;150;150;200;218;150;150;200;218
All sources;259;263;253;253;257;266;258;258;257;266;247;247;254;262;242;242;255;263;243;243;255;263;242;242;255;263;243;243;254;264;250;250;257;266;242;242;254;262;249;249;253;263;249;249;253;263;249;249;253;263;141;141;236;234;141;141;236;234;141;141;236;234;141;141;236;234
Expanded no TV;2157;2219;2271;2271;2142;2153;2317;2317;2156;2156;2295;2295;2138;2148;2284;2284;2131;2147;2272;2272;2131;2145;2284;2284;2131;2147;2240;2240;2127;2149;2289;2289;2139;2152;2283;2283;2133;2149;2247;2247;2127;2148;2247;2247;2127;2148;2247;2247;2127;2148;2250;2251;2126;2120;2250;2251;2126;2120;2250;2251;2126;2120;2250;2251;2126;2120
No TV;2169;2176;2241;2241;2149;2144;2261;2261;2136;2138;2230;2230;2117;2121;2240;2240;2117;2127;2261;2261;2116;2125;2240;2240;2117;2127;2248;2248;2130;2126;2263;2263;2147;2140;2226;2226;2117;2124;2248;2248;2129;2127;2248;2248;2129;2127;2248;2248;2129;2127;2212;2212;2134;2155;2212;2212;2134;2155;2212;2212;2134;2155;2212;2212;2134;2155
