Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;45.24654349687997;45.24186669915925;44.13666870042709;44.13666870042709;45.3646024184683;44.89148988051695;43.58974358974359;43.58974358974359;45.17152972774997;44.80567098508922;43.94455252918288;43.94989663139973;45.14669926650367;44.72718375336432;44.104377514937205;44.104377514937205;45.15774027879677;44.72847358121331;44.09506398537477;44.09506398537477;45.151033386327505;44.72847358121331;44.104377514937205;44.104377514937205;45.15774027879677;44.72847358121331;44.073802541544474;44.073802541544474;45.313264806656875;44.81874771146101;44.21859785783837;44.22398052343274;45.3701441485463;44.88601731073997;43.884892086330936;43.890243902439025;45.16326281032163;44.70530692100758;44.0870734988382;44.0870734988382;45.313264806656875;44.8078096400244;44.0870734988382;44.0870734988382;45.313264806656875;44.8078096400244;44.0870734988382;44.0870734988382;45.313264806656875;44.8078096400244;43.4631605060779;43.4631605060779;44.749417963484866;44.851955647617885;43.4631605060779;43.4631605060779;44.749417963484866;44.851955647617885;43.4631605060779;43.4631605060779;44.749417963484866;44.851955647617885;43.4631605060779;43.4631605060779;44.749417963484866;44.851955647617885
Weather and new source;45.2511188463451;45.565217391304344;44.10377358490566;44.10377358490566;45.48848786558805;46.069787656773876;44.48721132356593;44.492735626474605;45.38538288850088;45.80597199851319;44.30552116860609;44.30552116860609;45.24167292762334;45.81464872944694;44.47201886090086;44.47201886090086;45.25538307461191;45.82606528781461;44.37847866419295;44.37847866419295;45.21782674011017;45.70395311136052;44.47201886090086;44.47201886090086;45.25538307461191;45.82606528781461;43.8107098381071;43.8107098381071;45.32167395377889;45.94864123659935;43.98009950248756;43.97463002114165;45.400149588631265;46.04120129064284;44.31367690782954;44.31367690782954;45.242864296444665;45.82606528781461;43.80442896242847;43.80442896242847;45.309181761399124;45.92370979805535;43.80442896242847;43.80442896242847;45.309181761399124;45.92370979805535;43.80442896242847;43.80442896242847;45.309181761399124;45.92370979805535;43.79198805673053;43.79198805673053;45.32663316582914;45.49108264255212;43.79198805673053;43.79198805673053;45.32663316582914;45.49108264255212;43.79198805673053;43.79198805673053;45.32663316582914;45.49108264255212;43.79198805673053;43.79198805673053;45.32663316582914;45.49108264255212
Expanded weather and new source;45.78921447919232;45.75727676369018;45.363377491642936;45.363377491642936;45.24453182600148;45.369910625620655;44.78859390363815;44.78859390363815;45.07803858916063;45.391304347826086;44.98210097518825;44.98210097518825;45.02945508100147;45.39824105041496;44.83269539449315;44.83269539449315;45.02945508100147;45.43540195714109;44.80246913580247;44.80246913580247;45.04847220517855;45.43540195714109;44.83269539449315;44.83269539449315;45.02945508100147;45.43540195714109;44.616151545363905;44.616151545363905;45.13948629716111;45.43879192969427;45.125279087075164;45.125279087075164;45.252425991892885;45.39481839593405;44.80759743463246;44.80759743463246;45.018404907975466;45.3903345724907;44.69810379241517;44.69810379241517;45.12839415161567;45.410628019323674;44.69810379241517;44.69810379241517;45.12839415161567;45.410628019323674;44.69810379241517;44.69810379241517;45.12839415161567;45.410628019323674;43.151545614476;43.14612388491017;44.76622898515155;45.09925558312655;43.151545614476;43.14612388491017;44.76622898515155;45.09925558312655;43.151545614476;43.14612388491017;44.76622898515155;45.09925558312655;43.151545614476;43.14612388491017;44.76622898515155;45.09925558312655
Expanded weather;45.24534274929989;45.084457406732284;44.60742018981881;44.595094293109824;45.522479480583115;45.3269887750122;44.326759191624056;44.326759191624056;45.46788990825688;45.31917490540705;44.28184948352189;44.28184948352189;45.43119266055046;45.24798436354752;44.163999015020934;44.16943726142101;45.43119266055046;45.2622569996332;44.16543574593796;44.17774495322501;45.48012232415902;45.34670417023358;44.163999015020934;44.16943726142101;45.43119266055046;45.2622569996332;44.751518155905316;44.751518155905316;45.40885129336766;45.2334392569054;44.79347019539945;44.79347019539945;45.51690347868692;45.3369140625;44.150897026296384;44.150897026296384;45.43119266055046;45.30008556411197;44.647939611434225;44.647939611434225;45.40885129336766;45.241295051924254;44.647939611434225;44.647939611434225;45.40885129336766;45.241295051924254;44.647939611434225;44.647939611434225;45.40885129336766;45.241295051924254;43.54402361042794;43.573976140696104;45.10882856444118;45.400957877931965;43.54402361042794;43.573976140696104;45.10882856444118;45.400957877931965;43.54402361042794;43.573976140696104;45.10882856444118;45.400957877931965;43.54402361042794;43.573976140696104;45.10882856444118;45.400957877931965
Weather, new source and alka;45.249202062361896;45.32842234499693;44.84848484848485;44.84848484848485;45.06696154318712;45.3001968503937;44.75266969436603;44.75266969436603;45.01288185498712;45.405272234540526;44.601990049751244;44.601990049751244;45.312883435582826;45.661538461538456;44.52472903949172;44.52472903949172;45.241311555937614;45.64254062038405;44.56900847035376;44.56900847035376;45.17872497236212;45.6021650879567;44.52472903949172;44.52472903949172;45.241311555937614;45.64254062038405;44.38496015936255;44.37391087876525;45.363101079489695;45.545163672163426;44.78131212723658;44.78131212723658;45.06263817243921;45.27791441219872;44.77148534525583;44.77148534525583;45.316144874155924;45.614466724074305;44.54976303317535;44.53865336658354;45.368666421298;45.52725482958041;44.54976303317535;44.53865336658354;45.368666421298;45.52725482958041;44.54976303317535;44.53865336658354;45.368666421298;45.52725482958041;42.81452013923421;42.81452013923421;44.857283464566926;45.24102311854402;42.81452013923421;42.81452013923421;44.857283464566926;45.24102311854402;42.81452013923421;42.81452013923421;44.857283464566926;45.24102311854402;42.81452013923421;42.81452013923421;44.857283464566926;45.24102311854402
Expanded weather, new source and alka;44.92540963560773;45.254133496631965;44.36662980710161;44.36662980710161;44.38693776956254;45.110837438423644;43.8706504364933;43.8706504364933;44.60157402852927;45.255384615384614;43.746141498950486;43.746141498950486;44.6114053454859;45.14778325123153;43.38689740420272;43.38689740420272;44.58810491318803;45.14222386405615;43.63861386138614;43.63861386138614;44.59908855770415;45.06591105088087;43.38689740420272;43.38689740420272;44.58810491318803;45.14222386405615;43.34624515806573;43.34624515806573;44.391025641025635;45.02340477950234;44.3374089168828;44.3374089168828;44.30738867645245;45.02340477950234;43.48955113144553;43.48955113144553;44.5935960591133;45.14778325123153;43.43220338983051;43.43220338983051;44.39649858217236;45.034499753573186;43.43220338983051;43.43220338983051;44.39649858217236;45.034499753573186;43.43220338983051;43.43220338983051;44.39649858217236;45.034499753573186;42.60719566288812;42.58962670937538;44.124552082046215;44.821669322220856;42.60719566288812;42.58962670937538;44.124552082046215;44.821669322220856;42.60719566288812;42.58962670937538;44.124552082046215;44.821669322220856;42.60719566288812;42.58962670937538;44.124552082046215;44.821669322220856
Expanded weather and alka;45.381231671554254;45.76229907452509;44.545903257650544;44.545903257650544;44.91494309142088;45.13922813873962;44.749417963484866;44.749417963484866;44.992050874403816;45.29684827754703;44.8531226857566;44.8531226857566;44.86724580937233;45.23460410557185;44.57192203306193;44.57192203306193;44.85501040009788;45.2392578125;44.22197503398838;44.22197503398838;44.85501040009788;45.19160361239932;44.57192203306193;44.57192203306193;44.85501040009788;45.2392578125;44.833127317676144;44.833127317676144;44.81998530492285;45.065267780895454;44.84293841207025;44.84293841207025;44.87148102815178;45.13490416310585;44.6430773024288;44.6430773024288;44.829274262636154;45.18925518925519;44.894671623296155;44.894671623296155;44.79421852033317;45.04515499145717;44.894671623296155;44.894671623296155;44.79421852033317;45.04515499145717;44.894671623296155;44.894671623296155;44.79421852033317;45.04515499145717;44.41125217824247;44.41125217824247;44.70473401659346;45.104255578587974;44.41125217824247;44.41125217824247;44.70473401659346;45.104255578587974;44.41125217824247;44.41125217824247;44.70473401659346;45.104255578587974;44.41125217824247;44.41125217824247;44.70473401659346;45.104255578587974
Weather and alka;45.27886497064579;45.22968197879859;44.454051383399204;44.454051383399204;44.97347970889355;44.93305490725955;44.78859390363815;44.78859390363815;45.07042253521127;44.802955665024626;44.77630285152409;44.77630285152409;44.972101673899566;44.82843742285855;44.83946364866527;44.83946364866527;44.936708860759495;44.80503455083909;44.801279685000615;44.801279685000615;44.93113289490011;44.79269496544916;44.83946364866527;44.83946364866527;44.936708860759495;44.80503455083909;44.636251541307026;44.636251541307026;44.84254897098934;44.86579660182221;44.35513787560282;44.35513787560282;44.86593352279748;44.85981308411215;44.71124245782539;44.71124245782539;44.93419418922275;44.816094791409526;44.67218175083343;44.67218175083343;44.839990076903995;44.90147783251231;44.67218175083343;44.67218175083343;44.839990076903995;44.90147783251231;44.67218175083343;44.67218175083343;44.839990076903995;44.90147783251231;43.719535058117735;43.72656835791052;44.50067892852734;44.55627838468148;43.719535058117735;43.72656835791052;44.50067892852734;44.55627838468148;43.719535058117735;43.72656835791052;44.50067892852734;44.55627838468148;43.719535058117735;43.72656835791052;44.50067892852734;44.55627838468148
Expanded all sources;42.785445420326226;43.67959949937422;45.77836411609499;45.77836411609499;42.857142857142854;43.68811881188119;45.53686934023286;45.53686934023286;43.33748443337485;43.79652605459057;44.41591784338896;44.41591784338896;42.839352428393525;43.765586034912715;44.31673052362707;44.31673052362707;42.839352428393525;43.765586034912715;44.203821656050955;44.203821656050955;42.839352428393525;43.765586034912715;44.31673052362707;44.31673052362707;42.839352428393525;43.765586034912715;45.19846350832266;45.19846350832266;42.465753424657535;43.765586034912715;45.732484076433124;45.732484076433124;42.857142857142854;43.68811881188119;44.44444444444444;44.44444444444444;42.839352428393525;43.765586034912715;45.32650448143406;45.32650448143406;42.465753424657535;43.765586034912715;45.32650448143406;45.32650448143406;42.465753424657535;43.765586034912715;45.32650448143406;45.32650448143406;42.465753424657535;43.765586034912715;27.675840978593275;27.675840978593275;36.74293405114401;38.63636363636363;27.675840978593275;27.675840978593275;36.74293405114401;38.63636363636363;27.675840978593275;27.675840978593275;36.74293405114401;38.63636363636363;27.675840978593275;27.675840978593275;36.74293405114401;38.63636363636363
All sources;41.73913043478261;42.01995012468828;45.30456852791878;45.30456852791878;42.230576441102755;42.839506172839506;46.095717884130984;46.095717884130984;42.230576441102755;42.839506172839506;44.931163954943685;44.931163954943685;42.278481012658226;42.82178217821782;44.48669201520912;44.48669201520912;42.33206590621039;42.874845105328376;44.218551461245234;44.218551461245234;42.33206590621039;42.874845105328376;44.48669201520912;44.48669201520912;42.33206590621039;42.874845105328376;44.689119170984455;44.689119170984455;42.33206590621039;42.92803970223325;45.1530612244898;45.1530612244898;42.28356336260979;42.89245982694685;43.757881462799496;43.757881462799496;42.278481012658226;42.82178217821782;45.46632124352332;45.46632124352332;42.278481012658226;42.874845105328376;45.46632124352332;45.46632124352332;42.278481012658226;42.874845105328376;45.46632124352332;45.46632124352332;42.278481012658226;42.874845105328376;28.74251497005988;28.74251497005988;40.5440414507772;40.49159120310479;28.74251497005988;28.74251497005988;40.5440414507772;40.49159120310479;28.74251497005988;28.74251497005988;40.5440414507772;40.49159120310479;28.74251497005988;28.74251497005988;40.5440414507772;40.49159120310479
Expanded no TV;44.76829268292683;45.277507302823764;45.59113300492611;45.59113300492611;44.60484462931246;44.780523791958686;45.80827298392046;45.80827298392046;44.61820403176542;44.75266969436603;45.65541211519364;45.65541211519364;44.75070439789293;44.787312515367596;45.686980265607545;45.686980265607545;44.756531338157735;44.83819367540298;45.64191705984604;45.64191705984604;44.756531338157735;44.82716201254767;45.686980265607545;45.686980265607545;44.756531338157735;44.83819367540298;45.12057978258153;45.12057978258153;44.72812078065546;44.85348436345728;45.71358085605033;45.71358085605033;44.61030221460908;44.85429730726669;45.510912698412696;45.510912698412696;44.74297632192369;44.82123110947291;45.05425969814144;45.05425969814144;44.733611588509696;44.843711543194686;45.05425969814144;45.05425969814144;44.733611588509696;44.843711543194686;45.05425969814144;45.05425969814144;44.733611588509696;44.843711543194686;43.32125452955142;43.32125452955142;44.0009854644001;44.631578947368425;43.32125452955142;43.32125452955142;44.0009854644001;44.631578947368425;43.32125452955142;43.32125452955142;44.0009854644001;44.631578947368425;43.32125452955142;43.32125452955142;44.0009854644001;44.631578947368425
