Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;227;223;268;268;244;253;275;275;249;259;271;271;254;256;272;272;254;256;270;270;254;256;272;272;254;256;258;258;248;253;257;257;244;253;266;266;254;256;260;260;248;253;260;260;248;253;260;260;248;253;310;310;264;267;310;310;264;267;310;310;264;267;310;310;264;267
Weather and new source;241;218;271;271;243;227;267;267;243;228;281;281;247;233;275;275;247;233;271;271;247;231;275;275;247;233;268;268;246;231;272;272;244;227;273;273;247;233;270;270;246;232;270;270;246;232;270;270;246;232;309;309;267;247;309;309;267;247;309;309;267;247;309;309;267;247
Expanded weather and new source;234;236;237;237;237;237;246;246;244;237;233;233;242;237;243;243;242;237;240;240;242;237;243;243;242;237;248;248;245;236;246;246;237;237;236;236;242;237;246;246;245;236;246;246;245;236;246;246;245;236;319;319;264;253;319;319;264;253;319;319;264;253;319;319;264;253
Expanded weather;211;231;261;261;242;236;231;231;235;239;251;251;238;240;251;251;238;240;254;254;237;240;251;251;238;240;247;247;245;242;259;259;242;233;251;251;238;240;248;248;245;244;248;248;245;244;248;248;245;244;309;310;245;254;309;310;245;254;309;310;245;254;309;310;245;254
Weather, new source and alka;234;226;258;258;261;252;251;251;262;251;287;287;257;249;279;279;255;250;280;280;255;249;279;279;255;250;278;277;256;250;258;258;261;255;276;276;255;250;271;270;256;250;271;270;256;250;271;270;256;250;290;290;260;259;290;290;260;259;290;290;260;259;290;290;260;259
Expanded weather, new source and alka;237;221;259;259;244;228;264;264;238;227;275;275;245;232;274;274;245;231;266;266;245;231;274;274;245;231;264;264;253;230;260;260;246;230;274;274;245;231;267;267;253;230;267;267;253;230;267;267;253;230;310;310;251;228;310;310;251;228;310;310;251;228;310;310;251;228
Expanded weather and alka;231;216;241;241;243;227;236;236;243;230;244;244;244;230;250;250;242;230;252;252;242;230;250;250;242;230;249;249;242;227;251;251;244;227;244;244;242;231;243;243;244;228;243;243;244;228;243;243;244;228;283;283;245;245;283;283;245;245;283;283;245;245;283;283;245;245
Weather and alka;232;230;263;263;258;242;245;245;256;255;254;254;263;258;258;258;265;257;254;254;265;260;258;258;265;257;256;256;266;245;263;263;264;247;252;252;265;257;258;258;266;245;258;258;266;245;258;258;266;245;309;310;270;259;309;310;270;259;309;310;270;259;309;310;270;259
Expanded all sources;23;20;19;19;23;22;17;17;23;22;17;17;23;22;17;17;23;22;17;17;23;22;17;17;23;22;19;19;23;22;17;17;23;22;18;18;23;22;19;19;23;22;19;19;23;22;19;19;23;22;104;104;54;47;104;104;54;47;104;104;54;47;104;104;54;47
All sources;24;22;23;23;24;22;22;22;24;22;15;15;22;22;14;14;22;22;15;15;22;22;14;14;22;22;17;17;22;22;25;25;24;22;13;13;22;22;17;17;22;22;17;17;22;22;17;17;22;22;104;104;42;36;104;104;42;36;104;104;42;36;104;104;42;36
Expanded no TV;226;226;253;253;242;230;263;263;240;233;271;271;234;230;269;269;235;229;267;267;235;229;269;269;235;229;264;264;238;227;252;252;243;230;267;267;235;228;262;262;238;227;262;262;238;227;262;262;238;227;336;336;277;267;336;336;277;267;336;336;277;267;336;336;277;267
No TV;219;227;274;274;239;235;263;263;240;239;270;270;242;247;267;267;242;247;263;263;242;247;267;267;242;247;259;259;238;247;265;265;239;238;275;275;242;247;261;261;238;247;261;261;238;247;261;261;238;247;333;333;272;268;333;333;272;268;333;333;272;268;333;333;272;268
