Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;11.258278145695364;12.709030100334449;13.84083044982699;13.84083044982699;11.14864864864865;13.758389261744966;13.928571428571429;13.928571428571429;11.447811447811448;13.758389261744966;15.107913669064748;15.107913669064748;11.447811447811448;13.422818791946309;15.942028985507244;15.942028985507244;11.447811447811448;12.751677852348994;15.942028985507244;15.942028985507244;11.447811447811448;12.751677852348994;15.942028985507244;15.942028985507244;11.447811447811448;12.751677852348994;13.261648745519713;13.261648745519713;11.525423728813559;12.794612794612794;13.494809688581316;13.494809688581316;11.14864864864865;13.087248322147651;15.523465703971121;15.523465703971121;11.447811447811448;13.131313131313133;12.857142857142856;12.857142857142856;11.525423728813559;12.794612794612794;12.857142857142856;12.857142857142856;11.525423728813559;12.794612794612794;12.857142857142856;12.857142857142856;11.525423728813559;12.794612794612794;12.408759124087592;12.408759124087592;13.745704467353953;11.447811447811448;12.408759124087592;12.408759124087592;13.745704467353953;11.447811447811448;12.408759124087592;12.408759124087592;13.745704467353953;11.447811447811448;12.408759124087592;12.408759124087592;13.745704467353953;11.447811447811448
Weather and new source;11.072664359861593;11.805555555555555;10.954063604240282;10.954063604240282;12.411347517730496;12.857142857142856;11.307420494699647;11.307420494699647;12.36749116607774;13.167259786476867;10.39426523297491;10.39426523297491;12.631578947368421;13.47517730496454;11.347517730496454;11.347517730496454;12.631578947368421;13.120567375886525;12.455516014234876;12.455516014234876;12.676056338028168;13.167259786476867;11.347517730496454;11.347517730496454;12.631578947368421;13.120567375886525;13.571428571428571;13.571428571428571;12.676056338028168;13.523131672597867;12.7208480565371;12.7208480565371;12.411347517730496;12.5;12.142857142857142;12.142857142857142;12.631578947368421;13.47517730496454;13.571428571428571;13.571428571428571;12.676056338028168;13.571428571428571;13.571428571428571;13.571428571428571;12.676056338028168;13.571428571428571;13.571428571428571;13.571428571428571;12.676056338028168;13.571428571428571;13.523131672597867;13.523131672597867;13.732394366197184;14.130434782608695;13.523131672597867;13.523131672597867;13.732394366197184;14.130434782608695;13.523131672597867;13.523131672597867;13.732394366197184;14.130434782608695;13.523131672597867;13.523131672597867;13.732394366197184;14.130434782608695
Expanded weather and new source;12.758620689655173;13.058419243986256;10.507246376811594;10.507246376811594;14.335664335664337;14.035087719298245;8.51063829787234;8.51063829787234;14.285714285714285;14.035087719298245;10.545454545454545;10.545454545454545;14.634146341463413;14.13427561837456;11.469534050179211;11.469534050179211;14.634146341463413;14.13427561837456;11.151079136690647;11.151079136690647;14.634146341463413;14.13427561837456;11.469534050179211;11.469534050179211;14.634146341463413;14.13427561837456;12.915129151291513;12.915129151291513;14.685314685314685;13.780918727915195;10.218978102189782;10.218978102189782;14.335664335664337;14.035087719298245;11.151079136690647;11.151079136690647;14.634146341463413;14.13427561837456;13.186813186813188;13.186813186813188;14.685314685314685;13.780918727915195;13.186813186813188;13.186813186813188;14.685314685314685;13.780918727915195;13.186813186813188;13.186813186813188;14.685314685314685;13.780918727915195;13.818181818181818;13.818181818181818;16.083916083916083;14.94661921708185;13.818181818181818;13.818181818181818;16.083916083916083;14.94661921708185;13.818181818181818;13.818181818181818;16.083916083916083;14.94661921708185;13.818181818181818;13.818181818181818;16.083916083916083;14.94661921708185
Expanded weather;12.162162162162163;12.195121951219512;15.579710144927535;15.579710144927535;11.724137931034482;13.937282229965156;14.695340501792115;14.695340501792115;11.724137931034482;13.88888888888889;15.827338129496402;15.827338129496402;13.10344827586207;13.84083044982699;15.107913669064748;15.107913669064748;13.10344827586207;13.84083044982699;15.162454873646208;15.162454873646208;13.10344827586207;13.84083044982699;15.107913669064748;15.107913669064748;13.10344827586207;13.84083044982699;14.5985401459854;14.5985401459854;13.10344827586207;13.937282229965156;14.855072463768115;14.855072463768115;11.724137931034482;13.937282229965156;14.748201438848922;14.748201438848922;13.10344827586207;13.84083044982699;14.338235294117647;14.338235294117647;13.10344827586207;13.937282229965156;14.338235294117647;14.338235294117647;13.10344827586207;13.937282229965156;14.338235294117647;14.338235294117647;13.10344827586207;13.937282229965156;13.818181818181818;13.818181818181818;13.10344827586207;12.676056338028168;13.818181818181818;13.818181818181818;13.10344827586207;12.676056338028168;13.818181818181818;13.818181818181818;13.10344827586207;12.676056338028168;13.818181818181818;13.818181818181818;13.10344827586207;12.676056338028168
Weather, new source and alka;14.381270903010032;13.861386138613863;13.240418118466899;13.240418118466899;13.310580204778159;14.915254237288137;10.99290780141844;10.99290780141844;13.60544217687075;14.429530201342283;13.523131672597867;13.523131672597867;13.60544217687075;13.621262458471762;13.978494623655912;13.978494623655912;13.60544217687075;13.621262458471762;14.23487544483986;14.23487544483986;13.945578231292515;13.621262458471762;13.978494623655912;13.978494623655912;13.60544217687075;13.621262458471762;14.130434782608695;14.130434782608695;13.310580204778159;14.093959731543624;14.13427561837456;14.13427561837456;13.310580204778159;14.915254237288137;14.695340501792115;14.695340501792115;13.60544217687075;13.621262458471762;14.130434782608695;14.130434782608695;13.310580204778159;14.093959731543624;14.130434782608695;14.130434782608695;13.310580204778159;14.093959731543624;14.130434782608695;14.130434782608695;13.310580204778159;14.093959731543624;13.357400722021662;13.357400722021662;13.559322033898304;14.666666666666666;13.357400722021662;13.357400722021662;13.559322033898304;14.666666666666666;13.357400722021662;13.357400722021662;13.559322033898304;14.666666666666666;13.357400722021662;13.357400722021662;13.559322033898304;14.666666666666666
Expanded weather, new source and alka;13.815789473684212;13.2890365448505;14.285714285714285;14.285714285714285;14.052287581699346;12.624584717607974;15.087719298245613;15.087719298245613;13.77049180327869;12.251655629139073;11.578947368421053;11.578947368421053;13.77049180327869;12.0;13.074204946996467;13.074204946996467;13.77049180327869;12.0;12.587412587412588;12.587412587412588;13.77049180327869;12.0;13.074204946996467;13.074204946996467;13.77049180327869;12.0;12.237762237762238;12.237762237762238;14.052287581699346;12.416107382550337;14.432989690721648;14.432989690721648;14.705882352941178;12.624584717607974;13.47517730496454;13.47517730496454;13.77049180327869;12.0;12.631578947368421;12.631578947368421;14.052287581699346;12.416107382550337;12.631578947368421;12.631578947368421;14.052287581699346;12.416107382550337;12.631578947368421;12.631578947368421;14.052287581699346;12.416107382550337;13.120567375886525;13.120567375886525;15.614617940199334;13.087248322147651;13.120567375886525;13.120567375886525;15.614617940199334;13.087248322147651;13.120567375886525;13.120567375886525;15.614617940199334;13.087248322147651;13.120567375886525;13.120567375886525;15.614617940199334;13.087248322147651
Expanded weather and alka;14.65798045602606;13.442622950819672;14.748201438848922;14.748201438848922;13.442622950819672;11.074918566775244;14.035087719298245;14.035087719298245;13.114754098360656;10.749185667752444;15.714285714285714;15.714285714285714;13.157894736842104;10.749185667752444;15.492957746478872;15.492957746478872;13.157894736842104;10.749185667752444;16.607773851590103;16.607773851590103;13.157894736842104;10.749185667752444;15.492957746478872;15.492957746478872;13.157894736842104;10.749185667752444;15.714285714285714;15.714285714285714;13.486842105263158;11.074918566775244;14.336917562724013;14.336917562724013;13.442622950819672;11.074918566775244;14.642857142857144;14.642857142857144;13.486842105263158;11.074918566775244;14.440433212996389;14.440433212996389;13.815789473684212;11.400651465798045;14.440433212996389;14.440433212996389;13.815789473684212;11.400651465798045;14.440433212996389;14.440433212996389;13.815789473684212;11.400651465798045;12.455516014234876;12.455516014234876;15.032679738562091;12.37785016286645;12.455516014234876;12.455516014234876;15.032679738562091;12.37785016286645;12.455516014234876;12.455516014234876;15.032679738562091;12.37785016286645;12.455516014234876;12.455516014234876;15.032679738562091;12.37785016286645
Weather and alka;13.793103448275861;12.758620689655173;12.23021582733813;12.23021582733813;15.087719298245613;15.19434628975265;11.827956989247312;11.827956989247312;15.034965034965033;14.13427561837456;12.23021582733813;12.23021582733813;15.034965034965033;13.684210526315791;12.142857142857142;12.142857142857142;15.33101045296167;13.286713286713287;12.23021582733813;12.23021582733813;15.33101045296167;13.286713286713287;12.142857142857142;12.142857142857142;15.33101045296167;13.286713286713287;12.903225806451612;12.903225806451612;15.384615384615385;13.986013986013987;12.811387900355871;12.811387900355871;15.384615384615385;14.43661971830986;12.949640287769784;12.949640287769784;15.33101045296167;13.286713286713287;12.996389891696749;12.996389891696749;15.384615384615385;13.986013986013987;12.996389891696749;12.996389891696749;15.384615384615385;13.986013986013987;12.996389891696749;12.996389891696749;15.384615384615385;13.986013986013987;14.079422382671481;14.079422382671481;15.034965034965033;13.636363636363635;14.079422382671481;14.079422382671481;15.034965034965033;13.636363636363635;14.079422382671481;14.079422382671481;15.034965034965033;13.636363636363635;14.079422382671481;14.079422382671481;15.034965034965033;13.636363636363635
Expanded all sources;3.3333333333333335;6.666666666666667;17.24137931034483;17.24137931034483;6.451612903225806;9.67741935483871;12.903225806451612;12.903225806451612;6.451612903225806;9.67741935483871;16.666666666666664;16.666666666666664;6.451612903225806;9.67741935483871;17.24137931034483;17.24137931034483;6.451612903225806;9.67741935483871;16.666666666666664;16.666666666666664;6.451612903225806;9.67741935483871;17.24137931034483;17.24137931034483;6.451612903225806;9.67741935483871;17.857142857142858;17.857142857142858;6.451612903225806;9.67741935483871;13.793103448275861;13.793103448275861;6.451612903225806;9.67741935483871;16.666666666666664;16.666666666666664;6.451612903225806;9.67741935483871;17.857142857142858;17.857142857142858;6.451612903225806;9.67741935483871;17.857142857142858;17.857142857142858;6.451612903225806;9.67741935483871;17.857142857142858;17.857142857142858;6.451612903225806;9.67741935483871;8.0;8.0;10.714285714285714;13.793103448275861;8.0;8.0;10.714285714285714;13.793103448275861;8.0;8.0;10.714285714285714;13.793103448275861;8.0;8.0;10.714285714285714;13.793103448275861
All sources;9.67741935483871;6.0606060606060606;7.4074074074074066;7.4074074074074066;12.121212121212121;5.555555555555555;7.6923076923076925;7.6923076923076925;12.121212121212121;5.555555555555555;7.4074074074074066;7.4074074074074066;9.375;5.714285714285714;7.142857142857142;7.142857142857142;9.67741935483871;5.88235294117647;10.714285714285714;10.714285714285714;9.67741935483871;5.88235294117647;7.142857142857142;7.142857142857142;9.67741935483871;5.88235294117647;10.714285714285714;10.714285714285714;9.67741935483871;5.88235294117647;6.896551724137931;6.896551724137931;12.5;5.714285714285714;7.142857142857142;7.142857142857142;9.375;5.714285714285714;10.714285714285714;10.714285714285714;9.375;5.714285714285714;10.714285714285714;10.714285714285714;9.375;5.714285714285714;10.714285714285714;10.714285714285714;9.375;5.714285714285714;12.0;12.0;10.344827586206897;15.151515151515152;12.0;12.0;10.344827586206897;15.151515151515152;12.0;12.0;10.344827586206897;15.151515151515152;12.0;12.0;10.344827586206897;15.151515151515152
