Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;85.58700209643607;85.8934169278997;85.66233766233766;85.66233766233766;85.30954879328436;85.42976939203353;85.40794979079497;85.40794979079497;84.87084870848709;85.07383966244726;84.97409326424871;84.97409326424871;84.65189873417721;84.9235635213495;85.02066115702479;85.02066115702479;84.65998945703743;84.915611814346;85.24251805985553;85.24251805985553;84.65998945703743;84.98419388830347;85.02066115702479;85.02066115702479;84.65998945703743;84.915611814346;85.26041666666667;85.26041666666667;85.10749868904037;85.33263488737559;85.2757544224766;85.2757544224766;85.31725222863136;85.42212899842684;84.92514197212185;84.92514197212185;84.65998945703743;84.915611814346;84.88796248045857;84.88796248045857;85.10749868904037;85.34031413612566;84.88796248045857;84.88796248045857;85.10749868904037;85.34031413612566;84.88796248045857;84.88796248045857;85.10749868904037;85.34031413612566;82.88659793814433;82.88659793814433;85.34303534303534;86.31198347107438;82.88659793814433;82.88659793814433;85.34303534303534;86.31198347107438;82.88659793814433;82.88659793814433;85.34303534303534;86.31198347107438;82.88659793814433;82.88659793814433;85.34303534303534;86.31198347107438
Weather and new source;84.87009679062659;84.09207161125319;83.8258164852255;83.8258164852255;84.18341061308604;85.0944359367024;85.03366131538063;85.0259067357513;84.13189077794951;84.93360572012257;84.9124613800206;84.9124613800206;84.0452907874421;84.72151251916198;85.07462686567165;85.07462686567165;84.03707518022657;84.71370143149284;84.89984591679507;84.89984591679507;83.98558187435633;84.61145194274029;85.07462686567165;85.07462686567165;84.03707518022657;84.71370143149284;84.16452442159384;84.16452442159384;84.0885684860968;84.77261113949923;83.68720870015535;83.68720870015535;84.17525773195877;85.18896833503575;84.86875965002574;84.86875965002574;84.03707518022657;84.71370143149284;84.19969119917653;84.19969119917653;84.0885684860968;84.72151251916198;84.19969119917653;84.19969119917653;84.0885684860968;84.72151251916198;84.19969119917653;84.19969119917653;84.0885684860968;84.72151251916198;82.43380855397149;82.43380855397149;83.79078197824961;83.98976982097187;82.43380855397149;82.43380855397149;83.79078197824961;83.98976982097187;82.43380855397149;82.43380855397149;83.79078197824961;83.98976982097187;82.43380855397149;82.43380855397149;83.79078197824961;83.98976982097187
Expanded weather and new source;85.8678955453149;85.50799381124291;84.11795137092602;84.11795137092602;85.5087358684481;85.08997429305913;84.8343685300207;84.8343685300207;85.59670781893004;85.1775604734946;84.7859721505931;84.7859721505931;85.37590113285273;84.98714652956298;84.83754512635379;84.83754512635379;85.37590113285273;85.04624871531347;84.84221417485773;84.84221417485773;85.36836682122618;84.98714652956298;84.83754512635379;84.83754512635379;85.37590113285273;85.04624871531347;84.14006179196704;84.14006179196704;84.9124613800206;84.89984591679507;84.3329886246122;84.3329886246122;85.4573484069887;85.08997429305913;84.90175801447776;84.90175801447776;85.37590113285273;84.97942386831275;84.17266187050359;84.17266187050359;84.9124613800206;84.83290488431876;84.17266187050359;84.17266187050359;84.9124613800206;84.83290488431876;84.17266187050359;84.17266187050359;84.9124613800206;84.83290488431876;81.21461657231086;81.21461657231086;84.46852425180599;84.31372549019608;81.21461657231086;81.21461657231086;84.46852425180599;84.31372549019608;81.21461657231086;81.21461657231086;84.46852425180599;84.31372549019608;81.21461657231086;81.21461657231086;84.46852425180599;84.31372549019608
Expanded weather;85.47544409613374;85.9968766267569;85.1019341348667;85.1019341348667;85.1153039832285;85.49738219895288;84.81675392670157;84.81675392670157;85.28025144054479;85.29411764705883;84.67995802728227;84.67995802728227;84.90073145245559;85.10749868904037;84.5100105374078;84.5100105374078;84.90073145245559;85.15993707393812;85.04476040021063;85.04476040021063;85.08085550339072;85.33263488737559;84.5100105374078;84.5100105374078;84.90073145245559;85.15993707393812;84.6677132391418;84.6677132391418;84.79623824451411;85.18324607329842;84.4900105152471;84.4900105152471;85.1153039832285;85.42212899842684;84.74487112046292;84.74487112046292;84.90073145245559;85.15993707393812;84.78033472803347;84.78033472803347;84.79623824451411;85.19099947671376;84.78033472803347;84.78033472803347;84.79623824451411;85.19099947671376;84.78033472803347;84.78033472803347;84.79623824451411;85.19099947671376;83.81147540983606;83.81976446492575;84.34554973821989;85.5804268610099;83.81147540983606;83.81976446492575;84.34554973821989;85.5804268610099;83.81147540983606;83.81976446492575;84.34554973821989;85.5804268610099;83.81147540983606;83.81976446492575;84.34554973821989;85.5804268610099
Weather, new source and alka;85.44238683127571;84.97676819824471;84.65092402464066;84.65092402464066;84.66289243437983;84.59167950693374;85.76567317574512;85.76567317574512;84.80947476828013;84.67866323907455;85.11627906976744;85.11627906976744;84.79712378017463;84.39425051334702;84.63541666666666;84.63541666666666;84.78931140801645;84.33487416538264;85.01291989664082;85.01291989664082;84.73007712082263;84.41025641025641;84.63541666666666;84.63541666666666;84.78931140801645;84.33487416538264;83.82735309412377;83.82735309412377;84.69440164355419;84.26735218508998;84.02885110767645;84.02885110767645;84.65499485066942;84.66666666666667;84.97409326424871;84.97409326424871;84.73792394655703;84.33487416538264;83.97302904564316;83.97302904564316;84.70225872689939;84.26735218508998;83.97302904564316;83.97302904564316;84.70225872689939;84.26735218508998;83.97302904564316;83.97302904564316;84.70225872689939;84.26735218508998;82.55754475703326;82.55754475703326;84.07350689127105;84.06395048994327;82.55754475703326;82.55754475703326;84.07350689127105;84.06395048994327;82.55754475703326;82.55754475703326;84.07350689127105;84.06395048994327;82.55754475703326;82.55754475703326;84.07350689127105;84.06395048994327
Expanded weather, new source and alka;84.48637316561845;84.2050209205021;84.3329886246122;84.3329886246122;84.80749219562955;84.50261780104712;85.17561983471074;85.17561983471074;84.96357960457857;84.49086161879895;83.7160751565762;83.7160751565762;84.49086161879895;84.19947506561681;83.52631578947368;83.52631578947368;84.49086161879895;84.19117647058823;83.42947037231254;83.42947037231254;84.49895615866389;84.16622830089426;83.52631578947368;83.52631578947368;84.49086161879895;84.19117647058823;83.23759791122716;83.23759791122716;84.37826541274818;84.22712933753942;84.17490890161375;84.17490890161375;84.6875;84.38973284442116;83.4475487612019;83.4475487612019;84.49086161879895;84.19117647058823;83.29853862212944;83.29853862212944;84.37826541274818;84.22712933753942;83.29853862212944;83.29853862212944;84.37826541274818;84.22712933753942;83.29853862212944;83.29853862212944;84.37826541274818;84.22712933753942;82.03684749232345;82.04603580562659;83.66492146596859;84.37336130047196;82.03684749232345;82.04603580562659;83.66492146596859;84.37336130047196;82.03684749232345;82.04603580562659;83.66492146596859;84.37336130047196;82.03684749232345;82.04603580562659;83.66492146596859;84.37336130047196
Expanded weather and alka;84.94007295466389;84.83904465212876;84.63146889702038;84.63146889702038;85.05506030414264;84.49531737773152;84.90861618798957;84.90861618798957;85.17745302713988;84.28720083246618;84.55114822546973;84.55114822546973;85.18518518518519;84.01041666666667;84.0670859538784;84.0670859538784;85.16971279373368;84.10630536737884;84.14442700156985;84.14442700156985;85.16971279373368;84.03755868544602;84.0670859538784;84.0670859538784;85.16971279373368;84.10630536737884;84.33107756376887;84.33107756376887;84.958071278826;84.20229405630866;84.1745531019979;84.1745531019979;85.04721930745016;84.487246225924;84.26023084994753;84.26023084994753;85.11749347258485;83.99374348279459;84.18580375782881;84.18580375782881;84.90566037735849;84.15015641293013;84.18580375782881;84.18580375782881;84.90566037735849;84.15015641293013;84.18580375782881;84.18580375782881;84.90566037735849;84.15015641293013;83.10880829015545;83.10880829015545;84.55114822546973;83.82198952879581;83.10880829015545;83.10880829015545;84.55114822546973;83.82198952879581;83.10880829015545;83.10880829015545;84.55114822546973;83.82198952879581;83.10880829015545;83.10880829015545;84.55114822546973;83.82198952879581
Weather and alka;85.31870428422152;85.17548454688318;85.05154639175258;85.05154639175258;85.31395952257395;85.28341133645347;86.07983623336744;86.07983623336744;85.4989604989605;85.08085550339072;85.64790913784202;85.64790913784202;85.13302034428794;84.7723704866562;85.6701030927835;85.6701030927835;85.09640437727984;84.79623824451411;85.51474392136575;85.51474392136575;85.09640437727984;84.7723704866562;85.6701030927835;85.6701030927835;85.09640437727984;84.79623824451411;84.72727272727273;84.72727272727273;84.89583333333334;84.98435870698644;84.75452196382429;84.75452196382429;85.17366511145671;85.11966701352758;85.55211558307533;85.55211558307533;85.03649635036497;84.78033472803347;84.77130977130976;84.77130977130976;84.83585200625325;84.99218342886921;84.77130977130976;84.77130977130976;84.83585200625325;84.99218342886921;84.77130977130976;84.77130977130976;84.83585200625325;84.99218342886921;82.69932256383534;82.76041666666667;85.12953367875647;83.96029258098223;82.69932256383534;82.76041666666667;85.12953367875647;83.96029258098223;82.69932256383534;82.76041666666667;85.12953367875647;83.96029258098223;82.69932256383534;82.76041666666667;85.12953367875647;83.96029258098223
Expanded all sources;85.3211009174312;85.45454545454545;88.26291079812206;88.26291079812206;84.68468468468468;84.86238532110092;87.90697674418605;87.90697674418605;84.68468468468468;84.86238532110092;89.59276018099548;89.59276018099548;84.01826484018264;84.25925925925925;90.45454545454545;90.45454545454545;84.01826484018264;84.25925925925925;90.41095890410958;90.41095890410958;84.01826484018264;84.25925925925925;90.45454545454545;90.45454545454545;84.01826484018264;84.25925925925925;88.58447488584474;88.58447488584474;84.01826484018264;84.25925925925925;87.38317757009347;87.38317757009347;84.68468468468468;84.86238532110092;90.54054054054053;90.54054054054053;84.01826484018264;84.25925925925925;89.0909090909091;89.0909090909091;84.01826484018264;84.25925925925925;89.0909090909091;89.0909090909091;84.01826484018264;84.25925925925925;89.0909090909091;89.0909090909091;84.01826484018264;84.25925925925925;63.13131313131313;63.13131313131313;74.8768472906404;78.4688995215311;63.13131313131313;63.13131313131313;74.8768472906404;78.4688995215311;63.13131313131313;63.13131313131313;74.8768472906404;78.4688995215311;63.13131313131313;63.13131313131313;74.8768472906404;78.4688995215311
All sources;82.4390243902439;84.21052631578947;86.25592417061611;86.25592417061611;82.92682926829268;85.11627906976744;85.64593301435407;85.64593301435407;82.92682926829268;85.11627906976744;86.63594470046083;86.63594470046083;82.92682926829268;84.72222222222221;84.90566037735849;84.90566037735849;82.92682926829268;84.72222222222221;84.03755868544602;84.03755868544602;82.92682926829268;84.72222222222221;84.90566037735849;84.90566037735849;82.92682926829268;84.72222222222221;86.91588785046729;86.91588785046729;82.92682926829268;84.72222222222221;86.7298578199052;86.7298578199052;82.92682926829268;85.11627906976744;84.97652582159625;84.97652582159625;82.92682926829268;84.72222222222221;87.5;87.5;82.92682926829268;84.72222222222221;87.5;87.5;82.92682926829268;84.72222222222221;87.5;87.5;82.92682926829268;84.72222222222221;65.19607843137256;65.19607843137256;78.40375586854461;78.0952380952381;65.19607843137256;65.19607843137256;78.40375586854461;78.0952380952381;65.19607843137256;65.19607843137256;78.40375586854461;78.0952380952381;65.19607843137256;65.19607843137256;78.40375586854461;78.0952380952381
