Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;289;295;358;358;350;349;358;358;345;347;358;358;345;347;358;358;345;347;358;358;345;347;358;358;345;347;360;360;350;349;358;358;350;349;358;358;345;347;360;360;350;349;360;360;350;349;360;360;350;349;362;362;355;354;362;362;355;354;362;362;355;354;362;362;355;354
Weather and new source;283;288;357;357;344;344;355;355;338;342;351;351;339;342;351;351;339;342;351;351;339;342;351;351;339;342;352;352;343;344;357;357;343;344;351;351;339;342;352;352;343;344;352;352;343;344;352;352;343;344;360;360;354;354;360;360;354;354;360;360;354;354;360;360;354;354
Expanded weather and new source;283;280;358;358;347;348;359;359;344;345;356;356;344;345;356;356;344;345;356;356;344;345;356;356;344;345;355;355;346;348;357;357;347;348;356;356;344;345;355;355;346;348;355;355;346;348;355;355;346;348;357;357;349;350;357;357;349;350;357;357;349;350;357;357;349;350
Expanded weather;288;290;356;356;341;342;356;356;340;340;354;354;340;340;354;354;340;340;353;353;340;340;354;354;340;340;352;352;341;342;356;356;341;342;354;354;340;340;352;352;341;342;352;352;341;342;352;352;341;342;356;356;353;353;356;356;353;353;356;356;353;353;356;356;353;353
Weather, new source and alka;282;285;353;353;340;340;351;351;337;337;350;350;337;338;350;350;337;338;350;350;337;338;350;350;337;338;351;351;340;340;353;353;340;340;350;350;337;338;351;351;340;340;351;351;340;340;351;351;340;340;355;355;346;348;355;355;346;348;355;355;346;348;355;355;346;348
Expanded weather, new source and alka;277;279;349;349;334;332;347;347;332;330;349;349;332;330;349;349;332;330;349;349;331;329;349;349;332;330;348;348;334;332;349;349;334;332;349;349;332;330;348;348;334;332;348;348;334;332;348;348;334;332;355;355;343;343;355;355;343;343;355;355;343;343;355;355;343;343
Expanded weather and alka;290;292;358;358;349;347;356;356;345;345;356;356;345;345;356;356;345;345;356;356;345;345;356;356;345;345;357;357;349;347;357;357;349;347;356;356;345;345;357;357;349;347;357;357;349;347;357;357;349;347;362;362;357;358;362;362;357;358;362;362;357;358;362;362;357;358
Weather and alka;288;290;354;354;345;343;354;354;342;341;354;354;342;341;354;354;342;341;354;354;342;341;354;354;342;341;354;354;345;343;354;354;345;343;354;354;342;341;354;354;345;343;354;354;345;343;354;354;345;343;358;358;353;353;358;358;353;353;358;358;353;353;358;358;353;353
Expanded all sources;42;42;57;57;57;56;57;57;56;56;57;57;56;56;57;57;56;56;57;57;56;56;57;57;56;56;57;57;57;56;57;57;57;56;57;57;56;56;57;57;57;56;57;57;57;56;57;57;57;56;58;58;57;57;58;58;57;57;58;58;57;57;58;58;57;57
All sources;46;46;58;58;57;57;58;58;57;57;58;58;57;57;58;58;57;57;58;58;57;57;58;58;57;57;58;58;57;57;58;58;57;57;58;58;57;57;58;58;57;57;58;58;57;57;58;58;57;57;58;58;57;57;58;58;57;57;58;58;57;57;58;58;57;57
Expanded no TV;45;45;56;56;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;56;56;55;55;56;56;55;55;55;55;55;55;56;56;55;55;56;56;55;55;56;56;55;55;56;56;55;55;56;56;55;55;56;56;55;55;56;56;55;55
No TV;45;45;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;57;57;58;58;57;57;58;58;57;57;58;58;57;57;58;58
