Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;32.72727272727273;32.72727272727273;10.194174757281553;10.194174757281553;13.551401869158877;13.145539906103288;9.75609756097561;9.75609756097561;15.137614678899084;14.351851851851851;10.194174757281553;10.194174757281553;15.137614678899084;14.351851851851851;11.057692307692307;11.057692307692307;15.137614678899084;14.351851851851851;10.194174757281553;10.194174757281553;15.137614678899084;14.351851851851851;11.057692307692307;11.057692307692307;15.137614678899084;14.351851851851851;9.75609756097561;9.75609756097561;13.551401869158877;13.145539906103288;10.194174757281553;10.194174757281553;13.551401869158877;13.145539906103288;11.057692307692307;11.057692307692307;15.137614678899084;14.351851851851851;9.75609756097561;9.75609756097561;13.551401869158877;13.145539906103288;9.75609756097561;9.75609756097561;13.551401869158877;13.145539906103288;9.75609756097561;9.75609756097561;13.551401869158877;13.145539906103288;9.75609756097561;9.75609756097561;11.483253588516746;11.057692307692307;9.75609756097561;9.75609756097561;11.483253588516746;11.057692307692307;9.75609756097561;9.75609756097561;11.483253588516746;11.057692307692307;9.75609756097561;9.75609756097561;11.483253588516746;11.057692307692307
Weather and new source;33.2129963898917;33.691756272401435;10.194174757281553;10.194174757281553;11.057692307692307;11.057692307692307;10.194174757281553;10.194174757281553;12.322274881516588;12.322274881516588;10.194174757281553;10.194174757281553;11.904761904761903;12.322274881516588;10.194174757281553;10.194174757281553;11.904761904761903;12.322274881516588;10.194174757281553;10.194174757281553;11.904761904761903;12.322274881516588;10.194174757281553;10.194174757281553;11.904761904761903;12.322274881516588;10.194174757281553;10.194174757281553;11.057692307692307;11.057692307692307;10.194174757281553;10.194174757281553;11.057692307692307;11.057692307692307;10.194174757281553;10.194174757281553;11.904761904761903;12.322274881516588;10.194174757281553;10.194174757281553;11.057692307692307;11.057692307692307;10.194174757281553;10.194174757281553;11.057692307692307;11.057692307692307;10.194174757281553;10.194174757281553;11.057692307692307;11.057692307692307;9.75609756097561;9.75609756097561;9.313725490196079;9.75609756097561;9.75609756097561;9.75609756097561;9.313725490196079;9.75609756097561;9.75609756097561;9.75609756097561;9.313725490196079;9.75609756097561;9.75609756097561;9.75609756097561;9.313725490196079;9.75609756097561
Expanded weather and new source;33.2129963898917;32.481751824817515;7.960199004975125;7.960199004975125;12.322274881516588;10.628019323671497;7.960199004975125;7.960199004975125;13.551401869158877;12.322274881516588;7.960199004975125;7.960199004975125;13.551401869158877;12.322274881516588;7.960199004975125;7.960199004975125;13.551401869158877;12.322274881516588;7.960199004975125;7.960199004975125;13.551401869158877;12.322274881516588;7.960199004975125;7.960199004975125;13.551401869158877;12.322274881516588;7.960199004975125;7.960199004975125;12.322274881516588;10.628019323671497;7.960199004975125;7.960199004975125;12.322274881516588;10.628019323671497;7.960199004975125;7.960199004975125;13.551401869158877;12.322274881516588;7.960199004975125;7.960199004975125;12.322274881516588;10.628019323671497;7.960199004975125;7.960199004975125;12.322274881516588;10.628019323671497;7.960199004975125;7.960199004975125;12.322274881516588;10.628019323671497;7.035175879396985;7.035175879396985;10.194174757281553;9.313725490196079;7.035175879396985;7.035175879396985;10.194174757281553;9.313725490196079;7.035175879396985;7.035175879396985;10.194174757281553;9.313725490196079;7.035175879396985;7.035175879396985;10.194174757281553;9.313725490196079
Expanded weather;32.234432234432234;32.72727272727273;9.313725490196079;9.313725490196079;12.322274881516588;12.322274881516588;9.313725490196079;9.313725490196079;14.351851851851851;14.746543778801843;8.866995073891626;8.866995073891626;14.351851851851851;14.746543778801843;8.866995073891626;8.866995073891626;14.351851851851851;14.746543778801843;8.866995073891626;8.866995073891626;14.351851851851851;14.746543778801843;8.866995073891626;8.866995073891626;14.351851851851851;14.746543778801843;8.866995073891626;8.866995073891626;12.322274881516588;12.322274881516588;9.313725490196079;9.313725490196079;12.322274881516588;12.322274881516588;8.866995073891626;8.866995073891626;14.351851851851851;14.746543778801843;8.866995073891626;8.866995073891626;12.322274881516588;12.322274881516588;8.866995073891626;8.866995073891626;12.322274881516588;12.322274881516588;8.866995073891626;8.866995073891626;12.322274881516588;12.322274881516588;8.415841584158416;8.415841584158416;9.75609756097561;9.75609756097561;8.415841584158416;8.415841584158416;9.75609756097561;9.75609756097561;8.415841584158416;8.415841584158416;9.75609756097561;9.75609756097561;8.415841584158416;8.415841584158416;9.75609756097561;9.75609756097561
Weather, new source and alka;34.16370106761566;33.92857142857143;8.415841584158416;8.415841584158416;9.75609756097561;10.194174757281553;9.313725490196079;9.313725490196079;11.483253588516746;11.057692307692307;8.866995073891626;8.866995073891626;10.628019323671497;10.194174757281553;8.866995073891626;8.866995073891626;10.628019323671497;10.194174757281553;8.866995073891626;8.866995073891626;10.628019323671497;10.194174757281553;8.866995073891626;8.866995073891626;10.628019323671497;10.194174757281553;8.415841584158416;8.415841584158416;8.866995073891626;9.313725490196079;8.415841584158416;8.415841584158416;9.75609756097561;10.194174757281553;8.866995073891626;8.866995073891626;10.628019323671497;10.194174757281553;8.415841584158416;8.415841584158416;8.866995073891626;9.313725490196079;8.415841584158416;8.415841584158416;8.866995073891626;9.313725490196079;8.415841584158416;8.415841584158416;8.866995073891626;9.313725490196079;7.960199004975125;7.960199004975125;8.866995073891626;9.313725490196079;7.960199004975125;7.960199004975125;8.866995073891626;9.313725490196079;7.960199004975125;7.960199004975125;8.866995073891626;9.313725490196079;7.960199004975125;7.960199004975125;8.866995073891626;9.313725490196079
Expanded weather, new source and alka;34.39716312056738;33.691756272401435;7.960199004975125;7.960199004975125;12.322274881516588;11.904761904761903;7.5;7.5;13.145539906103288;12.735849056603774;7.960199004975125;7.960199004975125;13.145539906103288;12.735849056603774;7.960199004975125;7.960199004975125;13.145539906103288;12.735849056603774;7.960199004975125;7.960199004975125;13.145539906103288;12.735849056603774;7.960199004975125;7.960199004975125;13.145539906103288;12.735849056603774;7.960199004975125;7.960199004975125;12.322274881516588;11.904761904761903;7.960199004975125;7.960199004975125;12.322274881516588;11.904761904761903;7.960199004975125;7.960199004975125;13.145539906103288;12.735849056603774;7.960199004975125;7.960199004975125;12.322274881516588;11.904761904761903;7.960199004975125;7.960199004975125;12.322274881516588;11.904761904761903;7.960199004975125;7.960199004975125;12.322274881516588;11.904761904761903;7.035175879396985;7.035175879396985;11.483253588516746;11.483253588516746;7.035175879396985;7.035175879396985;11.483253588516746;11.483253588516746;7.035175879396985;7.035175879396985;11.483253588516746;11.483253588516746;7.035175879396985;7.035175879396985;11.483253588516746;11.483253588516746
Expanded weather and alka;32.481751824817515;33.45323741007194;11.057692307692307;11.057692307692307;9.75609756097561;10.194174757281553;11.057692307692307;11.057692307692307;11.904761904761903;11.904761904761903;11.057692307692307;11.057692307692307;12.322274881516588;11.904761904761903;11.057692307692307;11.057692307692307;11.904761904761903;11.904761904761903;11.057692307692307;11.057692307692307;11.904761904761903;11.904761904761903;11.057692307692307;11.057692307692307;11.904761904761903;11.904761904761903;11.057692307692307;11.057692307692307;9.313725490196079;9.313725490196079;11.057692307692307;11.057692307692307;9.75609756097561;10.194174757281553;11.057692307692307;11.057692307692307;11.904761904761903;11.904761904761903;11.057692307692307;11.057692307692307;9.313725490196079;9.313725490196079;11.057692307692307;11.057692307692307;9.313725490196079;9.313725490196079;11.057692307692307;11.057692307692307;9.313725490196079;9.313725490196079;10.194174757281553;10.194174757281553;7.960199004975125;7.5;10.194174757281553;10.194174757281553;7.960199004975125;7.5;10.194174757281553;10.194174757281553;7.960199004975125;7.5;10.194174757281553;10.194174757281553;7.960199004975125;7.5
Weather and alka;30.711610486891384;30.711610486891384;7.5;7.5;11.904761904761903;12.322274881516588;7.5;7.5;13.953488372093023;14.746543778801843;8.415841584158416;8.415841584158416;13.953488372093023;14.746543778801843;8.415841584158416;8.415841584158416;13.953488372093023;14.746543778801843;8.415841584158416;8.415841584158416;13.953488372093023;14.746543778801843;8.415841584158416;8.415841584158416;13.953488372093023;14.746543778801843;8.415841584158416;8.415841584158416;11.904761904761903;12.322274881516588;7.5;7.5;11.904761904761903;12.322274881516588;7.5;7.5;13.953488372093023;14.746543778801843;8.415841584158416;8.415841584158416;11.904761904761903;12.322274881516588;8.415841584158416;8.415841584158416;11.904761904761903;12.322274881516588;8.415841584158416;8.415841584158416;11.904761904761903;12.322274881516588;7.5;7.5;9.75609756097561;11.057692307692307;7.5;7.5;9.75609756097561;11.057692307692307;7.5;7.5;9.75609756097561;11.057692307692307;7.5;7.5;9.75609756097561;11.057692307692307
Expanded all sources;33.33333333333333;31.57894736842105;3.7037037037037033;3.7037037037037033;3.7037037037037033;7.142857142857142;7.142857142857142;7.142857142857142;13.333333333333334;13.333333333333334;7.142857142857142;7.142857142857142;13.333333333333334;13.333333333333334;7.142857142857142;7.142857142857142;13.333333333333334;13.333333333333334;7.142857142857142;7.142857142857142;13.333333333333334;13.333333333333334;7.142857142857142;7.142857142857142;13.333333333333334;13.333333333333334;3.7037037037037033;3.7037037037037033;3.7037037037037033;7.142857142857142;3.7037037037037033;3.7037037037037033;3.7037037037037033;7.142857142857142;7.142857142857142;7.142857142857142;13.333333333333334;13.333333333333334;3.7037037037037033;3.7037037037037033;3.7037037037037033;7.142857142857142;3.7037037037037033;3.7037037037037033;3.7037037037037033;7.142857142857142;3.7037037037037033;3.7037037037037033;3.7037037037037033;7.142857142857142;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
All sources;31.57894736842105;31.57894736842105;3.7037037037037033;3.7037037037037033;3.7037037037037033;3.7037037037037033;3.7037037037037033;3.7037037037037033;13.333333333333334;10.344827586206897;3.7037037037037033;3.7037037037037033;13.333333333333334;10.344827586206897;3.7037037037037033;3.7037037037037033;13.333333333333334;10.344827586206897;3.7037037037037033;3.7037037037037033;13.333333333333334;10.344827586206897;3.7037037037037033;3.7037037037037033;13.333333333333334;10.344827586206897;3.7037037037037033;3.7037037037037033;3.7037037037037033;3.7037037037037033;3.7037037037037033;3.7037037037037033;3.7037037037037033;3.7037037037037033;3.7037037037037033;3.7037037037037033;13.333333333333334;10.344827586206897;3.7037037037037033;3.7037037037037033;3.7037037037037033;3.7037037037037033;3.7037037037037033;3.7037037037037033;3.7037037037037033;3.7037037037037033;3.7037037037037033;3.7037037037037033;3.7037037037037033;3.7037037037037033;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
