Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;6.976744186046512;6.976744186046512;0.0;0.0;1.4492753623188406;2.8169014084507045;0.0;0.0;4.225352112676056;5.555555555555555;0.0;0.0;4.225352112676056;5.555555555555555;0.0;0.0;4.225352112676056;5.555555555555555;0.0;0.0;4.225352112676056;5.555555555555555;0.0;0.0;4.225352112676056;5.555555555555555;0.0;0.0;1.4492753623188406;2.8169014084507045;0.0;0.0;1.4492753623188406;2.8169014084507045;0.0;0.0;4.225352112676056;5.555555555555555;0.0;0.0;1.4492753623188406;2.8169014084507045;0.0;0.0;1.4492753623188406;2.8169014084507045;0.0;0.0;1.4492753623188406;2.8169014084507045;0.0;0.0;2.941176470588235;2.898550724637681;0.0;0.0;2.941176470588235;2.898550724637681;0.0;0.0;2.941176470588235;2.898550724637681;0.0;0.0;2.941176470588235;2.898550724637681
Weather and new source;6.896551724137931;8.235294117647058;0.0;0.0;2.8169014084507045;2.898550724637681;0.0;0.0;5.633802816901409;7.246376811594203;0.0;0.0;6.944444444444445;7.246376811594203;0.0;0.0;6.944444444444445;7.246376811594203;0.0;0.0;6.944444444444445;7.246376811594203;0.0;0.0;6.944444444444445;7.246376811594203;0.0;0.0;2.8169014084507045;2.898550724637681;0.0;0.0;2.8169014084507045;2.898550724637681;0.0;0.0;6.944444444444445;7.246376811594203;0.0;0.0;2.8169014084507045;2.898550724637681;0.0;0.0;2.8169014084507045;2.898550724637681;0.0;0.0;2.8169014084507045;2.898550724637681;0.0;0.0;3.0303030303030303;3.076923076923077;0.0;0.0;3.0303030303030303;3.076923076923077;0.0;0.0;3.0303030303030303;3.076923076923077;0.0;0.0;3.0303030303030303;3.076923076923077
Expanded weather and new source;6.451612903225806;4.651162790697675;0.0;0.0;4.3478260869565215;2.941176470588235;0.0;0.0;7.042253521126761;4.285714285714286;0.0;0.0;7.042253521126761;4.285714285714286;0.0;0.0;7.042253521126761;4.285714285714286;0.0;0.0;7.042253521126761;4.285714285714286;0.0;0.0;7.042253521126761;4.285714285714286;0.0;0.0;4.411764705882353;2.941176470588235;0.0;0.0;4.3478260869565215;2.941176470588235;0.0;0.0;7.042253521126761;4.285714285714286;0.0;0.0;4.411764705882353;2.941176470588235;0.0;0.0;4.411764705882353;2.941176470588235;0.0;0.0;4.411764705882353;2.941176470588235;0.0;0.0;4.6875;3.1746031746031744;0.0;0.0;4.6875;3.1746031746031744;0.0;0.0;4.6875;3.1746031746031744;0.0;0.0;4.6875;3.1746031746031744
Expanded weather;3.488372093023256;3.3707865168539324;0.0;0.0;0.0;0.0;0.0;0.0;2.898550724637681;2.857142857142857;0.0;0.0;2.898550724637681;2.857142857142857;0.0;0.0;2.898550724637681;2.857142857142857;0.0;0.0;2.898550724637681;2.857142857142857;0.0;0.0;2.898550724637681;2.857142857142857;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.898550724637681;2.857142857142857;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.5151515151515151;1.5151515151515151;0.0;0.0;1.5151515151515151;1.5151515151515151;0.0;0.0;1.5151515151515151;1.5151515151515151;0.0;0.0;1.5151515151515151;1.5151515151515151
Weather, new source and alka;3.75;5.128205128205128;0.0;0.0;1.5384615384615385;1.5151515151515151;0.0;0.0;6.0606060606060606;5.970149253731343;0.0;0.0;6.153846153846154;6.0606060606060606;0.0;0.0;6.153846153846154;6.0606060606060606;0.0;0.0;6.153846153846154;6.0606060606060606;0.0;0.0;6.153846153846154;6.0606060606060606;0.0;0.0;1.5625;1.5384615384615385;0.0;0.0;1.5384615384615385;1.5151515151515151;0.0;0.0;6.153846153846154;6.0606060606060606;0.0;0.0;1.5625;1.5384615384615385;0.0;0.0;1.5625;1.5384615384615385;0.0;0.0;1.5625;1.5384615384615385;0.0;0.0;1.5873015873015872;1.5873015873015872;0.0;0.0;1.5873015873015872;1.5873015873015872;0.0;0.0;1.5873015873015872;1.5873015873015872;0.0;0.0;1.5873015873015872;1.5873015873015872
Expanded weather, new source and alka;4.761904761904762;4.819277108433735;0.0;0.0;2.898550724637681;2.857142857142857;0.0;0.0;5.714285714285714;5.714285714285714;0.0;0.0;5.714285714285714;5.714285714285714;0.0;0.0;5.714285714285714;5.714285714285714;0.0;0.0;5.714285714285714;5.714285714285714;0.0;0.0;5.714285714285714;5.714285714285714;0.0;0.0;2.898550724637681;2.857142857142857;0.0;0.0;2.898550724637681;2.857142857142857;0.0;0.0;5.714285714285714;5.714285714285714;0.0;0.0;2.898550724637681;2.857142857142857;0.0;0.0;2.898550724637681;2.857142857142857;0.0;0.0;2.898550724637681;2.857142857142857;0.0;0.0;3.0303030303030303;3.0303030303030303;0.0;0.0;3.0303030303030303;3.0303030303030303;0.0;0.0;3.0303030303030303;3.0303030303030303;0.0;0.0;3.0303030303030303;3.0303030303030303
Expanded weather and alka;4.878048780487805;6.41025641025641;1.5625;1.5625;0.0;0.0;1.5625;1.5625;1.5151515151515151;1.5151515151515151;1.5625;1.5625;1.5151515151515151;1.5151515151515151;1.5625;1.5625;1.5151515151515151;1.5151515151515151;1.5625;1.5625;1.5151515151515151;1.5151515151515151;1.5625;1.5625;1.5151515151515151;1.5151515151515151;3.125;3.125;0.0;0.0;1.5625;1.5625;0.0;0.0;1.5625;1.5625;1.5151515151515151;1.5151515151515151;3.125;3.125;0.0;0.0;3.125;3.125;0.0;0.0;3.125;3.125;0.0;0.0;0.0;0.0;1.6666666666666667;1.6666666666666667;0.0;0.0;1.6666666666666667;1.6666666666666667;0.0;0.0;1.6666666666666667;1.6666666666666667;0.0;0.0;1.6666666666666667;1.6666666666666667
Weather and alka;2.380952380952381;1.25;1.639344262295082;1.639344262295082;1.5384615384615385;1.5151515151515151;1.639344262295082;1.639344262295082;2.898550724637681;2.8169014084507045;1.639344262295082;1.639344262295082;2.898550724637681;2.8169014084507045;1.6129032258064515;1.6129032258064515;2.898550724637681;2.8169014084507045;1.6129032258064515;1.6129032258064515;2.898550724637681;2.8169014084507045;1.6129032258064515;1.6129032258064515;2.898550724637681;2.8169014084507045;1.6129032258064515;1.6129032258064515;1.5384615384615385;1.5151515151515151;1.6129032258064515;1.6129032258064515;1.5384615384615385;1.5151515151515151;1.6129032258064515;1.6129032258064515;2.898550724637681;2.8169014084507045;1.6129032258064515;1.6129032258064515;1.5384615384615385;1.5151515151515151;1.6129032258064515;1.6129032258064515;1.5384615384615385;1.5151515151515151;1.6129032258064515;1.6129032258064515;1.5384615384615385;1.5151515151515151;0.0;0.0;1.6129032258064515;1.5625;0.0;0.0;1.6129032258064515;1.5625;0.0;0.0;1.6129032258064515;1.5625;0.0;0.0;1.6129032258064515;1.5625
Expanded all sources;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
All sources;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Expanded no TV;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
No TV;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
