Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;16.083916083916083;15.789473684210526;6.976744186046512;6.976744186046512;8.396946564885496;9.433962264150944;6.614785992217899;6.614785992217899;9.774436090225564;10.112359550561797;7.335907335907336;7.335907335907336;9.774436090225564;10.112359550561797;7.335907335907336;7.335907335907336;9.774436090225564;10.112359550561797;7.335907335907336;7.335907335907336;9.774436090225564;10.112359550561797;7.335907335907336;7.335907335907336;9.774436090225564;10.112359550561797;6.25;6.25;8.396946564885496;9.433962264150944;6.976744186046512;6.976744186046512;8.396946564885496;9.433962264150944;7.335907335907336;7.335907335907336;9.774436090225564;10.112359550561797;6.25;6.25;8.396946564885496;9.433962264150944;6.25;6.25;8.396946564885496;9.433962264150944;6.25;6.25;8.396946564885496;9.433962264150944;5.511811023622047;5.511811023622047;6.614785992217899;7.6923076923076925;5.511811023622047;5.511811023622047;6.614785992217899;7.6923076923076925;5.511811023622047;5.511811023622047;6.614785992217899;7.6923076923076925;5.511811023622047;5.511811023622047;6.614785992217899;7.6923076923076925
Weather and new source;12.087912087912088;12.727272727272727;5.511811023622047;5.511811023622047;8.745247148288973;8.396946564885496;5.511811023622047;5.511811023622047;10.44776119402985;9.774436090225564;5.138339920948617;5.138339920948617;10.44776119402985;9.774436090225564;5.138339920948617;5.138339920948617;10.44776119402985;9.774436090225564;5.138339920948617;5.138339920948617;10.44776119402985;9.774436090225564;5.138339920948617;5.138339920948617;10.44776119402985;9.774436090225564;5.511811023622047;5.511811023622047;8.745247148288973;8.396946564885496;5.511811023622047;5.511811023622047;8.745247148288973;8.396946564885496;5.138339920948617;5.138339920948617;10.44776119402985;9.774436090225564;5.511811023622047;5.511811023622047;8.745247148288973;8.396946564885496;5.511811023622047;5.511811023622047;8.745247148288973;8.396946564885496;5.511811023622047;5.511811023622047;8.745247148288973;8.396946564885496;4.761904761904762;4.761904761904762;5.88235294117647;5.511811023622047;4.761904761904762;4.761904761904762;5.88235294117647;5.511811023622047;4.761904761904762;4.761904761904762;5.88235294117647;5.511811023622047;4.761904761904762;4.761904761904762;5.88235294117647;5.511811023622047
Expanded weather and new source;12.408759124087592;13.66906474820144;6.614785992217899;6.614785992217899;10.780669144981413;9.433962264150944;6.614785992217899;6.614785992217899;11.439114391143912;10.112359550561797;6.25;6.25;11.439114391143912;10.112359550561797;6.25;6.25;11.439114391143912;10.112359550561797;6.614785992217899;6.614785992217899;11.439114391143912;10.112359550561797;6.25;6.25;11.439114391143912;10.112359550561797;6.25;6.25;10.44776119402985;9.433962264150944;6.976744186046512;6.976744186046512;10.780669144981413;9.433962264150944;6.25;6.25;11.439114391143912;10.112359550561797;6.25;6.25;10.44776119402985;9.433962264150944;6.25;6.25;10.44776119402985;9.433962264150944;6.25;6.25;10.44776119402985;9.433962264150944;6.25;6.25;7.335907335907336;6.25;6.25;6.25;7.335907335907336;6.25;6.25;6.25;7.335907335907336;6.25;6.25;6.25;7.335907335907336;6.25
Expanded weather;14.285714285714285;13.978494623655912;7.6923076923076925;7.6923076923076925;7.6923076923076925;8.045977011494253;8.045977011494253;8.045977011494253;8.745247148288973;9.090909090909092;5.88235294117647;5.88235294117647;8.745247148288973;9.090909090909092;5.88235294117647;5.88235294117647;8.745247148288973;9.090909090909092;5.88235294117647;5.88235294117647;8.745247148288973;9.090909090909092;5.88235294117647;5.88235294117647;8.745247148288973;9.090909090909092;6.614785992217899;6.614785992217899;7.6923076923076925;8.045977011494253;7.6923076923076925;7.6923076923076925;7.6923076923076925;8.045977011494253;5.88235294117647;5.88235294117647;8.745247148288973;9.090909090909092;6.614785992217899;6.614785992217899;7.6923076923076925;8.045977011494253;6.614785992217899;6.614785992217899;7.6923076923076925;8.045977011494253;6.614785992217899;6.614785992217899;7.6923076923076925;8.045977011494253;6.25;6.25;5.88235294117647;5.88235294117647;6.25;6.25;5.88235294117647;5.88235294117647;6.25;6.25;5.88235294117647;5.88235294117647;6.25;6.25;5.88235294117647;5.88235294117647
Weather, new source and alka;15.492957746478872;15.789473684210526;8.745247148288973;8.745247148288973;8.396946564885496;8.396946564885496;8.045977011494253;8.045977011494253;10.112359550561797;10.780669144981413;7.6923076923076925;7.6923076923076925;10.112359550561797;10.44776119402985;7.6923076923076925;7.6923076923076925;10.112359550561797;10.44776119402985;7.6923076923076925;7.6923076923076925;10.112359550561797;10.44776119402985;7.6923076923076925;7.6923076923076925;10.112359550561797;10.44776119402985;8.045977011494253;8.045977011494253;8.396946564885496;8.396946564885496;8.745247148288973;8.745247148288973;8.396946564885496;8.396946564885496;7.6923076923076925;7.6923076923076925;10.112359550561797;10.44776119402985;8.045977011494253;8.045977011494253;8.396946564885496;8.396946564885496;8.045977011494253;8.045977011494253;8.396946564885496;8.396946564885496;8.045977011494253;8.045977011494253;8.396946564885496;8.396946564885496;7.335907335907336;7.335907335907336;6.976744186046512;6.614785992217899;7.335907335907336;7.335907335907336;6.976744186046512;6.614785992217899;7.335907335907336;7.335907335907336;6.976744186046512;6.614785992217899;7.335907335907336;7.335907335907336;6.976744186046512;6.614785992217899
Expanded weather, new source and alka;14.893617021276595;15.492957746478872;8.045977011494253;8.045977011494253;9.774436090225564;10.44776119402985;8.045977011494253;8.045977011494253;11.11111111111111;12.408759124087592;6.25;6.25;11.11111111111111;12.087912087912088;6.25;6.25;11.11111111111111;12.087912087912088;6.25;6.25;11.11111111111111;12.087912087912088;6.25;6.25;11.11111111111111;12.087912087912088;7.6923076923076925;7.6923076923076925;9.774436090225564;10.44776119402985;8.045977011494253;8.045977011494253;9.774436090225564;10.44776119402985;6.25;6.25;11.11111111111111;12.087912087912088;7.6923076923076925;7.6923076923076925;9.774436090225564;10.44776119402985;7.6923076923076925;7.6923076923076925;9.774436090225564;10.44776119402985;7.6923076923076925;7.6923076923076925;9.774436090225564;10.44776119402985;6.25;6.25;8.396946564885496;8.045977011494253;6.25;6.25;8.396946564885496;8.045977011494253;6.25;6.25;8.396946564885496;8.045977011494253;6.25;6.25;8.396946564885496;8.045977011494253
Expanded weather and alka;16.376306620209057;17.24137931034483;7.335907335907336;7.335907335907336;9.090909090909092;11.11111111111111;8.045977011494253;8.045977011494253;10.780669144981413;12.408759124087592;8.045977011494253;8.045977011494253;11.439114391143912;12.408759124087592;8.045977011494253;8.045977011494253;10.780669144981413;12.408759124087592;8.045977011494253;8.045977011494253;10.780669144981413;12.408759124087592;8.045977011494253;8.045977011494253;10.780669144981413;12.408759124087592;7.335907335907336;7.335907335907336;9.090909090909092;11.439114391143912;7.335907335907336;7.335907335907336;9.090909090909092;11.11111111111111;8.045977011494253;8.045977011494253;10.780669144981413;12.408759124087592;7.335907335907336;7.335907335907336;9.090909090909092;11.439114391143912;7.335907335907336;7.335907335907336;9.090909090909092;11.439114391143912;7.335907335907336;7.335907335907336;9.090909090909092;11.439114391143912;6.25;6.25;6.25;6.976744186046512;6.25;6.25;6.25;6.976744186046512;6.25;6.25;6.25;6.976744186046512;6.25;6.25;6.25;6.976744186046512
Weather and alka;16.666666666666664;17.24137931034483;7.6923076923076925;7.6923076923076925;10.780669144981413;11.11111111111111;7.6923076923076925;7.6923076923076925;11.439114391143912;12.408759124087592;7.6923076923076925;7.6923076923076925;11.439114391143912;12.408759124087592;8.045977011494253;8.045977011494253;11.439114391143912;12.408759124087592;8.045977011494253;8.045977011494253;11.439114391143912;12.087912087912088;8.045977011494253;8.045977011494253;11.439114391143912;12.408759124087592;8.045977011494253;8.045977011494253;10.780669144981413;11.11111111111111;8.045977011494253;8.045977011494253;10.780669144981413;11.11111111111111;8.045977011494253;8.045977011494253;11.439114391143912;12.408759124087592;8.045977011494253;8.045977011494253;10.780669144981413;11.11111111111111;8.045977011494253;8.045977011494253;10.780669144981413;11.11111111111111;8.045977011494253;8.045977011494253;10.780669144981413;11.11111111111111;5.88235294117647;5.88235294117647;6.614785992217899;6.614785992217899;5.88235294117647;5.88235294117647;6.614785992217899;6.614785992217899;5.88235294117647;5.88235294117647;6.614785992217899;6.614785992217899;5.88235294117647;5.88235294117647;6.614785992217899;6.614785992217899
Expanded all sources;12.121212121212121;12.121212121212121;3.3333333333333335;3.3333333333333335;0.0;0.0;9.375;9.375;3.3333333333333335;3.3333333333333335;9.375;9.375;3.3333333333333335;3.3333333333333335;9.375;9.375;3.3333333333333335;3.3333333333333335;9.375;9.375;3.3333333333333335;3.3333333333333335;9.375;9.375;3.3333333333333335;3.3333333333333335;3.3333333333333335;3.3333333333333335;0.0;0.0;3.3333333333333335;3.3333333333333335;0.0;0.0;9.375;9.375;3.3333333333333335;3.3333333333333335;3.3333333333333335;3.3333333333333335;0.0;0.0;3.3333333333333335;3.3333333333333335;0.0;0.0;3.3333333333333335;3.3333333333333335;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
All sources;9.375;9.375;0.0;0.0;0.0;6.451612903225806;6.451612903225806;6.451612903225806;9.375;9.375;6.451612903225806;6.451612903225806;9.375;9.375;6.451612903225806;6.451612903225806;9.375;9.375;6.451612903225806;6.451612903225806;9.375;9.375;6.451612903225806;6.451612903225806;9.375;9.375;0.0;0.0;0.0;6.451612903225806;0.0;0.0;0.0;6.451612903225806;6.451612903225806;6.451612903225806;9.375;9.375;0.0;0.0;0.0;6.451612903225806;0.0;0.0;0.0;6.451612903225806;0.0;0.0;0.0;6.451612903225806;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
