Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;1.1610449404464018;1.171757636454682;1.0336710674444785;1.0336710674444785;0.9707745759247904;1.0105134224762682;0.9892911779704232;0.9892911779704232;0.9597712885440065;1.0197838058331634;0.9788926277148976;0.9788926277148976;0.9500459699662888;0.999693971233296;0.9380097879282219;0.9380097879282219;0.9496579189216788;0.9994900560938297;0.9276248725790011;0.9276248725790011;0.9601634320735445;0.9895939604162416;0.9380097879282219;0.9380097879282219;0.9496579189216788;0.9994900560938297;1.0338826901422868;1.0338826901422868;0.9709730171708912;1.010719754977029;1.0230179028132993;1.0230179028132993;0.9705762157744177;1.0307174201449127;0.9584013050570963;0.9584013050570963;0.9498519048105404;0.999693971233296;1.0336710674444785;1.0336710674444785;0.9711715395624617;1.0109261717553355;1.0336710674444785;1.0336710674444785;0.9711715395624617;1.0109261717553355;1.0336710674444785;1.0336710674444785;0.9711715395624617;1.0109261717553355;0.8388746803069053;0.8388746803069053;1.0016353229762878;0.9910093992644053;0.8388746803069053;0.8388746803069053;1.0016353229762878;0.9910093992644053;0.8388746803069053;0.8388746803069053;1.0016353229762878;0.9910093992644053;0.8388746803069053;0.8388746803069053;1.0016353229762878;0.9910093992644053
Weather and new source;1.2127894156560088;1.2030075187969926;1.0976610586787032;1.0976610586787032;0.8896615195827795;0.8894796033125447;0.9845144087785869;0.9845144087785869;0.9096484055600981;0.8484105080241234;1.0040983606557377;1.0040983606557377;0.9095554420030658;0.8687653311529027;0.9935470654511933;0.9935470654511933;0.90946249744533;0.8686765457332651;1.0238558410975735;1.0238558410975735;0.9096484055600981;0.8685877784590231;0.9935470654511933;0.9935470654511933;0.90946249744533;0.8686765457332651;1.027221366204417;1.027221366204417;0.9100204498977505;0.8892977614228765;1.07747562852745;1.07747562852745;0.8897525056248721;0.8892068683565004;0.9835057883413585;0.9835057883413585;0.9095554420030658;0.8687653311529027;1.0065735414954808;1.0065735414954808;0.9101135085387053;0.8892977614228765;1.0065735414954808;1.0065735414954808;0.9101135085387053;0.8892977614228765;1.0065735414954808;1.0065735414954808;0.9101135085387053;0.8892977614228765;0.8798854102721507;0.8798854102721507;0.8790759480731882;0.8287292817679558;0.8798854102721507;0.8798854102721507;0.8790759480731882;0.8287292817679558;0.8798854102721507;0.8798854102721507;0.8790759480731882;0.8287292817679558;0.8798854102721507;0.8798854102721507;0.8790759480731882;0.8287292817679558
Expanded weather and new source;1.2596221133659902;1.1637239165329054;0.9735601557696248;0.9735601557696248;0.8885711367582474;0.8176614881439084;1.1045203518101863;1.1045203518101863;0.8682328907048007;0.8073582013285641;0.9495609556871555;0.9495609556871555;0.8885711367582474;0.8173273395995097;0.970080669866231;0.970080669866231;0.8884803921568627;0.8173273395995097;0.9595753368721927;0.9595753368721927;0.8885711367582474;0.8174108511290487;0.970080669866231;0.970080669866231;0.8884803921568627;0.8173273395995097;0.9419473738097676;0.9419473738097676;0.9088124170325742;0.8273748723186927;0.9836065573770493;0.9836065573770493;0.8884803921568627;0.8175779253960144;0.9498519048105404;0.9498519048105404;0.8885711367582474;0.8173273395995097;0.9114183307731696;0.9114183307731696;0.90890522875817;0.8273748723186927;0.9114183307731696;0.9114183307731696;0.90890522875817;0.8273748723186927;0.9114183307731696;0.9114183307731696;0.90890522875817;0.8273748723186927;0.8278822567457073;0.8277976494634645;0.898325847284606;0.8277976494634645;0.8278822567457073;0.8277976494634645;0.898325847284606;0.8277976494634645;0.8278822567457073;0.8277976494634645;0.898325847284606;0.8277976494634645;0.8278822567457073;0.8277976494634645;0.898325847284606;0.8277976494634645
Expanded weather;1.0610610610610611;1.0587295245705155;0.981896287204664;0.981896287204664;0.9710722682203823;0.9896949290888685;0.9390629784627947;0.9390629784627947;0.9612434809285203;0.9796918052862538;0.9597712885440065;0.9597712885440065;0.9511147473921048;0.9691899612324015;0.9286661904275946;0.9286661904275946;0.9510174864505573;0.9588901356727532;0.9189299571166021;0.9189299571166021;0.9512120282295182;0.9488827670645853;0.9286661904275946;0.9286661904275946;0.9510174864505573;0.9588901356727532;0.9716682008796154;0.9716682008796154;0.9505314799672935;0.9791921664626682;0.9311368054844982;0.9311368054844982;0.9709730171708912;0.9894930123431603;0.9290454313425216;0.9290454313425216;0.9512120282295182;0.9589879616404815;0.9614401145545669;0.9614401145545669;0.9506286415210058;0.9792920534530246;0.9614401145545669;0.9614401145545669;0.9506286415210058;0.9792920534530246;0.9614401145545669;0.9614401145545669;0.9506286415210058;0.9792920534530246;0.8288140796070808;0.8288140796070808;1.0020449897750512;1.0109261717553355;0.8288140796070808;0.8288140796070808;1.0020449897750512;1.0109261717553355;0.8288140796070808;0.8288140796070808;1.0020449897750512;1.0109261717553355;0.8288140796070808;0.8288140796070808;1.0020449897750512;1.0109261717553355
Weather, new source and alka;1.2240393297883014;1.1843822141925122;0.966382235015935;0.966382235015935;0.9011776753712237;0.8491917331696337;0.9755596631751899;0.9755596631751899;0.9013622861825259;0.8597748208802457;1.0165314714036349;1.0165314714036349;0.9011776753712237;0.84988736432521;1.0059536029562717;1.0059536029562717;0.9211873080859775;0.8597748208802457;1.0166358595194085;1.0166358595194085;0.9213759213759214;0.8597748208802457;1.0059536029562717;1.0059536029562717;0.9211873080859775;0.8597748208802457;1.0809141445336627;1.0808028821410192;0.9211873080859775;0.869832173557102;1.0393084996912945;1.039201563946908;0.9211873080859775;0.8693873376291297;1.0563019177520254;1.0563019177520254;0.9114183307731696;0.84988736432521;1.0492747659705792;1.0491668380991566;0.9114183307731696;0.8600389065219618;1.0492747659705792;1.0491668380991566;0.9114183307731696;0.8600389065219618;1.0492747659705792;1.0491668380991566;0.9114183307731696;0.8600389065219618;0.8438818565400843;0.8438818565400843;0.8396477575261111;0.8093433049892429;0.8438818565400843;0.8438818565400843;0.8396477575261111;0.8093433049892429;0.8438818565400843;0.8438818565400843;0.8396477575261111;0.8093433049892429;0.8438818565400843;0.8438818565400843;0.8396477575261111;0.8093433049892429
Expanded weather, new source and alka;1.202886928628709;1.1428571428571428;1.0397364628371424;1.0397364628371424;0.8813281410125026;0.8286445012787724;1.057494866529774;1.057494866529774;0.9025641025641025;0.8389605074687948;0.9645972293483838;0.9645972293483838;0.9023789991796556;0.8186655751125664;1.0267994660642776;1.0267994660642776;0.9125397313647082;0.8288140796070808;1.0365353037766831;1.0365353037766831;0.9127268998051483;0.8289837273564631;1.0267994660642776;1.0267994660642776;0.9125397313647082;0.8288140796070808;1.0101010101010102;1.0101010101010102;0.9017317348088943;0.8387888707037643;1.000309374033206;1.000309374033206;0.8914847832769751;0.8387888707037643;0.9859299578925748;0.9859299578925748;0.9023789991796556;0.8186655751125664;1.0102051334913926;1.0102051334913926;0.8915761426521828;0.818581807019339;1.0102051334913926;1.0102051334913926;0.8915761426521828;0.818581807019339;1.0102051334913926;1.0102051334913926;0.8915761426521828;0.818581807019339;0.9142270159219312;0.9142270159219312;0.860832137733142;0.7781304392341559;0.9142270159219312;0.9142270159219312;0.860832137733142;0.7781304392341559;0.9142270159219312;0.9142270159219312;0.860832137733142;0.7781304392341559;0.9142270159219312;0.9142270159219312;0.860832137733142;0.7781304392341559
Expanded weather and alka;1.2589928057553956;1.22097678142514;1.0471204188481675;1.0471204188481675;0.9483989394248419;1.0409225431166447;1.014344262295082;1.014344262295082;0.9483022330988069;1.0404978067938386;0.9530641524902643;0.9429127805677975;0.9485924112607099;1.0511276660883764;0.8715267097303393;0.8613617719442166;0.9382967873533911;1.0509131721252933;0.8717948717948718;0.8717948717948718;0.9385839624566414;1.0408163265306123;0.8715267097303393;0.8613617719442166;0.9382967873533911;1.0509131721252933;0.9972242212398478;0.9972242212398478;0.9486891767826175;1.0511276660883764;1.0378133990957665;1.0378133990957665;0.9381054348934434;1.0406039583758417;0.8818703855619361;0.8717054661060405;0.9384882178924818;1.0511276660883764;0.987146529562982;0.987146529562982;0.9488827670645853;1.0513422476268246;0.987146529562982;0.987146529562982;0.9488827670645853;1.0513422476268246;0.987146529562982;0.987146529562982;0.9488827670645853;1.0513422476268246;0.7900677200902935;0.7899866625628398;0.9186485658875165;0.9908069458631257;0.7900677200902935;0.7899866625628398;0.9186485658875165;0.9908069458631257;0.7900677200902935;0.7899866625628398;0.9186485658875165;0.9908069458631257;0.7900677200902935;0.7899866625628398;0.9186485658875165;0.9908069458631257
Weather and alka;1.1134517002708395;1.1845011041959446;0.9215646119189023;0.9215646119189023;0.8374183006535948;0.858456821665815;0.9081632653061225;0.9081632653061225;0.8470252066537401;0.8679669151434699;0.9177118384827164;0.9177118384827164;0.857843137254902;0.857843137254902;0.9189299571166021;0.9189299571166021;0.8576679599754953;0.8576679599754953;0.9184610674558629;0.9184610674558629;0.857843137254902;0.857930752732101;0.9189299571166021;0.9189299571166021;0.8576679599754953;0.8576679599754953;0.9626216077828981;0.9626216077828981;0.8380173735309147;0.8481504189658696;0.9838081574093052;0.9838081574093052;0.8372472942617929;0.8582813936855012;0.90890522875817;0.90890522875817;0.857843137254902;0.857843137254902;0.9423332991908225;0.9423332991908225;0.8381886946744352;0.8484105080241234;0.9423332991908225;0.9423332991908225;0.8381886946744352;0.8484105080241234;0.9423332991908225;0.9423332991908225;0.8381886946744352;0.8484105080241234;0.8269525267993875;0.8270369614049419;0.8280515232058883;0.8693873376291297;0.8269525267993875;0.8270369614049419;0.8280515232058883;0.8693873376291297;0.8269525267993875;0.8270369614049419;0.8280515232058883;0.8693873376291297;0.8269525267993875;0.8270369614049419;0.8280515232058883;0.8693873376291297
Expanded all sources;1.3151187684779284;1.4068712406973187;1.0134097655850138;1.0134097655850138;0.7886271661305386;0.777363184079602;1.0413476263399695;1.0413476263399695;0.7882999688828959;0.757104335200166;1.0218679746576742;1.0218679746576742;0.8092965345507366;0.7671573709309558;1.0016353229762878;1.0016353229762878;0.8092965345507366;0.766918851694476;0.9813943978736455;0.9813943978736455;0.809464508094645;0.766918851694476;1.0016353229762878;1.0016353229762878;0.8092965345507366;0.766918851694476;1.0036870135190497;1.0138248847926268;0.8198422581984225;0.7873200041437896;0.9838081574093052;0.9838081574093052;0.7884635335615727;0.777121541809139;1.0111326728628331;1.0111326728628331;0.809464508094645;0.767236910316226;1.0029679664312763;1.013098649201801;0.8200124558854058;0.7772826199606178;1.0029679664312763;1.013098649201801;0.8200124558854058;0.7772826199606178;1.0029679664312763;1.013098649201801;0.8200124558854058;0.7772826199606178;0.7524297209739784;0.7524297209739784;0.7907605868275933;0.8626065267096238;0.7524297209739784;0.7524297209739784;0.7907605868275933;0.8626065267096238;0.7524297209739784;0.7524297209739784;0.7907605868275933;0.8626065267096238;0.7524297209739784;0.7524297209739784;0.7907605868275933;0.8626065267096238
All sources;1.4797428309011122;1.5545101247698916;1.1844680193634771;1.1844680193634771;0.8210351278320516;0.9150462722262659;1.2030848329048844;1.2030848329048844;0.8212058212058213;0.9048361934477379;1.2237762237762237;1.2237762237762237;0.8212911945108639;0.884219286383023;1.1631497683993826;1.1631497683993826;0.8211204656480616;0.884127314333264;1.162910363280848;1.162910363280848;0.8213765855687253;0.884219286383023;1.1631497683993826;1.1631497683993826;0.8211204656480616;0.884127314333264;1.1337868480725624;1.1337868480725624;0.8209498077522602;0.9046480191327857;1.1115685467270482;1.1115685467270482;0.8208645054031587;0.9149511332917446;1.15261912112792;1.15261912112792;0.8212911945108639;0.8843112775697045;1.1231324059763008;1.1231324059763008;0.8211204656480616;0.9047420965058237;1.1231324059763008;1.1231324059763008;0.8211204656480616;0.9047420965058237;1.1231324059763008;1.1231324059763008;0.8211204656480616;0.9047420965058237;0.8100999473961072;0.8100147275405009;0.8219748205181563;0.8433985839233653;0.8100999473961072;0.8100147275405009;0.8219748205181563;0.8433985839233653;0.8100999473961072;0.8100147275405009;0.8219748205181563;0.8433985839233653;0.8100999473961072;0.8100147275405009;0.8219748205181563;0.8433985839233653
