Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;32.94975855337511;33.3675775631806;23.32373508844097;23.32373508844097;23.444730077120823;23.81491002570694;23.81294964028777;23.81294964028777;23.524573308657207;23.8844334772774;23.64066193853428;23.64066193853428;23.372750642673523;23.83547557840617;23.609826292527494;23.609826292527494;23.39331619537275;23.8560411311054;23.547557840616967;23.547557840616967;23.403598971722364;23.825192802056556;23.609826292527494;23.609826292527494;23.39331619537275;23.8560411311054;23.190045248868778;23.190045248868778;23.424164524421595;23.7840616966581;23.39572192513369;23.39572192513369;23.46529562982005;23.83547557840617;23.59954774385857;23.59954774385857;23.372750642673523;23.83547557840617;23.220896750308516;23.220896750308516;23.41388174807198;23.763496143958868;23.220896750308516;23.220896750308516;23.41388174807198;23.763496143958868;23.220896750308516;23.220896750308516;23.41388174807198;23.763496143958868;22.471217105263158;22.471217105263158;23.290488431876607;23.536673181771423;22.471217105263158;22.471217105263158;23.290488431876607;23.536673181771423;22.471217105263158;22.471217105263158;23.290488431876607;23.536673181771423;22.471217105263158;22.471217105263158;23.290488431876607;23.536673181771423
Weather and new source;33.12448644207067;33.37099424815119;22.925225965488906;22.925225965488906;23.69746172027541;23.741007194244602;23.500410846343467;23.500410846343467;23.77722975750103;23.707738156407355;23.212818405916188;23.212818405916188;23.6896197327852;23.586844809866392;23.2025472473295;23.2025472473295;23.69989722507708;23.586844809866392;23.24363188167625;23.24363188167625;23.6896197327852;23.56628982528263;23.2025472473295;23.2025472473295;23.69989722507708;23.586844809866392;22.745017464557222;22.745017464557222;23.6896197327852;23.661219035872136;22.90468364831553;22.90468364831553;23.69746172027541;23.730729701952725;23.192276088742812;23.192276088742812;23.6896197327852;23.586844809866392;22.755290733511405;22.755290733511405;23.67934224049332;23.661219035872136;22.755290733511405;22.755290733511405;23.67934224049332;23.661219035872136;22.755290733511405;22.755290733511405;23.67934224049332;23.661219035872136;22.17543138866064;22.18570254724733;23.4224049331963;23.371017471736895;22.17543138866064;22.18570254724733;23.4224049331963;23.371017471736895;22.17543138866064;22.18570254724733;23.4224049331963;23.371017471736895;22.17543138866064;22.18570254724733;23.4224049331963;23.371017471736895
Expanded weather and new source;33.38814099270373;33.59712230215827;23.034227567067532;23.034227567067532;23.683669271904567;23.912372724467758;23.370347522105696;23.370347522105696;23.74293059125964;23.850663375501387;23.20345430245708;23.20345430245708;23.755656108597282;23.871233158490178;23.16233165415853;23.16233165415853;23.745372274784042;23.881518049984575;23.182892978307805;23.182892978307805;23.724804607157548;23.840378484006994;23.16233165415853;23.16233165415853;23.745372274784042;23.881518049984575;22.769325657894736;22.769325657894736;23.735088440970795;24.00493674791731;23.054784664405386;23.054784664405386;23.69395310571781;23.93294250745655;23.16233165415853;23.16233165415853;23.735088440970795;23.871233158490178;22.789884868421055;22.789884868421055;23.724804607157548;23.994651856422916;22.789884868421055;22.789884868421055;23.724804607157548;23.994651856422916;22.789884868421055;22.789884868421055;23.724804607157548;23.994651856422916;22.074850915073;22.085132634176436;23.4882764294529;23.60925449871465;22.074850915073;22.085132634176436;23.4882764294529;23.60925449871465;22.074850915073;22.085132634176436;23.4882764294529;23.60925449871465;22.074850915073;22.085132634176436;23.4882764294529;23.60925449871465
Expanded weather;32.97358412992086;33.3950046253469;23.15605390391935;23.15605390391935;23.585681958444766;23.889345948169478;23.451964616334088;23.451964616334088;23.603825979635914;23.897172236503856;23.37448559670782;23.37448559670782;23.472536515120346;23.868778280542987;23.39506172839506;23.37448559670782;23.482822464513475;23.868778280542987;23.455012853470436;23.455012853470436;23.451964616334088;23.817359111476758;23.39506172839506;23.37448559670782;23.482822464513475;23.868778280542987;23.046875;23.046875;23.54453816087225;23.899629781982725;23.135479888900317;23.135479888900317;23.595967907837895;23.920197449609216;23.37448559670782;23.353909465020575;23.472536515120346;23.858494446729743;23.016036184210524;23.016036184210524;23.53425221147912;23.889345948169478;23.016036184210524;23.016036184210524;23.53425221147912;23.889345948169478;23.016036184210524;23.016036184210524;23.53425221147912;23.889345948169478;22.351368031269285;22.351368031269285;23.326133909287257;23.58083093377211;22.351368031269285;22.351368031269285;23.326133909287257;23.58083093377211;22.351368031269285;22.351368031269285;23.326133909287257;23.58083093377211;22.351368031269285;22.351368031269285;23.326133909287257;23.58083093377211
Weather, new source and alka;33.32990855851228;33.65147783251231;22.92823360065803;22.92823360065803;23.603825979635914;23.883974490845507;23.351507046600144;23.351507046600144;23.660668380462724;23.83254474387986;23.217775948976442;23.217775948976442;23.655250437107888;23.760543098127958;23.12995164111534;23.12995164111534;23.716959786074256;23.83254474387986;23.137860082304528;23.137860082304528;23.69639000308547;23.791400946307345;23.12995164111534;23.12995164111534;23.716959786074256;23.83254474387986;22.59125964010283;22.521596051007815;23.76593994241053;23.84283069327299;22.872121710526315;22.80250848154621;23.66553532860228;23.94569018720428;23.23045267489712;23.23045267489712;23.67582022009668;23.791400946307345;22.686137392019745;22.616476396174022;23.724804607157548;23.791400946307345;22.686137392019745;22.616476396174022;23.724804607157548;23.791400946307345;22.686137392019745;22.616476396174022;23.724804607157548;23.791400946307345;21.762830402139258;21.762830402139258;23.192430319860126;23.369677021189055;21.762830402139258;21.762830402139258;23.192430319860126;23.369677021189055;21.762830402139258;21.762830402139258;23.192430319860126;23.369677021189055;21.762830402139258;21.762830402139258;23.192430319860126;23.369677021189055
Expanded weather, new source and alka;33.12776235995478;33.552563970814916;22.887106724244294;22.887106724244294;23.464664129204817;23.982319078947366;23.41869793273681;23.41869793273681;23.52396626208599;23.949018398602117;23.135479888900317;23.135479888900317;23.47495113671433;23.88197799938316;23.073757843843225;23.073757843843225;23.47495113671433;23.88197799938316;23.094331858862258;23.094331858862258;23.444090114185784;23.85113601315925;23.073757843843225;23.073757843843225;23.47495113671433;23.88197799938316;22.53651512034561;22.53651512034561;23.47495113671433;23.98478462012954;22.75578406169666;22.75578406169666;23.47495113671433;24.002878289473685;23.053183828824196;23.053183828824196;23.47495113671433;23.88197799938316;22.557087019131867;22.557087019131867;23.47495113671433;23.96422329598026;22.557087019131867;22.557087019131867;23.47495113671433;23.96422329598026;22.557087019131867;22.557087019131867;23.47495113671433;23.96422329598026;22.064569195969565;22.056555269922878;23.125192881390806;23.46529562982005;22.064569195969565;22.056555269922878;23.125192881390806;23.46529562982005;22.064569195969565;22.056555269922878;23.125192881390806;23.46529562982005;22.064569195969565;22.056555269922878;23.125192881390806;23.46529562982005
Expanded weather and alka;32.71643018712729;33.14485452863165;23.097490744549567;23.097490744549567;23.405349794238685;23.804135377018827;23.367273475264835;23.367273475264835;23.47495113671433;23.804135377018827;23.266817527257764;23.205101830898993;23.343621399176957;23.660117271885607;23.163958033326477;23.102242336967702;23.37448559670782;23.690978294414155;23.14338613454022;23.11252828636083;23.353909465020575;23.639543256866578;23.163958033326477;23.102242336967702;23.37448559670782;23.690978294414155;22.912381735911147;22.912381735911147;23.353909465020575;23.742413331961732;22.932949403537638;22.932949403537638;23.43621399176955;23.865857422075916;23.13310018514709;23.071384488788315;23.353909465020575;23.670404279395125;22.912381735911147;22.912381735911147;23.333333333333332;23.7218393169427;22.912381735911147;22.912381735911147;23.333333333333332;23.7218393169427;22.912381735911147;22.912381735911147;23.333333333333332;23.7218393169427;22.187949825210776;22.198231544314208;23.019139740687383;23.38717975100319;22.187949825210776;22.198231544314208;23.019139740687383;23.38717975100319;22.187949825210776;22.198231544314208;23.019139740687383;23.38717975100319;22.187949825210776;22.198231544314208;23.019139740687383;23.38717975100319
Weather and alka;32.6207605344296;33.000925259586715;22.883012655623006;22.883012655623006;23.364197530864196;23.783561361999794;23.369005968306237;23.369005968306237;23.382368069128688;23.84283069327299;23.23045267489712;23.23045267489712;23.31275720164609;23.742413331961732;23.15052988990637;23.15052988990637;23.343621399176957;23.77327435449028;23.171108138697395;23.171108138697395;23.31275720164609;23.7218393169427;23.15052988990637;23.15052988990637;23.343621399176957;23.77327435449028;22.80394980456696;22.80394980456696;23.31275720164609;23.701265301923673;22.767489711934154;22.767489711934154;23.39506172839506;23.814422384528342;23.171108138697395;23.171108138697395;23.32304526748971;23.752700339471247;22.83480765274635;22.83480765274635;23.292181069958847;23.68069128690464;22.83480765274635;22.83480765274635;23.292181069958847;23.68069128690464;22.83480765274635;22.83480765274635;23.292181069958847;23.68069128690464;22.270248018935884;22.270248018935884;22.919452731200494;23.258923979014504;22.270248018935884;22.270248018935884;22.919452731200494;23.258923979014504;22.270248018935884;22.270248018935884;22.919452731200494;23.258923979014504;22.270248018935884;22.270248018935884;22.919452731200494;23.258923979014504
Expanded all sources;29.148258502003493;29.302899444787165;22.416452442159382;22.416452442159382;19.348206024467977;19.59897172236504;22.8577306861434;22.8577306861434;19.533257941811453;19.67095115681234;22.59259259259259;22.602880658436213;19.395621338267034;19.62578390048319;22.534197264218864;22.534197264218864;19.395621338267034;19.660668380462727;22.565051938702048;22.565051938702048;19.364785692260252;19.640102827763496;22.534197264218864;22.534197264218864;19.395621338267034;19.660668380462727;22.182229535170713;22.187949825210776;19.38534278959811;19.67095115681234;22.21308103661045;22.21308103661045;19.36876734861725;19.660668380462727;22.59590661318523;22.59590661318523;19.37506424092918;19.609254498714655;22.21308103661045;22.21879498252108;19.364785692260252;19.629820051413883;22.21308103661045;22.21879498252108;19.364785692260252;19.629820051413883;22.21308103661045;22.21879498252108;19.364785692260252;19.629820051413883;17.989091283317897;17.989091283317897;18.778280542986426;19.152001646598745;17.989091283317897;17.989091283317897;18.778280542986426;19.152001646598745;17.989091283317897;17.989091283317897;18.778280542986426;19.152001646598745;17.989091283317897;17.989091283317897;18.778280542986426;19.152001646598745
All sources;29.74306269270298;30.05346493933786;22.28506787330317;22.28506787330317;19.487601605103404;19.948559670781894;22.69080436124254;22.69080436124254;19.52875810268546;19.969135802469136;22.530864197530864;22.530864197530864;19.518468978289945;19.95061220290153;22.454227525200576;22.454227525200576;19.539047227080975;19.981479576088073;22.472487915252497;22.472487915252497;19.518468978289945;19.94032307850602;22.454227525200576;22.454227525200576;19.539047227080975;19.981479576088073;22.11479119522732;22.11479119522732;19.559625475872004;19.99176870048359;22.190231362467866;22.190231362467866;19.518468978289945;19.979423868312757;22.495371322773092;22.495371322773092;19.518468978289945;19.95061220290153;22.08393334704793;22.08393334704793;19.539047227080975;19.981479576088073;22.08393334704793;22.08393334704793;19.539047227080975;19.981479576088073;22.08393334704793;22.08393334704793;19.539047227080975;19.981479576088073;18.08455920172822;18.094846209237733;18.97900370522849;19.51219512195122;18.08455920172822;18.094846209237733;18.97900370522849;19.51219512195122;18.08455920172822;18.094846209237733;18.97900370522849;19.51219512195122;18.08455920172822;18.094846209237733;18.97900370522849;19.51219512195122
