Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;6639;6625;6606;6606;6566;6556;6612;6612;6569;6553;6604;6604;6567;6554;6609;6609;6566;6557;6607;6607;6566;6557;6609;6609;6566;6557;6612;6612;6565;6554;6610;6610;6566;6555;6606;6606;6566;6557;6614;6614;6565;6554;6614;6614;6565;6554;6614;6614;6565;6554;6588;6587;6568;6557;6588;6587;6568;6557;6588;6587;6568;6557;6588;6587;6568;6557
Weather and new source;6619;6632;6604;6604;6567;6579;6605;6605;6572;6571;6598;6598;6571;6572;6600;6600;6571;6572;6603;6603;6571;6573;6600;6600;6571;6572;6595;6595;6566;6577;6603;6603;6567;6577;6601;6601;6571;6572;6593;6593;6566;6577;6593;6593;6566;6577;6593;6593;6566;6577;6592;6592;6570;6574;6592;6592;6570;6574;6592;6592;6570;6574;6592;6592;6570;6574
Expanded weather and new source;6634;6643;6578;6578;6577;6586;6575;6575;6576;6589;6585;6585;6572;6585;6581;6581;6571;6585;6584;6584;6571;6584;6581;6581;6571;6585;6589;6589;6574;6586;6579;6579;6577;6588;6582;6582;6571;6585;6591;6591;6574;6586;6591;6591;6574;6586;6591;6591;6574;6586;6585;6584;6577;6579;6585;6584;6577;6579;6585;6584;6577;6579;6585;6584;6577;6579
Expanded weather;6622;6638;6615;6615;6573;6569;6610;6610;6567;6571;6629;6629;6565;6568;6627;6627;6565;6568;6631;6631;6565;6568;6627;6627;6565;6568;6616;6616;6570;6570;6612;6612;6573;6570;6628;6628;6565;6568;6615;6615;6570;6570;6615;6615;6570;6570;6615;6615;6570;6570;6597;6596;6573;6574;6597;6596;6573;6574;6597;6596;6573;6574;6597;6596;6573;6574
Weather, new source and alka;6649;6644;6586;6586;6584;6588;6586;6586;6582;6578;6582;6582;6579;6579;6568;6568;6579;6578;6567;6567;6579;6577;6568;6568;6579;6578;6574;6573;6581;6579;6584;6583;6584;6587;6582;6582;6579;6579;6578;6577;6581;6580;6578;6577;6581;6580;6578;6577;6581;6580;6547;6547;6583;6579;6547;6547;6583;6579;6547;6547;6583;6579;6547;6547;6583;6579
Expanded weather, new source and alka;6632;6625;6569;6569;6577;6562;6573;6573;6573;6565;6567;6567;6571;6557;6557;6557;6571;6557;6558;6558;6571;6557;6557;6557;6571;6557;6566;6566;6573;6557;6570;6570;6577;6562;6559;6559;6571;6557;6570;6570;6573;6558;6570;6570;6573;6558;6570;6570;6573;6558;6551;6552;6568;6555;6551;6552;6568;6555;6551;6552;6568;6555;6551;6552;6568;6555
Expanded weather and alka;6641;6639;6608;6608;6572;6559;6603;6603;6570;6557;6605;6604;6570;6557;6599;6598;6570;6557;6602;6601;6570;6557;6599;6598;6570;6557;6590;6590;6570;6559;6597;6597;6572;6561;6600;6599;6570;6557;6592;6592;6570;6559;6592;6592;6570;6559;6592;6592;6570;6559;6594;6595;6575;6563;6594;6595;6575;6563;6594;6595;6575;6563;6594;6595;6575;6563
Weather and alka;6628;6629;6609;6609;6568;6572;6617;6617;6570;6577;6614;6614;6569;6577;6609;6609;6569;6577;6609;6609;6569;6577;6609;6609;6569;6577;6599;6599;6571;6573;6598;6598;6568;6572;6610;6610;6569;6577;6606;6606;6571;6573;6606;6606;6571;6573;6606;6606;6571;6573;6599;6599;6574;6571;6599;6599;6574;6571;6599;6599;6574;6571;6599;6599;6574;6571
Expanded all sources;6547;6553;6542;6542;6507;6517;6548;6548;6505;6515;6527;6526;6504;6517;6525;6525;6504;6517;6525;6525;6504;6517;6525;6525;6504;6517;6536;6534;6507;6516;6542;6542;6507;6517;6525;6525;6504;6517;6537;6535;6507;6516;6537;6535;6507;6516;6537;6535;6507;6516;6484;6484;6502;6515;6484;6484;6502;6515;6484;6484;6502;6515;6484;6484;6502;6515
All sources;6592;6582;6554;6554;6538;6529;6555;6555;6540;6531;6546;6546;6539;6531;6545;6545;6539;6531;6549;6549;6539;6531;6545;6545;6539;6531;6556;6556;6536;6524;6546;6546;6538;6528;6546;6546;6539;6531;6551;6551;6536;6525;6551;6551;6536;6525;6551;6551;6536;6525;6499;6500;6538;6529;6499;6500;6538;6529;6499;6500;6538;6529;6499;6500;6538;6529
