Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;11.303191489361703;11.584553928095872;7.323568575233022;7.323568575233022;8.795669824086604;9.18918918918919;8.155080213903744;8.155080213903744;8.91891891891892;9.324324324324325;8.032128514056225;8.032128514056225;8.64864864864865;9.054054054054054;8.032128514056225;8.032128514056225;8.64864864864865;9.041835357624832;8.02139037433155;8.02139037433155;8.64864864864865;9.041835357624832;8.032128514056225;8.032128514056225;8.64864864864865;9.041835357624832;7.228915662650602;7.228915662650602;8.795669824086604;9.18918918918919;7.1904127829560585;7.1904127829560585;8.795669824086604;9.18918918918919;8.04289544235925;8.04289544235925;8.64864864864865;9.041835357624832;7.219251336898395;7.219251336898395;8.795669824086604;9.18918918918919;7.219251336898395;7.219251336898395;8.795669824086604;9.18918918918919;7.219251336898395;7.219251336898395;8.795669824086604;9.18918918918919;7.9470198675496695;7.9470198675496695;8.62533692722372;9.421265141318976;7.9470198675496695;7.9470198675496695;8.62533692722372;9.421265141318976;7.9470198675496695;7.9470198675496695;8.62533692722372;9.421265141318976;7.9470198675496695;7.9470198675496695;8.62533692722372;9.421265141318976
Weather and new source;11.553784860557768;11.375661375661375;8.811748998664887;8.811748998664887;9.13978494623656;9.029649595687331;9.224598930481283;9.224598930481283;9.395973154362416;9.152086137281291;9.612817089452603;9.612817089452603;9.261744966442953;8.882907133243608;9.333333333333334;9.333333333333334;9.261744966442953;8.882907133243608;9.320905459387484;9.320905459387484;9.261744966442953;8.882907133243608;9.333333333333334;9.333333333333334;9.261744966442953;8.882907133243608;8.579088471849866;8.579088471849866;9.13978494623656;9.029649595687331;8.533333333333333;8.533333333333333;9.13978494623656;9.029649595687331;9.333333333333334;9.333333333333334;9.261744966442953;8.882907133243608;8.433734939759036;8.433734939759036;9.13978494623656;9.029649595687331;8.433734939759036;8.433734939759036;9.13978494623656;9.029649595687331;8.433734939759036;8.433734939759036;9.13978494623656;9.029649595687331;8.388814913448735;8.388814913448735;8.859060402684564;8.736559139784946;8.388814913448735;8.388814913448735;8.859060402684564;8.736559139784946;8.388814913448735;8.388814913448735;8.859060402684564;8.736559139784946;8.388814913448735;8.388814913448735;8.859060402684564;8.736559139784946
Expanded weather and new source;11.710526315789474;12.23684210526316;7.180851063829788;7.180851063829788;8.874172185430464;9.320905459387484;8.144192256341789;8.144192256341789;9.006622516556291;9.866666666666667;8.544726301735647;8.544726301735647;8.874172185430464;9.466666666666667;8.433734939759036;8.433734939759036;8.874172185430464;9.466666666666667;8.422459893048128;8.422459893048128;8.874172185430464;9.466666666666667;8.433734939759036;8.433734939759036;8.874172185430464;9.466666666666667;7.579787234042554;7.579787234042554;8.741721854304636;9.2;7.199999999999999;7.199999999999999;8.874172185430464;9.333333333333334;8.433734939759036;8.433734939759036;8.874172185430464;9.466666666666667;7.579787234042554;7.579787234042554;8.741721854304636;9.2;7.579787234042554;7.579787234042554;8.741721854304636;9.2;7.579787234042554;7.579787234042554;8.741721854304636;9.2;8.288770053475936;8.288770053475936;8.488063660477453;8.909574468085106;8.288770053475936;8.288770053475936;8.488063660477453;8.909574468085106;8.288770053475936;8.288770053475936;8.488063660477453;8.909574468085106;8.288770053475936;8.288770053475936;8.488063660477453;8.909574468085106
Expanded weather;11.081441922563418;10.785619174434089;7.352941176470589;7.352941176470589;8.76010781671159;8.882907133243608;8.01068090787717;8.01068090787717;8.906882591093117;9.029649595687331;8.255659121171771;8.255659121171771;8.783783783783784;9.041835357624832;8.111702127659575;8.111702127659575;8.783783783783784;9.041835357624832;8.233731739707835;8.233731739707835;8.783783783783784;9.041835357624832;8.111702127659575;8.111702127659575;8.783783783783784;9.041835357624832;7.6;7.6;8.906882591093117;9.029649595687331;7.333333333333333;7.333333333333333;8.76010781671159;8.882907133243608;8.111702127659575;8.111702127659575;8.783783783783784;9.041835357624832;7.610146862483311;7.610146862483311;8.906882591093117;9.029649595687331;7.610146862483311;7.610146862483311;8.906882591093117;9.029649595687331;7.610146862483311;7.610146862483311;8.906882591093117;9.029649595687331;7.03851261620186;7.03851261620186;8.76010781671159;8.678237650200266;7.03851261620186;7.03851261620186;8.76010781671159;8.678237650200266;7.03851261620186;7.03851261620186;8.76010781671159;8.678237650200266;7.03851261620186;7.03851261620186;8.76010781671159;8.678237650200266
Weather, new source and alka;10.372340425531915;9.694555112881806;7.723035952063914;7.723035952063914;7.972972972972974;7.972972972972974;8.56760374832664;8.56760374832664;8.243243243243244;8.502024291497975;8.56760374832664;8.56760374832664;8.108108108108109;8.097165991902834;7.898259705488621;7.898259705488621;8.243243243243244;8.232118758434549;7.898259705488621;7.898259705488621;8.243243243243244;8.232118758434549;7.898259705488621;7.898259705488621;8.243243243243244;8.232118758434549;7.228915662650602;7.219251336898395;8.108108108108109;8.108108108108109;7.1904127829560585;7.180851063829788;8.108108108108109;8.108108108108109;7.898259705488621;7.898259705488621;8.243243243243244;8.232118758434549;7.209612817089453;7.199999999999999;8.108108108108109;8.108108108108109;7.209612817089453;7.199999999999999;8.108108108108109;8.108108108108109;7.209612817089453;7.199999999999999;8.108108108108109;8.108108108108109;7.589880159786951;7.589880159786951;7.4324324324324325;7.827260458839406;7.589880159786951;7.589880159786951;7.4324324324324325;7.827260458839406;7.589880159786951;7.589880159786951;7.4324324324324325;7.827260458839406;7.589880159786951;7.589880159786951;7.4324324324324325;7.827260458839406
Expanded weather, new source and alka;11.671087533156498;11.64021164021164;6.809078771695594;6.809078771695594;8.4;9.249329758713138;7.898259705488621;7.898259705488621;8.533333333333333;9.517426273458444;8.411214953271028;8.411214953271028;8.411214953271028;9.261744966442953;8.155080213903744;8.155080213903744;8.411214953271028;9.261744966442953;8.155080213903744;8.155080213903744;8.411214953271028;9.261744966442953;8.155080213903744;8.155080213903744;8.411214953271028;9.261744966442953;7.199999999999999;7.199999999999999;8.277703604806408;9.249329758713138;6.790945406125166;6.790945406125166;8.4;9.249329758713138;8.277703604806408;8.277703604806408;8.411214953271028;9.261744966442953;7.333333333333333;7.333333333333333;8.277703604806408;9.249329758713138;7.333333333333333;7.333333333333333;8.277703604806408;9.249329758713138;7.333333333333333;7.333333333333333;8.277703604806408;9.249329758713138;7.845744680851063;7.845744680851063;7.866666666666666;8.55614973262032;7.845744680851063;7.845744680851063;7.866666666666666;8.55614973262032;7.845744680851063;7.845744680851063;7.866666666666666;8.55614973262032;7.845744680851063;7.845744680851063;7.866666666666666;8.55614973262032
Expanded weather and alka;10.039630118890356;10.512483574244415;8.090185676392574;8.090185676392574;7.0855614973262036;7.651006711409396;8.609271523178808;8.609271523178808;7.209612817089453;7.774798927613941;8.190224570673713;8.190224570673713;7.076101468624834;7.640750670241286;8.026315789473685;8.026315789473685;7.209612817089453;7.630522088353414;7.894736842105263;7.894736842105263;7.209612817089453;7.630522088353414;8.026315789473685;8.026315789473685;7.209612817089453;7.630522088353414;7.9155672823219;7.9155672823219;7.219251336898395;7.640750670241286;8.058124174372523;8.058124174372523;7.219251336898395;7.640750670241286;7.9155672823219;7.9155672823219;7.209612817089453;7.630522088353414;7.9155672823219;7.9155672823219;7.219251336898395;7.640750670241286;7.9155672823219;7.9155672823219;7.219251336898395;7.640750670241286;7.9155672823219;7.9155672823219;7.219251336898395;7.640750670241286;7.5396825396825395;7.5396825396825395;7.238605898123325;7.898259705488621;7.5396825396825395;7.5396825396825395;7.238605898123325;7.898259705488621;7.5396825396825395;7.5396825396825395;7.238605898123325;7.898259705488621;7.5396825396825395;7.5396825396825395;7.238605898123325;7.898259705488621
Weather and alka;11.125827814569536;11.155378486055776;7.0198675496688745;7.0198675496688745;7.567567567567568;8.108108108108109;7.682119205298013;7.682119205298013;7.827260458839406;8.502024291497975;7.417218543046358;7.417218543046358;7.557354925775979;8.232118758434549;7.6;7.6;7.557354925775979;8.232118758434549;7.476635514018691;7.476635514018691;7.557354925775979;8.232118758434549;7.6;7.6;7.557354925775979;8.232118758434549;7.209612817089453;7.209612817089453;7.567567567567568;8.108108108108109;7.343124165554073;7.343124165554073;7.567567567567568;8.108108108108109;7.456724367509987;7.456724367509987;7.557354925775979;8.232118758434549;7.1904127829560585;7.1904127829560585;7.567567567567568;8.108108108108109;7.1904127829560585;7.1904127829560585;7.567567567567568;8.108108108108109;7.1904127829560585;7.1904127829560585;7.567567567567568;8.108108108108109;7.161803713527852;7.161803713527852;7.317073170731707;7.7131258457374825;7.161803713527852;7.161803713527852;7.317073170731707;7.7131258457374825;7.161803713527852;7.161803713527852;7.317073170731707;7.7131258457374825;7.161803713527852;7.161803713527852;7.317073170731707;7.7131258457374825
Expanded all sources;10.386151797603196;9.6;8.079470198675496;8.079470198675496;7.027027027027027;6.864064602960969;9.018567639257293;9.018567639257293;7.017543859649122;6.7294751009421265;8.620689655172415;8.620689655172415;6.621621621621622;6.460296096904441;8.933333333333334;8.933333333333334;6.621621621621622;6.594885598923284;8.945260347129507;8.945260347129507;6.621621621621622;6.594885598923284;8.933333333333334;8.933333333333334;6.621621621621622;6.594885598923284;8.266666666666666;8.266666666666666;6.891891891891892;6.864064602960969;8.068783068783068;8.068783068783068;7.027027027027027;6.864064602960969;8.823529411764707;8.823529411764707;6.621621621621622;6.594885598923284;7.989347536617843;7.989347536617843;6.891891891891892;6.864064602960969;7.989347536617843;7.989347536617843;6.891891891891892;6.864064602960969;7.989347536617843;7.989347536617843;6.891891891891892;6.864064602960969;5.342465753424658;5.342465753424658;6.612685560053981;6.317204301075269;5.342465753424658;5.342465753424658;6.612685560053981;6.317204301075269;5.342465753424658;5.342465753424658;6.612685560053981;6.317204301075269;5.342465753424658;5.342465753424658;6.612685560053981;6.317204301075269
All sources;9.345794392523365;9.6;6.800000000000001;6.800000000000001;6.530612244897959;6.910569105691057;7.702523240371846;7.702523240371846;6.539509536784741;7.171853856562922;7.764390896921017;7.764390896921017;6.530612244897959;7.036535859269283;7.630522088353414;7.630522088353414;6.530612244897959;7.036535859269283;7.898259705488621;7.898259705488621;6.530612244897959;7.036535859269283;7.630522088353414;7.630522088353414;6.530612244897959;7.036535859269283;6.942590120160213;6.942590120160213;6.7934782608695645;7.317073170731707;6.515957446808511;6.515957446808511;6.530612244897959;6.910569105691057;7.620320855614973;7.620320855614973;6.530612244897959;7.036535859269283;6.800000000000001;6.800000000000001;6.7934782608695645;7.317073170731707;6.800000000000001;6.800000000000001;6.7934782608695645;7.317073170731707;6.800000000000001;6.800000000000001;6.7934782608695645;7.317073170731707;6.002728512960437;6.002728512960437;6.521739130434782;6.747638326585695;6.002728512960437;6.002728512960437;6.521739130434782;6.747638326585695;6.002728512960437;6.002728512960437;6.521739130434782;6.747638326585695;6.002728512960437;6.002728512960437;6.521739130434782;6.747638326585695
