Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;5.8891013384321225;5.33739992375143;3.7325038880248838;3.7325038880248838;3.529868114817688;3.4482758620689653;3.686457120682965;3.686457120682965;3.493788819875776;3.488372093023256;3.6850271528316525;3.6850271528316525;3.493788819875776;3.487020534676482;3.6821705426356592;3.6821705426356592;3.493788819875776;3.4856700232378004;3.644823575029081;3.644823575029081;3.493788819875776;3.487020534676482;3.6821705426356592;3.6821705426356592;3.493788819875776;3.4856700232378004;3.7640667442762905;3.7640667442762905;3.529868114817688;3.488372093023256;3.687888198757764;3.687888198757764;3.529868114817688;3.4482758620689653;3.7209302325581395;3.7209302325581395;3.493788819875776;3.487020534676482;3.7626066718386344;3.7626066718386344;3.529868114817688;3.488372093023256;3.7626066718386344;3.7626066718386344;3.529868114817688;3.488372093023256;3.7626066718386344;3.7626066718386344;3.529868114817688;3.488372093023256;3.9550213260953857;3.9550213260953857;3.5742035742035743;3.4496124031007755;3.9550213260953857;3.9550213260953857;3.5742035742035743;3.4496124031007755;3.9550213260953857;3.9550213260953857;3.5742035742035743;3.4496124031007755;3.9550213260953857;3.9550213260953857;3.5742035742035743;3.4496124031007755
Weather and new source;5.415860735009671;5.165767154973015;3.200624512099922;3.200624512099922;3.387850467289719;3.3437013996889577;3.238392508778775;3.238392508778775;3.3502142578885863;3.3931357254290173;3.125;3.125;3.352826510721248;3.3554428404213814;3.0054644808743167;3.0054644808743167;3.352826510721248;3.3554428404213814;3.083528493364559;3.083528493364559;3.352826510721248;3.3554428404213814;3.0054644808743167;3.0054644808743167;3.352826510721248;3.3554428404213814;3.2068830660930776;3.2068830660930776;3.3891702376314767;3.3476060724017125;3.1201248049921997;3.1201248049921997;3.387850467289719;3.3463035019455254;3.083528493364559;3.083528493364559;3.352826510721248;3.3554428404213814;3.167774736018772;3.167774736018772;3.3891702376314767;3.3463035019455254;3.167774736018772;3.167774736018772;3.3891702376314767;3.3463035019455254;3.167774736018772;3.167774736018772;3.3891702376314767;3.3463035019455254;2.919423900350331;2.919423900350331;3.3904910366328913;3.3086804203970415;2.919423900350331;2.919423900350331;3.3904910366328913;3.3086804203970415;2.919423900350331;2.919423900350331;3.3904910366328913;3.3086804203970415;2.919423900350331;2.919423900350331;3.3904910366328913;3.3086804203970415
Expanded weather and new source;5.712080277884986;5.50423402617398;3.3502142578885863;3.3502142578885863;3.38389731621937;3.4201321414691024;3.3502142578885863;3.3502142578885863;3.3476060724017125;3.3450019447685726;3.428126217374367;3.428126217374367;3.348909657320872;3.348909657320872;3.4307992202729043;3.4307992202729043;3.348909657320872;3.3502142578885863;3.464383028415726;3.464383028415726;3.348909657320872;3.3502142578885863;3.4307992202729043;3.4307992202729043;3.348909657320872;3.3502142578885863;3.471138845553822;3.471138845553822;3.385214007782101;3.4241245136186773;3.3125487139516756;3.3125487139516756;3.38389731621937;3.421461897356143;3.471138845553822;3.471138845553822;3.348909657320872;3.348909657320872;3.4294621979735;3.4294621979735;3.385214007782101;3.4227926876701673;3.4294621979735;3.4294621979735;3.385214007782101;3.4227926876701673;3.4294621979735;3.4294621979735;3.385214007782101;3.4227926876701673;3.272302298402805;3.272302298402805;3.386531724406384;3.4201321414691024;3.272302298402805;3.272302298402805;3.386531724406384;3.4201321414691024;3.272302298402805;3.272302298402805;3.386531724406384;3.4201321414691024;3.272302298402805;3.272302298402805;3.386531724406384;3.4201321414691024
Expanded weather;5.796545105566219;5.218726016884114;3.425457376411055;3.425457376411055;3.5257652072839987;3.4951456310679614;3.412175261729353;3.412175261729353;3.5339805825242716;3.4978624174115818;3.2308291163877;3.2308291163877;3.4576534576534574;3.421461897356143;3.2283158304161805;3.2283158304161805;3.4576534576534574;3.421461897356143;3.229571984435798;3.229571984435798;3.4576534576534574;3.421461897356143;3.2283158304161805;3.2283158304161805;3.4576534576534574;3.421461897356143;3.2761310452418098;3.2761310452418098;3.4108527131782944;3.41747572815534;3.3515198752922837;3.3515198752922837;3.5257652072839987;3.493788819875776;3.2283158304161805;3.2283158304161805;3.4576534576534574;3.421461897356143;3.2761310452418098;3.2761310452418098;3.4108527131782944;3.41747572815534;3.2761310452418098;3.2761310452418098;3.4108527131782944;3.41747572815534;3.2761310452418098;3.2761310452418098;3.4108527131782944;3.41747572815534;3.195635229929852;3.195635229929852;3.5742035742035743;3.418803418803419;3.195635229929852;3.195635229929852;3.5742035742035743;3.418803418803419;3.195635229929852;3.195635229929852;3.5742035742035743;3.418803418803419;3.195635229929852;3.195635229929852;3.5742035742035743;3.418803418803419
Weather, new source and alka;5.508474576271186;5.184331797235023;3.073929961089494;3.073929961089494;3.267211201866978;3.220799379123011;3.07153965785381;3.07153965785381;3.23208722741433;3.1480761756704236;3.225806451612903;3.225806451612903;3.191903464383029;3.146853146853147;3.1554343591741336;3.1554343591741336;3.191903464383029;3.146853146853147;3.1140521603736864;3.1140521603736864;3.191903464383029;3.146853146853147;3.1554343591741336;3.1554343591741336;3.191903464383029;3.146853146853147;3.003120124804992;3.003120124804992;3.2283158304161805;3.1844660194174756;3.0066380320187425;3.0066380320187425;3.267211201866978;3.220799379123011;3.1493001555209954;3.1493001555209954;3.191903464383029;3.146853146853147;3.0385664199454614;3.0385664199454614;3.2270606531881803;3.1844660194174756;3.0385664199454614;3.0385664199454614;3.2270606531881803;3.1844660194174756;3.0385664199454614;3.0385664199454614;3.2270606531881803;3.1844660194174756;3.029126213592233;3.029126213592233;3.23208722741433;3.1456310679611654;3.029126213592233;3.029126213592233;3.23208722741433;3.1456310679611654;3.029126213592233;3.029126213592233;3.23208722741433;3.1456310679611654;3.029126213592233;3.029126213592233;3.23208722741433;3.1456310679611654
Expanded weather, new source and alka;5.450328565906455;5.117352828010773;3.245991396167384;3.245991396167384;3.4294621979735;3.38389731621937;3.401094605160281;3.401094605160281;3.43213728549142;3.3073929961089497;3.205629397967162;3.205629397967162;3.3541341653666144;3.2697547683923704;3.087143415396639;3.087143415396639;3.3151326053042123;3.2308291163877;3.125;3.125;3.3151326053042123;3.2308291163877;3.087143415396639;3.087143415396639;3.3151326053042123;3.2308291163877;3.286384976525822;3.286384976525822;3.3515198752922837;3.3073929961089497;3.2043767096522076;3.2043767096522076;3.3904910366328913;3.3450019447685726;3.08835027365129;3.08835027365129;3.3541341653666144;3.2697547683923704;3.285099726241689;3.285099726241689;3.3904910366328913;3.3463035019455254;3.285099726241689;3.285099726241689;3.3904910366328913;3.3463035019455254;3.285099726241689;3.285099726241689;3.3904910366328913;3.3463035019455254;3.3229085222830337;3.3229085222830337;3.4670821971172576;3.194390338917024;3.3229085222830337;3.3229085222830337;3.4670821971172576;3.194390338917024;3.3229085222830337;3.3229085222830337;3.4670821971172576;3.194390338917024;3.3229085222830337;3.3229085222830337;3.4670821971172576;3.194390338917024
Expanded weather and alka;5.519356075124569;5.311425296140619;3.535353535353535;3.535353535353535;3.641999225106548;3.9458413926499034;3.693623639191291;3.693623639191291;3.6032545524990316;3.831269349845201;3.7383177570093453;3.7383177570093453;3.564509879891515;3.7940379403794036;3.6647173489278755;3.6647173489278755;3.564509879891515;3.7940379403794036;3.627145085803432;3.627145085803432;3.5257652072839987;3.7940379403794036;3.6647173489278755;3.6647173489278755;3.564509879891515;3.7940379403794036;3.5101404056162244;3.5101404056162244;3.6032545524990316;3.9086687306501546;3.543613707165109;3.543613707165109;3.641999225106548;3.9458413926499034;3.702260327357755;3.702260327357755;3.564509879891515;3.7940379403794036;3.54775828460039;3.54775828460039;3.6032545524990316;3.9086687306501546;3.54775828460039;3.54775828460039;3.6032545524990316;3.9086687306501546;3.54775828460039;3.54775828460039;3.6032545524990316;3.9086687306501546;3.618677042801557;3.618677042801557;3.713733075435203;3.9412673879443583;3.618677042801557;3.618677042801557;3.713733075435203;3.9412673879443583;3.618677042801557;3.618677042801557;3.713733075435203;3.9412673879443583;3.618677042801557;3.618677042801557;3.713733075435203;3.9412673879443583
Weather and alka;5.634342660022997;5.549177190968236;3.399765533411489;3.399765533411489;3.527131782945737;3.6821705426356592;3.560250391236307;3.560250391236307;3.489724699495929;3.641999225106548;3.4428794992175273;3.4428794992175273;3.4134988363072147;3.6032545524990316;3.4050880626223092;3.4050880626223092;3.4134988363072147;3.6032545524990316;3.3646322378716746;3.3646322378716746;3.4134988363072147;3.6032545524990316;3.4050880626223092;3.4050880626223092;3.4134988363072147;3.6032545524990316;3.449627597020776;3.449627597020776;3.414823438106325;3.604651162790698;3.4050880626223092;3.4050880626223092;3.527131782945737;3.6821705426356592;3.403755868544601;3.403755868544601;3.4134988363072147;3.6032545524990316;3.445575567736883;3.445575567736883;3.414823438106325;3.604651162790698;3.445575567736883;3.445575567736883;3.414823438106325;3.604651162790698;3.445575567736883;3.445575567736883;3.414823438106325;3.604651162790698;3.3320266562132494;3.3320266562132494;3.5728155339805827;3.565891472868217;3.3320266562132494;3.3320266562132494;3.5728155339805827;3.565891472868217;3.3320266562132494;3.3320266562132494;3.5728155339805827;3.565891472868217;3.3320266562132494;3.3320266562132494;3.5728155339805827;3.565891472868217
Expanded all sources;4.366306027820711;4.198767334360555;3.1906614785992216;3.1906614785992216;2.2317932654659356;2.107728337236534;3.109211037699184;3.109211037699184;2.190066484161126;2.0654715510522212;3.23208722741433;3.2308291163877;2.1517996870109544;2.0662768031189085;3.1140521603736864;3.1140521603736864;2.1517996870109544;2.1044427123928293;3.1140521603736864;3.1140521603736864;2.1517996870109544;2.1044427123928293;3.1140521603736864;3.1140521603736864;2.1517996870109544;2.1044427123928293;3.0421216848673946;3.0799220272904484;2.1934978456717587;2.144249512670565;3.1213421771361682;3.1213421771361682;2.2317932654659356;2.1459227467811157;3.070345899727944;3.070345899727944;2.1517996870109544;2.0662768031189085;3.082325399921966;3.1201248049921997;2.1934978456717587;2.1060842433697347;3.082325399921966;3.1201248049921997;2.1934978456717587;2.1060842433697347;3.082325399921966;3.1201248049921997;2.1934978456717587;2.1060842433697347;1.931415057154119;1.931415057154119;2.0751761942051683;2.02729044834308;1.931415057154119;1.931415057154119;2.0751761942051683;2.02729044834308;1.931415057154119;1.931415057154119;2.0751761942051683;2.02729044834308;1.931415057154119;1.931415057154119;2.0751761942051683;2.02729044834308
All sources;4.452187379016647;4.247104247104247;3.2018742678641154;3.2018742678641154;2.116816934535476;2.195217561740494;3.238392508778775;3.238392508778775;2.1135029354207435;2.1543282412847633;3.205629397967162;3.205629397967162;2.1135029354207435;2.1543282412847633;3.356752537080406;3.356752537080406;2.1135029354207435;2.1551724137931036;3.238392508778775;3.238392508778775;2.1135029354207435;2.1551724137931036;3.356752537080406;3.356752537080406;2.1135029354207435;2.1551724137931036;3.131115459882583;3.131115459882583;2.116816934535476;2.196078431372549;3.285099726241689;3.285099726241689;2.116816934535476;2.196078431372549;3.317720530835285;3.317720530835285;2.1135029354207435;2.1551724137931036;3.1702544031311155;3.1702544031311155;2.116816934535476;2.195217561740494;3.1702544031311155;3.1702544031311155;2.116816934535476;2.195217561740494;3.1702544031311155;3.1702544031311155;2.116816934535476;2.195217561740494;2.448657187993681;2.4476904855902095;2.1176470588235294;2.2326674500587544;2.448657187993681;2.4476904855902095;2.1176470588235294;2.2326674500587544;2.448657187993681;2.4476904855902095;2.1176470588235294;2.2326674500587544;2.448657187993681;2.4476904855902095;2.1176470588235294;2.2326674500587544
