Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;17;15;17;17;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;17;17;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;19;19;19;18;19;19;19;18;19;19;19;18;19;19;19;18
Weather and new source;16;16;17;17;17;15;17;17;17;15;18;18;17;15;18;18;17;15;18;18;17;15;18;18;17;15;17;17;17;15;17;17;17;15;18;18;17;15;17;17;17;15;17;17;17;15;17;17;17;15;15;15;16;15;15;15;16;15;15;15;16;15;15;15;16;15
Expanded weather and new source;16;17;14;14;15;16;14;14;15;16;15;15;15;16;15;15;15;16;15;15;15;16;15;15;15;16;15;15;15;16;14;14;15;16;15;15;15;16;15;15;15;16;15;15;15;16;15;15;15;16;14;14;15;16;14;14;15;16;14;14;15;16;14;14;15;16
Expanded weather;16;15;18;18;18;18;18;18;18;18;16;16;19;18;16;16;19;18;16;16;19;18;16;16;19;18;18;18;18;18;18;18;18;18;16;16;19;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;17;17;18;18;17;17;18;18;17;17;18;18;17;17
Weather, new source and alka;14;13;15;15;15;14;15;15;15;14;15;15;15;14;15;15;15;14;15;15;15;14;15;15;15;14;15;15;15;14;15;15;15;14;15;15;15;14;15;15;15;14;15;15;15;14;15;15;15;14;16;16;15;14;16;16;15;14;16;16;15;14;16;16;15;14
Expanded weather, new source and alka;15;14;15;15;16;16;15;15;16;15;15;15;16;15;17;17;16;15;17;17;16;15;17;17;16;15;16;16;16;16;16;16;16;16;17;17;16;15;16;16;16;16;16;16;16;16;16;16;16;16;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15
Expanded weather and alka;16;16;18;18;16;16;16;16;16;16;17;17;16;16;17;17;16;16;17;17;16;16;17;17;16;16;18;18;16;16;18;18;16;16;17;17;16;16;18;18;16;16;18;18;16;16;18;18;16;16;18;18;17;17;18;18;17;17;18;18;17;17;18;18;17;17
Weather and alka;16;15;15;15;16;14;15;15;16;14;15;15;16;14;15;15;16;14;15;15;16;14;15;15;16;14;15;15;16;14;15;15;16;14;15;15;16;14;15;15;16;14;15;15;16;14;15;15;16;14;17;17;15;13;17;17;15;13;17;17;15;13;17;17;15;13
Expanded all sources;12;13;17;17;12;13;19;19;12;13;20;20;12;13;19;19;12;13;19;19;12;13;19;19;12;13;17;17;12;13;16;16;12;13;19;19;12;13;17;17;12;13;17;17;12;13;17;17;12;13;7;7;9;9;7;7;9;9;7;7;9;9;7;7;9;9
All sources;11;11;15;15;12;12;15;15;12;11;18;18;12;11;18;18;12;11;18;18;12;11;18;18;12;11;17;17;12;12;15;15;12;12;18;18;12;11;17;17;12;12;17;17;12;12;17;17;12;12;8;8;8;9;8;8;8;9;8;8;8;9;8;8;8;9
Expanded no TV;13;14;15;15;14;14;14;14;14;14;14;14;14;14;14;14;14;14;13;13;14;14;14;14;14;14;15;15;14;14;14;14;14;14;14;14;14;14;15;15;14;14;15;15;14;14;15;15;14;14;10;10;12;12;10;10;12;12;10;10;12;12;10;10;12;12
No TV;12;11;13;13;15;12;12;12;15;12;14;14;15;12;14;14;15;12;14;14;15;12;14;14;15;12;14;14;15;12;15;15;15;12;15;15;15;12;14;14;15;12;14;14;15;12;14;14;15;12;9;9;12;10;9;9;12;10;9;9;12;10;9;9;12;10
