Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;6.906474820143885;7.173601147776183;4.4765342960288805;4.4765342960288805;4.967129291453616;4.806991988346685;4.344677769732078;4.344677769732078;5.029154518950437;4.872727272727273;4.121475054229935;4.121475054229935;5.029154518950437;4.872727272727273;4.26917510853835;4.26917510853835;4.956268221574344;4.869186046511628;4.263005780346821;4.263005780346821;4.956268221574344;4.869186046511628;4.26917510853835;4.26917510853835;4.956268221574344;4.869186046511628;4.26917510853835;4.26917510853835;4.967129291453616;4.806991988346685;4.407514450867052;4.407514450867052;4.967129291453616;4.806991988346685;4.1998551774076756;4.1998551774076756;4.956268221574344;4.869186046511628;4.341534008683068;4.341534008683068;4.967129291453616;4.806991988346685;4.341534008683068;4.341534008683068;4.967129291453616;4.806991988346685;4.341534008683068;4.341534008683068;4.967129291453616;4.806991988346685;4.1454545454545455;4.1454545454545455;4.5321637426900585;4.730713245997089;4.1454545454545455;4.1454545454545455;4.5321637426900585;4.730713245997089;4.1454545454545455;4.1454545454545455;4.5321637426900585;4.730713245997089;4.1454545454545455;4.1454545454545455;4.5321637426900585;4.730713245997089
Weather and new source;6.729377713458755;6.719653179190751;4.426705370101597;4.426705370101597;5.182481751824818;5.482456140350877;3.997093023255814;3.997093023255814;5.267008046817849;5.328467153284672;4.1454545454545455;4.1454545454545455;5.263157894736842;5.328467153284672;4.069767441860465;4.069767441860465;5.263157894736842;5.328467153284672;4.1454545454545455;4.1454545454545455;5.263157894736842;5.401459854014599;4.069767441860465;4.069767441860465;5.263157894736842;5.328467153284672;3.9272727272727272;3.9272727272727272;5.178701677607585;5.47845142439737;4.287790697674419;4.287790697674419;5.182481751824818;5.474452554744526;4.069767441860465;4.069767441860465;5.263157894736842;5.328467153284672;3.8573508005822417;3.8573508005822417;5.178701677607585;5.47845142439737;3.8573508005822417;3.8573508005822417;5.178701677607585;5.47845142439737;3.8573508005822417;3.8573508005822417;5.178701677607585;5.47845142439737;4.151493080844865;4.151493080844865;5.182481751824818;5.612244897959184;4.151493080844865;4.151493080844865;5.182481751824818;5.612244897959184;4.151493080844865;4.151493080844865;5.182481751824818;5.612244897959184;4.151493080844865;4.151493080844865;5.182481751824818;5.612244897959184
Expanded weather and new source;6.719085060757685;6.953405017921146;4.063860667634253;4.063860667634253;5.065123010130246;5.458515283842795;3.9102099927588703;3.9102099927588703;5.065123010130246;5.397520058351568;4.2089985486211905;4.2089985486211905;5.061460592913955;5.38965768390386;4.2089985486211905;4.2089985486211905;5.061460592913955;5.38965768390386;4.354136429608127;4.354136429608127;5.061460592913955;5.38965768390386;4.2089985486211905;4.2089985486211905;5.061460592913955;5.38965768390386;4.297159504734159;4.297159504734159;5.061460592913955;5.604075691411936;3.9244186046511627;3.9244186046511627;5.065123010130246;5.454545454545454;4.2089985486211905;4.2089985486211905;5.061460592913955;5.38965768390386;4.297159504734159;4.297159504734159;5.061460592913955;5.604075691411936;4.297159504734159;4.297159504734159;5.061460592913955;5.604075691411936;4.297159504734159;4.297159504734159;5.061460592913955;5.604075691411936;3.9502560351133873;3.9502560351133873;5.072463768115942;5.527272727272727;3.9502560351133873;3.9502560351133873;5.072463768115942;5.527272727272727;3.9502560351133873;3.9502560351133873;5.072463768115942;5.527272727272727;3.9502560351133873;3.9502560351133873;5.072463768115942;5.527272727272727
Expanded weather;6.493506493506493;6.618705035971223;4.693140794223827;4.693140794223827;5.393586005830904;5.167394468704512;4.617604617604617;4.617604617604617;5.320699708454811;5.240174672489083;4.855072463768116;4.855072463768116;5.385735080058224;5.3090909090909095;4.552023121387283;4.552023121387283;5.385735080058224;5.236363636363636;4.548736462093863;4.548736462093863;5.385735080058224;5.236363636363636;4.552023121387283;4.552023121387283;5.385735080058224;5.236363636363636;4.190751445086705;4.190751445086705;5.462490895848507;5.090909090909091;4.479768786127168;4.479768786127168;5.393586005830904;5.167394468704512;4.6276211135213305;4.6276211135213305;5.385735080058224;5.236363636363636;4.335260115606936;4.335260115606936;5.462490895848507;5.090909090909091;4.335260115606936;4.335260115606936;5.462490895848507;5.090909090909091;4.335260115606936;4.335260115606936;5.462490895848507;5.090909090909091;4.230488694383661;4.230488694383661;5.324580598103574;4.779145546705286;4.230488694383661;4.230488694383661;5.324580598103574;4.779145546705286;4.230488694383661;4.230488694383661;5.324580598103574;4.779145546705286;4.230488694383661;4.230488694383661;5.324580598103574;4.779145546705286
Weather, new source and alka;7.383512544802867;7.7308518253400145;4.5619116582186825;4.5619116582186825;5.844155844155844;5.69164265129683;4.505813953488372;4.505813953488372;5.772005772005772;5.784526391901663;4.796511627906977;4.796511627906977;5.695746214852199;5.703971119133574;4.934687953555878;4.934687953555878;5.6998556998557;5.627705627705628;4.8656499636891795;4.8656499636891795;5.772005772005772;5.631768953068592;4.934687953555878;4.934687953555878;5.6998556998557;5.627705627705628;4.772234273318872;4.76878612716763;5.703971119133574;5.5515501081470795;4.76878612716763;4.765342960288808;5.8483754512635375;5.615550755939525;4.996379435191891;4.996379435191891;5.695746214852199;5.6998556998557;4.916847433116414;4.913294797687861;5.6998556998557;5.62364816149964;4.916847433116414;4.913294797687861;5.6998556998557;5.62364816149964;4.916847433116414;4.913294797687861;5.6998556998557;5.62364816149964;4.5619116582186825;4.5619116582186825;5.507246376811594;5.571635311143271;4.5619116582186825;4.5619116582186825;5.507246376811594;5.571635311143271;4.5619116582186825;4.5619116582186825;5.507246376811594;5.571635311143271;4.5619116582186825;4.5619116582186825;5.507246376811594;5.571635311143271
Expanded weather, new source and alka;7.147962830593281;7.214285714285714;4.169662113587347;4.169662113587347;5.42299349240781;5.563583815028902;4.301075268817205;4.301075268817205;5.27456647398844;5.491329479768786;4.454022988505748;4.454022988505748;5.41907514450867;5.487364620938628;4.178674351585014;4.178674351585014;5.346820809248555;5.415162454873646;4.184704184704184;4.184704184704184;5.346820809248555;5.415162454873646;4.178674351585014;4.178674351585014;5.346820809248555;5.415162454873646;4.037490987743331;4.037490987743331;5.49530007230658;5.415162454873646;4.316546762589928;4.316546762589928;5.350686912509038;5.487364620938628;4.24155283968368;4.24155283968368;5.41907514450867;5.487364620938628;4.106628242074928;4.106628242074928;5.567606652205351;5.55956678700361;4.106628242074928;4.106628242074928;5.567606652205351;5.55956678700361;4.106628242074928;4.106628242074928;5.567606652205351;5.55956678700361;4.0786598689002185;4.005826656955572;5.358435916002897;5.342960288808665;4.0786598689002185;4.005826656955572;5.358435916002897;5.342960288808665;4.0786598689002185;4.005826656955572;5.358435916002897;5.342960288808665;4.0786598689002185;4.005826656955572;5.358435916002897;5.342960288808665
Expanded weather and alka;7.703281027104136;7.7524893314367;4.782608695652174;4.782608695652174;5.627705627705628;5.788712011577424;4.26917510853835;4.26917510853835;5.619596541786744;5.712219812002893;4.196816208393632;4.196816208393632;5.763688760806916;5.929139551699205;3.9244186046511627;3.9244186046511627;5.763688760806916;5.929139551699205;3.997093023255814;3.997093023255814;5.763688760806916;5.929139551699205;3.9244186046511627;3.9244186046511627;5.763688760806916;5.929139551699205;4.287790697674419;4.287790697674419;5.6998556998557;5.933429811866859;4.571843251088534;4.571843251088534;5.62364816149964;5.780346820809249;4.212055192447349;4.212055192447349;5.763688760806916;5.929139551699205;4.429920116194626;4.429920116194626;5.6998556998557;5.933429811866859;4.429920116194626;4.429920116194626;5.6998556998557;5.933429811866859;4.429920116194626;4.429920116194626;5.6998556998557;5.933429811866859;4.595185995623632;4.595185995623632;5.415162454873646;5.49530007230658;4.595185995623632;4.595185995623632;5.415162454873646;5.49530007230658;4.595185995623632;4.595185995623632;5.415162454873646;5.49530007230658;4.595185995623632;4.595185995623632;5.415162454873646;5.49530007230658
Weather and alka;6.928571428571429;7.112375533428166;4.8;4.8;5.217391304347826;5.335255948089401;4.55531453362256;4.55531453362256;5.137481910274964;5.407354001441961;4.6276211135213305;4.6276211135213305;5.137481910274964;5.407354001441961;4.509090909090909;4.509090909090909;5.137481910274964;5.407354001441961;4.509090909090909;4.509090909090909;5.137481910274964;5.407354001441961;4.509090909090909;4.509090909090909;5.137481910274964;5.407354001441961;4.8034934497816595;4.8034934497816595;5.217391304347826;5.335255948089401;4.6681254558716265;4.6681254558716265;5.217391304347826;5.3314121037463975;4.716981132075472;4.716981132075472;5.137481910274964;5.407354001441961;4.87627365356623;4.87627365356623;5.217391304347826;5.335255948089401;4.87627365356623;4.87627365356623;5.217391304347826;5.335255948089401;4.87627365356623;4.87627365356623;5.217391304347826;5.335255948089401;4.449307075127644;4.449307075127644;5.079825834542816;4.989154013015185;4.449307075127644;4.449307075127644;5.079825834542816;4.989154013015185;4.449307075127644;4.449307075127644;5.079825834542816;4.989154013015185;4.449307075127644;4.449307075127644;5.079825834542816;4.989154013015185
Expanded all sources;5.409356725146199;5.33625730994152;4.300291545189505;4.300291545189505;3.914327917282127;3.923019985196151;4.1454545454545455;4.1454545454545455;3.829160530191458;3.911439114391144;3.997093023255814;4.066811909949164;3.8348082595870205;3.911439114391144;3.9301310043668125;3.9301310043668125;3.8348082595870205;3.911439114391144;3.9301310043668125;3.9301310043668125;3.8348082595870205;3.911439114391144;3.9301310043668125;3.9301310043668125;3.8348082595870205;3.911439114391144;4.212055192447349;4.284676833696442;3.914327917282127;3.920118343195266;4.218181818181818;4.218181818181818;3.914327917282127;3.920118343195266;4.136429608127721;4.136429608127721;3.8348082595870205;3.911439114391144;4.423495286439449;4.496011602610587;3.914327917282127;3.920118343195266;4.423495286439449;4.496011602610587;3.914327917282127;3.920118343195266;4.423495286439449;4.496011602610587;3.914327917282127;3.920118343195266;2.380952380952381;2.380952380952381;3.985239852398524;3.9970392301998516;2.380952380952381;2.380952380952381;3.985239852398524;3.9970392301998516;2.380952380952381;2.380952380952381;3.985239852398524;3.9970392301998516;2.380952380952381;2.380952380952381;3.985239852398524;3.9970392301998516
All sources;5.324580598103574;5.040175310445581;4.3763676148796495;4.3763676148796495;3.758290346352248;3.5346097201767304;4.366812227074235;4.366812227074235;3.758290346352248;3.532008830022075;4.369992716678805;4.369992716678805;3.761061946902655;3.6055923473142015;4.413892908827786;4.413892908827786;3.761061946902655;3.679175864606328;4.565217391304348;4.565217391304348;3.761061946902655;3.679175864606328;4.413892908827786;4.413892908827786;3.761061946902655;3.679175864606328;4.617604617604617;4.617604617604617;3.761061946902655;3.608247422680412;4.433139534883721;4.433139534883721;3.758290346352248;3.5346097201767304;4.417089065894279;4.417089065894279;3.761061946902655;3.679175864606328;4.4765342960288805;4.4765342960288805;3.761061946902655;3.608247422680412;4.4765342960288805;4.4765342960288805;3.761061946902655;3.608247422680412;4.4765342960288805;4.4765342960288805;3.761061946902655;3.608247422680412;2.3686158401184305;2.366863905325444;3.5424354243542435;3.552923760177646;2.3686158401184305;2.366863905325444;3.5424354243542435;3.552923760177646;2.3686158401184305;2.366863905325444;3.5424354243542435;3.552923760177646;2.3686158401184305;2.366863905325444;3.5424354243542435;3.552923760177646
