Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;27;21;19;19;25;21;19;19;25;21;17;17;25;21;17;17;25;21;17;17;25;21;17;17;25;21;17;17;25;21;19;19;25;21;17;17;25;21;18;18;25;21;18;18;25;21;18;18;25;21;16;16;24;21;16;16;24;21;16;16;24;21;16;16;24;21
Weather and new source;18;20;19;19;15;19;16;16;17;19;15;15;18;20;16;16;18;20;16;16;18;20;16;16;18;20;20;20;16;20;19;19;15;19;16;16;18;20;19;19;16;20;19;19;16;20;19;19;16;20;20;20;19;20;20;20;19;20;20;20;19;20;20;20;19;20
Expanded weather and new source;20;21;14;14;18;23;12;12;18;21;10;10;19;21;11;11;19;21;12;12;19;21;11;11;19;21;13;13;19;21;15;15;18;22;9;9;19;21;13;13;19;21;13;13;19;21;13;13;19;21;17;17;20;22;17;17;20;22;17;17;20;22;17;17;20;22
Expanded weather;17;21;18;18;19;19;16;16;19;19;11;11;19;19;10;10;19;19;11;11;19;19;10;10;19;19;15;15;19;19;20;20;19;19;10;10;19;19;15;15;19;19;15;15;19;19;15;15;19;19;17;17;16;15;17;17;16;15;17;17;16;15;17;17;16;15
Weather, new source and alka;24;28;18;18;21;24;14;14;22;23;14;14;22;24;14;14;22;24;14;14;22;24;14;14;22;24;20;20;23;24;18;18;21;24;14;14;22;24;20;20;23;24;20;20;23;24;20;20;23;24;17;17;21;24;17;17;21;24;17;17;21;24;17;17;21;24
Expanded weather, new source and alka;22;20;15;15;16;17;17;17;17;17;17;17;18;16;19;19;18;16;19;19;18;16;19;19;18;16;20;20;17;16;18;18;16;17;19;19;18;16;20;20;17;16;20;20;17;16;20;20;17;16;20;20;18;16;20;20;18;16;20;20;18;16;20;20;18;16
Expanded weather and alka;21;19;26;26;18;16;19;19;17;17;19;19;17;17;20;20;17;17;20;20;17;17;20;20;17;17;24;24;18;16;25;25;18;16;19;19;17;17;24;24;18;16;24;24;18;16;24;24;18;16;18;18;18;16;18;18;18;16;18;18;18;16;18;18;18;16
Weather and alka;24;26;20;20;20;18;20;20;21;18;21;21;23;19;23;23;23;19;24;24;23;19;23;23;23;19;19;19;23;19;19;19;20;18;23;23;23;19;19;19;23;19;19;19;23;19;19;19;23;19;19;19;24;20;19;19;24;20;19;19;24;20;19;19;24;20
Expanded all sources;18;20;12;12;20;19;14;14;18;19;10;10;19;19;13;13;19;19;13;13;19;19;13;13;19;19;14;13;20;19;14;14;20;19;12;12;19;19;12;11;20;19;12;11;20;19;12;11;20;19;12;12;19;20;12;12;19;20;12;12;19;20;12;12;19;20
All sources;24;25;17;17;19;18;16;16;19;18;16;16;19;18;16;16;19;18;18;18;19;18;16;16;19;18;18;18;19;18;16;16;19;18;17;17;19;18;18;18;19;18;18;18;19;18;18;18;19;18;15;15;14;17;15;15;14;17;15;15;14;17;15;15;14;17
Expanded no TV;29;28;16;16;23;22;16;16;25;23;17;17;25;25;17;17;26;25;17;17;26;25;17;17;26;25;20;20;24;24;17;17;23;22;17;17;26;25;19;19;24;24;19;19;24;24;19;19;24;24;25;25;24;27;25;25;24;27;25;25;24;27;25;25;24;27
No TV;20;20;19;19;20;20;22;22;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;21;21;20;20;20;20;20;20;21;21;20;20;21;21;20;20;21;21;20;20;21;21;20;20;19;19;20;22;19;19;20;22;19;19;20;22;19;19;20;22
