Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;50;49;21;21;37;39;24;24;38;40;29;29;37;39;29;29;36;39;29;29;36;39;29;29;36;39;26;26;36;38;21;21;37;39;29;29;36;39;26;26;36;38;26;26;36;38;26;26;36;38;24;24;36;37;24;24;36;37;24;24;36;37;24;24;36;37
Weather and new source;51;48;28;28;36;36;32;32;36;35;28;28;36;35;28;28;36;35;28;28;36;35;28;28;36;35;28;28;36;35;28;28;36;35;28;28;36;35;28;28;36;35;28;28;36;35;28;28;36;35;28;28;32;31;28;28;32;31;28;28;32;31;28;28;32;31
Expanded weather and new source;52;53;28;28;38;37;32;32;37;37;30;30;37;36;30;30;37;36;29;29;37;36;30;30;37;36;30;30;38;36;27;27;38;37;31;31;37;36;30;30;38;36;30;30;38;36;30;30;38;36;32;32;35;34;32;32;35;34;32;32;35;34;32;32;35;34
Expanded weather;48;52;27;27;40;46;30;30;39;43;30;30;40;43;30;30;40;43;29;29;40;43;30;30;40;43;28;28;41;44;28;28;40;46;30;30;40;43;29;29;41;44;29;29;41;44;29;29;41;44;33;33;39;42;33;33;39;42;33;33;39;42;33;33;39;42
Weather, new source and alka;49;49;29;29;36;37;31;31;36;37;33;33;35;36;33;33;35;37;33;33;36;37;33;33;35;37;31;31;35;37;29;29;36;38;32;32;35;36;31;31;35;36;31;31;35;36;31;31;35;36;29;29;28;32;29;29;28;32;29;29;28;32;29;29;28;32
Expanded weather, new source and alka;56;56;27;27;40;40;32;32;41;41;31;31;41;41;33;33;41;41;32;32;41;41;33;33;41;41;33;33;40;41;29;29;40;40;33;33;41;41;33;33;40;40;33;33;40;40;33;33;40;40;28;28;38;39;28;28;38;39;28;28;38;39;28;28;38;39
Expanded weather and alka;50;52;31;31;40;42;34;34;42;42;33;33;42;41;32;32;42;41;32;32;42;41;32;32;42;41;31;31;41;41;31;31;41;42;32;32;42;41;31;31;41;41;31;31;41;41;31;31;41;41;29;29;40;39;29;29;40;39;29;29;40;39;29;29;40;39
Weather and alka;51;47;28;28;40;43;31;31;40;43;31;31;40;42;30;30;40;42;30;30;40;42;30;30;40;42;30;30;40;42;31;31;40;43;32;32;40;42;30;30;40;42;30;30;40;42;30;30;40;42;33;33;38;39;33;33;38;39;33;33;38;39;33;33;38;39
Expanded all sources;26;23;27;27;20;17;31;31;20;17;28;28;20;17;28;28;20;17;28;28;20;17;28;28;20;17;25;25;21;17;27;27;20;17;28;28;20;17;25;25;21;17;25;25;21;17;25;25;21;17;14;14;17;16;14;14;17;16;14;14;17;16;14;14;17;16
All sources;23;23;25;25;20;20;29;29;20;20;28;28;22;19;30;30;22;19;31;31;22;19;30;30;22;19;29;29;21;19;28;28;20;20;30;30;22;19;27;27;21;19;27;27;21;19;27;27;21;19;16;16;17;16;16;16;17;16;16;16;17;16;16;16;17;16
Expanded no TV;34;38;28;28;27;29;32;32;27;30;31;31;28;29;33;33;28;29;33;33;28;29;33;33;28;29;33;33;28;28;31;31;27;29;32;32;28;29;32;32;28;28;32;32;28;28;32;32;28;28;17;17;25;28;17;17;25;28;17;17;25;28;17;17;25;28
No TV;29;35;33;33;28;32;39;39;28;32;34;34;28;31;38;38;28;31;38;38;28;31;38;38;28;31;34;34;28;31;36;36;28;32;38;38;28;31;34;34;28;31;34;34;28;31;34;34;28;31;19;19;26;30;19;19;26;30;19;19;26;30;19;19;26;30
