Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;24;21;18;18;25;22;20;20;26;23;19;19;26;23;19;19;26;23;18;18;26;23;19;19;26;23;17;17;25;22;18;18;25;22;19;19;26;23;17;17;25;22;17;17;25;22;17;17;25;22;17;17;23;21;17;17;23;21;17;17;23;21;17;17;23;21
Weather and new source;23;24;18;18;22;25;19;19;22;24;18;18;22;23;18;18;22;23;18;18;22;23;18;18;22;23;18;18;22;24;18;18;22;25;18;18;22;23;17;17;22;24;17;17;22;24;17;17;22;24;19;19;22;23;19;19;22;23;19;19;22;23;19;19;22;23
Expanded weather and new source;27;25;19;19;23;23;19;19;24;23;20;20;24;23;19;19;24;23;19;19;24;23;19;19;24;23;20;20;23;23;20;20;23;23;19;19;24;23;20;20;23;23;20;20;23;23;20;20;23;23;21;21;23;23;21;21;23;23;21;21;23;23;21;21;23;23
Expanded weather;21;20;22;22;19;22;23;23;19;22;22;22;19;22;23;23;19;22;23;23;19;22;23;23;19;22;23;23;19;22;23;23;19;22;23;23;19;22;23;23;19;22;23;23;19;22;23;23;19;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22
Weather, new source and alka;24;23;20;20;25;26;19;19;25;26;18;18;25;26;16;16;25;26;15;15;25;26;16;16;25;26;18;17;25;26;18;17;25;26;17;17;25;26;18;17;25;26;18;17;25;26;18;17;25;26;18;18;25;25;18;18;25;25;18;18;25;25;18;18;25;25
Expanded weather, new source and alka;28;24;21;21;25;22;20;20;26;23;22;22;27;23;21;21;27;23;22;22;27;23;21;21;27;23;23;23;26;22;20;20;25;22;21;21;27;23;23;23;26;22;23;23;26;22;23;23;26;22;23;23;27;24;23;23;27;24;23;23;27;24;23;23;27;24
Expanded weather and alka;22;24;18;18;21;24;17;17;22;25;17;17;22;25;14;14;22;25;15;15;22;25;14;14;22;25;15;15;21;24;16;16;21;24;15;15;22;25;15;15;21;24;15;15;21;24;15;15;21;24;16;16;21;23;16;16;21;23;16;16;21;23;16;16;21;23
Weather and alka;21;21;22;22;24;25;22;22;24;25;22;22;23;25;21;21;23;25;22;22;23;25;21;21;23;25;21;21;23;25;21;21;24;25;21;21;23;25;21;21;23;25;21;21;23;25;21;21;23;25;21;21;24;24;21;21;24;24;21;21;24;24;21;21;24;24
Expanded all sources;20;21;19;19;18;18;23;23;18;19;22;22;18;19;21;21;18;19;21;21;18;19;21;21;18;19;20;20;18;18;19;19;18;18;21;21;18;19;20;20;18;18;20;20;18;18;20;20;18;18;15;15;19;19;15;15;19;19;15;15;19;19;15;15;19;19
All sources;23;23;22;22;20;21;22;22;20;21;23;23;20;21;22;22;20;21;22;22;20;21;22;22;20;21;24;24;20;21;22;22;20;21;22;22;20;21;23;23;20;21;23;23;20;21;23;23;20;21;18;19;20;21;18;19;20;21;18;19;20;21;18;19;20;21
Expanded no TV;20;21;19;19;20;20;19;19;20;20;21;21;20;19;20;20;20;19;19;19;20;19;20;20;20;19;21;21;20;19;19;19;20;20;20;20;20;19;21;21;20;19;21;21;20;19;21;21;20;19;16;17;19;18;16;17;19;18;16;17;19;18;16;17;19;18
No TV;24;25;20;20;19;20;19;19;19;20;20;20;19;19;20;20;19;19;20;20;19;19;20;20;19;19;20;20;19;19;19;19;19;20;20;20;19;19;20;20;19;19;20;20;19;19;20;20;19;19;17;17;17;18;17;17;17;18;17;17;17;18;17;17;17;18
