Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;18;22;18;18;18;21;18;18;17;20;18;18;17;20;18;18;17;20;19;19;17;20;18;18;17;20;18;18;18;21;18;18;18;21;18;18;17;20;18;18;18;21;18;18;18;21;18;18;18;21;17;17;18;21;17;17;18;21;17;17;18;21;17;17;18;21
Weather and new source;17;17;16;16;16;12;16;16;16;13;17;17;16;14;17;17;16;14;17;17;16;14;17;17;16;14;16;16;16;13;16;16;16;12;17;17;16;14;16;16;16;13;16;16;16;13;16;16;16;13;16;16;16;15;16;16;16;15;16;16;16;15;16;16;16;15
Expanded weather and new source;17;17;17;17;17;17;15;15;16;17;15;15;16;17;16;16;16;17;16;16;16;17;16;16;16;17;15;15;17;17;16;16;17;17;16;16;16;17;15;15;17;17;15;15;17;17;15;15;17;17;16;16;17;17;16;16;17;17;16;16;17;17;16;16;17;17
Expanded weather;16;19;14;14;17;17;14;14;17;17;13;13;17;17;13;13;17;17;13;13;17;17;13;13;17;17;13;13;17;17;14;14;17;17;14;14;17;17;14;14;17;17;14;14;17;17;14;14;17;17;14;14;15;17;14;14;15;17;14;14;15;17;14;14;15;17
Weather, new source and alka;16;17;16;16;13;15;18;18;13;15;19;19;13;14;21;21;13;14;22;22;13;14;21;21;13;14;18;18;13;14;18;18;13;15;20;20;13;14;18;18;13;14;18;18;13;14;18;18;13;14;18;18;13;14;18;18;13;14;18;18;13;14;18;18;13;14
Expanded weather, new source and alka;14;16;15;15;13;16;15;15;13;16;11;11;12;16;11;11;12;16;11;11;12;16;11;11;12;16;11;11;12;16;14;14;13;16;11;11;12;16;11;11;12;16;11;11;12;16;11;11;12;16;13;13;11;14;13;13;11;14;13;13;11;14;13;13;11;14
Expanded weather and alka;20;18;16;16;17;15;17;17;16;15;17;17;16;15;20;20;16;15;20;20;16;15;20;20;16;15;19;19;17;15;17;17;17;15;18;18;16;15;19;19;17;15;19;19;17;15;19;19;17;15;17;17;17;16;17;17;17;16;17;17;17;16;17;17;17;16
Weather and alka;19;20;13;13;15;15;14;14;15;15;14;14;16;15;16;16;16;15;15;15;16;15;16;16;16;15;15;15;16;15;15;15;15;15;16;16;16;15;15;15;16;15;15;15;16;15;15;15;16;15;16;16;15;15;16;16;15;15;16;16;15;15;16;16;15;15
Expanded all sources;13;12;11;11;9;10;10;10;9;9;11;11;9;9;12;12;9;9;12;12;9;9;12;12;9;9;11;11;9;10;11;11;9;10;12;12;9;9;11;11;9;10;11;11;9;10;11;11;9;10;15;15;9;10;15;15;9;10;15;15;9;10;15;15;9;10
All sources;15;15;11;11;12;11;11;11;12;11;10;10;12;11;10;10;12;11;10;10;12;11;10;10;12;11;8;8;12;11;11;11;12;11;10;10;12;11;9;9;12;11;9;9;12;11;9;9;12;11;8;7;11;11;8;7;11;11;8;7;11;11;8;7;11;11
Expanded no TV;18;17;12;12;13;13;13;13;13;13;11;11;13;14;11;11;13;14;12;12;13;14;11;11;13;14;11;11;13;14;12;12;13;13;11;11;13;14;11;11;13;14;11;11;13;14;11;11;13;14;9;9;13;14;9;9;13;14;9;9;13;14;9;9;13;14
No TV;12;11;15;15;11;9;15;15;11;9;14;14;11;10;15;15;11;10;15;15;11;10;15;15;11;10;15;15;11;10;16;16;11;9;15;15;11;10;15;15;11;10;15;15;11;10;15;15;11;10;12;12;13;11;12;12;13;11;12;12;13;11;12;12;13;11
