Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;5.539023875910869;5.468743899105853;4.494070488699468;4.494070488699468;4.613636542968288;4.590083842904873;4.625999810312668;4.625999810312668;4.629688042141122;4.602128179075794;4.621765751530713;4.624135887813549;4.627833246581177;4.602816990168893;4.6154453881098165;4.6154453881098165;4.617471471045181;4.598733339635126;4.6033200132674175;4.6033200132674175;4.623999369060295;4.60041750364331;4.6154453881098165;4.6154453881098165;4.617471471045181;4.598733339635126;4.474303042779436;4.474303042779436;4.604131487998485;4.591197446707908;4.499944552698699;4.499944552698699;4.608720352222695;4.578943635890849;4.604483624816342;4.606853405374663;4.618187266862772;4.59719410462634;4.47966810235622;4.47966810235622;4.604131487998485;4.591442754708061;4.47966810235622;4.47966810235622;4.604131487998485;4.591442754708061;4.47966810235622;4.47966810235622;4.604131487998485;4.591442754708061;4.09531078566999;4.095245667037685;4.346346251266464;4.374416507112679;4.09531078566999;4.095245667037685;4.346346251266464;4.374416507112679;4.09531078566999;4.095245667037685;4.346346251266464;4.374416507112679;4.09531078566999;4.095245667037685;4.346346251266464;4.374416507112679
Weather and new source;5.606614773828503;5.523735104512601;4.406897753004703;4.406897753004703;4.555270084958151;4.595273927808814;4.521417448560972;4.521417448560972;4.567699836867863;4.614887700197736;4.546389306335522;4.546389306335522;4.559893431704068;4.599032446146331;4.531133733356554;4.531133733356554;4.558889598259677;4.598099620239203;4.53545077424871;4.53545077424871;4.558137335267041;4.596415205830215;4.531133733356554;4.531133733356554;4.558889598259677;4.598099620239203;4.383246820145025;4.383246820145025;4.548428029855216;4.5802308631761415;4.409119364782516;4.409119364782516;4.555842763925227;4.600137082351829;4.540021057464713;4.540021057464713;4.559105204663151;4.601504944254028;4.387348332950286;4.387348332950286;4.547854941555729;4.589939168531535;4.387348332950286;4.387348332950286;4.547854941555729;4.589939168531535;4.387348332950286;4.387348332950286;4.547854941555729;4.589939168531535;3.8975509976679956;3.896693063790839;4.250989707046714;4.336300692383778;3.8975509976679956;3.896693063790839;4.250989707046714;4.336300692383778;3.8975509976679956;3.896693063790839;4.250989707046714;4.336300692383778;3.8975509976679956;3.896693063790839;4.250989707046714;4.336300692383778
Expanded weather and new source;5.536953348787475;5.470702148925537;4.437232863701124;4.437232863701124;4.475555310588105;4.485614852841598;4.526241773521999;4.526241773521999;4.4799848883152045;4.492471882698316;4.479097544790975;4.479852119852436;4.464011708883171;4.483461480950995;4.475253782043686;4.475253782043686;4.464939132350743;4.481958052965018;4.476468125113571;4.476468125113571;4.46329506377822;4.4788805553150794;4.475253782043686;4.475253782043686;4.464939132350743;4.481958052965018;4.3998670065388445;4.3998670065388445;4.458648865658013;4.470619729621203;4.42980859047227;4.42980859047227;4.477130101337785;4.480209128918214;4.482175589406485;4.482175589406485;4.464939132350743;4.4843543411194355;4.40715529523508;4.40715529523508;4.458648865658013;4.472735289023257;4.40715529523508;4.40715529523508;4.458648865658013;4.472735289023257;4.40715529523508;4.40715529523508;4.458648865658013;4.472735289023257;3.9263120200533166;3.9272327929906656;4.169730319489576;4.251300128036925;3.9263120200533166;3.9272327929906656;4.169730319489576;4.251300128036925;3.9263120200533166;3.9272327929906656;4.169730319489576;4.251300128036925;3.9263120200533166;3.9272327929906656;4.169730319489576;4.251300128036925
Expanded weather;5.622791381305313;5.53996043443924;4.499675370948076;4.499675370948076;4.5648454071615;4.544237613783111;4.683051812488139;4.683051812488139;4.571140341889772;4.567421213361459;4.599810186649794;4.599810186649794;4.573086596913955;4.566853507998489;4.581474803074879;4.581474803074879;4.574591385386853;4.566030308994293;4.599537989304136;4.601911331919876;4.572081838609217;4.5652430623892934;4.581474803074879;4.581474803074879;4.574591385386853;4.566030308994293;4.46513395401862;4.46513395401862;4.555921830885948;4.533392130150955;4.5023790485389235;4.5023790485389235;4.563052443168826;4.539120988120823;4.585494686234818;4.585494686234818;4.573014483840701;4.566030308994293;4.461210820910293;4.461210820910293;4.555921830885948;4.538868590147411;4.461210820910293;4.461210820910293;4.555921830885948;4.538868590147411;4.461210820910293;4.461210820910293;4.555921830885948;4.538868590147411;4.026333971299466;4.026270022156398;4.280590065800413;4.312962611501233;4.026333971299466;4.026270022156398;4.280590065800413;4.312962611501233;4.026333971299466;4.026270022156398;4.280590065800413;4.312962611501233;4.026333971299466;4.026270022156398;4.280590065800413;4.312962611501233
Weather, new source and alka;5.526533931839154;5.486284289276807;4.488942067686748;4.488942067686748;4.462729072822082;4.503019885512435;4.598410250326255;4.598410250326255;4.480389914587884;4.5007841499263135;4.547145469080202;4.547145469080202;4.46877144276802;4.497915369519471;4.504197956809711;4.504197956809711;4.45999022035743;4.4987389659520804;4.5131111339765555;4.5131111339765555;4.464074453821279;4.49719811789185;4.504197956809711;4.504197956809711;4.45999022035743;4.4987389659520804;4.415635902315255;4.415635902315255;4.459558620471993;4.496065351437448;4.459917050618156;4.459917050618156;4.453945915244076;4.499724040053615;4.507719945236268;4.507719945236268;4.457378096387252;4.4987389659520804;4.4120445247835605;4.4120445247835605;4.4587344169165215;4.499759518722059;4.4120445247835605;4.4120445247835605;4.4587344169165215;4.499759518722059;4.4120445247835605;4.4120445247835605;4.4587344169165215;4.499759518722059;3.908976463276656;3.908883028308727;4.20903417909975;4.22779281204007;3.908976463276656;3.908883028308727;4.20903417909975;4.22779281204007;3.908976463276656;3.908883028308727;4.20903417909975;4.22779281204007;3.908976463276656;3.908883028308727;4.20903417909975;4.22779281204007
Expanded weather, new source and alka;5.508776044720691;5.45019621331749;4.42704615042914;4.42704615042914;4.440465108940883;4.45771551927895;4.505039468579527;4.505039468579527;4.451506572773655;4.46819570901988;4.5065805102865015;4.5065805102865015;4.430229990219894;4.469225313263457;4.474916228997838;4.474916228997838;4.429755716640769;4.468943560970228;4.47582689139526;4.47582689139526;4.431053656920662;4.468908344431398;4.474916228997838;4.474916228997838;4.429755716640769;4.468943560970228;4.402895054282268;4.402895054282268;4.43085421187611;4.457197814759048;4.395098568299419;4.395098568299419;4.439097507100032;4.4531797735991745;4.493687928658546;4.493687928658546;4.4305794380728525;4.46693146712061;4.414623888011554;4.414623888011554;4.426734001420343;4.458985375852418;4.414623888011554;4.414623888011554;4.426734001420343;4.458985375852418;4.414623888011554;4.414623888011554;4.426734001420343;4.458985375852418;3.9418442541326426;3.9410162038143493;4.169272792050988;4.198995531300668;3.9418442541326426;3.9410162038143493;4.169272792050988;4.198995531300668;3.9418442541326426;3.9410162038143493;4.169272792050988;4.198995531300668;3.9418442541326426;3.9410162038143493;4.169272792050988;4.198995531300668
Expanded weather and alka;5.575723509067773;5.506463498407544;4.402824393641948;4.402824393641948;4.583809336222179;4.58314630631482;4.543334782436865;4.543334782436865;4.586332351597814;4.593567274472924;4.519939280857658;4.519939280857658;4.5860865867009;4.589993625008854;4.507817504567131;4.507817504567131;4.5791426118597744;4.5985338236336295;4.5003162555344725;4.5003162555344725;4.577495294126913;4.597710200160632;4.507817504567131;4.507817504567131;4.5791426118597744;4.5985338236336295;4.388985190637887;4.388985190637887;4.57321157013072;4.589469039796409;4.392558154270191;4.392558154270191;4.575214894069632;4.596523849293266;4.520546862027248;4.520546862027248;4.580645669415369;4.586462613953049;4.3836115134104165;4.3836115134104165;4.5747874528220125;4.585378149936588;4.3836115134104165;4.3836115134104165;4.5747874528220125;4.585378149936588;4.3836115134104165;4.3836115134104165;4.5747874528220125;4.585378149936588;4.047029604451414;4.046965174129353;4.281998371322628;4.38350316608299;4.047029604451414;4.046965174129353;4.281998371322628;4.38350316608299;4.047029604451414;4.046965174129353;4.281998371322628;4.38350316608299;4.047029604451414;4.046965174129353;4.281998371322628;4.38350316608299
Weather and alka;5.58308788006296;5.559758237473192;4.405784718596225;4.405784718596225;4.584570083377292;4.5554629382067535;4.534570369609369;4.534570369609369;4.601528856978657;4.594275829532945;4.533523086654016;4.533523086654016;4.591222200354261;4.5992291355305595;4.520471027386969;4.520471027386969;4.582598564050889;4.601101494885917;4.5264398174873675;4.5264398174873675;4.5848520393302215;4.598524066527151;4.520471027386969;4.520471027386969;4.582598564050889;4.601101494885917;4.421214231451001;4.420422891871359;4.5621328797971685;4.559222689902049;4.436597974871946;4.436597974871946;4.576053665488272;4.558326122866357;4.5132519450945665;4.5132519450945665;4.584317430325933;4.599346996577633;4.397325843585585;4.396534673048776;4.5638513992346335;4.5629051545094095;4.397325843585585;4.396534673048776;4.5638513992346335;4.5629051545094095;4.397325843585585;4.396534673048776;4.5638513992346335;4.5629051545094095;3.9987913774321546;3.998727785949986;4.347482412457513;4.377008662418371;3.9987913774321546;3.998727785949986;4.347482412457513;4.377008662418371;3.9987913774321546;3.998727785949986;4.347482412457513;4.377008662418371;3.9987913774321546;3.998727785949986;4.347482412457513;4.377008662418371
Expanded all sources;2.795984402223513;2.8787124605939938;3.837028552728463;3.837028552728463;1.907949790794979;2.101825489867694;3.809756893457334;3.809756893457334;1.9653759304173286;2.1064950263311877;3.682581065667264;3.682581065667264;1.9315996320762605;2.0885547201336676;3.61386944489663;3.61386944489663;1.9315996320762605;2.1061429168407857;3.61328125;3.61328125;1.9315996320762605;2.1061429168407857;3.61386944489663;3.61386944489663;1.9315996320762605;2.1061429168407857;3.7406076445606016;3.7406076445606016;1.8817429121016978;2.0934516831351533;3.930560104814936;3.930560104814936;1.907949790794979;2.119460500963391;3.6147520963933895;3.6147520963933895;1.9315996320762605;2.1061429168407857;3.6665033480320104;3.6665033480320104;1.8817429121016978;2.0934516831351533;3.6665033480320104;3.6665033480320104;1.8817429121016978;2.0934516831351533;3.6665033480320104;3.6665033480320104;1.8817429121016978;2.0934516831351533;0.3673957621326043;0.3673957621326043;0.7665445873434972;0.8913412563667233;0.3673957621326043;0.3673957621326043;0.7665445873434972;0.8913412563667233;0.3673957621326043;0.3673957621326043;0.7665445873434972;0.8913412563667233;0.3673957621326043;0.3673957621326043;0.7665445873434972;0.8913412563667233
All sources;2.9240253248917027;3.037129745515227;3.9443346508563897;3.9443346508563897;2.0186727226848347;2.2522901084124713;3.8700703649157258;3.8700703649157258;2.0174848688634834;2.2853301966056123;3.8259872194002944;3.8259872194002944;2.0090786819098856;2.260124348848933;3.896424167694205;3.896424167694205;2.0090786819098856;2.260124348848933;3.920762781522275;3.920762781522275;2.0090786819098856;2.260124348848933;3.896424167694205;3.896424167694205;2.0090786819098856;2.260124348848933;3.910430558985758;3.910430558985758;2.0183331931713058;2.2522901084124713;3.8870130939636005;3.8870130939636005;2.0186727226848347;2.2522901084124713;3.863860572180204;3.863860572180204;2.0090786819098856;2.260124348848933;3.9021980735984196;3.9021980735984196;2.0183331931713058;2.2522901084124713;3.9021980735984196;3.9021980735984196;2.0183331931713058;2.2522901084124713;3.9021980735984196;3.9021980735984196;2.0183331931713058;2.2522901084124713;0.32506415739948674;0.32506415739948674;0.8440617273424844;1.0194545917933906;0.32506415739948674;0.32506415739948674;0.8440617273424844;1.0194545917933906;0.32506415739948674;0.32506415739948674;0.8440617273424844;1.0194545917933906;0.32506415739948674;0.32506415739948674;0.8440617273424844;1.0194545917933906
