Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;524;518;427;427;450;443;437;437;455;442;443;444;454;444;438;438;455;444;438;438;454;445;438;438;455;444;426;426;450;444;427;427;451;444;438;439;455;444;424;424;450;444;424;424;450;444;424;424;450;444;400;400;440;433;400;400;440;433;400;400;440;433;400;400;440;433
Weather and new source;539;532;410;410;456;450;420;420;457;453;417;417;453;451;414;414;453;451;412;412;453;452;414;414;453;451;400;400;452;450;407;407;456;451;416;416;453;451;401;401;452;450;401;401;452;450;401;401;452;450;350;350;411;426;350;350;411;426;350;350;411;426;350;350;411;426
Expanded weather and new source;542;529;406;406;450;451;421;421;455;458;415;416;453;459;413;413;453;460;413;413;453;459;413;413;453;460;405;405;449;452;405;405;451;451;410;410;453;460;404;404;449;451;404;404;449;451;404;404;449;451;367;366;421;433;367;366;421;433;367;366;421;433;367;366;421;433
Expanded weather;522;523;406;406;424;429;427;427;427;438;416;416;427;440;415;415;427;440;417;418;426;439;415;415;427;440;404;404;426;432;405;405;424;428;415;415;427;440;401;401;426;433;401;401;426;433;401;401;426;433;373;373;418;422;373;373;418;422;373;373;418;422;373;373;418;422
Weather, new source and alka;535;532;418;418;450;444;431;431;460;451;443;443;454;451;441;441;453;450;444;444;455;450;441;441;453;450;425;425;447;447;425;425;449;444;442;442;453;450;425;425;447;447;425;425;447;447;425;425;447;447;372;372;419;424;372;372;419;424;372;372;419;424;372;372;419;424
Expanded weather, new source and alka;521;519;415;415;448;447;422;422;454;454;442;442;447;453;438;438;445;450;436;436;444;450;438;438;445;450;430;430;442;446;418;418;446;446;436;436;445;452;431;431;442;447;431;431;442;447;431;431;442;447;372;373;428;422;372;373;428;422;372;373;428;422;372;373;428;422
Expanded weather and alka;518;506;404;404;441;439;417;417;445;439;417;417;444;442;426;426;441;441;423;423;441;442;426;426;441;441;409;409;438;441;414;414;438;439;427;427;441;439;406;406;438;439;406;406;438;439;406;406;438;439;382;382;417;422;382;382;417;422;382;382;417;422;382;382;417;422
Weather and alka;515;506;397;397;441;437;412;412;444;444;413;413;440;444;417;417;440;445;414;414;442;444;417;417;440;445;407;407;438;439;402;402;441;438;416;416;440;445;406;406;438;440;406;406;438;440;406;406;438;440;378;378;421;428;378;378;421;428;378;378;421;428;378;378;421;428
Expanded all sources;26;26;34;34;13;15;36;36;16;17;33;33;15;15;33;33;15;15;32;32;15;15;33;33;15;15;33;33;12;14;36;36;13;15;35;35;15;15;33;33;12;14;33;33;12;14;33;33;12;14;1;1;4;6;1;1;4;6;1;1;4;6;1;1;4;6
All sources;25;29;42;42;16;16;42;42;16;16;41;41;16;16;40;40;16;16;40;40;16;16;40;40;16;16;40;40;16;16;41;41;16;16;40;40;16;16;40;40;16;16;40;40;16;16;40;40;16;16;1;1;6;8;1;1;6;8;1;1;6;8;1;1;6;8
Expanded no TV;30;32;48;48;20;23;48;48;22;24;48;48;21;23;49;49;21;23;48;48;21;23;49;49;21;23;46;46;20;23;46;46;20;23;49;49;21;23;45;45;20;23;45;45;20;23;45;45;20;23;6;6;8;6;6;6;8;6;6;6;8;6;6;6;8;6
No TV;26;25;44;44;20;18;44;44;20;18;40;40;20;17;41;41;20;17;41;41;20;17;41;41;20;17;43;43;20;18;44;44;20;18;41;41;20;17;43;43;20;18;43;43;20;18;43;43;20;18;7;7;8;6;7;7;8;6;7;7;8;6;7;7;8;6
