Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;74.50341908173233;74.76392054705308;80.64516129032258;80.64516129032258;77.98165137614679;77.83589408303368;79.55365933705284;79.55365933705284;77.86509495743287;77.84313725490196;79.69160104986877;79.65879265091863;77.94165847263193;77.86134728580771;79.65211683623235;79.65211683623235;77.98886341303636;77.92674950948332;79.52755905511812;79.52755905511812;78.02161808057649;77.89404839764552;79.65211683623235;79.65211683623235;77.98886341303636;77.92674950948332;80.40118382111147;80.40118382111147;77.98165137614679;77.83589408303368;80.65260382333554;80.65260382333554;77.99607072691552;77.92674950948332;79.79002624671917;79.75721784776903;77.95610874549624;77.92674950948332;80.60586104708594;80.60586104708594;77.98165137614679;77.83589408303368;80.60586104708594;80.60586104708594;77.98165137614679;77.83589408303368;80.60586104708594;80.60586104708594;77.98165137614679;77.83589408303368;81.78512396694215;81.78512396694215;79.1981597108117;79.28994082840237;81.78512396694215;81.78512396694215;79.1981597108117;79.28994082840237;81.78512396694215;81.78512396694215;79.1981597108117;79.28994082840237;81.78512396694215;81.78512396694215;79.1981597108117;79.28994082840237
Weather and new source;74.52188006482983;74.85380116959064;80.00655522779417;80.00655522779417;77.70513239620792;77.9233540779561;79.40983606557377;79.40983606557377;77.73782281791435;77.98165137614679;79.63875205254516;79.63875205254516;77.76324395029431;77.9305828421742;79.98027613412229;79.98027613412229;77.7305428384565;77.89783889980355;80.03289473684211;80.03289473684211;77.7305428384565;77.89783889980355;79.98027613412229;79.98027613412229;77.7305428384565;77.89783889980355;80.27568099770266;80.27568099770266;77.7305428384565;77.83960720130932;80.07222586999343;80.07222586999343;77.67244197450147;77.82509007533574;79.88826815642457;79.88826815642457;77.76324395029431;77.9305828421742;80.29556650246306;80.29556650246306;77.76324395029431;77.87234042553192;80.29556650246306;80.29556650246306;77.76324395029431;77.87234042553192;80.29556650246306;80.29556650246306;77.76324395029431;77.87234042553192;82.57001647446458;82.57001647446458;78.79581151832461;78.75409836065573;82.57001647446458;82.57001647446458;78.79581151832461;78.75409836065573;82.57001647446458;82.57001647446458;78.79581151832461;78.75409836065573;82.57001647446458;82.57001647446458;78.79581151832461;78.75409836065573
Expanded weather and new source;73.77633711507293;74.12451361867704;78.85620915032679;78.85620915032679;77.27272727272727;77.54901960784314;78.8027477919529;78.8027477919529;77.05882352941177;77.5416802876757;78.59947643979058;78.59947643979058;77.05132396207911;77.43305029392555;78.7630890052356;78.7630890052356;77.05132396207911;77.40039190071847;78.8404847690796;78.8404847690796;77.08401438378554;77.40039190071847;78.7630890052356;78.7630890052356;77.05132396207911;77.40039190071847;78.86817140987897;78.86817140987897;77.26529277069022;77.52368507023849;78.88198757763976;78.88198757763976;77.24002616088947;77.57437070938215;78.72340425531915;78.72340425531915;77.05132396207911;77.43305029392555;78.86817140987897;78.86817140987897;77.26529277069022;77.49101600784057;78.86817140987897;78.86817140987897;77.26529277069022;77.49101600784057;78.86817140987897;78.86817140987897;77.26529277069022;77.49101600784057;81.53896961690886;81.53896961690886;78.71710526315789;78.45901639344262;81.53896961690886;81.53896961690886;78.71710526315789;78.45901639344262;81.53896961690886;81.53896961690886;78.71710526315789;78.45901639344262;81.53896961690886;81.53896961690886;78.71710526315789;78.45901639344262
Expanded weather;74.56026058631922;74.59336369551075;79.92748846407383;79.92748846407383;77.82894736842105;77.47954173486087;79.5844327176781;79.5844327176781;77.49671484888306;77.19240837696336;79.46605141727093;79.46605141727093;77.63157894736842;77.23550605961348;79.51846965699208;79.51846965699208;77.66447368421052;77.2429600523903;79.53197099538562;79.49901120632829;77.63893456099967;77.2429600523903;79.51846965699208;79.51846965699208;77.66447368421052;77.2429600523903;79.92748846407383;79.92748846407383;77.88746298124383;77.41407528641571;80.00659848234906;80.00659848234906;77.86184210526315;77.35602094240838;79.52522255192879;79.52522255192879;77.66447368421052;77.2429600523903;80.05275304978568;80.05275304978568;77.88746298124383;77.41407528641571;80.05275304978568;80.05275304978568;77.88746298124383;77.41407528641571;80.05275304978568;80.05275304978568;77.88746298124383;77.41407528641571;82.15465961665565;82.15465961665565;79.37190082644628;79.02374670184696;82.15465961665565;82.15465961665565;79.37190082644628;79.02374670184696;82.15465961665565;82.15465961665565;79.37190082644628;79.02374670184696;82.15465961665565;82.15465961665565;79.37190082644628;79.02374670184696
Weather, new source and alka;74.15584415584415;74.60214355310166;79.46194225721784;79.46194225721784;77.96387520525452;77.65399737876803;79.0095113151853;79.0095113151853;78.00393959290874;77.64667322189446;79.2955892034233;79.2955892034233;77.9783393501805;77.62123197903014;79.55218966084952;79.55218966084952;77.95275590551181;77.62123197903014;79.67051070840198;79.67051070840198;77.95275590551181;77.62123197903014;79.55218966084952;79.55218966084952;77.95275590551181;77.62123197903014;79.9802110817942;79.9802110817942;77.97110965200262;77.59580740255487;80.15820698747528;80.15820698747528;77.93827971109653;77.68676277850591;79.53871499176277;79.53871499176277;77.95275590551181;77.62123197903014;79.90762124711316;79.90762124711316;77.97110965200262;77.59580740255487;79.90762124711316;79.90762124711316;77.97110965200262;77.59580740255487;79.90762124711316;79.90762124711316;77.97110965200262;77.59580740255487;81.69200264375414;81.69200264375414;79.00461437046803;79.01153212520593;81.69200264375414;81.69200264375414;79.00461437046803;79.01153212520593;81.69200264375414;81.69200264375414;79.00461437046803;79.01153212520593;81.69200264375414;81.69200264375414;79.00461437046803;79.01153212520593
Expanded weather, new source and alka;73.77633711507293;73.83570504527813;79.58647850344602;79.58647850344602;77.52293577981652;76.8754076973255;79.109364767518;79.109364767518;77.42146596858639;76.79269882659713;79.07662082514734;79.07662082514734;77.26529277069022;76.93311582381729;79.23479398299543;79.23479398299543;77.26529277069022;76.93311582381729;79.18300653594771;79.18300653594771;77.29800457965325;76.93311582381729;79.23479398299543;79.23479398299543;77.26529277069022;76.93311582381729;79.43006878480183;79.43006878480183;77.45740498034075;77.12418300653596;79.7244094488189;79.7244094488189;77.52293577981652;76.8754076973255;79.29342492639843;79.29342492639843;77.26529277069022;76.93311582381729;79.33180478218146;79.33180478218146;77.43203406485424;77.09898725906567;79.33180478218146;79.33180478218146;77.43203406485424;77.09898725906567;79.33180478218146;79.33180478218146;77.43203406485424;77.09898725906567;81.43752060666007;81.47049126277614;78.65131578947368;78.21522309711287;81.43752060666007;81.47049126277614;78.65131578947368;78.21522309711287;81.43752060666007;81.47049126277614;78.65131578947368;78.21522309711287;81.43752060666007;81.47049126277614;78.65131578947368;78.21522309711287
Expanded weather and alka;74.49838187702265;74.69175859831279;79.35103244837758;79.35103244837758;77.59295499021526;77.73782281791435;78.34041163018621;78.34041163018621;77.535050537985;77.65436131983012;78.47811887655128;78.47811887655128;77.57832898172323;77.5416802876757;78.66492146596859;78.66492146596859;77.61096605744126;77.78141361256544;78.38014369693012;78.38014369693012;77.61096605744126;77.78141361256544;78.66492146596859;78.66492146596859;77.61096605744126;77.78141361256544;78.52480417754569;78.52480417754569;77.64360313315926;77.87234042553192;79.109364767518;79.109364767518;77.65818656229615;77.94502617801047;78.60647693817468;78.60647693817468;77.61096605744126;77.7305428384565;78.46655791190864;78.46655791190864;77.64360313315926;77.7886817140988;78.46655791190864;78.46655791190864;77.64360313315926;77.7886817140988;78.46655791190864;78.46655791190864;77.64360313315926;77.7886817140988;82.01058201058201;82.01058201058201;78.57142857142857;78.60663818600065;82.01058201058201;82.01058201058201;78.57142857142857;78.60663818600065;82.01058201058201;82.01058201058201;78.57142857142857;78.60663818600065;82.01058201058201;82.01058201058201;78.57142857142857;78.60663818600065
Weather and alka;73.22809278350515;73.45956354300385;79.57377049180327;79.57377049180327;77.46156362446843;77.38562091503269;79.27308447937132;79.27308447937132;77.44360902255639;77.2445315050604;79.521625163827;79.521625163827;77.41830065359477;77.25195822454309;79.90792502466294;79.90792502466294;77.42567788304476;77.41514360313316;79.93421052631578;79.93421052631578;77.41830065359477;77.40777015997388;79.90792502466294;79.90792502466294;77.42567788304476;77.41514360313316;79.69160104986877;79.69160104986877;77.47629944426284;77.40777015997388;79.97369286418942;79.97369286418942;77.50163505559189;77.49101600784057;79.65823200788695;79.65823200788695;77.42567788304476;77.41514360313316;79.54768928220255;79.54768928220255;77.47629944426284;77.40777015997388;79.54768928220255;79.54768928220255;77.47629944426284;77.40777015997388;79.54768928220255;79.54768928220255;77.47629944426284;77.40777015997388;81.65621906961398;81.65621906961398;78.65573770491802;78.46607669616519;81.65621906961398;81.65621906961398;78.65573770491802;78.46607669616519;81.65621906961398;81.65621906961398;78.65573770491802;78.46607669616519;81.65621906961398;81.65621906961398;78.65573770491802;78.46607669616519
Expanded all sources;86.41114982578398;85.81314878892734;78.20069204152249;78.20069204152249;88.96797153024912;89.36170212765957;76.8166089965398;76.8166089965398;89.32384341637011;88.69257950530034;76.89655172413794;76.89655172413794;89.32384341637011;88.33922261484098;77.24137931034483;77.24137931034483;89.32384341637011;88.33922261484098;76.6323024054983;76.6323024054983;89.32384341637011;88.33922261484098;77.24137931034483;77.24137931034483;89.32384341637011;88.33922261484098;79.51388888888889;79.51388888888889;88.65248226950354;89.36170212765957;79.44250871080139;79.44250871080139;88.96797153024912;89.36170212765957;77.24137931034483;77.24137931034483;89.32384341637011;88.33922261484098;79.51388888888889;79.51388888888889;88.65248226950354;89.36170212765957;79.51388888888889;79.51388888888889;88.65248226950354;89.36170212765957;79.51388888888889;79.51388888888889;88.65248226950354;89.36170212765957;98.89705882352942;98.89705882352942;94.56521739130434;94.22382671480143;98.89705882352942;98.89705882352942;94.56521739130434;94.22382671480143;98.89705882352942;98.89705882352942;94.56521739130434;94.22382671480143;98.89705882352942;98.89705882352942;94.56521739130434;94.22382671480143
All sources;88.65248226950354;89.36170212765957;80.7017543859649;80.7017543859649;90.39145907473309;90.0709219858156;78.20069204152249;78.20069204152249;90.39145907473309;90.0709219858156;78.125;78.125;90.39145907473309;90.0709219858156;79.09407665505228;79.09407665505228;90.39145907473309;90.0709219858156;79.09407665505228;79.09407665505228;90.39145907473309;90.0709219858156;79.09407665505228;79.09407665505228;90.39145907473309;90.0709219858156;80.98591549295774;80.98591549295774;90.39145907473309;90.0709219858156;80.41958041958041;80.41958041958041;90.39145907473309;90.0709219858156;79.09407665505228;79.09407665505228;90.39145907473309;90.0709219858156;80.98591549295774;80.98591549295774;90.39145907473309;90.0709219858156;80.98591549295774;80.98591549295774;90.39145907473309;90.0709219858156;80.98591549295774;80.98591549295774;90.39145907473309;90.0709219858156;99.26470588235294;99.26470588235294;96.7032967032967;94.92753623188406;99.26470588235294;99.26470588235294;96.7032967032967;94.92753623188406;99.26470588235294;99.26470588235294;96.7032967032967;94.92753623188406;99.26470588235294;99.26470588235294;96.7032967032967;94.92753623188406
