Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;11.11111111111111;10.58780576852866;8.721143275925247;8.721143275925247;8.089311859443631;7.937088514996342;8.397225264695145;8.397225264695145;8.092273892347125;7.909190772610765;8.625730994152047;8.625730994152047;8.089311859443631;7.906295754026354;8.662280701754387;8.662280701754387;8.058608058608058;7.909190772610765;8.619430241051864;8.619430241051864;8.058608058608058;7.906295754026354;8.662280701754387;8.662280701754387;8.058608058608058;7.909190772610765;8.804108584005869;8.804108584005869;8.092273892347125;7.9399926820343945;8.574569439355075;8.574569439355075;8.095238095238095;7.903402854006586;8.628884826325411;8.628884826325411;8.058608058608058;7.945807396558037;8.770642201834862;8.770642201834862;8.092273892347125;7.9399926820343945;8.770642201834862;8.770642201834862;8.092273892347125;7.9399926820343945;8.770642201834862;8.770642201834862;8.092273892347125;7.9399926820343945;8.459549316586628;8.459549316586628;7.998525617397714;7.907318867230599;8.459549316586628;8.459549316586628;7.998525617397714;7.907318867230599;8.459549316586628;8.459549316586628;7.998525617397714;7.907318867230599;8.459549316586628;8.459549316586628;7.998525617397714;7.907318867230599
Weather and new source;11.525915186661834;11.31597975415763;8.32420591456736;8.32420591456736;8.400292184075967;8.157319737800437;8.17290228841264;8.17290228841264;8.433734939759036;8.263560247542774;8.4271703596077;8.4271703596077;8.366824990865911;8.233151183970856;8.548563113859585;8.548563113859585;8.366824990865911;8.233151183970856;8.51528384279476;8.51528384279476;8.366824990865911;8.19672131147541;8.548563113859585;8.548563113859585;8.366824990865911;8.233151183970856;8.637026239067055;8.637026239067055;8.369883040935672;8.166241341596791;8.482632541133455;8.482632541133455;8.400292184075967;8.19373634377276;8.469647400945112;8.469647400945112;8.366824990865911;8.233151183970856;8.66399708773207;8.66399708773207;8.369883040935672;8.166241341596791;8.66399708773207;8.66399708773207;8.369883040935672;8.166241341596791;8.66399708773207;8.66399708773207;8.369883040935672;8.166241341596791;8.36403831982314;8.36403831982314;7.556859867938372;7.576866764275255;8.36403831982314;8.36403831982314;7.556859867938372;7.576866764275255;8.36403831982314;8.36403831982314;7.556859867938372;7.576866764275255;8.36403831982314;8.36403831982314;7.556859867938372;7.576866764275255
Expanded weather and new source;11.03448275862069;11.381818181818183;8.791208791208792;8.791208791208792;8.205689277899344;8.412582297000732;8.908360715589632;8.908360715589632;8.199708454810496;8.552631578947368;8.49434925264309;8.49434925264309;8.096280087527353;8.366824990865911;8.38192419825073;8.38192419825073;8.096280087527353;8.366824990865911;8.415300546448087;8.415300546448087;8.096280087527353;8.333333333333332;8.38192419825073;8.38192419825073;8.096280087527353;8.366824990865911;8.537925980212533;8.537925980212533;8.102189781021899;8.3363802559415;8.72434017595308;8.72434017595308;8.205689277899344;8.412582297000732;8.42143638352169;8.42143638352169;8.096280087527353;8.366824990865911;8.608058608058608;8.608058608058608;8.102189781021899;8.29981718464351;8.608058608058608;8.608058608058608;8.102189781021899;8.29981718464351;8.608058608058608;8.608058608058608;8.102189781021899;8.29981718464351;8.011869436201781;8.011869436201781;7.627429409607628;7.689477557027226;8.011869436201781;8.011869436201781;7.627429409607628;7.689477557027226;8.011869436201781;8.011869436201781;7.627429409607628;7.689477557027226;8.011869436201781;8.011869436201781;7.627429409607628;7.689477557027226
Expanded weather;10.600578871201158;10.86087904104613;8.315018315018314;8.315018315018314;8.002910149145144;8.217677136596055;7.944606413994169;7.944606413994169;8.112040742088032;8.321167883211679;7.894736842105263;7.894736842105263;8.002910149145144;8.211678832116789;7.953301714702664;7.953301714702664;8.002910149145144;8.214676889375685;7.843852608537031;7.843852608537031;8.005822416302767;8.214676889375685;7.953301714702664;7.953301714702664;8.002910149145144;8.214676889375685;8.211678832116789;8.211678832116789;8.0;8.105147864184008;8.382137628111273;8.382137628111273;8.002910149145144;8.217677136596055;7.85244704163623;7.85244704163623;8.002910149145144;8.214676889375685;8.108108108108109;8.108108108108109;8.0;8.105147864184008;8.108108108108109;8.108108108108109;8.0;8.105147864184008;8.108108108108109;8.108108108108109;8.0;8.105147864184008;7.658321060382916;7.658321060382916;7.343807088052612;7.605118829981719;7.658321060382916;7.658321060382916;7.343807088052612;7.605118829981719;7.658321060382916;7.658321060382916;7.343807088052612;7.605118829981719;7.658321060382916;7.658321060382916;7.343807088052612;7.605118829981719
Weather, new source and alka;11.52023332118119;11.758281761922097;8.727539420608728;8.727539420608728;8.595464520848575;8.91089108910891;8.609996351696461;8.609996351696461;8.558888076079004;8.874220755408874;8.372770294867129;8.372770294867129;8.455344070278183;8.844036697247706;8.503649635036496;8.503649635036496;8.49194729136164;8.844036697247706;8.546384222059897;8.546384222059897;8.458440131819845;8.807339449541285;8.503649635036496;8.503649635036496;8.49194729136164;8.844036697247706;8.880733944954128;8.880733944954128;8.568290003661662;8.883994126284875;8.813808299669482;8.813808299669482;8.632040965618142;8.91089108910891;8.503649635036496;8.503649635036496;8.49194729136164;8.844036697247706;8.887256702166727;8.887256702166727;8.568290003661662;8.883994126284875;8.887256702166727;8.887256702166727;8.568290003661662;8.883994126284875;8.887256702166727;8.887256702166727;8.568290003661662;8.883994126284875;7.8684891023273;7.8684891023273;8.014705882352942;8.204562178072111;7.8684891023273;7.8684891023273;8.014705882352942;8.204562178072111;7.8684891023273;7.8684891023273;8.014705882352942;8.204562178072111;7.8684891023273;7.8684891023273;8.014705882352942;8.204562178072111
Expanded weather, new source and alka;11.482558139534884;11.240451073117496;8.587155963302752;8.587155963302752;8.573513316307917;8.464064210142284;8.181154127100074;8.181154127100074;8.652792990142387;8.503649635036496;8.23915421071819;8.23915421071819;8.50675428988682;8.512970405553526;8.778346744696416;8.778346744696416;8.50675428988682;8.476434051881622;8.89132821075741;8.89132821075741;8.50675428988682;8.439897698209718;8.778346744696416;8.778346744696416;8.50675428988682;8.476434051881622;8.933823529411764;8.933823529411764;8.460977388767322;8.400292184075967;8.813808299669482;8.813808299669482;8.573513316307917;8.42758117475374;8.741770299926847;8.741770299926847;8.50675428988682;8.512970405553526;8.890521675238796;8.890521675238796;8.464064210142284;8.439897698209718;8.890521675238796;8.890521675238796;8.464064210142284;8.439897698209718;8.890521675238796;8.890521675238796;8.464064210142284;8.439897698209718;7.905430365718508;7.905430365718508;7.8870139398385914;7.748806463459419;7.905430365718508;7.905430365718508;7.8870139398385914;7.748806463459419;7.905430365718508;7.905430365718508;7.8870139398385914;7.748806463459419;7.905430365718508;7.905430365718508;7.8870139398385914;7.748806463459419
Expanded weather and alka;11.300872093023257;11.240029006526468;7.745706978443552;7.745706978443552;8.49744711889132;8.561020036429873;7.66158315177923;7.66158315177923;8.533916849015318;8.633879781420765;7.496360989810771;7.496360989810771;8.460977388767322;8.670309653916211;7.891852393131166;7.891852393131166;8.464064210142284;8.706739526411658;7.883211678832117;7.883211678832117;8.464064210142284;8.706739526411658;7.891852393131166;7.891852393131166;8.464064210142284;8.706739526411658;8.275357012083486;8.275357012083486;8.42758117475374;8.633879781420765;8.092273892347125;8.092273892347125;8.464064210142284;8.597449908925318;7.81021897810219;7.81021897810219;8.464064210142284;8.670309653916211;8.202123764188942;8.202123764188942;8.42758117475374;8.633879781420765;8.202123764188942;8.202123764188942;8.42758117475374;8.633879781420765;8.202123764188942;8.202123764188942;8.42758117475374;8.633879781420765;7.967539653264478;7.967539653264478;7.906295754026354;8.086351994145627;7.967539653264478;7.967539653264478;7.906295754026354;8.086351994145627;7.967539653264478;7.967539653264478;7.906295754026354;8.086351994145627;7.967539653264478;7.967539653264478;7.906295754026354;8.086351994145627
Weather and alka;11.199710039869517;11.461733768589045;8.516886930983848;8.516886930983848;8.749544294567992;8.771929824561402;8.584005869405722;8.584005869405722;8.905109489051096;8.96778916544656;8.528550512445095;8.528550512445095;8.86861313868613;9.004392386530014;8.851499634235552;8.851499634235552;8.87185104052574;9.044306114976198;8.88807607900512;8.88807607900512;8.87185104052574;9.044306114976198;8.851499634235552;8.851499634235552;8.87185104052574;9.044306114976198;8.800880088008801;8.800880088008801;8.716265499635302;8.848263254113345;8.773861967694566;8.773861967694566;8.752735229759299;8.811700182815356;8.848263254113345;8.848263254113345;8.87185104052574;9.044306114976198;8.76742479823918;8.76742479823918;8.716265499635302;8.884826325411336;8.76742479823918;8.76742479823918;8.716265499635302;8.884826325411336;8.76742479823918;8.76742479823918;8.716265499635302;8.884826325411336;8.182154757497223;8.182154757497223;8.34859025997803;8.424908424908425;8.182154757497223;8.182154757497223;8.34859025997803;8.424908424908425;8.182154757497223;8.182154757497223;8.34859025997803;8.424908424908425;8.182154757497223;8.182154757497223;8.34859025997803;8.424908424908425
Expanded all sources;5.46875;6.640625;3.816793893129771;3.816793893129771;3.1746031746031744;4.016064257028113;3.787878787878788;3.787878787878788;3.1620553359683794;4.0;4.104477611940299;4.104477611940299;3.1372549019607843;3.9840637450199203;4.477611940298507;4.477611940298507;3.1372549019607843;4.0;4.477611940298507;4.477611940298507;3.1372549019607843;4.0;4.477611940298507;4.477611940298507;3.1372549019607843;4.0;4.119850187265917;4.119850187265917;3.149606299212598;4.016064257028113;4.166666666666666;4.166666666666666;3.1746031746031744;4.032258064516129;4.477611940298507;4.477611940298507;3.1372549019607843;4.0;4.135338345864661;4.135338345864661;3.149606299212598;4.016064257028113;4.135338345864661;4.135338345864661;3.149606299212598;4.016064257028113;4.135338345864661;4.135338345864661;3.149606299212598;4.016064257028113;0.40816326530612246;0.40816326530612246;0.4048582995951417;0.4048582995951417;0.40816326530612246;0.40816326530612246;0.4048582995951417;0.4048582995951417;0.40816326530612246;0.40816326530612246;0.4048582995951417;0.4048582995951417;0.40816326530612246;0.40816326530612246;0.4048582995951417;0.4048582995951417
All sources;6.451612903225806;7.199999999999999;4.705882352941177;4.705882352941177;4.417670682730924;4.417670682730924;5.038759689922481;5.038759689922481;4.3999999999999995;4.417670682730924;3.861003861003861;3.861003861003861;4.0;4.016064257028113;4.247104247104247;4.247104247104247;4.0;4.016064257028113;4.247104247104247;4.247104247104247;4.0;4.016064257028113;4.247104247104247;4.247104247104247;4.0;4.016064257028113;4.263565891472868;4.263565891472868;4.417670682730924;4.417670682730924;5.098039215686274;5.098039215686274;4.417670682730924;4.417670682730924;4.247104247104247;4.247104247104247;4.0;4.016064257028113;4.263565891472868;4.263565891472868;4.417670682730924;4.417670682730924;4.263565891472868;4.263565891472868;4.417670682730924;4.417670682730924;4.263565891472868;4.263565891472868;4.417670682730924;4.417670682730924;0.4098360655737705;0.4098360655737705;1.2244897959183674;1.2195121951219512;0.4098360655737705;0.4098360655737705;1.2244897959183674;1.2195121951219512;0.4098360655737705;0.4098360655737705;1.2244897959183674;1.2195121951219512;0.4098360655737705;0.4098360655737705;1.2244897959183674;1.2195121951219512
Expanded no TV;5.511811023622047;4.724409448818897;5.363984674329502;5.363984674329502;1.9920318725099602;2.3904382470119523;6.5891472868217065;6.5891472868217065;2.3904382470119523;2.788844621513944;5.384615384615385;5.384615384615385;1.9920318725099602;2.3904382470119523;5.405405405405405;5.405405405405405;1.9920318725099602;2.3904382470119523;5.405405405405405;5.405405405405405;1.9920318725099602;2.3904382470119523;5.405405405405405;5.405405405405405;1.9920318725099602;2.3904382470119523;4.980842911877394;4.980842911877394;1.9920318725099602;2.3904382470119523;5.7915057915057915;5.7915057915057915;1.9920318725099602;2.3904382470119523;5.019305019305019;5.019305019305019;1.9920318725099602;2.3904382470119523;4.597701149425287;4.597701149425287;1.9920318725099602;2.3904382470119523;4.597701149425287;4.597701149425287;1.9920318725099602;2.3904382470119523;4.597701149425287;4.597701149425287;1.9920318725099602;2.3904382470119523;0.0;0.0;0.8130081300813009;0.8064516129032258;0.0;0.0;0.8130081300813009;0.8064516129032258;0.0;0.0;0.8130081300813009;0.8064516129032258;0.0;0.0;0.8130081300813009;0.8064516129032258
No TV;4.651162790697675;4.651162790697675;5.363984674329502;5.363984674329502;2.3529411764705883;2.734375;5.747126436781609;5.747126436781609;2.734375;3.11284046692607;4.961832061068702;4.961832061068702;2.34375;2.734375;5.0;5.0;2.34375;2.734375;5.0;5.0;2.34375;2.734375;5.0;5.0;2.34375;2.734375;5.747126436781609;5.747126436781609;2.3529411764705883;2.734375;5.405405405405405;5.405405405405405;2.3529411764705883;2.734375;4.615384615384616;4.615384615384616;2.34375;2.734375;5.363984674329502;5.363984674329502;2.3529411764705883;2.734375;5.363984674329502;5.363984674329502;2.3529411764705883;2.734375;5.363984674329502;5.363984674329502;2.3529411764705883;2.734375;0.0;0.0;1.2096774193548387;0.796812749003984;0.0;0.0;1.2096774193548387;0.796812749003984;0.0;0.0;1.2096774193548387;0.796812749003984;0.0;0.0;1.2096774193548387;0.796812749003984
