Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;96;99;70;70;77;76;74;74;78;79;74;74;78;78;73;73;78;78;72;72;78;78;73;73;78;78;70;70;77;75;72;72;77;75;73;73;78;78;70;70;77;75;70;70;77;75;70;70;77;75;65;65;69;69;65;65;69;69;65;65;69;69;65;65;69;69
Weather and new source;116;115;77;77;79;83;76;76;80;83;72;72;80;83;71;71;80;83;71;71;80;83;71;71;80;83;68;68;79;83;75;75;79;82;72;72;80;83;67;67;79;83;67;67;79;83;67;67;79;83;55;55;74;76;55;55;74;76;55;55;74;76;55;55;74;76
Expanded weather and new source;115;111;70;70;82;83;68;68;81;83;68;68;79;83;67;67;78;83;67;67;78;83;67;67;78;83;67;67;81;83;69;69;82;83;67;67;78;83;67;67;81;83;67;67;81;83;67;67;81;83;54;54;73;75;54;54;73;75;54;54;73;75;54;54;73;75
Expanded weather;105;104;66;66;78;79;67;67;78;79;67;67;77;79;68;68;77;79;69;69;77;79;68;68;77;79;63;63;77;80;68;68;78;83;68;68;77;79;63;63;77;80;63;63;77;80;63;63;77;80;55;55;66;67;55;55;66;67;55;55;66;67;55;55;66;67
Weather, new source and alka;114;112;74;74;76;77;77;77;73;75;77;77;74;75;72;72;74;75;72;72;74;75;72;72;74;75;69;69;77;77;72;72;76;77;72;72;74;75;69;69;77;77;69;69;77;77;69;69;77;77;58;58;72;71;58;58;72;71;58;58;72;71;58;58;72;71
Expanded weather, new source and alka;111;110;68;68;85;83;68;68;85;83;68;68;84;83;69;69;84;84;70;70;84;84;69;69;84;84;69;69;84;83;71;71;85;83;72;72;84;83;68;68;84;82;68;68;84;82;68;68;84;82;53;53;75;78;53;53;75;78;53;53;75;78;53;53;75;78
Expanded weather and alka;115;112;70;70;84;84;74;74;83;83;78;78;82;84;76;76;81;81;76;76;81;81;76;76;81;81;69;69;83;80;71;71;83;81;76;76;81;81;69;69;83;80;69;69;83;80;69;69;83;80;66;66;74;74;66;66;74;74;66;66;74;74;66;66;74;74
Weather and alka;118;110;65;65;79;87;68;68;79;86;70;70;79;86;71;71;79;83;71;71;79;83;71;71;79;83;63;63;79;84;66;66;79;84;71;71;79;83;64;64;79;84;64;64;79;84;64;64;79;84;58;58;68;79;58;58;68;79;58;58;68;79;58;58;68;79
Expanded all sources;11;9;5;5;7;7;6;6;7;7;7;7;6;6;8;8;6;6;8;8;6;6;8;8;6;6;6;6;6;6;6;6;7;7;8;8;6;6;6;6;6;6;6;6;6;6;6;6;6;6;1;1;3;3;1;1;3;3;1;1;3;3;1;1;3;3
All sources;9;9;6;6;5;5;6;6;5;5;5;5;5;5;6;6;5;5;6;6;5;5;6;6;5;5;6;6;5;5;7;7;5;5;6;6;5;5;6;6;5;5;6;6;5;5;6;6;5;5;1;1;3;3;1;1;3;3;1;1;3;3;1;1;3;3
Expanded no TV;7;6;9;9;5;4;11;11;5;4;11;11;5;4;11;11;5;4;11;11;5;4;11;11;5;4;9;9;5;4;9;9;5;4;11;11;5;4;9;9;5;4;9;9;5;4;9;9;5;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
No TV;10;10;8;8;5;5;10;10;5;5;10;10;5;5;10;10;5;5;10;10;5;5;10;10;5;5;8;8;5;5;8;8;5;5;10;10;5;5;8;8;5;5;8;8;5;5;8;8;5;5;1;1;4;4;1;1;4;4;1;1;4;4;1;1;4;4
