Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;960;946;771;771;792;786;791;791;796;789;785;785;795;788;784;784;794;788;790;790;796;787;784;784;794;788;766;766;790;784;768;768;792;785;788;788;794;788;773;773;790;785;773;773;790;785;773;773;790;785;660;660;745;733;660;660;745;733;660;660;745;733;660;660;745;733
Weather and new source;945;935;748;748;777;792;767;767;778;791;767;767;777;790;757;757;776;790;750;750;776;790;757;757;776;790;737;737;776;792;727;727;777;795;755;755;776;790;738;738;776;792;738;738;776;792;738;738;776;792;619;619;725;740;619;619;725;740;619;619;725;740;619;619;725;740
Expanded weather and new source;1003;982;760;760;809;801;790;790;807;795;786;786;810;805;781;781;810;805;778;778;811;805;781;781;810;805;759;759;811;802;757;757;809;799;782;782;810;805;763;763;811;804;763;763;811;804;763;763;811;804;631;631;754;763;631;631;754;763;631;631;754;763;631;631;754;763
Expanded weather;981;976;746;746;799;815;757;757;800;819;767;767;794;814;768;768;795;814;762;762;795;814;768;768;795;814;746;746;794;814;740;740;800;819;768;768;795;814;744;744;794;814;744;744;794;814;744;744;794;814;665;665;747;764;665;665;747;764;665;665;747;764;665;665;747;764
Weather, new source and alka;966;962;759;759;772;808;786;786;771;808;782;782;775;804;791;791;778;806;790;790;778;806;791;791;778;806;753;753;779;805;749;749;775;809;784;784;779;806;749;749;779;807;749;749;779;807;749;749;779;807;637;637;743;772;637;637;743;772;637;637;743;772;637;637;743;772
Expanded weather, new source and alka;965;953;735;735;766;773;748;748;768;773;765;765;764;769;768;768;764;771;769;769;767;771;768;768;764;771;739;739;764;769;728;728;766;776;773;773;765;770;748;748;764;769;748;748;764;769;748;748;764;769;630;630;735;743;630;630;735;743;630;630;735;743;630;630;735;743
Expanded weather and alka;990;973;779;779;791;804;789;789;799;818;778;778;799;819;793;793;796;814;796;796;797;814;793;793;796;814;794;794;790;803;782;782;789;799;787;787;796;818;794;794;790;809;794;794;790;809;794;794;790;809;654;654;738;756;654;654;738;756;654;654;738;756;654;654;738;756
Weather and alka;1001;963;775;775;811;830;777;777;810;829;770;770;809;822;774;774;809;817;777;777;809;817;774;774;809;817;771;771;809;826;769;769;811;828;769;769;809;818;767;767;809;827;767;767;809;827;767;767;809;827;635;635;766;767;635;635;766;767;635;635;766;767;635;635;766;767
Expanded all sources;51;52;69;69;34;35;69;69;35;35;81;81;36;37;79;79;36;37;78;78;36;37;79;79;36;37;75;75;35;36;68;68;34;35;79;79;36;37;75;75;35;36;75;75;35;36;75;75;35;36;7;7;16;19;7;7;16;19;7;7;16;19;7;7;16;19
All sources;45;42;61;61;34;37;65;65;34;37;65;65;34;37;64;64;34;37;64;64;34;37;64;64;34;37;63;63;34;37;58;58;34;37;64;64;34;37;63;63;34;37;63;63;34;37;63;63;34;37;8;8;17;17;8;8;17;17;8;8;17;17;8;8;17;17
Expanded no TV;47;42;64;64;27;31;70;70;27;31;70;70;27;32;65;65;27;32;66;66;27;32;65;65;27;32;66;66;27;32;66;66;27;31;65;65;27;32;65;65;27;32;65;65;27;32;65;65;27;32;6;6;8;15;6;6;8;15;6;6;8;15;6;6;8;15
No TV;45;47;58;58;31;33;65;65;31;33;68;68;31;34;67;67;31;34;67;67;31;34;67;67;31;34;61;61;31;33;58;58;31;33;67;67;31;34;61;61;31;33;61;61;31;33;61;61;31;33;5;5;15;20;5;5;15;20;5;5;15;20;5;5;15;20
