Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;967;975;749;749;834;836;786;786;839;841;778;778;838;841;777;777;837;841;783;783;836;839;777;777;837;841;743;743;833;838;744;744;833;836;777;777;837;840;747;747;833;840;747;747;833;840;747;747;833;840;623;623;767;770;623;623;767;770;623;623;767;770;623;623;767;770
Weather and new source;968;963;744;744;798;807;777;777;801;806;766;766;798;804;762;762;798;804;764;764;798;805;762;762;798;804;733;733;796;806;736;736;798;808;762;762;798;804;732;732;796;806;732;732;796;806;732;732;796;806;655;655;740;751;655;655;740;751;655;655;740;751;655;655;740;751
Expanded weather and new source;977;984;748;748;817;822;766;766;818;826;759;759;816;820;757;757;815;820;759;759;816;821;757;757;815;820;745;745;818;821;737;737;817;822;759;759;815;820;745;745;818;821;745;745;818;821;745;745;818;821;636;636;754;758;636;636;754;758;636;636;754;758;636;636;754;758
Expanded weather;950;959;737;737;798;820;761;761;806;825;756;756;801;823;760;760;801;823;760;760;802;823;760;760;801;823;745;745;795;822;733;733;798;825;764;764;801;823;745;745;795;822;745;745;795;822;745;745;795;822;668;668;741;761;668;668;741;761;668;668;741;761;668;668;741;761
Weather, new source and alka;956;948;728;728;786;786;774;774;794;792;759;759;791;792;763;763;792;793;766;766;791;793;763;763;792;793;730;730;784;787;722;722;787;787;758;758;793;793;723;723;784;787;723;723;784;787;723;723;784;787;644;644;712;724;644;644;712;724;644;644;712;724;644;644;712;724
Expanded weather, new source and alka;957;975;738;738;803;809;753;753;803;810;747;747;799;807;748;748;799;810;749;749;801;810;748;748;799;810;722;722;797;809;731;731;803;810;748;748;799;808;725;725;798;807;725;725;798;807;725;725;798;807;634;634;735;755;634;634;735;755;634;634;735;755;634;634;735;755
Expanded weather and alka;977;997;752;752;814;831;759;759;812;828;748;748;810;829;763;763;808;826;764;764;808;828;763;763;808;826;757;757;812;831;750;750;814;828;759;759;809;828;759;759;813;832;759;759;813;832;759;759;813;832;664;664;758;776;664;664;758;776;664;664;758;776;664;664;758;776
Weather and alka;999;997;743;743;825;834;762;762;829;837;753;753;827;837;763;763;828;838;768;768;828;837;763;763;828;838;749;749;826;837;752;752;826;834;763;763;828;837;745;745;826;836;745;745;826;836;745;745;826;836;671;671;765;780;671;671;765;780;671;671;765;780;671;671;765;780
Expanded all sources;62;58;58;58;53;53;65;65;54;53;62;62;53;53;63;63;53;53;64;64;53;53;63;63;53;53;57;57;52;52;59;59;53;53;63;63;53;53;57;57;52;52;57;57;52;52;57;57;52;52;2;2;13;23;2;2;13;23;2;2;13;23;2;2;13;23
All sources;64;61;53;53;45;44;60;60;45;44;61;61;45;44;61;61;45;44;62;62;45;44;61;61;45;44;58;58;45;44;55;55;45;44;59;59;45;44;57;57;45;44;57;57;45;44;57;57;45;44;2;2;14;19;2;2;14;19;2;2;14;19;2;2;14;19
Expanded no TV;52;52;63;63;37;37;66;66;36;37;70;70;36;37;68;68;36;37;68;68;36;37;68;68;36;37;67;67;37;37;63;63;37;37;67;67;36;37;65;65;37;37;65;65;37;37;65;65;37;37;4;4;6;13;4;4;6;13;4;4;6;13;4;4;6;13
No TV;60;60;64;64;45;45;66;66;45;45;66;66;45;45;65;65;45;45;65;65;45;45;65;65;45;45;62;62;45;45;61;61;45;45;64;64;45;45;61;61;45;45;61;61;45;45;61;61;45;45;3;3;14;22;3;3;14;22;3;3;14;22;3;3;14;22
